address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Phố Hào Nam']","
Mảnh đất có vị trí quá đắc địa, cách mặt phố Hào Nam khoảng hơn 20m, trước nhà ô tô tránh, vỉa hè, kinh doanh sầm uất, ổn định.Diện tích 120m², mặt tiền 7m, hiện trạng là căn nhà cấp 4 cũ, xác định bán đất tặng nhà, phù hợp xây tòa nhà văn phòng 8 tầng thang máy hiện đại.Sổ đỏ nở hậu, sẵn sàng giao dịch.Giá bán 27 tỷ, có thương lượng thêm.* Liên hệ A. Hiếu 0932 596 ***cam kết thông tin thật 100%).            ",120 m²,27 tỷ,7 m,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35986533,batdongsan_com_vn_35986533,,,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Ngọc Khánh', '84']","
DT xây dựng 60m², trước nhà chủ để gần 20m làm sân.Ngõ xe ba gác đỗ cửa, 3 bước đi bộ ra phố.Nhà xây năm 2017 còn mới, đẹp lung linh khỏi chê.Tầng 1: Sân để xe + Bếp + Phòng Khách.Tầng 2,3: Mỗi tầng 2 Phòng.Tầng: 4: Phòng thờ + Sân phơi.Vị trí đẹp, hiếm nhà bán, chủ nhà làm ở đài truyền hình, thiện chí bán.Giá 8.8 tỷ.Khách hàng quan tâm liên hệ Hiếu 0906 298 *** ",60 m²,8.8 tỷ,3.5 m,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,34424591,batdongsan_com_vn_34424591,2.5 m,4 tầng,4 phòng,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã', 'Thôn 2']","
Cực phẩm làm nhà trọ 155m², MT 5,5m tại thôn 2 Tân Xã.Xung quanh rất nhiều khu trọ hiện đại đang xây dựng.Đường rộng 2 oto tải tránh nhau thoải mái.Bán kính 500m đầy đủ các tiện ích chợ, trường học, uỷ ban, trạm y tế, ngân hàng, bưu điện...Từ lô đất lên đến CNC Hoà Lạc chỉ 3 bước.2 bước ra đến hồ Tân Xã.Hàng hiếm có 102.Anh chị quan tâm nhanh tay đặt gạch.Liên hệ SĐT 0971 314 *** để LVCC.FPT, CNC Hoà Lạc, Tân Xã, Bình Yên, ĐHQG.            ",155 m²,3.1 tỷ,5.5 m,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35612574,batdongsan_com_vn_35612574,5 m,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'đường Võng Thị']","
DT sổ đỏ 62m², MT rộng 4.6m. Nhà cách phố 40m, ngõ thông ra Hồ Tây.Nhà xây 4 tầng, chủ tự xây năm 2019 thiết kế hiện đại, sang trọng, khách chỉ cần xách vali về ở.Tầng 1: Phòng khách + bếp.Tầng 2,3: Cầu thang giữa chia 2 phòng khép kín.Tầng 4: Phòng thờ + sân phơi.Tiện ích đầy đủ: Gần chợ, trường học các cấp xung quanh, sắp có TTTM đối diện. Đầu ngõ có bãi gửi xe ô tô ngày đêm.Giá chào 7 tỷ.Khách hàng quan tâm liên hệ Hiếu 0906 298 *** ",62 m²,7 tỷ,4.6 m,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35918184,batdongsan_com_vn_35918184,2 m,4 tầng,4 phòng,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Dương Văn Bé']","
+ Vị trí tuyệt vời, ô tô vào cạnh nhà, có luôn chỗ gửi ô tô. Cực gần mặt đường Dương Văn Bé, chưa đến 1 phút đi bộ.+ Thiết kế: Hai mặt thoáng trước sau, 27m, mặt tiền rộng, 4 tầng, 4 ngủ đủ công năng sử dụng. Giá 2 tỷ 850 (thương lượng).+ An ninh khu vực rất tốt, Sổ đỏ sẵn sàng giao dịch.Xem nhà hoàn toàn miễn phí & cam kết nhà chuẩn.Liên hệ: Mr Huy 24/24h ĐT & Zalo: 0966 997 *** ",27 m²,2.85 tỷ,,,29/11/2022,06/12/2022,Tin thường,35986529,batdongsan_com_vn_35986529,,4 tầng,4 phòng,3 phòng,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Nguyễn Văn Huyên', 'Dự án Romantic Park Tây Hồ Tây']","
Chủ đầu tư mở bán dự án Romantic Park - Tây Hồ Tây mặt đường Nguyên Văn Huyên kéo dài).- Hotline tư vấn độc quyền: 0975 974 *** - 0945.751.390 (TP kinh Doanh).- Chủ đầu tư: Công ty TNHH Phát Triển Bắc Sơn.- Vị trí: Mặt đường Nguyễn Văn Huyên kéo dài và đường lớn 40m khu đô thị Tây Hồ Tây. Nằm trong quần thể khu đô thị Tây Hồ Tây, Liền kế ngay khu Ngoại Giao Đoàn, công viên Nghĩa Đô, các trường Đại học lớn như Quốc Phòng, Điện Lực, HVKTQS.- Diện tích liền kề gồm 90m², 112m², 120m².- Diện tích shophouse: 150m² - 175m² đầy đủ các hướng Đông, Đông Nam, Bắc... Xây dựng thô cao 5 tầng hoàn thiện mặt ngoài.- Khách mua có thể nhận bàn giao nhà ngay.- Giá bán từ: 300 triệu/m² (đã bao gồm VAT xây thô hoàn thiện mặt ngoài).- Liên hệ tư vấn: Hotline tư vấn độc quyền: 0975 974 *** - 0945.751.390 (Quản lý bán hàng CĐT).            ",120 m²,Thỏa thuận,,,29/11/2022,06/12/2022,Tin thường,22141860,batdongsan_com_vn_22141860,,5 tầng,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Liễu Giai']","
Bán cực gấp! toà nhà mặt phố đẹp nhất Liễu Giai, Ba Đình 116m² 10 tầng 6m Mt thuê 250tr/th 46 tỷ có TL+ Siêu vị trí vip, Ngay Quận Uỷ, Lotte, Gần Hồ Tây+ Phân Lô Cán Bộ Cao Cấp+ toà nhà 10 tầng chất lượng cao+ Sổ đỏ chính chủ, sổ phân lô, nở hậu nhẹ+ giá 46 tỷ có ra lộc+ Hiếm không bao giờ có căn thứ 2Lh Mr Tung chuyên Bán nhà Quận Ba Đình, Liễu Giai, Nhà Mặt Phố Liễu Giai, Nhà Phố phân lô.            ",116 m²,46 tỷ,6 m,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35845919,batdongsan_com_vn_35845919,30 m,10 tầng,10 phòng,10 phòng,Đủ,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Crystal River']","
Bán biệt thự song lập Sunshine Crystal River suất ngoại giao, vị trí đẹp, giá cực tốt để đầu tư.- Diện tích biệt thự song lập 188m² đến 200m², diện tích biệt thự đơn lập 300m², nằm trong quần thể 5 tòa tháp biệt thự trên cao với 35 tầng view trọng vẹn sông Hồng và sân golf Ciputra.- Vị trí tuyệt đẹp: Nằm trên trục đường chính của khu đô thị Nam Thăng Long nối thẳng ra đường Võ Chí Công và kề bên tuyến đường Nguyễn Văn Huyên kéo dài.- Thiết kế Địa Trung Hải tuyệt đẹp với 1 tầng hầm và 5 tầng nổi, mặt tiền 9m, hai mặt thoáng trước và thoáng sau, không gian tràn ngập hoa lá 4 mùa.- Địa thế đất cao, phong thủy tuyệt vời, nằm trung tâm khu đô thị Ciputra giai đoạn 3, giao thông rất thuận tiện khi di chuyển vào trung tâm thành phố và đi sân bay Nội Bài.- Số lượng có hạn, chỉ duy nhất 36 căn song lập được phép kinh doanh kết hợp với nhà ở.- Giá bán 175 tr/m² đã bao gồm tiền xây dựng 1 hầm + 5 tầng nổi và hoàn thiện mặt ngoài, cực kỳ ưu đãi cho nhà đầu tư (giá chủ đầu tư đang giao dịch ở mức 210 tr/m²).Quý khách hàng đầu tư đừng bỏ lỡ cơ hội quý giá này.Mọi thông tin chi tiết xin liên hệ hotline: 0975 974 *** - 0945.751.390 (TP kinh doanh).            ",200 m²,175 triệu/m²,9 m,,29/11/2022,06/12/2022,Tin thường,23071783,batdongsan_com_vn_23071783,,5 tầng,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Tổng hợp shophouse và biệt thự liền kề tại Ciputra Hà Nội.Liên hệ: 0975 974 *** 0945 751 ***.1. Shophouse Sunshine Helios.- Diện tích: 120m² - 157m² - 230m². Mặt tiền từ 6m trở lên.- Xây dựng 5 tầng nổi + 1 hầm. Bàn giao thô hoàn thiện mặt ngoài.- Đường trước nhà rộng 21m, 30m, 40m & 60m, phân 2 làn riêng biệt.- Giá bán: 30 tỷ.2. Shophouse Sunshine Crystal River.- Diện tích: 200m². Mặt tiền 10m.- Xây dựng 5 tầng nổi + 1 hầm. Bàn giao thô hoàn thiện mặt ngoài.- Đường trước nhà 30m.- Giá bán: 40 tỷ.3. Shophouse Villas.- Diện tích: 120m² - 150m² - 254m². Mặt tiền từ 6m trở lên.- Xây dựng 5 tầng nổi + 1 hầm. Bàn giao thô hoàn thiện mặt ngoài.- Đường trước nhà rộng 30m, phân 2 làn riêng biệt.- Giá bán: 27 tỷ.4. Shophouse Sunshine.- Diện tích: 167m² - 173m² - 210m² - 350m². Mặt tiền 7m trở lên.- Xây dựng 4 tầng nổi + 1 hầm. Bàn giao thô hoàn thiện mặt ngoài.- Đường trước nhà rộng 15m.- Giá bán: 27 tỷ.5. Bán Biệt thự Khu K - KĐT Ciputra.- BT 140m² (7x20m) Nhà hướng Bắc hoặc Nam, đường 15m.- BT 180m² (9x20m) Nhà hướng Bắc hoặc Nam, đường 30m.- BT 324m² (12x27m) Nhà hướng Đông, đường 15m.- BT 336m² (12x28m) Nhà hướng Tây, đường 50m.- BT 400m² (12x33m) Nhà hướng Bắc, đường 15m.Cam kết: Thông tin nhanh chính xác, chuẩn pháp lý, chuẩn quy hoạch, giá bán thấp nhất.Thông tin chi tiết xin liên hệ: (Để nhận thông tin cập nhật mới nhất).Hotline: 0975 974 *** 0945 751 *** (TP kinh doanh).            ",108 m²,Thỏa thuận,,,29/11/2022,06/12/2022,Tin thường,24005006,batdongsan_com_vn_24005006,,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Phố Đỗ Nhuận', 'Dự án Khu Ngoại Giao Đoàn']","
Bán biệt thự Ngoại Giao Đoàn, mặt đường Đỗ Nhuận, giáp công viên Đoàn Ngoại Giao, khu Đại Sứ Quán và đường Nguyễn Văn Huyên kéo dài.- Công ty chúng tôi là đơn vị kí hợp đồng và chuyên bán biệt thự Ngoại Giao Đoàn.- Diện tích điển hình các lô BT: 216m², 226m², 240m², 243m², 300m², 352m², 400m², 427m², xây 3 tầng.- Khu biệt thự gồm các dãy từ BT1 - BT6 hiện đã nhiều hộ về ở, khu dân trí cao và đầy đủ tiện ích.Các dãy mặt đường Đỗ Nhuận, Nguyễn Xuân Khoát đang kinh doanh sầm uất.- Giá bán: Từ 280 tr/m² (tùy theo vị trí đường và hướng).- Khu biệt thự Ngoại Giao Đoàn sử dụng được nhiều công năng, nhưng giá đang tốt hơn các khu lân cận. Quý khách vui lòng liên hệ.- Quản lý phòng kinh doanh CĐT:- Tổng công ty xây dựng HN.- Mr. Duong: 0945 751 *** - 0975.974.318 (TP kinh doanh).- ADD: Khu đô thị Ngoại Giao Đoàn.            ",243 m²,Thỏa thuận,12 m,,29/11/2022,06/12/2022,Tin thường,24865748,batdongsan_com_vn_24865748,,3 tầng,,,,Đông - Nam,
"['Hà Nội', 'Thạch Thất', 'Xã Đồng Trúc']","
Cần bán 4 lô đất thuộc trung tâm Đồng Trúc sát vành đai công nghệ cao, diện tích từ 80 - 100m² khu dân cư đông đúc, kinh doanh hàng quán sầm uất quý ac đầu tư hay mua làm nhà ở đều ok. Liên hệ em Sơn để được giá đẹp nhất SĐT 0971 314 *** ",80 m²,1.37 tỷ,,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35483629,batdongsan_com_vn_35483629,,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Hạ Bằng']","
Cần bán mảnh đất nằm ở trung tâm trợ Hạ Bằng sẵn nhà c4 chỉ việc sách vali đến ở và kinh doanh buôn bán được luôn vị trí đắc địa đẹp nhất.Giá để đầu tư cho các chủ đầu tư.Nhanh tay liên hệ em để làm cọc và sang tên trong ngày em Sơn 0971 314 *** ",100 m²,3.8 tỷ,,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35494812,batdongsan_com_vn_35494812,,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Đường Ngô Minh Dương', 'Dự án Embassy Garden']","
- Bán biệt thự và shophouse dự án Embassy Garden - ngay Tây Hồ Tây.- Chủ đầu tư: Công ty cổ phần phát triển tài sản Việt Nam.- Hotline: 0975 974 *** - 0945.751.390 (TP kinh doanh).- Dự án Embassy Garden nằm ngay quần thể khu đô thị mới Tây Hồ Tây - Starlake. Dự án được kết nối hạ tầng có sẵn, chỉ cách đường Võ Chí Công đi cầu Nhật Tân 200m. Được hưởng các tiện ích có sẵn của 2 khu đô thị mới Tây Hồ Tây và Ngoại Giao Đoàn.- Nhà phố shophouse:+ Diện tích các lô: 120m²; 124m²; 126m²; 144m².+ Thiết kế 5 tầng xây thô hoàn thiện mặt ngoài.- Biệt thự đơn lập:+ Diện tích nhà biệt thự: 226m²; 240m²; 260m².+ Mật độ xây dựng từ 40 - 42% tùy lô, nhà 3,5 tầng, hoàn thiện mặt ngoài.- Giá bán: Từ 250 triệu/m² tùy theo vị trí.- Tiến độ dự án: Nhận nhà ngay.- Liên hệ ngay để được tư vấn và tham quan dự án:- Hotline: 0975 974 *** - 0945.751.390 (TP kinh doanh).            ",126 m²,Thỏa thuận,,,29/11/2022,06/12/2022,Tin thường,31699328,batdongsan_com_vn_31699328,,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã']","
Cần bán nhanh lô đất 155m² đất Tân Xã vị trí cực đẹp để xây nhà trọ cho sinh viên FPT thuê ở, sát 2 bên là 2 dãy trọ đang xây dựng giá cực rẻ để đầu tư sinh lời nhanh liên hệ em để biết thông tin cụ thể lô đất 0971 314 *** em Sơn.            ",155 m²,3.1 tỷ,5 m,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin thường,35535477,batdongsan_com_vn_35535477,5 m,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 21A']","
Linh Sơn Bình Yên, cnc Hòa Lạc. Đh Quốc Gia, đh FPT... Giá bằng nửa tđc đh Quốc Gia. Đường to như sân bay, giá đầu tư cự rẻ, liên hệ em 0971 314 *** ",151 m²,2.5 tỷ,,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,33238275,batdongsan_com_vn_33238275,8 m,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bách Khoa', 'Đường Minh Khai']","
+ Cần bán gấp nhà phố Minh Khai, quận Hai Bà Trưng, Hà Nội, diện tích 66m², mặt tiền 6m, kinh doanh cực đỉnh, toà văn phòng đẳng cấp, khu vực kinh doanh sầm uât, hạ tầng đẹp, văn minh, nói không với quy hoạch...+ Phố Minh Khai là tuyến phố kết nối Trường Chinh, Bạch Mai, gần các trường đại Học Bách Khoa, Kinh Tế, Xây Dựng.+ Tòa nhà trên khuôn đất vuông đẹp vượng lộc nhiều lộc, chủ bán để vào Phú Quốc sống.+ Sổ đỏ vuông đẹp - mặt tiền to.+ Giá bán nhỉnh 10 tỷ.Liên hệ: Tôi Chung 0977 435 *** để làm việc trực tiếp với chủ nhà. Miễn môi giới, QC.            ",66 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35645579,batdongsan_com_vn_35645579,,5 tầng,4 phòng,4 phòng,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ', 'Dự án Green Diamond 93 Láng Hạ']","
Phòng kinh doanh chủ đầu tư:Hiện tại tôi đang cầm quỹ căn siêu vip tại dự án 93 Láng Hạ:- Căn hộ Penthouse, Studio cực hiếm:- S: 47m² - 189m².- Thiết kế: 1 - 4 ngủ cực kỳ phù hợp với gia đình 3 thế hệ ở thoải mái.- Có 1 phòng ngủ và bếp kèm nhà vệ sinh riêng biệt và 3 phòng ngủ cho gia đình trẻ.- Ban công: Đông Nam cực thoáng.- View ra: Hồ Thành Công không bụi không ồn.- Bàn giao full đồ gắn tường: Hệ thống điều hòa Daikin âm trần 2 chiều, thiết bị vệ sinh xịn sò nhập khẩu.- Đặc biệt có hệ thống: Ban công góc 3 mặt thoáng hiếm có chung cư nào có được, ngoài ra còn được chủ đầu tư trang bị cây xanh và hệ thống phun tưới nước tự động cho cư dân.- Mật độ thang máy theo tiêu chuẩn cao cấp: 7 căn/ 4 thang máy.- Giá chỉ từ: 7x tr/m².- Tiện ích dự án cực kỳ cao cấp: Có 4 hầm đảm bảo chỗ để xe ô tô cho cư dân, có hệ thống bể bơi 4 mùa rộng tới 900m² được điện phân muối cực kỳ an toàn cho da, có phòng tập golf, phòng rượu vang, cigar... Tất cả tiện ích dành cho giới thượng lưu đều được hội tụ tại dự án.- Chủ đầu tư uy tín hàng đầu Việt Nam: Vinaconex 2.- Được ngân hàng hỗ trợ cho vay tới 65% giá trị căn hộ.- Được hỗ trợ vào tên hợp đồng trực tiếp, không phải trả chênh, phí ngoài.Liên hệ ngay Ms Ngoan phụ trách 24.7 tại dự án: 0983 463 ***Lưu ý: Không làm việc với môi giới.Cám ơn quý vị đã đọc tin!            ",189 m²,Thỏa thuận,,,29/11/2022,06/12/2022,Tin thường,35385604,batdongsan_com_vn_35385604,,,4 phòng,3 phòng,,Đông - Bắc,Đông - Nam
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường An Dương Vương']","
* Vị trí cực đẹp, ngay đầu phố An Dương Vương, giáp Phú Gia, cách trường cấp 1,2,3, UBNDP, chợ 100m.* Thiết kế 6 tầng, 8 ngủ, gara rộng.* Tiện ích 9,25 điểm.* Pháp lý nét, không quy hoạch, sổ đẹp như phân lô, cất két chờ sang tên.LH: Mr Phương Nhà Đẹp để được tư vấn và xem nhà.Quý vị cần tìm nhà theo ý muốn hãy KB Zalo 0988 883 ***, sau ít phút quý vị sẽ có thông tin căn nhà sát với mong muốn nhất.            ",45 m²,7 tỷ,3.8 m,Sổ đỏ/ Sổ hồng,28/11/2022,06/12/2022,Tin thường,35976258,batdongsan_com_vn_35976258,4 m,6 tầng,8 phòng,6 phòng,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy', 'Ngõ 85']","
Nhà ở ngõ 85 Xuân Thuỷ đối diện trường học viện Báo Chí. Chủ đang cần thanh khoản để lo công việc nhà dân xây chắc chắn khách mua về sẵn dòng tiền cho thuê ổn định.Quý khách xem nhà liên hệ em kiên dòng tiền Cầu Giấy.            ",55 m²,6 tỷ,,Sổ đỏ,29/11/2022,06/12/2022,Tin thường,35982833,batdongsan_com_vn_35982833,,5 tầng,9 phòng,,,,
