address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Nội thất,Số toilet,Hướng nhà,Hướng ban công
"['Hà Nội', 'Nam Từ Liêm', 'Phường Xuân Phương', 'Đường Trịnh Văn Bô', 'Số 25']","
Bán nhà mặt phố Trịnh Văn Bô.- Diện tích: 110m² x 4 tầng, mặt tiền 5m.- Vị trí: Mặt đường Trịnh Văn Bô (rộng 50m) là con đường huyết mạch nối đường Vành Đai 3 (đường Phạm Hùng) cắt qua KĐT Mỹ Đình tới đường Vành Đai 3.5 (chuẩn bị thông).- Pháp lý: Sổ đỏ chính chủ.- Giá bán: Đã bao gồm cả nhà và đất.- LH: A. Tuấn 0981 166 *** ",110 m²,Thỏa thuận,5 m,50 m,4 tầng,Sổ đỏ,27/11/2022,07/12/2022,Tin thường,31042389,batdongsan_com_vn_31042389,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công']","
- Chủ là người kín tiếng gửi bán gấp nhà Võ Chí Công - Xuân La trong 1 tuần, gần Hồ Tây ở sướng, khu dân trí văn minh, hiếm nhà bán.- Vị trí 20m ra phố, giao thông kết nối khu Ngoại Giao Đoàn, Võ Chí Công, cầu Nhật Tân đi đâu cũng tiện.- Nhà dân xây để ở cực kỹ lưỡng và tinh tế, nội thất sang trọng, diện tích sổ đỏ 86m², thiết kế 4 tầng, có 4 phòng ngủ to thoáng rộng đầy đủ công năng sử dụng.- Cam kết sổ đỏ chính chủ, pháp lý chuẩn.- Giá nhỉnh 20 tỷ (có thương lượng) cho Khách thiện chí mua.- Hãy gọi cho tôi 0834 176 *** để được tư vấn hỗ trợ mua giá hợp lý nhất và giao dịch chính Chủ.            ",86 m²,Thỏa thuận,,,4 tầng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35138954,batdongsan_com_vn_35138954,5 phòng,,,,
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Phố Vạn Phúc']","
Khu vực phân lô, cách ô tô để ngày đêm ko mất phí 10m, nhà thoáng trước sau ở cực sướng.Đối diện là khu đô thị Him Lam, cạnh khu vực Sông Đà 2, nối liền với Quang Trung, Trần Phú, Ngô Quyền, Ngô Thì Sỹ Ngô Thì Nhậm, Bà Triệu, Tô Hiệu, Văn Quán, Mỗ Lao, Đại Mỗ, Thanh Bình, Tố Hữu, Nguyễn Trãi...Tiện ích hưởng chọn khu đô thị Vạn Phúc, chợ, trường học các cấp, Hồ Gươm PLaza, BigC Hà Đông, Metro Hà Đông.Thiết kế: Hiện đại, đẹp long lanh.+ Tầng 1: Khu vực để xe, bếp, wc.+ Tầng 2: Phòng khách, 1 phòng ngủ, wc.+ Tầng 3: Phòng ngủ, wc.+ Tầng 4: Phòng thờ và sân phơi.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ: 0966 607 ***, Thế Dâng để xem nhà.Lưu ý: Không tiếp môi giới.            ",41 m²,4.1 tỷ,,,4 tầng,Sổ đỏ,27/11/2022,04/12/2022,Tin thường,35843275,batdongsan_com_vn_35843275,,Đầy đủ đẹp,,,
"['Hà Nội.', 'Thanh Xuân', 'Phường Hạ Đình', 'Đường Hoàng Văn Thái']","
Phân lô quân đội Hoàng Văn Thái, ô tô vào nhà - an sinh tuyệt vời, 82m², giá nhỉnh 13 tỷ.Diện tích 82m², MT 5.5m giá nhỉnh 13 tỷ.Mô tả:- Vị trí cực đẹp, trước nhà ngõ rộng rãi ô tô vào nhà, ngõ sạch đẹp văn minh, khu vực quá nhiều tiện ích, an sinh cực tốt.- Hiện trạng là nhà 3 tầng gia chủ tự xây, có thể lên thêm tầng, chủ nhà là quân nhân về hưu, con cái thành đạt.- Thiết kế hợp lý với 4 phòng ngủ và 3 wc, phòng thờ sân phơi đầy đủ, trên tầng mái gia chủ thiết kế sân vườn rất đẹp.- Sổ đỏ nở hậu đẹp, sẵn sàng giao dịch.LH em Thu Xinh 0982 100 *** xem nhà và tư vấn miễn phí.            ",82 m²,13.2 tỷ,5.5 m,5 m,3 tầng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,32803031,batdongsan_com_vn_32803031,4 phòng,Hiện đại,3 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', 'Dự án Home City - Trung Kính Complex']","
Bán 11 căn Home City cập nhật tháng 11/2022. Mình là cư dân sống tại dự án, không chào ảo, câu view.Diện tích 2 ngủ: 58,61m² - 72m².Diện tích 3 ngủ: 81m² - 110m².Thông tin chi tiết xin liên hệ:Mr Ban: 0936 198 ***Cư dân sống tại dự án căn 516 Home City).            ",61.56 m²,Thỏa thuận,,,,,26/11/2022,03/12/2022,Tin thường,35534275,batdongsan_com_vn_35534275,2 phòng,,2 phòng,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Văn Cừ', 'Dự án Berriver Long Biên']","
* Chính sách bán hàng siêu hấp dẫn:- Chiết khấu 5% khi thanh toán sớm 95% Giá trị căn hộ.- Chiết khấu 4% khi thanh toán theo tiến độ thông thường.- Hỗ trợ vay 70% giá trị căn hộ. Miễn gốc lãi trong 12 tháng.- Miễn phí dịch vụ trong 18 tháng từ ngày nhận bàn giao căn hộ.- Quà tặng vàng:N04 - căn 05: 1 cây vàng.N04 - căn còn lại: 3 chỉ.N05 - căn 09: 1 cây vàng.N05 - căn 1,4,5: 8 chỉ vàng.N05 - căn còn lại 6 chỉ vàng.10 Khách mua N05 đầu tiên được tặng 1 TV sony 25tr (không trừ vào giá).* Thông tin căn hộ:- Căn hộ đẹp nhất dự án sở hữu 3 mặt thoáng.- Tầm view đắt giá nhìn ra sông Hồng, sân golf, sân bay Gia Lâm, 3 hồ điều hòa, 3 cây cầu lớn.- Phòng khách và phòng ngủ Master sở hữu view triệu đô và ban công cực chanh xả. Ban công nối thông giữa phòng khách và phòng ngủ, diện tích lên đến gần 8m.- 2 phòng ngủ còn lại sở hữu view cầu Chương Dương, ngắm trọn Sông Hồng và vẻ đẹp lung linh của thành phố về đêm.- Ngay dưới căn hộ là bể bơi rộng 350m, tiêu chuẩn 5* Resort cùng với hơn 30 tiện ích đẳng cấp và cảnh quan xanh hiện đại.Hotline tư vấn chính thức chủ đầu tư/: Ms Vân 0968 005 **** Tổng quan dự án Berriver Jardin:- Vị trí: 390 Nguyễn Văn Cừ, Long Biên, Hà Nội.- Với vị trí kim cương Kề hồ - Cận sông - Cận phố - Trong vườn. Là dự án hiếm hoi còn lại trên trục đường Nguyễn Văn Cừ. Quý khách vừa có thể tận hưởng không gian trong lành, yên bình với tầm view ra sông Hồng thơ mộng, vừa thừa hưởng hạ tầng hiện đại của con phố sầm uất Nguyễn Văn Cừ & Nguyễn Sơn.- 10 phút: Kết nối nhanh tới trung tâm Hà Nội, hồ Hoàn Kiếm, phố Cổ qua các cây cầu Long Biên, Chương Dương & cầu Trần Hưng Đạo chuẩn bị khởi công.- 5 phút: Aeon Mall Long Biên, Sân Golf Long Biên, Trường quốc tế Well Spring, bến xe Gia Lâm.- 2 phút: Bệnh viện Tâm Anh, hồ Hàng Không, trường tiểu học Ngọc Lâm.- Sảnh, trung tâm thương mại với đầy đủ tiện ích: Gym, spa, yoga cao cấp, bể bơi thiết kế theo phong cách resort đẳng cấp.* Liên hệ phòng kinh doanh của chủ đầu tư để được nhận hỗ trợ tư vấn và đăng ký xem thực tế căn hộ 24/7: Ms Vân 0968 005 *** ",101.1 m²,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,21/11/2022,28/11/2022,Tin thường,35824266,batdongsan_com_vn_35824266,3 phòng,Cơ bản,2 phòng,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Xuân Phương', 'Đường Trịnh Văn Bô']","
Bán shophouse mặt phố Trịnh Văn Bô.Diện tích: 110m² x 5 tầng, mặt tiền 5m.Đường Trịnh Văn Bô (rộng 50m) là con đường nối từ đường Vành đai 3 (Phạm Hùng) cắt qua KĐT Mỹ Đình tới đường Vành đai 3.5 (Chuẩn bị thông).- Pháp lý: Sổ đỏ chính chủ.- Giá bán: Giá đầu tư.LH: E. Tuấn BĐS 0981 166 *** ",110 m²,19 tỷ,5 m,,5 tầng,Đã có sổ.,27/11/2022,04/12/2022,Tin thường,28915232,batdongsan_com_vn_28915232,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Trịnh Văn Bô', 'Khu đô thị Vân Canh']","
Bán nhà số 25 LK27 mặt phố Trịnh Văn Bô, Shophouse.Diện tích: 110m² x 5 tầng, mặt tiền 5m.Đường Trịnh Văn Bô (rộng 50m) là con đường nối từ đường Vành đai 3 - Phạm Hùng với đường 3.5-đường Lê Trọng Tấn.Pháp lý: Sổ đỏ chính chủ.Giá bán: Bao gồm cả nhà và đất.LH: E. Tuấn BĐS 0981 166 *** ",110 m²,19 tỷ,5 m,,5 tầng,Có sổ.,27/11/2022,04/12/2022,Tin thường,28915285,batdongsan_com_vn_28915285,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Quốc lộ 32', 'Dự án Hinode Royal Park']","
Chính chủ bán shophouse dự án Hinode Royal Park, Kim Chung Di Trạch.1. Shophouse LK28 ô 3x, Diện tích: 95m², Mặt tiền: 5m, xây dựng 5 tầng theo phong cách kiến trúc Anh quốc.* Đường rộng 30m, trục đường nối trực tiếp với đường 3.5 và là con đường trung tâm của KĐT.* Giá: 100x triệu/m² 2. Shophouse LK30 ô 0x, Diện tích: 89m², mặt tiền: 5m, xây dựng 5 tầng theo phong cách kiến trúc Anh quốc.* Đường rộng 30m, trục đường nối trực tiếp với đường 3.5 và là con đường trung tâm của KĐT.* Giá: 100x triệu/m2Liên hệ: A Tuấn 0981 166 *** ",89 m²,100 triệu/m²,5 m,30 m,5 tầng,Hợp đồng mua bán,27/11/2022,04/12/2022,Tin thường,32057219,batdongsan_com_vn_32057219,,,,Đông - Bắc,
"['Hà Nội', 'Thanh Xuân', 'Phường Hạ Đình', 'Đường Kim Giang']","
CĂN HỘ CAO CẤP HẠNG 5 SAO  2 NGỦ 2 WC - LÔ GÓC - THOÁNG SÁNG 2 BAN CÔNGMô tả:- Căn hộ chung cư đẹp xứng tầm thành phố hoàng gia 5 sao,đẳng cấp đồng bộ, khách chỉ việc xách vali về ở luôn.-  đáp ứng đầy đủ tiện ích bao quanh đại đô thị vị trí kim cương: Trung tâm đi đâu cũng tiện, bao quanh bởi trung tâm thương mại Vincom Mega Mall, hệ thống siêu thị VinMart, VinMart+, hệ thống vận hành quản lý chung cư hiện đại Vinhomes, hệ thống bệnh viện Quốc tế VinMec, giáo dục phổ thông liên cấp Vinschool, sân chơi trẻ em, bể bơi, công viên thể thao, dịch vụ xe bus điện.. đúng chất của thành phố thông minh.- Thiết kế 2 ngủ 2 wc, phòng khách bếp rộng rãi vuông vắn.Đặc biệt là 2 ban công cực thoáng.- Sổ đỏ xịn sẵn sàng giao dịch. Sử dụng lâu dàiliên hệ 0936 626 *** ",80 m²,3.75 tỷ,,,,,27/11/2022,07/12/2022,Tin thường,35963763,batdongsan_com_vn_35963763,,,,,
