address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Mặt tiền,Số tầng
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Siêu đẹp, siêu rẻ! Căn hộ 2PN + 1VS - Vinhomes Ocean Park, tầng đẹp, bán chỉ 1.6 tỷ BP.Thông tin chi tiết như sau:- Căn hộ thuộc toà S2.07 - Vinhomes Ocean Park Gia Lâm, Hà Nội.- Tổng diện tích: 54.9m².- Ban công hướng: Tây Bắc.- Cửa nhà hướng: Đông Nam.- View bể bơi, sân chơi thể thao.- Thiết kế: 2 phòng ngủ, 1WC, phòng khách, bếp và phòng đa năng. Các phòng rất vuông vắn, rộng.- Giá bán: 1.6 tỷ, bao phí sang tên sổ đỏ.Liên hệ xem nhà: Thu Hà BĐS Nhà Mới.Hotline: 0523 663 ***Facebook, zalo, viber, imessage).Email: thuhanhamoi@gmail.com ",54.9 m²,1.6 tỷ,Đông - Nam,Tây - Bắc,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,05/12/2022,12/12/2022,Tin thường,36033494,batdongsan_com_vn_36033494,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Phố Vũ Tông Phan', 'Dự án Riverside Garden']","
Cần bán chung cư Riverside Garden, Vũ Tông Phan, Thanh Xuân.Thiết kế: 70m².+ Tổng 2 ngủ - 1 phòng khách rộng - 1 bếp + 2WC.+ Cửa chính: Đông Nam.+ Ban công: Tây Bắc.- Sổ đỏ chính chủ, giao dịch nhanh.- Giá 2.7 tỷ bao phí.- LH: 0898 149 *** - 0338 596 ***.            ",70 m²,2.7 tỷ,Đông - Nam,Tây - Bắc,2 phòng,2 phòng,Sổ đỏ chính chủ.,,01/12/2022,08/12/2022,Tin thường,33779437,batdongsan_com_vn_33779437,,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Bát Khối']","
Bán đất ~ Thạch Bàn ~ Long Biên ~ Hà Nội.Chủ cần gấp bán đất Long Biên. Diện tích 31m².- Đất nằm trên, phường Thạch Bàn. Cách Aeon Long Biên 500m.- Vị trí phù hợp để ở đầu tư giữ tiền hoặc xây bán, kết hợp ở...- Khu vực đang phát triển cực mạnh. Giao thông thuận tiện kết nối Đàm Quang Trung, Thạch Bàn, Phố Trạm.+ Công viên trường học sát nhà...- Sổ đỏ chính chủ.- Giá 2,1 tỷ (thương lượng mạnh).0942658658.Mua bán ký gửi nhà đất.            ",31 m²,2.1 tỷ,,,,,,,05/12/2022,12/12/2022,Tin thường,36034999,batdongsan_com_vn_36034999,3 m,,
"['Hà Nội', 'Ba Đình', 'Phường Đội Cấn', 'Đường Đội Cấn']","
Đây là căn nhà siêu hiếm còn sót lại ở phố Đội Cấn, trước nhà ngõ rộng thông, cách ô tô tránh khoảng 10m, vị trí nhà giao với các phố như Hoàng Hoa Thám, Ngọc Hà, ngõ thông các ngả đi đâu cũng tiện, xung quanh nhà đầy đủ tiện ích.+ Nhà do chính chủ tự xây rất tâm huyết, thiết kế theo phong cách hiện đại, với 07 tầng, đầy đủ tiện nghi như gara ô tô, thang máy nhập khẩu, nội thất cao cấp tiền tỷ, chủ nhà tặng lại hết cho khách thiện chí, khách mua về chỉ việc vào ở ngay.+ Chủ nhà hiền lành, phát đạt muốn bán đi để chuyển nhà to hơn nên rất thiện chí bán.+ Sổ đỏ vuông vắn, giao dịch ngay.+ Giá: 12,8 tỷ (Có Thương Lượng).Liên Hệ: Tùng Đất: 0912 142 *** để sở hữu nhà đẹp.Nhà mới, ở ngay, kinh doanh, gara ô tô, thang máy, full nội thất, Ba Đình, Đội Cấn, Hoàng Hoa Thám, Ngọc Hà, Kim Mã, Văn Cao, Liễu Giai, Giang Văn Minh.            ",48 m²,12.8 tỷ,,,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,35885721,batdongsan_com_vn_35885721,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Lê Trọng Tấn', 'số 3', 'The Artemis']","
Cần bán nhanh căn hộ chung cư cao cấp The Artemis - số 3 Lê Trọng Tấn.Căn góc diện tích 100m², thiết kế 3 phòng ngủ, 2wc...- Nhà thoáng các phòng đều có cửa sổ to.- Nội thất gia đình thiết kế làm để ở nên rất cẩn thận, đồ đẹp xịn mua về ở ngay.- Cửa Đông Nam, ban công Đông Bắc, Tây Bắc.- Giá: 5.8 tỷ khách thiện chí có trao đổi thêm.LH: 0898 149 *** - 0338 596 ***.            ",100 m²,5.8 tỷ,Đông - Nam,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,01/12/2022,08/12/2022,Tin thường,33904716,batdongsan_com_vn_33904716,,,
"['Hà Nội', 'Mê Linh', 'Thị trấn Quang Minh', 'Đường Cao tốc Thăng Long Nội Bài', 'Dự án KĐT Quang Minh']","
Chú ruột cần gửi bán căn biệt thự Vip tại KDT Quang Minh - Long Việt.- Vị trí căn góc, 3 mặt thoáng, bên hông và sau nhà là công viên vườn hoa rộng rãi.- Diện tích 360m².- Mặt tiền 12m, thiết kế: Xây thô 3 tầng + 1 gara, 4 phòng ngủ, 1 phòng khách,...- Là 1 trong những khu đô thị có quy hoạch, thiết kế, không gian đẹp nhất tại Huyện Mê Linh. Chỉ cách trung tâm HN 20p đi xe. Xứng đáng là 1 nơi an cư lý tưởng cho cư dân,- Giá hợp lý chỉ 39tr/m².- Lh: 0386 974 *** xem nhà trực tiếp 24/24.            ",360 m²,14 tỷ,Đông - Bắc,,4 phòng,2 phòng,,,05/12/2022,12/12/2022,Tin thường,36035274,batdongsan_com_vn_36035274,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn']","
Giảm sốc 1tỷ đồng, bán gấp nhà đẹp giữa trung tâm Phú Diễn. Tòa văn phòng - kinh doanh - ô tô - thang máy. (Kèm hình ảnh - video thật 100%).Diện tích 52m², xây mới 6 tầng cực kỳ chắc chắn, đẹp và tỉ mỉ từ những chi tiết dù là nhỏ nhất. Nhà rất thoáng, vị trí đắc địa kinh doanh cho thuê.------------------------------- Tầng 1: Thông tầng làm gara ô tô, để xe hoặc văn phòng kinh doanh.- Tầng 2 3: Thiết kế thông sàn, vệ sinh khép kín.- Tầng 4: 2 phòng ngủ rộng.- Tầng 5: Phòng khách Vip, Bếp ăn.- Tầng 6: Phòng thờ, sân thượng trồng rau sạch, uống trà thư thái.+ Nội thất gia chủ làm rất kỹ lưỡng: Thang máy Mitsubishi 450kg, cửa gỗ Lim Nam Phi, bên ngoài cửa cuốn, sàn nhà các tầng lát gỗ cao cấp Malaysia, tủ bếp gỗ sồi Nga, thiết bị WC cao cấp Inax, điều hòa Daikin, mành rèm nóng lạnh đầy đủ.+ Vị trí đắc địa, khu phân lô Quân đội đường ô tô tránh, kinh doanh, thang máy. Tiện ở kết hợp làm văn phòng công ty, kho hàng, phòng khám,Chỉ duy nhất 1 căn. Quý khách nhanh tay liên hệ với chúng tôi để sở hữu căn nhà cực đẹp này.+ Giá chào hấp dẫn chỉ 8.9 tỷ (Có thương lượng sâu cho khách thiện chí mua).Liên hệ xem nhà miễn phí 24/7: Anh Huấn 0839.633.368(Kèm hình ảnh - video thật 100%).            ",52 m²,8.9 tỷ,,,5 phòng,5 phòng,,,03/12/2022,10/12/2022,Tin thường,33349174,batdongsan_com_vn_33349174,7 m,8 m,6 tầng
"['Hà Nội', 'Thanh Xuân', 'Đường Hoàng Văn Thái']","
Căn nhà hiếm có tại khu phân lô đẳng cấp nhất quận Thanh Xuân, bao quanh là các tuyến phố Lê Trọng Tấn, Hoàng Văn Thái, với thông số lý tưởng:+ Diện tích: 55 m² x 5 tầng.+ Mặt tiền: 4.2 m.Nhà xây dựng chắc chắn với 5 tầng phục vụ cho nhiều công năng khác nhau như: Ở sướng, văn phòng hay cho thuê đều rất tốt.Đường trước nhà ô tô đua nhau, ngõ thoáng sáng, sạch sẽ, mang lại cho gia chủ 1 cảm giác an lành.Sổ đỏ phân lô, trước sau như 1, sẵn sàng giao dịch.+ Giá bán: 8.1 tỷ (có thương lượng với khách thiện chí).+ Liên hệ: Mr. Hồ Đức 0961 921 ***gọi hoặc inbox Zalo 24/24).Chỉ cần quý anh chị có nhu cầu, em Hồ Đức với nguồn thông tin đa dạng, chất lượng sẽ tìm ra giải pháp hỗ trợ tìm nhà rẻ, đẹp và hợp ý nhất. Vui lòng liên hệ để được hỗ trợ.            ",55 m²,8.1 tỷ,,,,,Sổ đỏ/ Sổ hồng,,05/12/2022,13/12/2022,Tin thường,36035271,batdongsan_com_vn_36035271,,4.2 m,5 tầng
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Nguyễn Văn Cừ']","
Vị trí đắc địa quận Long Biên - đẹp - chất - bán gấp nhà đường Nguyễn Văn Cừ - ô tô - DT 38m², 3T, 2.6 tỷ.Cam kết không có mảnh thứ 2 - đẹp - chất - đường ô tô vào - bán nhanh nhà Nguyễn Văn Cừ - DT 38m², 2.6tỷ, 3 tầng.- Nằm trong khu dân trí cao, giá này chủ rất thiện chí bán ngay và luôn do có việc gia đình cần tiền gấp.- Khu vực phát triển nhất Quận Long Biên - Gần chợ - Gần TTTM Aeon - Gần cầu Vĩnh Tuy.- Thiết kế 3 tầng, nội thất đầy đủ. Khách có thể ở luôn hoặc đầu tư mua về cho thuê là ra tiền ngay.- Sổ chính chủ, bao sang tên công chứng trong ngày.Lh em Hiền để được tư vấn nhiệt tình.(Miễn MG - TG).            ",38 m²,2.6 tỷ,,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36034979,batdongsan_com_vn_36034979,,,3 tầng
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Gia Thụy']","
- Dự án xây cơ quan và trường đào tạo kết hợp kinh doanh dịch vụ, cho thuê rất ổn.- Khách có thể mua 1/2.- Đất 50 năm, đóng thuế hàng năm, hạn tới 2065.- Đã có chủ trương xây dựng 2 hầm 9 nổi.- Mật độ xây dựng 45%.- Vị trí ngay cạnh sân gofl Đảo Sen, xung quanh là đường nội bộ ô tô tránh, có vỉa hè.- Sổ đỏ chính chủ, vuông vắn.- Chủ nhà vui tính, cần tiền, bán nhanh.- Liên hê: Bác Chuyên: 0985 692 *** ",15212 m²,185 tỷ,,,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Đẹp,05/12/2022,12/12/2022,Tin thường,31694394,batdongsan_com_vn_31694394,21 m,300 m,1 tầng
