address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số toilet
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Nhân Hòa']","
Cần bán tòa nhà đa chức năng tại mặt phố Nhân Hòa, Q. Thanh Xuân, diện tích 105m² x 8 tầng thang máy có hầm, mặt tiền 6.2m, 7 tầng nổi + 1 tầng hầm để xe.Thông tin chi tiết:- Tòa nhà 8 tầng thang máy (7 tầng nổi + 1 tầng hầm để xe) vị trí đắc địa tại mặt phố Nhân Hòa, Thanh Xuân.- Tòa nhà thiết kế phù hợp với mọi loại hình kinh doanh: Văn phòng, phòng khám, spa, showroom, Siêu thị, cửa hàng tiện ích, khách sạn, trung tâm giáo dục.- Tòa nhà khai thác và cho thuê dòng tiền 150tr/tháng.- Khu vực kinh doanh sầm uất ngày đêm, xung quanh tiện ích gì cũng có: Chợ, siêu thị, ngân hàng, trường mầm non, TH, THCS, THPT.- Giao thông thuận tiện, đi các ngả, đường Nhân Hòa thông thương với các tuyến phố: Quan Nhân, Vũ Trọng Phụng, Ngụy Như Kon Tum, Hoàng Đạo Thúy, Lê Văn Lương.- Sổ đỏ chính chủ, vuông đẹp, pháp lý sạch, sẵn sàng giao dịch.- Giá: 34 tỷ (Có thương lượng).Liên hệ Mr. Hải: 0918 039 *** để xem nhà và trao đổi cụ thể.            ",105 m²,34 tỷ,6.2 m,10 m,8 tầng,22 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,20/11/2022,30/11/2022,Tin Vip 2,35671786,batdongsan_com_vn_35671786,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính']","
Cần bán nhà tại phố Trung Kính, Cầu Giấy, diện tích 75m² x 7 tầng thang máy (6 tầng nổi + 1 tầng hầm gara ô tô, xe máy), mặt tiền 5.2m, nhà ở kết hợp kinh doanh đỉnh.Thông tin chi tiết:- Nhà 7 tầng thang máy (6 tầng nổi + 1 tầng hầm để ô tô, xe máy), chủ nhà tâm huyết thiết kế, nội thất sang trọng hiện đại.- Trước nhà ô tô tránh, gara ô tô tầng 1, nhà ở kết hợp kinh doanh các loại hình đa dạng: Văn phòng, chi nhánh, trung tâm tiếng anh, thẩm mỹ viện, spa, khách sạn, phòng khám, showroom.- Xung quanh tiện ích gì cũng có: Chợ, siêu thị tiện ích, ngân hàng, trường mầm non, TH, THCS, THPT, CĐ, ĐH.- Khu vực dân trí cao, an ninh cực kỳ tốt.- Giao thông thuận tiện đi các ngả, đường Trung Kính thông thương với các tuyến phố lớn: Trần Thái Tông, Trần Duy Hưng, Trần Kim Xuyến, Vũ Phạm Hàm, Mạc Thái Tổ, Dương Đình Nghệ...- Sổ đỏ chính chủ, vuông đẹp, pháp lý sạch, sẵn sàng giao dịch.- Giá: 23 tỷ (Có thương lượng).Liên hệ Mr. Hải: 0918 039 *** để xem nhà và trao đổi cụ thể.            ",75 m²,23 tỷ,5.2 m,6 m,7 tầng,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,20/11/2022,30/11/2022,Tin Vip 2,35669795,batdongsan_com_vn_35669795,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt']","
Bán nhà phân lô tại phố Hoàng Quốc Việt, Cầu Giấy, diện tích 48m² x 4 tầng, mặt tiền 4m.Thông tin chi tiết:- Nhà 4 tầng đầy đủ công năng khu phân lô phố Hoàng Quốc Việt, nhà xây kiên cố, chắc chắn.- Đường trước nhà ô tô tránh, gara ô tô tầng 1.- Khu vực dân trí cao, an ninh cực kỳ tốt, hàng xóm văn minh, giảng viên, cán bộ.- Xung quanh tiện ích gì cũng có: Chợ, siêu thị tiện tích, ngân hàng, trường Mầm non, TH, THCS, THPT, CĐ, Đại Học.- Giao thông thuận tiện, đường Hoàng Quốc Việ thông thương với các tuyến phố lớn: Trần Quốc Hoàn, Phạm Tuấn Tài, Phạm Văn Đồng, Nghĩa Đô, Nghĩa Tân, Phùng Chí Kiên.- Sổ đỏ chính chủ, vuông đẹp, pháp lý sạch, sẵn sàng giao dịch.- Giá: 9 tỷ (Có thương lượng).Liên hệ Mr. Hải: 0918 039 *** để xem nhà và trao đổi cụ thể.            ",48 m²,9 tỷ,4 m,5 m,4 tầng,,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,20/11/2022,30/11/2022,Tin Vip 2,35672376,batdongsan_com_vn_35672376,,,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Dự án Mulberry Lane']","
- Chủ nhà chuyển công việc cần bán gấp căn góc 137m² thiết kế 03 ngủ + 1 đa năng, 03 vệ sinh.- Căn hộ tầng trung đẹp, thiết kế 3 mặt thoáng, 3 phòng ngủ đều có ánh sáng tự nhiên với cửa sổ rộng, nằm ở toà D thuộc dự án chung cư full tiện ích cao cấp Mulberry Lane (toà đáng ở nhất dự án).- Chủ nhà để lại full đồ cả đồ điện tử, có 1 slot ô tô.- Giá công khai: 4.45 tỷ bao toàn bộ thuế phí.- Sổ đỏ chính chủ sẵn sàng giao dịch.LH Ms Yến: 0961 605 ***sms/zalo/mess) (MTG).            ",137 m²,4.45 tỷ,,,,3 phòng,Sổ đỏ,,20/11/2022,30/11/2022,Tin Vip 2,35890840,batdongsan_com_vn_35890840,Tây - Bắc,Đông - Bắc,3 phòng
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê', 'Dự án Sun Grand City']","
Hotline: 0989 898 ***.1 - Quỹ căn chủ đầu tư còn lại.1.1 - Căn 04 tòa S1 còn tầng 3,4. (Đã bán).- Giá bán 6.6 tỷ (tầng 3) và 6.7 tỷ (tầng 4).- Diện tích thông thủy: 127.25m².- Cửa vào TB ban công ĐN - TN.- View nội khu và phía công viên bách thảo.1.2 - Căn 04 tòa S1 tầng 18.- Giá bán 10.6 tỷ.- Diện tích thông thủy: 110 m².- Cửa vào TB ban công ĐN - TN.- View nội khu và phía công viên bách thảo.1.3 - Căn 06 tòa S1 còn tầng 4,5.(tạm đóng bảng hàng).- Giá bán 8.1 tỷ (tầng 5) và 7.7 tỷ (tầng 4).- Diện tích thông thủy: 139.77 m².- Cửa vào ĐN ban công TB - TN.- View nội khu và phía hồ tây.1.4 - Căn duplex S2B2203 tòa S2B.- Giá bán 12.9 tỷ.- Diện tích thông thủy tầng 1: 88.5 m².- Diện tích thông thủy tầng 2: 63.4 m².- Cửa vào ĐB ban công TN.- View thành phố cực thoáng.1.5 - Căn duplex S2A2210 tòa S2A.- Giá bán 19.8 tỷ.- Diện tích thông thủy tầng 1: 94.67 m².- Diện tích thông thủy tầng 2: 75.2 m².- Cửa vào ĐN ban công TB.- View trọn hồ tây.2 - Quỹ căn chuyển nhượng giá tốt nhất.- Căn 1PN tòa S1 tầng cao view trọn hồ Tây diện tích 44.6m² cửa vào ĐN ban công TB. Giá bán 4.2 tỷ.- Căn 1PN tòa S1 tầng thấp view nội khu diện tích 57m², cửa vào ĐN ban công TB. Giá bán 5.2 tỷ.- Căn 1PN tòa S2a tầng cao view hồ Tây. Diện tích 46m², cửa vào ĐN ban công TB. Giá bán 4.5 tỷ.- Căn 2PN tòa S2B tầng trung view thành phố. Diện tích 94m², cửa vào ĐB ban công TN. Giá bán 6.9 tỷ.- Căn 3PN tòa S2A tầng cao view thành phô. Diện tích 121m², cửa vào ĐB ban công TN. Giá bán 8.5 tỷ.- Căn 4PN tòa S2A tầng cao view hồ Tây và thành phố. Diện tích 167m², cửa vào ĐB ban công TN - TB. Giá bán 14 tỷ.Ngoài ra còn rất nhiều căn hộ đang được chủ nhà gửi bán.Liên hệ xem nhà: 0989 898 ***.            ",127.25 m²,6.6 tỷ,,,,3 phòng,,,20/11/2022,30/11/2022,Tin Vip 2,35890758,batdongsan_com_vn_35890758,Tây - Bắc,Đông - Nam,2 phòng
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Nguyễn Chí Thanh']","
Chính chủ - bán chung cư N01 Nguyễn Chí Thanh - Đại học Ngoại Thương.Liên hệ Hưng chủ đầu tư: 0982 882 ***Nhận bàn giao căn hộ luôn - căn hộ rất thoáng sáng.Ô tô đỗ trước cửa chung cư.Giá bán: 590tr - 755tr - 860tr - 900tr - hơn 1 tỷ.Diện tích: 47m² - 48m² - 49m² - 55m² - 58m² - 60m².Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led.Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Tôi là chủ: 0982 882 ***Liên hệ trực tiếp chủ đầu tư để mua nhà giá gốc - Add Zalo để nhận video căn hộ.            ",50 m²,800 triệu,,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất - về ở luôn.,20/11/2022,30/11/2022,Tin Vip 2,34539431,batdongsan_com_vn_34539431,,,2 phòng
"['Hà Nội', 'Thanh Xuân', 'Phường Kim Giang', 'Đường Kim Giang', 'Ngõ 250']","
Tầng 1: Phòng khách, bếp wc.Tầng 2: 2 phòng ngủ, wc.Tầng 3: 1 ngủ, 1 WC.Tầng: 1 phòng thờ, sân phơi.Nhà thiết kế tầng 2 đua ra thực tế sử dụng 42 m đầy đủ công năng sử dụng, khu vực tiềm năng khách mua vừa ở vừa có nhu cầu cho thuê vị trí cực đẹp.Sổ đỏ cực lộc giao dịch ngay.Liên hệ Khoa Dũng 0911 885 ***vui lòng gọi trục tiêp).            ",37 m²,3.85 tỷ,3.2 m,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,20/11/2022,30/11/2022,Tin Vip 2,35890006,batdongsan_com_vn_35890006,,,3 phòng
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Nguyễn Khả Trạc']","
Nhà mặt phố siêu hiếm phố Nguyễn Khả Trạc, Phường Mai Dịch, Cầu GiấyThiết kế thông số :-Hai mặt thoáng trước sau 55m-Thiết kế 5 Tầng, 6PN 4WC-Tầng 1: Thông sàn kinh doanh.-Tổng: 6 phòng.-Nội thất đầy đủ cao cấp-Sổ đỏ chính chủ , sẵn sàng giao dịch*Tiện ích- Nhà nằm ngay vị trí đắc địa, phố Nguyễn Khả Trạc kinh doanh đỉnh. Phố dân trí, kinh doanh dòng, tiền khá ổn định.-Xung quanh vô vàn tiện ích. Gần chợ, nhiều trường CĐ, ĐH, công viên, văn phòng công ty, sân Golf, và nhiều Trung tâm thương mại lớn.-Giao thông cự kỳ thuận lợi, giao cắt nhiều Quận khác, Nam Từ Liêm, Bắc Từ Liêm, Cầu giấy. Kết nối nhiều tuyến phố con đường lớn như: Doãn Kế Thiện, Phạm Văn Đồng, Trần Vỹ, Mai Dịch.-Thiết kế hiện đại, chắc chắn, công năng sử dụng phù hợp ở, kinh doanh đa loại hình.- Có ô chờ thang máy, có thể lên 2 tầng là 7 Tầng.- Giá: 18 tỷ (có thương lượng).- Liên hệ em: Nguyễn Linh 0962 039 *** để được tư vấn từ A-Z            ",52 m²,18 tỷ,5 m,20 m,5 tầng,6 phòng,"Sổ chính chủ, sẵn sàng giao dịch.",Cao cấp đầy đủ,20/11/2022,01/12/2022,Tin Vip 2,35889991,batdongsan_com_vn_35889991,,,4 phòng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Bán căn shophouse góc 2 tầng 130m², mặt tiền 10m, view rất đẹp, gần đường lớn, đang có hợp đồng thuê 720 triệu/năm, giá bán 12.6tỷ (thương lượng). Chi tiết xin liên hệ Bùi Tuấn - Hotline: 0987 907 ***, trân trọng.Vinhomes Smart City - Một đại đô thị với 270ha, hơn 50 tòa và tính đến năm tháng 11.2022 đã đang bàn giao 21 tòa căn hộ tương đương 12,000 căn hộ tương ứng gần 50 cư dân. Hệ thống tiện ích đầy đủ, độc đáo như Vườn Nhật, Công viên & Hồ Điều Hòa trung tâm, 2 trường Vinshools mầm non + 1 trường liên cấp đã đi vào hoạt động... Có thể khẳng định luôn răng đây là dự án đại đô thị sôi động bậc nhất khu vực phía tây Thủ Đô.Quỹ căn T11.2022:- Bán shop 1 tầng tòa SA3 phân khu Sakura, ký mới CĐT, giá hợp lý nhất.- Bán shop 1 tầng tòa TK2 phân khu The Tonkin, ký mới + ngoại giao, giá tốt nhất.- Bán shop nhà để xe Parking Zone 3, ký mới + giá tốt.- Bán shop 1 tầng + 2 tầng các phân khu đã bàn giao (đã có sổ + đang làm sổ).+ Cả nhà thân mến, nếu đầu tư 12 tỷ mua nhà trên phố, chắc chắn không bao giờ có dòng tiền trung bình 720 triệu/năm, thời điểm nào cũng vậy, tiền mặt là vua, dòng tiền tăng trưởng đều hằng năm mới là uy tín. Nhà của mình, sổ cất két, tiền thuê lấy 1 cục, an toàn chưa cả nhà.Mời xem thêm:- Website: https://vinhomesmienbac.info/Cả nhầ thân mến, để cập nhật chi tiết bán căn shophouse vinhomes smart city đại mỗ. Bán loại bất động sản khác tại Vinhomes Smart City. Bán Shop chân đế Vinhomes Smart City. Bán căn shop chân đế dự án Vinhomes Smart City Đại Mỗ. Bán shop thương mại dịch vụ Vinhomes Smart City, vui lòng liên hệ Bùi Tuấn TV - Hotline: 0987 907 ***, trân trọng.            ",130 m²,12.6 tỷ,10 m,15 m,,,Đang chờ sổ.,,20/11/2022,30/11/2022,Tin Vip 2,35889901,batdongsan_com_vn_35889901,Tây - Nam,,
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai', 'Đường Thượng Phúc']","
- Chính chủ cần bán 2 căn đã hoàn thiện 100%. Sổ đỏ chính chủ. Diện tích sổ đỏ 30m². Hướng đông nam.- Vị trí: Cách đường oto hơn 100m, gần trường học cấp 1 - 2, gần chợ.- Ngõ trước nhà rộng hơn 2,5m.- Nhà xây 4 tầng 1 tum: 3 phòng ngủ, 3wc, 1 phòng thờ, sân phơi cực rộng.- Nhà thiết kế hiện đại, ép cọc bê tông, đổ trụ cột...- Đã lắp sẵn điện - nước sạch sông đà, nội thất tủ bếp, cầu thang, cửa chính bằng gỗ lim.- Giá bán: 2,2 tỷ/ căn.- Bao sang tên sổ đỏ.- Hỗ trợ vay ngân hàng 70% giá trị nhà.- Liên hệ chính chủ: 0986 268 *** ",30 m²,2.2 tỷ,,,5 tầng,3 phòng,Sổ đỏ chính chủ,,20/11/2022,04/12/2022,Tin Vip 2,35889560,batdongsan_com_vn_35889560,Đông - Nam,,3 phòng
