address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Hướng nhà,Số tầng,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Số phòng ngủ,Số toilet,Nội thất,Đường vào,Hướng ban công
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Bán biệt thự song lập 3 tầng KĐT Starlake Tây Hồ, Hà Nội.Diện tích 214,56m² mặt tiền 8m hướng Bắc.Khu K3.Biệt thự thế kế hiện đại theo phong cách Châu Âu và rất đẹp.Tiện ích xung quanh rất gần với trung thương mại, siêu thị, bệnh viện, trường học, phòng tập gym, hồ bơi.Khu an ninh tốt, dân trí cao, giao thông thuận lợi.LH: 00979925929.            ",214.56 m²,64 tỷ,8 m,Bắc,3 tầng,24/11/2022,01/12/2022,Tin thường,34384870,batdongsan_com_vn_34384870,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Nguyễn Văn Huyên', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Gia đình định cư nước ngoài với con nên cần bán gấp căn biệt thự 222.8m², không lỗi phong thủy.Thông tin chi tiết:- Diện tích 222.8m².- Nhà xây 3 tầng.- Mặt tiền 13.5m.- Hướng Bắc và hướng Đông Nam.Cơ sở hạ tầng đã hoàn thiện, nhà đã có sổ đỏ.Anh chị quan tâm liên hệ: 0979 925 *** ",222.8 m²,Thỏa thuận,12 m,Bắc,3 tầng,24/11/2022,01/12/2022,Tin thường,34135727,batdongsan_com_vn_34135727,Sổ đỏ.,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Nguyễn Văn Huyên', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Chính chủ bán biệt thự đơn lập Starlake Tây Hồ Tây hướng Nam:- Diện tích 286m², mặt tiền 10m.- Thiết kế 3 tầng, có 1 hầm, đầu chờ thang máy.- Liên hệ xem thực tế: 0979 925 *** ",286 m²,Thỏa thuận,10 m,Nam,3 tầng,24/11/2022,01/12/2022,Tin thường,34652173,batdongsan_com_vn_34652173,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Dự án The Link 345-CT1']","
Chính chủ bán căn chung cư The Link 345 Ciputra:- Diện tích 53m², thiết kế 2 phòng ngủ, 1 vệ sinh, tầng đẹp.- Bàn giao full nội thất cao cấp, chỉ xách vali về ở.- Gía bán 2,85 tỷ.- Liên hệ xem căn thực tế và thương lượng giá: 0979 925 *** ",53 m²,2.85 tỷ,,,,27/11/2022,04/12/2022,Tin thường,35711534,batdongsan_com_vn_35711534,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,Full nội thất cao cấp.,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công', 'Dự án Tây Hồ Residence']","
Bán biệt thự dự án Tây Hồ Residence (HDI Tây Hồ) 68A Võ Chí Công, hướng Đông Nam và 1 căn hướng Đông Bắc, 1 lô hướng Tây Bắc diện tích 135m², 4 tầng + 1 tầng hầm, mặt tiền 8.5m, đường vào 21,5m, đường nội bộ 17,5m, cách Hồ Tây 300m. Xây thô mặt trong, hoàn thiện mặt ngoài.Giá 33 tỷ.Liên hệ ngay phòng bán hàng: 0979 925 **** Quy mô dự án:- CĐT: Công ty cổ phần đầu tư xây dựng phát triển nhà số 7 Hà Nội (Handico 7).+ 2 tòa tháp trung cấp phía trong dự án đã đưa vào hoạt động và bàn giao sổ cho dân.+ 2 tòa tháp cao cấp Sun và Moon mặt đường Võ Chí Công, cao 27 tầng.+ 28 lô nhà thấp tầng liền kề trong dự án.- Tiện ích vượt trội:+ 6 tầng trung tâm thương mại sầm uất mặt đường Võ Chí Công.+ Trường mầm non quốc tế chất lượng cao.+ Bể bơi công nghệ Đức - Xử lý nước 100% không dùng hóa chất.+ Không gian xanh giữa lòng dự án - Đón đầu xu thế sống xanh.+ 3 tầng hầm liên thông hiện đại cùng hệ thống đỗ xe thông minh.+ Khu vui chơi giải trí, khu ẩm thực, khu gym, spa, yoga...- Vị trí đắc địa: Ngay mặt đường Võ Chí Công, cách Bưởi 200m, cách Hồ Tây 300m, cách Starlake 100m...Liên hệ phòng bán hàng CĐT 0979 925 *** ",135 m²,33 tỷ,8.5 m,Tây - Bắc,4 tầng,24/11/2022,01/12/2022,Tin thường,33323321,batdongsan_com_vn_33323321,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công', 'Dự án Tây Hồ Residence']","
Chính chủ bán biệt thự HDI Tây Hồ:- Diện tích 135m², mặt tiền 9m.- Diện tích xây dựng 96m², 4 tầng, 1 hầm, đầu chờ thang máy.- Hoàn thiện mặt ngoài, thô trong.- Gía 30. X tỷ.Liên hệ: 0979 925 ***miễn trung gian).            ",135 m²,Thỏa thuận,9 m,,4 tầng,24/11/2022,01/12/2022,Tin thường,34430118,batdongsan_com_vn_34430118,,,,,17 m,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Dự án KĐT Tây Hồ Tây - Starlake Hà Nội']","
Bán biệt thự đơn lập Starlake Tây Hồ Tây:- Diện tích 400m², mặt tiền 23m.- 3 tầng, đầy đủ nội thất cao cấp.- Hướng Tây tứ trạch.- View hồ điều hòa.- Sổ đỏ chính chủ.Liên hệ: 0979 925 *** ",400 m²,Thỏa thuận,23 m,,3 tầng,24/11/2022,01/12/2022,Tin thường,34384880,batdongsan_com_vn_34384880,Sổ đỏ,,,,,
"['Hà Nội', 'Đan Phượng', 'Xã Tân Lập', 'Đường Quốc lộ 32', 'Dự án xpHOMES']","
- Cần bán ngay căn góc 86 m² với 3 PN và 2 VS giá chỉ từ 2tỷ tại khu đô thị Tân Tân Đô, Hà Nội. Khách chỉ cần trả trước 1 tỷ là nhận ngay nhà ở.- Là căn góc view thoáng đẹp với 3 góc nhìn, chỉ việc ở ngay.- Hỗ trợ vay vốn ngân hàng tới 70% với lãi suất ưu đãi nhất.- Đã có sổ đỏ.- Tiện di chuyển các khu vực Cầu Giấy, Mỹ Đình, Trung tâm Hà Nội chỉ 10 phút di chuyển.- Gần mọi tiện ích xung quanh như trường học, chợ, siêu thị, nhà thi đấu huyện Hoài Đức.- Gọi em Lan 0979 898 *** ngay để được xem căn hộ và chốt cọc.            ",86 m²,2 tỷ,,Tây - Bắc,,22/11/2022,29/11/2022,Tin thường,35053201,batdongsan_com_vn_35053201,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc']","
Triều Khúc - Thanh Xuân ô tô đỗ cửa kinh doanh sầm uất full nội thất 39m² chỉ 3,55 tỷ lh ngay 0913 140 ***- Vị trí đắc địa, nằm trong khu dân cư đông đúc, gần các trg ĐH.- Kinh doanh bất chấp mọi mặt hàng.- Ngõ nông rộng thông tứ phía.Thiết kế:- T1: Phòng khách + bếp + wc.- T2,3: Mỗi tầng 2 phòng ngủ + wc.- T4: Phòng thờ + sân phơi.+ Sổ đỏ chính chủ. Riêng biệt.+ LH xem nhà TT: 0913 140 *** ",39 m²,3.55 tỷ,4 m,,4 tầng,24/11/2022,01/12/2022,Tin thường,35822068,batdongsan_com_vn_35822068,Sổ đỏ/ Sổ hồng,4 phòng,3 phòng,Full nội thất,3 m,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 420']","
Bán thôn Sen Trì, 5 phút ra đại học FPT, Công Nghệ Cao- Đường hai ô tô tránh nhau, tôi bán lô đất 60m, Full thổ cư, 1,1 tỷ.Gọi cho tôi: 0987 664 ***Thông tin chi tiết:* Vị trí:- 5 phút đến ĐH FPT, Công Nghệ Cao.- Đường hai ô tô tránh nhau.- Trong khu dân cư đông đúc, xây trọ được ngayGọi cho tôi 0987 664 *** để biết thêm thông tin về lô đất và về Hòa Lạc.            ",60 m²,1.1 tỷ,,Đông - Bắc,,26/11/2022,03/12/2022,Tin thường,35959312,batdongsan_com_vn_35959312,,,,,,
