address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Hướng ban công
"['Hà Nội.', 'Hà Đông', 'Phường Dương Nội', 'Đường La Nội', 'Ngõ 88']","
Cần tiền bán gấp nhà mặt ngõ 88 La Nội, mới 100%, nở hậu, ngay trung tâm Dương Nội, đường rộng ô tô tránh nhau, đang cho thuê văn phòng 10 triệu/th, khu dân cư đông đúc. LH Thu Hường 0985 257 ***- Vị trí: Trung tâm Dương Nội dân cư đông đúc, đầy đủ tiện ích, chỉ mất 3 phút đi ra cv Thiên văn Học, 4p ra Aeon Mall.- Diện tích 35m², xây 4 tầng, MT 4m vuông vắn, nở hậu 4,18m.- Hướng: ĐB.- Giá bán 4,8 tỷ đã bao phí, có gia lộc cho khách thiện chí mua.Liên hệ ngay để được tư vấn miễn phí 24/7.Thu Hường: 0985 257 ***có zalo).Email: Thuhuong24684@gmail.comWebsite: Https://sanbatdongsan24h.net            ",35 m²,4.8 tỷ,4 m,5 m,Đông - Bắc,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35856739,batdongsan_com_vn_35856739,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn']","
- Diện tích xây dựng, đất 150m²/ sàn; 7,5 tầng (hầm); - Đường, hè 2 bên rộng 15m.- Vị trí Trung tâm Quận, sầm uất cạnh trường C1,2,3, đại học (gần ngã 4 ĐH tài nguyên môi trường), cách đường Hoàng Quốc Việt kéo dài 100m, đường Cầu Diễn và đường Hồ Tùng Mậu 300m, Đường Tây thăng long 700m. Giáp xung quanh là quần thể 4 khu đô thị.- Thiết kế bê tông dầm, cột cực khủng, nhìn là mê. Thang máy, full nội thất xịn, vip nhất phố, đủ các tiêu chuẩn tiện ích tòa nhà văn phòng, đào tạo. Đủ loại diện tích?- Gia chủ trực tiếp xây dựng để sử dụng. Nay cần tiền gấp đầu tư lớn hơn nên giá cực hợp lý.- Dòng tiền cho thuê 120 triệu/tháng.- Giá bán: 29,5 tỷ.Liên hệ chính chủ: 0989 157 *** ",150 m²,29.5 tỷ,,,,,,,,01/12/2022,08/12/2022,Tin thường,35287101,batdongsan_com_vn_35287101,Full nội thất xịn.,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đồng Tâm', 'Phố Lê Thanh Nghị']","
Bán gấp nhà Lê Thanh Nghị, gần Bách - Kinh - Xây, vài bước ra phố, 50m², MT 6m, chỉ 3.7 tỷ. LH 0976 767 ***Nhà nằm ở vị trí trung tâm quận Hai Bà Trưng, gần các trường Đại học lớn: Bách Khoa - Xây Dựng - Kinh Tế, gần Bệnh viên Bạch Mai, ngõ thông sang Giải Phóng, rất gần Chợ và các trung tâm thương mại.Diện tích 50,5 m², nhà xây chắc chắn, mặt tiền rộng, tất cả có 6 phòng ngủ.Khu vực dân trí cao, chủ đã ở đây nhiều năm, nay bán để chia cho con.Giá chào 3,7 tỷ(có thương lượng).Liên hệ: Mr Bắc - Chuyên nhà thổ cư: 0976 767 *** ",50.5 m²,3.7 tỷ,6 m,3 m,,3 tầng,6 phòng,3 phòng,,05/12/2022,12/12/2022,Tin thường,36032963,batdongsan_com_vn_36032963,,
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông']","
- Cần tiền bán gấp lô 78.4m² full thổ, bao sang tên sổ Hà Nội.- Đường 2 ô tô tránh nhau.- Đi 3 bước chân ra QL21 đang mở rộng 80m (có chỉ giới đường đỏ), đã giải toả mặt bằng.- 5p là ra khu ĐHQG và CNC Hòa Lạc.- Gần các trường Sỹ Quan, trường Lục Quân, Sỹ Quan Phòng Hóa, cụm công nghiệp Sơn Đông.- Khu vực dân cư sầm uất gần các trường học, chợ, bệnh viện. Thích hợp kinh doanh, đầu tư, xây ở.Liên hệ chính chủ 0986 151 *** để xem sổ mảnh đất nở hậu này ạ.            ",78.4 m²,8.8 triệu/m²,5 m,7 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,35954460,batdongsan_com_vn_35954460,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án Sun Square']","
Chuyển nhà cần bán gấp căn hộ tại khu vực Mỹ Đình.+ Diện tích 133m².+ Căn hộ thiết kế 2PN - 2WC.+ Hướng cửa Nam, ban công hướng Bắc.+ Tầng cao thoáng mát, view nội khu.+ Nội thất đầy đủ, cao cấp.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Vị trí: Trục đường chính Trần Bình, cạnh chợ Mỹ Đình, Bến xe, sân bóng Mỹ Đình, bệnh viện 198 Bộ Công An, trường THPT Trí Đức, trường CĐ CN Bách Khoa HN, trường ĐH Thương Mại, trường liên cấp Việt Úc...+ Tiện ích toàn khu: Bể bơi, công viên, khu vui chơi, siêu thị, lễ tân, bảo vệ...Liên hệ ngay để được tư vấn miễn phí 24/7.Thu Hường: 0985 257 ***có zalo).Email: Thuhuong24684@gmail.comWebsite: Https://sanbatdongsan24h.net            ",133 m²,4.7 tỷ,,,Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35940675,batdongsan_com_vn_35940675,Nội thất đầy đủ cao cấp,Bắc
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Masteri West Heights']","
Kiến tạo bởi nhà phát triển BĐS hàng hiệu lớn nhất Việt Nam.Masterise Homes - đơn vị tiên phong áp dụng những tiêu chuẩn quốc tế vào các dự án BĐS, giúp nâng cao chất lượng cuộc sống cho và tạo sự bền vững cho khách hàng.Diện tích đa dạng từ 26 - 75m², giá từ 1,6 tỷ đến 5 tỷ.Tòa căn hộ thượng lưu duy nhất sở hữu 3 tầm view kiệt tác tại Vinhomes Smart City.Căn hộ Lake View hướng thủy mang theo sinh khí, sự thịnh vượng đến với chủ nhân, đón bình minh đẹp nhất Vinhomes Smart City cho gia chủ nguồn năng lượng tích cực từ những tia nắng đầu ngày.Căn hộ Luxury Park View nhìn về bể bơi dưới chân tòa nhà và công viên nội khu với miền xanh trải dài.Căn hộ City Panorama View xứng danh vị thế tầm cao, tầm nhìn 360 độ giúp cộng đồng thành đạt chiêm ngưỡng toàn cảnh thành phố lung linh sắc màu về đêm.Nắm giữ 22 tiện ích đặc quyền chuẩn quốc tế, dịch vụ 24/7.12 tiện ích ngoài trời chỉ có tại Masteri West Heights giúp cư dân lắng mình chậm lại, xoa dịu tâm trí và thanh lọc cơ thể mỗi ngày.Nuông chiều bản thân, tận hưởng thời gian quý giá cùng gia đình và bạn bè với 10 tiện ích trong nhà xa hoa và độc đáo.Sở hữu West C - Masteri West Heights để trở thành những chủ nhân đầu tiên sở hữu căn hộ hạng sang, bắt đầu chuẩn sống thượng lưu ngay hôm nay.Liên hệ: 0906 286 *** ",46 m²,Thỏa thuận,,,,,2 phòng,1 phòng,,05/12/2022,12/12/2022,Tin thường,36032898,batdongsan_com_vn_36032898,,
"['Hà Nội', 'Ba Vì', 'Xã Khánh Thượng', 'Đường 415']","
Dành cho người có tầm nhìn ai nhanh tay hữu duyên thì được, 2 lô view hồ rộng 3km² rẻ như bèo, mua đầu tư, mở cửa hàng, cafe, kinh doanh, để ở lãi luôn. Hướng Nam.Cách 100m là sông Đà.Đối diện là hồ tự nhiên rộng 3km² đẹp.Mặt tiền 5m sổ đỏ chính chủ, diện tích trên sổ 183m full thổ cư, diện tích thực tế 250m đã xây tường bao rõ ràng. Mặt tiền và hậu thực tế hơn 5m đều nở hậu.Xung quanh chỉ có tầm 5 mảnh thôi "" 2 mảnh dân ở, 1 mảnh nhà hàng, 2 mảnh này"" hàng luxury giới hạn cực độ.Để mở cửa hàng cafe, kinh doanh tạp hoá, để ở nhà vườn hưởng thụ đều đẳng cấp, giá chỉ bằng 1 cái chung cư tái định cư 70m ở hà nội mà nó vẫn là hà nội tội gì. Sở hữu 1 mảnh như này sẽ là mảnh để đời vừa khẳng định chất lượng sống vừa để giữ tiền.Sông đà đối diện cả cái hà nội này đều uống nước sông đà nên tầm nhìn và không khí của bạn không bao giờ bị giới hạn và vì gần nguồn nước huyết mạch nên không bao giờ lo bị nhà máy, chăn nuôi gây ô nhiễm.Cách trường cấp 1 - 2 - 3 300m.Gần ngay chợ 50m.Dọc khu này toàn nhà hàng như quán ăn, chè, spa.Dân cư đông đúc hiền lành không khí nét căng. Tầm view không giới hạn.Note: Ai có đất ế lâu năm khu vực này cần Thanh Khoản cứ alo cho em, cảm ơn ạ, chỉ tiếp chính chủ có tên trên sổ. Cảm ơn. Nhẹ Nhàng + Nhường Nhịn + Nhẫn Nại - Nên Người.            ",250 m²,1.75 tỷ,5.1 m,15 m,Nam,,,,Sổ đỏ/ Sổ hồng,24/10/2022,22/01/2023,Tin thường,35583328,batdongsan_com_vn_35583328,,
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Xuân Diệu']","
Cần bán căn nhà mặt hồ tây phố Xuân Diệu đoạn phố nhìn thẳng hồ tây nhìn cả thành phố dưới chân cực hiểm căn thứ 2 tầm tiền. 87 m² mặt tiền 5,3 m nở hậu. Có sẵn nhà 5 tầng đoạn cực đẹp.- Nhà nằm trên trục đường đẹp nhất phố Xuân Diệu - trước mặt là toàn cảnh Hồ Tây - khu phố toàn toà nhà cao tầng - phố kinh doanh siêu đắc địa.- Nhà vừa mất phố lại là mặt Hồ Tây - vị trí đất vàng.- Phù hợp mua đầu tư kinh doanh - kinh doanh gì cũng hái ra tiền.- Sổ đỏ chính chủ.Liên hệ 0986 262 ***2.            ",87 m²,59 tỷ,,,,,,,Sổ đỏ/ Sổ hồng,17/10/2022,15/01/2023,Tin thường,34214219,batdongsan_com_vn_34214219,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Trần Hòa', 'Dự án NOXH Đồng Mô']","
- Căn hộ chính chủ 501 tòa A, vị trí đẹp nhất tầng.- Tòa nhà nằm ở vị trí đắc địa, 5 phút di chuyển ra Ngã Tư Sở, Nguyễn Trãi, Tây Sơn... Gần Đại học Lao Động, Văn Hóa, Thủy Lợi, Công Đoàn...- Tiện ích xung quanh không thiếu thứ gì, gần hồ nước, nhiều cây xanh, gần chợ Định Công, trường học các cấp bán kính 300m.- Nhà thiết kế hợp lý hiện đại, cửa hướng Tây ghé Bắc, ban công hướng Đông ghé Nam (view hồ Định Công cực kỳ nhiều ánh sáng và thoáng mát, mùa hè gần như không phải sử dụng điều hòa).- Nội thất cơ bản, tủ bếp gỗ mặt đá nguyên khối, nóng lạnh.- Sổ đỏ chính chủ, hỗ trợ thủ tục sang tên nhanh gọn.- Giá 2,5 tỷ.Liên hệ chính chủ: Chị Lộc 0389 977 *** ",70 m²,2.5 tỷ,,,Tây - Bắc,,2 phòng,1 phòng,Sổ đỏ.,17/10/2022,15/01/2023,Tin thường,35508118,batdongsan_com_vn_35508118,"Nội thất cơ bản, tủ bếp gỗ, nóng lạnh.",Đông - Nam
"['Hà Nội', 'Mê Linh', 'Xã Kim Hoa', 'Dự án Khu đô thị Kim Hoa']","
Tôi có mảnh đất dt 102.5m², mặt tiền 5m, vuông vắn, không có nhu cầu sử dụng nên muốn bán lại. Anh/chị có nhu cầu liên hệ để thương lượng giá cả nhé. Miễn trung gian. Xin cảm ơn!            ",102.5 m²,Thỏa thuận,5 m,,Tây - Bắc,,,,,17/10/2022,15/01/2023,Tin thường,35507499,batdongsan_com_vn_35507499,,
