address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Đường vào,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Quốc Oai', 'Xã Đông Xuân', 'Đường Đồng Chằm']","
Liên hệ em Hiền 0393 580 *** / 0862 866 ***Em chính chủ cần bán nhanh mảnh 75.5m² full thổ.+ Ngay sau Trường sĩ quan chính trị.+ Thế đất đẹp, vượng khí tốt.            ",75.5 m²,1.7 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36033063,batdongsan_com_vn_36033063,,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án Mỹ Đình II']","
Chính chủ bán gấp biệt thự Khu Đô thị Mỹ Đình 2.+ Diện tích 190m², 4 tầng, mặt tiền 14m, 38 tỷ (thương lượng).+ Vị trí cực đẹp nằm trong KĐT Mỹ Đình 2, khu vực toàn Quan chức cấp cao, đường to ô tô tránh và dừng đỗ ngày đêm, vỉa hè, view công viên. Thông Nguyễn Cơ Thạch - Hàm Nghi - Lưu Hữu Phước - Đỗ Đức Dục, Hoài Thanh, Trần Văn Cẩn, Lê Đức Thọ.+ Tiện ích gần các trường đại học lớn, gần trường THCS Đoàn Thị Điểm, Lê Quý Đôn, trường THCS Lô mô nô xốp, các trung tâm mua sắm, ngân hàng.+ Khu vực dân trí cao, an sinh tuyệt vời, tiện ích đầy đủ.+ Biệt thự gia chủ tự xây ở cực kỳ tâm huyết, làm cẩn thận từng chi tiết, nội thất đẳng cấp đắt đỏ.Giá bán 38 tỷ(có thương lượng).Liên hệ A Thanh 0904 669 ***miễn trung gian).            ",190 m²,38 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35636578,batdongsan_com_vn_35636578,14 m,4 tầng,5 phòng,6 phòng,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Phố Phạm Tuấn Tài']","
- Nhà thiết kế 6 tầng thang máy: Mỗi tầng 2 phòng.- Vỉa hè rộng phù hợp vừa ở vừa kinh doanh.- Sổ đỏ vuông đét sẵn sàng giao dịch.- (Khách thiện chí chủ giảm sâu).- Giao thông thuận lợi đi Trần Quốc Hoàn, Hoàng Quốc Việt, Cầu Giấy,...            ",46 m²,11.85 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36033482,batdongsan_com_vn_36033482,,6 tầng,8 phòng,8 phòng,5 m,Đầy đủ,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Thái Hà', 'Ngõ 165']","
Bán nhà Đống Đa, ngõ 165 phố Thái Hà, 7 tỷ 5, 50m², 5 tầng - kinh doanh, ô tô đỗ.Nhà 5 tầng, đẹp, thích hợp kinh doanh văn phòng, nail, tóc, thuốc tây, giặt là hoặc ở kết hợp kinh doanh.Hướng Đông Nam.Ô tô đỗ cửa.Cách phố 50m.Sổ đỏ sẵn nhà, công chứng sang tên luôn.Chủ nhà đang rất cần bán.Bán 7 tỷ 5(có thương lượng).Gọi ngay cho tôi Mr. Hải 0332 853 ***Miễn TG, MG làm phiền.Cam kết thông tin thật 100%.            ",50 m²,7.5 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36031921,batdongsan_com_vn_36031921,3.5 m,5 tầng,5 phòng,5 phòng,3.5 m,Đầy đủ,Đông - Nam,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Dự án Khu đô thị Vân Canh']","
Cần bán gấp liền kề KĐT Vân Canh Hud, Vân Canh, Hoài Đức, vừa ở vừa làm văn phòng kinh doanh.Không gian sống xanh, yên tĩnh, trong lành.Diện tích 109m² mặt tiền 5m hướng Nam.Khu đô thị hạ tầng đồng bộ, đường rộng ô tô tải tránh, vỉa hè để ô tô thoải mái, vị trí thuận lợi, gần đường Trịnh Văn Bô, thông ra đường 3.5, gần đường 70, cách Mỹ Đình 3.5km.Dân cư đông đúc, phù hợp làm văn phòng công ty, làm kho, để ở..., gần nhiều trường Đại học, cao đẳng: Đh Công Nghiệp, Đh Đông Á, Cao đẳng FPT....Hiện trạng nhà xây thô khách tự hoàn thiện, sổ đỏ chính chủ, sang tên ngay.Xem nhà liên hệ E Linh 0975 798 *** ",109 m²,8.9 tỷ,Sổ đỏ chính chủ.,05/12/2022,12/12/2022,Tin thường,36032933,batdongsan_com_vn_36032933,5 m,,,,,,Nam,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Gia đình tôi chuyển chỗ ở nên cần bán gấp căn hộ tại Mỹ Đình.Thông tin chi tiết căn hộ như sau:+ Diện tích 133m².+ Căn hộ thiết kế 2PN - 2WC.+ Hướng cửa Nam, ban công hướng Bắc.+ Tầng cao thoáng mát, view nội khu.+ Nội thất đầy đủ, cao cấp.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Vị trí: Trục đường chính Trần Bình, cạnh chợ Mỹ Đình, Bến xe, sân bóng Mỹ Đình, bệnh viện 198 Bộ Công An, trường THPT Trí Đức, trường CĐ CN Bách Khoa HN, trường ĐH Thương Mại, trường liên cấp Việt Úc...+ Tiện ích toàn khu: Bể bơi, công viên, khu vui chơi, siêu thị, lễ tân, bảo vệ...Liên hệ ngay để được tư vấn miễn phí 24/7.Thu Hường: 0985 257 ***có zalo).Email: thuhuong24684@gmail.comWebsite: https://sanbatdongsan24h.net            ",133 m²,4.7 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35856279,batdongsan_com_vn_35856279,,,2 phòng,2 phòng,,Nội thất đầy đủ cao cấp,Nam,Bắc
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Hà Trì 3']","
Mình chính chủ cần bán nhà Hà Trì 3.- Diện tích: 34m².- 4 ngủ rộng thoáng.- Giá 3 tỷ.- Nhà vị trí trung tâm Hà Đông, gần ngã tư Hà Trì khu vực kinh doanh buôn bán, sầm uất. Tiện ích xung quanh đầy đủ.Thiết kế:- Tầng 1 là khách + bếp.- Tầng 2 là 2 ngủ đầy đủ.- Tầng 3 là 1 ngủ, 1 thờ và sân phơi đầy đủ.- Sổ đỏ vuông đẹp, sẵn sàng giao dịch.LH xem nhà 24/7: 0968 154 *** ",34 m²,3 tỷ,Sổ đỏ chính chủ,05/12/2022,12/12/2022,Tin thường,35864181,batdongsan_com_vn_35864181,4 m,4 tầng,4 phòng,3 phòng,2 m,Đầy đủ nội thất gắn tường,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân', 'Ngõ 603']","
Chính chủ cần bán nhà biệt thự tại ngõ 603 Lạc Long Quân, phường Xuân La, quận Tây Hồ, Hà Nội.Tổng diện tích đất 280m² full thổ cư mặt tiền 17m mặt hậu 18m. Bên phải và trái đều có đường dân sinh (3 mặt thoáng).- Diện tích xây biệt thự: 150m² x 3,5 tầng(có ô chờ thang máy, khoảng chờ bể bơi).- Kết cấu nhà gồm:+ T1: Phòng khách, bếp, ngủ, gara, WC.+ T2: 3 ngủ, 2WC, khuôn viên sinh hoạt cộng đồng chung.+ T3: 3 ngủ, 2WC, 2 ban công rộng.+ T4: Phòng thờ, phòng gym, khu giặt phơi.- Với tầm nhìn xa của lãnh đạo đã tạo nên một ngôi nhà đầy đủ tiện ích đẳng cấp.- Mô tả này không thể mô phỏng hết ý tưởng của gia chủ. Chúng tôi rất mong quý khách quan tâm bớt chút thời gian tới tham quan và nắm giữ cơ hội này.- Vị trí đẹp hiếm trong khu vực, an ninh tốt, dân trí cao, nhiều cây xanh, bóng mát, cực gần Hồ Tây, giao thông thuận tiện di chuyển.- Thích hợp an cư, đầu tư sinh lời.Sổ đỏ chính chủ, giá bán 46 tỷ.Liên hệ A. Thanh 0904 669 ***miễn trung gian).            ",280 m²,46 tỷ,Sổ đỏ,05/12/2022,12/12/2022,Tin thường,34955393,batdongsan_com_vn_34955393,17 m,4 tầng,7 phòng,5 phòng,8 m,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lương', 'Đường Ỷ La']","
Nhà gần chợ Bắc Lãm, UBND, ngõ thông thoáng, sạch sẽ, ô tô đỗ cổng.* Thông số căn nhà:- Diện tích: 34m².- Mặt tiền: 3.6m.- Hướng: Tây tứ mệnh.* Công năng sử dụng chi tiết từng sàn:+ Tầng 1: Bếp, WC.+ Tầng 2: 1 P. Khách + 1 phòng ngủ + WC.+ Tầng 3: Phòng ngủ rộng rãi + WC.+ Tầng 4: Phòng ngủ, phòng thờ - sân phơi.* Nội thất: Hệ thống cửa chính, cửa thông phòng, cửa sổ nhôm hệ Việt Pháp. Trần thạch cao, Gạch nền chống xước, cầu thang mặt đá granit tay vịn gỗ, bàn bếp tủ bếp gỗ Sồi Nga. Thiết bị vệ sinh cao cấp, Sen vòi Inox 304, Bình nóng lạnh, Bồn nước 1000L, hệ thống điện chiếu sáng, đèn trần, các đầu chờ thiết bị điện.- Vị trí: Nhà cực thoáng ngõ. Từ nhà đi ra trường tiểu học Phú Lương chợ Bắc Lãm, ủy ban nhân dân phường Phú Lương, đại học Đại Nam cực gần, tiện ích xung quanh cái gì cũng có. Siêu thị, chợ, trường học cấp 1, 2, 3 trường Cao Đẳng Kinh Tế Thương Mại.- Pháp lý rõ ràng - sổ đỏ - giấy phép xây dựng.* Giá chào bán: 2.25 tỷ (có thương lượng - bao sang tên sổ đỏ).* Liên hệ xem nhà miễn phí: E Hương 0365 968 *** ",34 m²,2.25 tỷ,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36033478,batdongsan_com_vn_36033478,3.6 m,4 tầng,3 phòng,3 phòng,3.2 m,Đầy đủ,Tây - Nam,Tây - Nam
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Phú Diễn']","
Nhà đẹp phân lô khu tái định cư Phú Diễn, khu vực qui hoạch ổn định. Tặng hết nội thất cho gia chủ mới.- Gia chủ là cán bộ nhà nước, có căn nhà tại phú diễn cần bán.- Căn nhà gia chủ xây rất chắc chắn, thiết kế tỉ mỉ từng chút một.- Căn nhà được xây dựng trong khuôn đất 45m² xây dựng 5 tầng, đầy đủ công năng.- Tổng 4 phòng khép kín.- Khu vực hạ tầng ổn định, nhiều trường học các cấp như mầm non, cấp 1,2,3 và trường đại học.- Gần trường đại học Tài Nguyên Môi Trường.Sổ đỏ vuông vắn.Giá: 6,3 tỷ (có thương lượng).Liên hệ: Nguyễn An 0962 039 *** ",45 m²,6.3 tỷ,"Sổ đỏ phân lô vuông vắn , đẹp sẵn sàng giao dịch",05/12/2022,12/12/2022,Tin thường,36033470,batdongsan_com_vn_36033470,3.5 m,5 tầng,4 phòng,4 phòng,,Đầy đủ tiện nghi,,
