address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Đường vào,Nội thất
"['Hà Nội', 'Đông Anh', 'Xã Vân Nội', 'Đường 23B']","
Diện tích: 660m² hai mặt thoáng.Mặt tiền: 30m.Đường ô tô thông.Cách đường gom Võ Nguyên Giáp vài chục mét, giao thông thuận tiện.Gần các dự án tầm cỡ: Thành phố thông minh, Công viên kim quy, tổ hợp TH.Gần chợ Vân Trì, trường học các cấp.Không vướng quy hoạch.Sổ vuông vắn, thiện chí bán.Liên hệ Em Quang: 0974 090 *** ",660 m²,28 triệu/m²,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35838768,batdongsan_com_vn_35838768,,,,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Hữu Hòa', 'Đường Hữu Hòa']","
Woa! Chỉ với 1.9 tỷ có ngay nhà 4T Thanh Trì oto đỗ cổng ngay đường lớn LH 0788 908 ***Diện tích: 33m² sổ đỏ chính chủ, nhà hướng Đông Tứ Trạch.+ Tầng 1: Phòng khách + bếp, vệ sinh.+ Tầng 2 + 3: Gồm 3phòng ngủ + 2 vệ sinh.+ Tầng 4: Phòng thờ + sân phơi.- Phần nội thất: Căn nhà được trang bị đầy đủ nội thất cơ bản bao gồm toàn bộ hệ thống cửa, tay vịn cầu thang, tủ bếp, thiết bị vệ sinh, máy bơm nước, bồn nước, chậu rửa bát, đèn chiếu sáng + đèn trang trí...- Vị trí: Nhà trung tâm  Tả Thanh Oai ,Thanh Trì, gần trường, chơ, Uy ban nhân dân.- Giá chào bán: 1.9 tỷ, đồng ý thương lượng với những khách hàng thiện chí.- Hỗ trợ vay ngân hàng tối đa, lãi suất ưu đãi lên tới 70%.- Liên hệ: 0788 908 ***//0338 994 *** gặp Nguyễn Hường để được tư vấn cũng như xem nhà miễn phí, Xin cảm ơn!            ",33 m²,1.9 tỷ,,03/12/2022,10/12/2022,Tin thường,34574508,batdongsan_com_vn_34574508,3.5 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,3 phòng,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mỹ Đình', 'Ngõ 394']","
BÁN GẤP NHÀ MỸ ĐÌNH, NAM TỪ LIÊM+ Thông số: DT 40m², 5 tầng, mặt tiền 4m. Thiết kế hiện đại, đầy đủ công năng, 5PN siêu rộng,...+ Vị trí: Ngõ 394 Mỹ Đình ô tô vào, kinh doanh sầm uất tại Nam Từ Liêm, nhà bán cách 15m, khu vực nhiều tiện ích, dân trí cao. Gần nhiều trường ĐH danh giá: Thương Mại, Báo Chí, Quốc Gia, Sư Phạm,...+ Giao thông thuận tiện gần nhiều tuyến đường lớn: Nguyễn Hoàng, Lê Đức Thọ, Cầu Giấy, Phạm Hùng, Mỹ Đình, Hàm Nghi,...+ Pháp lý: Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá chào 3.8 tỷ có thương lượng mạnh. Chủ nhà rất thiện chí.- Liên hệ: Mr. Hoàng 0386 700 ***- Cam kết ảnh thật 100% - Miễn phí xem nhà - Miễn phí tư vấn.- Ngoài ra tôi còn 10 BĐS tương tự có thể đi xem ngay.            ",40 m²,3.8 tỷ,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,35967971,batdongsan_com_vn_35967971,4 m,,,5 tầng,5 phòng,4 phòng,10 m,Nội thất đầy đủ.
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
Gia đình chính chủ cần bán nhà mặt phố Hoàng Quốc Việt, Quận Cầu Giấy.- DT 90m² x 6T, MT 4,5m. Thang máy (Vuông vắn).- Vị trí nhà mặt phố nằm đoạn đẹp nhất phố Hoàng Quốc Việt. Thuộc trung tâm kinh doanh thương mại sầm uất và đắc địa nhất của Quận Cầu Giấy.- Nhà 2 mặt thoáng vĩnh viễn. (1 mặt phố và 1 mặt ngõ đường ôtô tránh). Đường ôtô 2 làn/ 2 chiều, vỉa hè rộng 6m. Ôtô đỗ dừng thoải mái.- Hiện tại gia đình đang cho thuê được 100triệu/tháng. Rất phù hợp cho khách nào có nhu cầu mua để giữ dòng tiền. Hiện tại nhà mặt phố đang rất hiếm nhà bán tầm tài chính 30tỷ.- Sổ đỏ chính chủ, vuông vắn. Gia đình thiện chí cần bán.* Liên hệ trực tiếp gia đình Anh Minh, Chị Anh Thư: 0966 886 ***, 0846 998 **** Miễn trung gian, không tiếp môi giới, xin cảm ơn.            ",90 m²,30.3 tỷ,Sổ đỏ chính chủ,06/12/2022,13/12/2022,Tin thường,34223729,batdongsan_com_vn_34223729,,,,,,,,
"['Hà Nội', 'Sóc Sơn', 'Xã Tân Dân', 'An Trung']","
Lô góc không lỗi phong thủy tại An Trung - Tân Dân - Sóc Sơn, đường ô tô, giá nhỉnh tỷ. Giá Đẹp.- Diện tích 70m², mặt tiền= 4.9m nở hậu 5m.- Đường ô tô vào đất thông thoáng.- Cách chợ cầu xây chỉ 200m. Khu đất hiếm tại Cầu xây.- Cách Quốc Lộ 2 chỉ 300m.- Cách trạm y tế, trường học,.. Chỉ 100m.Liên hệ 0342 828 *** ",70 m²,Thỏa thuận,Sổ đỏ/ sổ hồng,06/12/2022,13/12/2022,Tin thường,35674126,batdongsan_com_vn_35674126,4.9 m,,,,,,4 m,
"['Hà Nội', 'Đông Anh', 'Xã Uy Nỗ', 'Đường Vườn Đào']","
Đấu giá X7 Uy Nỗ Đông Anh Hà Nội.Khu đấu giá gồm 27 thửa đất có diện tích từ 115.26m² đến 227.89m².LK 1 - 1: Bán 177tr/m².LK 1 - 2: Bán 150 tr/m².LK 1 - 4: Bán 145tr/m² (F2).LK 2 - 1: Bán 173 tr/m².LK 2 - 2: Bán 148 tr/m² (F2).LK 2 - 3: Bán 148 tr/m².LK 2 - 6: Bán 155 tr/m² (F2).LK 2 - 7: Bán 174 tr/m².LK 3 - 1: Bán 115trm².LK 3 - 3: Bán 110tr/m².LK 3 - 4: Bán 97tr/m².LK 3 - 5: Bán 98tr /m².Lk 3 - 7: Bán 117tr/m².LK 3 - 8: Bán 160tr/m².LK 4 - 3: Bán 120tr/m².LK 4 - 5: Bán 98tr/m².LK 4 - 6: Bán 130tr/m².Khu đấu giá X7 Uy Nỗ có hạ tầng siêu đẹp, đường trải nhựa rộng 7m, hai bên vỉa hè rộng 3m, đầy đủ hệ thống chiếu sáng, cây xanh, thoát nước, đường điện ngầm.Ngay sát trung tâm hành chính Đông Anh.Cách Dự án Công viên Văn hóa du lịch vui chơi giải trí Kim Quy 890m.Khu vực dân trí cực cao, buôn bán kinh doanh sầm uất top đầu Đông Anh.Cách Bệnh viện Đông Anh 700m, cách QL3 150m.Chỉ 5p lái xe ra cầu Nhật Tân, 17p lái xe lên Sân bay Nội Bài.Liên hệ 0974 090 *** để được tư vấn.            ",119 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,06/12/2022,13/12/2022,Tin thường,35864322,batdongsan_com_vn_35864322,7 m,,,,,,25 m,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Nghĩa Đô']","
Gia đình cần bán nhà phố Nghĩa Đô, Quận Cầu Giấy, TP Hà Nội.- DT sổ đỏ 55m²/thực tế 60m² x 5T, MT 5m. (Vuông vắn).- Vị trí nhà mặt ngõ to và đẹp nhất phố Nghĩa Đô. Khu vực phân lô cán bộ cao cấp, rất hiếm nhà muốn bán. Dân trí cao, an ninh cực tốt.- Đường 3 Ôtô tránh nhau thoải mái. Giao thông đi lại thuận tiện, tiện ích xung quanh đầy đủ.- Nhà gia đình xây kiên cố và chắc chắn, còn rất mới, chỉ việc mang đồ về là ở được luôn.- Rất phù hợp gia đình để ở hoặc làm văn phòng giao dịch.- Sổ đỏ chính chủ, vuông vắn. Gia đình thiện chí cần bán.* Liên hệ trực tiếp gia đình Anh Minh, Chị Anh Thư: 0966 886 ***, 0846 998 **** Miễn trung gian, không tiếp môi giới, xin cảm ơn.            ",60 m²,15.8 tỷ,,06/12/2022,13/12/2022,Tin thường,33042482,batdongsan_com_vn_33042482,,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lương', 'Phố Phú Lương']","
Bán nhà lô góc 3 mặt thoáng 34m2x5T, 4PN full nội thất trung tâm phường Phú Lương - Hà Đông, 2.4 tỷ. LH 0338 994 ***Bán nhà xây mới 5 tầng Phú Lương, ô tô lùi cổng giá tốt nhất Phú Lương.Mặt tiền: 3.5m.Diện tích 33m².Hướng Đông Nam.Nhà xây mới, bàn giao nội thất cơ bản.Tầng 1: Phòng khách + bếp.Tầng 2, 3, 4: Gồm 4 phòng ngủ + 3 nhà tắm.Tầng 5: Phòng ngủ khách + phòng thờ + sân phơi.Vị trí.Đường Phú Lương, cách ủy ban phường 300m.Cách đường 21B 500m.Cách ngã 3 Ba La 900m.Cách trường đại học Đại Nam 800m, cách cao đẳng Kinh Tế Kỹ Thuật Công Nghiệp 900m.- Giá bán 2.4 tỷ có ra lộc, liên hệ chính chủ để có giá tốt nhất.Sổ đỏ chính chủ, bao phí sang tên, hỗ trợ vay vốn ngân hàng.- Liên hệ: 0338 994 *** gặp Nguyễn Hường để được tư vấn cũng như đi xem nhà miễn phí. Xin cảm ơn!            ",35 m²,2.4 tỷ,Sổ đỏ,03/12/2022,10/12/2022,Tin thường,34002058,batdongsan_com_vn_34002058,4 m,Đông - Nam,Đông - Nam,5 tầng,4 phòng,4 phòng,,"Nhà đầy đủ nội thất như giường tủ điều hòa nóng lạnh, về ở luôn."
"['Hà Nội', 'Hoàng Mai', 'Phường Tương Mai', 'Đường Nguyễn An Ninh']","
+ Vị trí đẹp tuyệt vời, xung quanh toàn trường Đại học lớn nhu cầu thuê cực cao: Bách Khoa, Kinh Tế, Xây Dựng, Đại Học Mở, Đại Học Y...+ Phố Nguyễn An Ninh là con phố VIP nhất quận, trung tâm.+ Chợ cách 3 bước, bến xe Giáp Bát vài trăm mét, bệnh viện Bạch Mai chưa đầy km,+ Tiện ích xung quanh cái gì cũng có.+ Đặc biệt an sinh đỉnh cao: Công an phường, UBND phường cách vài bước. Khách thuê vô cùng thích, không bao giờ trống phòng.+ Nội thất full đồ, giường tủ, bình nóng lạnh, điều hòa.+ Thiết kế.- Tầng 1: Thông sàn.- Tầng 2,3,4,5: tầng 3 phòng.- Tầng 6: 2 phòng khép kín.+ Sổ đỏ nét căng, nở hậu.            ",60 m²,8.1 tỷ,Sổ đỏ nở hậu.,06/12/2022,13/12/2022,Tin thường,34700279,batdongsan_com_vn_34700279,,,,6 tầng,14 phòng,15 phòng,,"Full nội thất, phòng khép kín."
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Giải Phóng']","
Chính chủ cần bán gấp nhà 2 tầng cũ xác định mua đất phố Giải Phóng đoạn đối diện hồ Linh Đàm. DT 180m² mặt tiền 6 m. Vị trí đẹp đi lại thuận tiện rất phù hợp cho xây VP cty, căn hộ... Vị trí sau 1 nhà mặt phố ngõ 2 ô tô tránh nhau thoải mái. SĐCC 173 m², thực tế 180 m², giá 14.9 tỷ CTL. LH 090499609.            ",180 m²,14.9 tỷ,Có sổ.,06/12/2022,15/12/2022,Tin thường,24344113,batdongsan_com_vn_24344113,6 m,,,2 tầng,,,,
