address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số tầng,Pháp lý,Mặt tiền,Số toilet,Nội thất
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', '219', 'Central Field Trung Kính']","
Tôi chính chủ căn hộ 2PN, 2WC chung cư Central Field 219 Trung Kính cần bán nhanh trước tết.Diện tích 68m².Nội thất điều hòa, tủ bếp, nóng lạnh.Hướng cửa Tây Bắc, ban công ĐN.Giá bán 3.2 tỷ (có gia lộc cho khách thiện chí).Liên hệ xem nhà SĐT 0965 551 *** ",68 m²,3.2 tỷ,Tây - Bắc,Đông - Nam,2 phòng,25/11/2022,02/12/2022,Tin thường,28304028,batdongsan_com_vn_28304028,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Phú Mỹ']","
Cần bán CCMN Mỹ Đình 2 - 50m², 6.3 tỷ.Nhà dân xây mới sửa lại lên trong phòng rất mới, khách mua về sẵn cho thuê sẵn dòng tiền. Mỹ Đình làng Phú Mỹ không có đủ phòng cho thuê.+ Diện tích 50m² quá lý tưởng cho toà nhà 5 tầng - 9 phòng khép kín, dòng tiền 45 triệu/tháng.+ Nội thất đầy đủ mỗi phòng đều có điều hoà, giường, tủ, tủ bếp và bếp, vệ sinh khép kín... Máy giặt sấy chung.            ",50 m²,6.3 tỷ,,,9 phòng,27/11/2022,04/12/2022,Tin thường,35648894,batdongsan_com_vn_35648894,4 m,5 tầng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Ỷ La', 'Ngõ 122']","
Mình cần bán nhà 4 tầng tại đầu ngõ 122 Ỷ La, nhà mới xây. Bán full nội thất, giường, tủ, điều hòa, nóng lạnh, đã lắp sàn gỗ. Nhà có 3 phòng ngủ, 3 vệ sinh. Nhà cách chỗ đỗ ô tô 25m. Cách đường ỷ la 50m, ngay gần trường tiểu học, mẫu giáo, gần chợ vô cùng thuận tiện. Sổ đỏ chính chủ 0942 192 *** Chị Hồng Nhung.            ",30 m²,3 tỷ,Đông - Nam,,3 phòng,27/11/2022,07/12/2022,Tin thường,35750429,batdongsan_com_vn_35750429,2.5 m,4 tầng,Sổ đỏ/ Sổ hồng,3 m,3 phòng,Nội thất đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', '219', 'Central Field Trung Kính']","
Gia đình tôi đang ở căn hộ 2 phòng ngủ ở chung cư 219 Trung Kính, do nhu cầu chuyển chỗ ở nên cần nhượng lại căn hộ này cho người có nhu cầu.- Căn hộ là căn ở tòa 34T có ban công Tây Nam, cửa hướng Đông Nam, có diện tích sử dụng 112m² gồm 2 phòng ngủ, 2 vệ sinh các phòng đều đầy đủ ánh sáng, view thoáng về đường Hoàng Đạo Thúy.- Chúng tôi để toàn bộ nội thất cao cấp bao gồm cả đồ điện tử.- Sổ đỏ chính chủ tên vợ chồng tôi.- Tôi bán giá - 3,9 tỷ (tôi bao phí và có gia lộc thêm).Ai thực sự có nhu cầu tìm mua căn hộ ở đây, xin mời liên hệ tôi để xem thực tế: 0965 551 *** hoặc 0932 392 *** - Tôi tên Sáng (miễn trung gian).Xin cảm ơn đã đọc tin.            ",112 m²,3.9 tỷ,Đông - Nam,Tây - Nam,2 phòng,23/11/2022,30/11/2022,Tin thường,34475227,batdongsan_com_vn_34475227,,,Sổ đỏ,,2 phòng,Để toàn bộ nội thất cao cấp bao gồm cả đồ điện tử.
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng']","
- Toà building nằm tại vị trí đẹp, khu Trung yên, Trung Hòa, cách mặt phố Trung Hòa 100m, đường trước nhà taxi đỗ tận cửa.- Nhà chủ tự xây vô cùng tâm huyết và chắc chắn. Hai thoáng, có hầm để xe, thang máy, thang bộ thoát hiểm, nội thất xịn.- Hiện chủ nhà đang cho đơn vị thứ 3 thuê 120tr/ tháng, nếu tự kinh doanh thu nhập không dưới 200tr.- Sổ đỏ đẹp, chính chủ, pháp lý rõ ràng.- Giá 27.7 tỷ.- Liên hệ tôi, Tuấn Anh, 0966 068 ***. Tôi sẵn sàng tư vấn tận tâm chi tiết và giúp anh chị mua được giá tốt nhất.            ",124 m²,27.7 tỷ,,,,25/11/2022,02/12/2022,Tin thường,30860611,batdongsan_com_vn_30860611,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Phố Cầu Cốc']","
Bán nhà Tây Mỗ hàng xóm Vinhomes, thiết kế hiện đại DT 33m² x5T 3PN rộng, ô tô cách 1 nhà giá 3.35tỷ.- Diện tích 33m².- Mặt tiền 4.45m.- Hướng Tây Bắc.- Đường trước nhà hơn 2m, cách 1 nhà ra đường ô tô, cách 5 nhà ra bãi gửi ô tô.- Nhà xây mới thiết kế hiện đại, phòng nào cũng có ánh sáng tự nhiên.- Tầng 1 phòng khách, khu bếp ăn.- Tầng 234 mỗi tầng 1 PN rộng.- Tầng 5 phòng thờ + khu phơi giặt + trồng hoa.- Vị trí nằm trên phố Cầu Cốc, sát KĐT Vinhomes tận hưởng mọi tiện ích xung quanh.- Vị trí cách đại lộ Thăng Long nửa km, đi các hướng về Mỹ Đình, Cầu Giấy, Hà Đông, sang Hoài Đức đều thuận tiện.- Nhà gần chợ, bán kính 1km có đẩy đủ trường mầm non, cấp 123.- Chủ nhà bán 3.35 tỷ có TL.- Gọi ngay Mr Toàn để xem nhà và TL trực tiếp vs chủ nhà.- SĐT/Zalo Quang Toàn 0886 959 ***- Cam kết thông tin thật 100%.            ",33 m²,3.35 tỷ,Tây - Bắc,Tây - Bắc,3 phòng,21/11/2022,28/11/2022,Tin thường,35704155,batdongsan_com_vn_35704155,2.5 m,5 tầng,,4.45 m,4 phòng,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phương Canh', 'Đường 70', 'Dự án Hateco Apollo']","
Do nhu cầu chuyển lên căn diện tích to hơn nên tôi muốn bán căn chung cư khu Xuân Phương 60m gồm 2n1vs. Thiết kế hợp lý có ban công và lô gia nên rất thoáng.+ Hướng cửa Tây Nam, ban công Đông Bắc chếch hồ.+ Tầng chung, view thoáng đẹp. Thiết kế thông minh.+ Để lại full nội thất bao gồm cả đồ điện tử.+ Sổ đỏ chính chủ, không nợ ngân hàng, có thể giao dịch ngay, có thể mượn ngân hàng.+ Giá bán: 2.2 tỷ. Có thương lượng.- Khu này tiện lợi bởi có trục đường 32, ga đường sắt trên không, đường Trịnh Văn Bô, rất nhiều lựa chọ để đi nên không sợ tắc đường.- Tiếp là có chợ đầu mối Minh Khai, chợ Nhổn - đồ ăn sẽ luôn tươi ngon, nói không với đồ đông lạnh.- Gần chợ, gần đường thì cũng gần trường. Hệ thống các trường phân bố mật độ lớn xung quanh Nhổn: Từ mầm non - tiểu học - THCS - THPT - đại học - các trường liên cấp... Tới các trung tâm ngoại ngữ, võ thuật, năng khiếu...- Vậy còn chờ đợi gì mà không chọn ngay 1 căn hộ Hateco cho bản thân và gia đình? Liên hệ em Quỳnh.Anh/chị nào có nhu cầu xem, mua nhà gọi ngay 0394 146 *** - E Quỳnh.            ",60 m²,2.2 tỷ,Tây - Nam,Đông - Bắc,2 phòng,23/11/2022,30/11/2022,Tin thường,35751185,batdongsan_com_vn_35751185,,,Sổ đỏ.,,1 phòng,Full nội thất 
"['Hà Nội', 'Thanh Trì', 'Dự án Chung cư Đại Thanh']","
Gia đình làm ăn có chút lộc lá nên chuyển xuống nhà mặt đất khu Cầu Giấy để tiện cho công việc. Vì vậy gia đình quyết định bán nhanh căn hộ tầng trung tòa CT8 chung cư Đại Thanh cho gia đình nào có nhu cầu để thêm tiền sắm nội thất chỗ ở mới.Tòa nằm trên đường Phan Trọng Tuệ gần đường Kim Giang, dưới chân tòa đầy đủ tiện ích từ siêu thị, chợ dân sinh, tạp hóa, phòng khám, hiệu thuốc, khu vui chơi ăn uống sầm uất.Thông tin căn hộ:- Diện tích: 50m.- Thiết kế căn hộ: 1phòng ngủ, 1 vệ sinh.- Nội thất: Nhà mình đã làm sàn gỗ, tủ bếp, điều hòa, nóng lạnh, giường tủ... (Gần như full đò).- Pháp lý: Pháp lý dõ ràng minh bạch- Giá 900 tỷ (có thương lượng).Liên hệ em Thu: 0365 999 *** ",49 m²,900 triệu,Tây - Bắc,Đông - Nam,1 phòng,27/11/2022,04/12/2022,Tin thường,35964403,batdongsan_com_vn_35964403,,,Hợp đồng mua bán,,1 phòng,Đầy đủ
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Phố Hoàng Cầu']","
PHÂN LÔ GẦN TT QUẬN ĐỐNG ĐA, GẦN HỒ HOÀNG CẦU - NHÀ XÂY MỚI 6 TẦNG - THANG MÁY - GARA Ô TÔ.DIỆN TÍCH : 60/65T2 x 6 TẦNG.RỘNG : 5.9M , GIÁ BÁN =  18,9 tỷ Đồng.Mô tả: Nhà xây 6 tầng hiện đại, chủ xây ở năm 2020, thiết kế thang máy, chủ đang sử dụng làm văn phòng công ty, gara ô tô, thông số vàng. Đường vào nhà rộng 4m, ngõ thông tứ tung, cách 1 nhà ra mặt ngõ ô tô tránh. Sổ đỏ chính chủ.ACE GỌI ĐT : 0912 542 *** ĐỂ BIẾT THÊM THÔNG TIN VỀ NHÀ ĐẤT & BĐS HÀ NỘI            ",60 m²,18.9 tỷ,,,4 phòng,27/11/2022,04/12/2022,Tin thường,35963085,batdongsan_com_vn_35963085,4 m,6 tầng,Sổ đỏ/ Sổ hồng,5.9 m,5 phòng,Hiện có
"['Hà Nội', 'Cầu Giấy', 'Dự án Sky Park Residence']","
Cần tiền đầu tư nên tôi cần bán gấp căn hộ vợ chồng tôi đang sinh sống sổ đỏ chính chủ đã có nội thất ban công hướng đông nam view cực thoáng Tôi có hỗ trợ khách vay ngân hàng hỗn trợ thủ tục cho khách đến khi cầm sổ về tay Nhà tôi hiện tại có slot oto ANH chị quan tâm liên hệ 0988 288 *** ",71 m²,Thỏa thuận,Tây,Đông - Nam,2 phòng,27/11/2022,04/12/2022,Tin thường,35964408,batdongsan_com_vn_35964408,,,Sổ đỏ/ Sổ hồng,,2 phòng,
