address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
458 Minh Khai  Park Hill Premium KĐT Vinhomes Times City 120m²,  T30 8 tỷ, Lh 0983 834 *** ĐẲNG CẤP- TIỆN NGHI - ĐÁNG SỐNG  là tòa tháp căn hộ Smart Home hiếm hoi có đến 2 mặt tiền view thành phố sầm uất, đẳng cấp khách hẳn các tòa nhà cùng khuông viên của Times.Nhờ vào vị trí đắc đắc địa, Khu căn hộ Park  không chỉ đem lại cho cư dân không gian riêng tư thú vị giữa lòng thành phố, mà đó là tầm view thoáng rộng, đem tới cho chủ nhân căn hộ nhiều cảm xúc nhẹ nhàng, thanh bình. + Căn hộ với diện tích 120m² , 3pn , 2 wc , tầng cao đẹp rất thoáng, Hướng Đông tứ trạch, vuông vắn, sổ đỏ chính chủ cầm tay, có slot oto dưới hầm G4 luôn. + Chủ nhà là đại gia Hà Thành đã tâm huyết thiết kế và sửa sang căn hộ, đầu tư toàn bộ nội thất mới theo phong cách hiện đại, thoáng, sang, xịn, mịn đẳng cấp 5 sao. + Hệ thống điều hoà 2 chiều âm trần dakin, Smarthome điều khiển thông minh, đã thay sàn gỗ nhập khẩu & toàn bộ hệ tủ quần áo kính led . + Tiện ích ở Times City thì chắc chắn ko phải giới thiệu nữa ạ, là hàng đầu ở HN với các tiện ích như: bể bơi, sân chơi, trung tâm dịch vụ, shophouse, siêu thị, nhà hàng ăn uống , cafe, hệ thống an ninh tốt, không gian sống xanh sạch đẹp. Đặc biệt có phòng tập Gym miễn phí dành riêng cho cư dân . Ở đây là chắc chắn k muốn chuyển đi nơi khác trừ chuyển biệt thự ạ :)) em thề + Chủ tặng lại nhiều đồ nội thất cho khách thiện chí            ",120 m²,8 tỷ,3 phòng,2 phòng,Sổ đỏ,Đầy đủ,27/11/2022,04/12/2022,Tin thường,35962218,batdongsan_com_vn_35962218,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Nguyễn Phong Sắc']","
+ Chủ nhà thuê kiến trúc sư thiết kế rất tỉ mỉ và chắc chắn, chủ có để lại 15m làm sân nên để xe thoải mái. Chủ tặng lại nội thất, khách chỉ xách vali về ở luôn.+ Nhà siêu rộng, 2 thoáng nên phòng nào cũng lấy ánh sáng tự nhiên.+ Ngõ thoáng sáng, ô tô vào nhà, nhà đi vào nhiều nối, nên đi đâu cũng rất thuận tiện.+ Chủ nhà anh Hà doanh nhân thành đạt, đất ở có lộc, chủ đã mua biệt thự vinhomes, nên không có nhu cầu ở cần bán đi.+ Thiết kế hiện đại, đầy đủ công năng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",75 m²,12 tỷ,,,Sổ đỏ/ Sổ hồng,Full nội thất.,27/11/2022,04/12/2022,Tin thường,33918578,batdongsan_com_vn_33918578,7 m,6 m,4 tầng
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Định Công Thượng']","
KINH DOANH - NGAY PHỐ - Ô TÔ ĐỖ CỬA NGÕ THÔNG - NHÀ ĐẸP LONG LANH+ Vị trí đẹp, ngõ rộng, phù hợp ở, kinh doanh được nhiều ngành nghề...+ Chủ thiện chí, nhà thiết kế hợp lý, hiện đại.+ Tầng 1: Khách, bếp, để xe, vệ sinh .+ Tầng: 2,3: Mỗi tầng 2 phòng ngủ rộng, đầy đủ tiện nghi.Tầng 4: Thờ sân phơi+ Nhà còn mới, Nội thất sang trọng+Giá bán: 3,85 tỷ - thiện chí bánLiên hệ trực tiếp Mr Tùng: 0961 106 *** ",60 m²,3.85 tỷ,,,Sổ đỏ/ Sổ hồng,,27/11/2022,04/12/2022,Tin thường,35962707,batdongsan_com_vn_35962707,,,4 tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
+ Nhà chủ xây rất tỉ mỉ từng viên gạch nên nhà vô cùng chắc chắn, nhà thoáng trước và sau nên các phòng thoáng sáng rực rỡ. + Chủ nhà Anh Nam làm cán bộ nhà nước, do vợ chuyển đổi công tác sang bên Long Biên nên đã mua biệt thự cho gần cơ quan Vợ làm việc.+ Vị trí hiếm nhà bán ở phố Trần Quốc Hoàn, nối liền các tuyến phố như: Phạm Tuấn Tài, Phạm Văn Đồng, Tô Hiệu, Cầu Giấy giao thông đi lại vô cùng thuận tiện. + Nhà thuộc khu phân lô, ô tô vào và chạy vòng quanh nhà, khách về ở kinh danh rất phù hợp+ Nhà thiết kế hợp lý, mỗi tầng 2 phòng, đầy đủ công năng.+ Sổ đỏ vuông đẹp, giao dịch luôn+ Giá: 10.7 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp Cầu Giấy.            ",56 m²,10.7 tỷ,,,Sổ hồng,,27/11/2022,04/12/2022,Tin thường,35360884,batdongsan_com_vn_35360884,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Phùng Chí Kiên']","
+ Vị trí đẹp nhất quận Cầu Giấy, mặt ngõ ô tô tránh cách mặt phố 5 mét, nhà lô góc 2 mặt tiền, ngõ phân lô bàn cờ thông tứ phía.+ Nhà chủ xây cực kỳ chắc chắn tâm huyết để ở, ép cọc bê tông, hiện nhà đang là 6 tầng, có thể lên 8 tầng vô tư.+ Thiết kế hiện đại, cầu thang nhà vệ sinh giữa.+ Nội thất nhập khẩu sang trọng, xịn sò cao cấp.+ Pháp lý chuẩn, sổ đỏ chính chủ, vuông nét A4, giao dịch trong ngày.+ Bán: 11.5 tỷ.+ LH: Em Hương 0862 566 *** ",55 m²,11.5 tỷ,,,Sổ đỏ chính chủ,,27/11/2022,04/12/2022,Tin thường,34269637,batdongsan_com_vn_34269637,6 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Phùng Chí Kiên']","
+ Nhà siêu đẹp chủ tự xây rất tâm huyết, thang máy nhập khẩu, phù hợp vừa ở vừa kinh doanh văn phòng.+ Ngõ rộng thoáng, cực gần phố, nhà thuộc phân lô Học viện Quốc Phòng, an ninh cực tốt.+ Vị trí hiếm nhà bán ở Trung tâm Quận Cầu Giấy, giao các tuyến phố như: Phạm Văn Đồng, Cầu Giấy, Phạm Tuấn Tài, Võ Chí Công, Lạc Long Quân.+ Nhà thiết kế hiện đại, đầy đủ công năng.+ Sổ đỏ vuông đẹp, pháp lý rõ ràng, chờ sang tên chủ mới.+ Giá: 11.5 tỷ, có thương lượng với khách thiện chí.+ Liên hệ: Em Hương chuyên nhà đẹp Hà Nội.            ",55 m²,11.5 tỷ,6 phòng,,Sổ đỏ/ Sổ hồng,Full nội thất.,27/11/2022,04/12/2022,Tin thường,35048387,batdongsan_com_vn_35048387,6.7 m,,6 tầng
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Xuân La']","
Cần thanh khoản gấp lô đất Phân Lô Tổng cục 2, ngõ 105 Xuân La, Tây Hồ, Hà Nội. Lô đất có vị trí đắc địa tại khu phân lô của tổng cục 2, ngõ 105 Xuân La. Mặt tiền rộng : 4m Diện tích        : 66m2 Hiện tại lô đất đang để trống, khu đất nằm trong khu phân lô dành cho cán bộ tổng cục 2. Khu phân lô này, nằm trong ngõ chính 105 Xuân La. Khu phố Xuân La rất sầm uất, tiện ra các phố lớn như Võ Chí Công, Lạc Long Quân  Sổ đỏ vuông vắn.khuôn đất không lỗi phong thủy. Giá tôi muốn bán: 14.3tỷ L/H Điệp Lưu Vệ :  0949 705 *** ( không tiếp quảng cáo hay môi giới )            ",66 m²,14.3 tỷ,,,Sổ đỏ/ Sổ hồng,,27/11/2022,04/12/2022,Tin thường,35962388,batdongsan_com_vn_35962388,4 m,15 m,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Ngô Quyền']","
Cô tôi không có nhu cầu sử dụng nên cần bán nhà Cấp 4 có gác lửng tại Ngô Quyền, Hà Đông thông tin như sau:- Diện tích 36m², full thổ cư sổ đỏ vuông đẹp.- Mặt tiền rộng.- Đẹp nhất vị trí ngay sát Mặt Phố Ngô Quyền.- Tiện ích mọi thứ đều gần (chợ Hoa, sinh vật cảnh Vạn Phúc, Công viên thiên văn học Dương Nội, địa siêu thị Nhật Bản Aone mall).- Giá 2, x tỷ vào việc.- Chi tiết liên hệ 0966 040 *** ",36 m²,2.6 tỷ,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,19/11/2022,29/11/2022,Tin thường,35885948,batdongsan_com_vn_35885948,3.5 m,3 m,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Ngõ 183 Đường Hoàng Văn Thái']","
- Phân lô phân đội phường Khương Mai dân trí cao ngõ đẹp nhất phố Hoàng Văn Thái diện tích 68.2m² ngõ thông ô tô cực hiếm gọi ngay 0835 967 ***- Vị trí: Ngõ 183 ô tô rộng gần chung cư Hà Đô View mát, cực gần Phố. Giáp với Tô Vĩnh Diện, Vương Thừa Vũ,...- Xung quanh toàn cán bộ cấp cao Văn Minh - Sạch Sẽ, tiện ích đầy đủ, Khuôn viền Hà Đô, chợ, siêu thị,...- Nhà: Thiết kế đầy đủ công năng, thoáng sau rộng. Mặt tiền 5m chia 2 phòng siêu đẹp. Cô chú làm Cán bộ về hưu con cái thành đạt, gia thế tốt ở rất Vượng Lộc.- Pháp lý: Sổ đỏ chính chủ, cất két.- Giá: 10.7 tỷ (Có thương lương) cần bán gấp.Hãy gọi luôn Hoàng Quý: 0835 967 *** miễn môi giới. Xin cảm ơn!            ",68.2 m²,10.7 tỷ,,,,,25/11/2022,02/12/2022,Tin thường,35431413,batdongsan_com_vn_35431413,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án La Casta Văn Phú']","
+ Chủ nhà cần bán cực gấp căn nhà La Casta Văn Phú 80m². Mt 5m. Vỉa hè 5m. Thoáng trước sau kinh doanh đỉnh giá 11.48 tỷ có thương lượng cho khách thiện chí.+ Để xem tận mắt vị trí đắc địa căn nhà trên xin quý khách liên hệ E Tuyển 1985. 0971145986 chuyên nhà phân lô liền kề khu Văn Phú (quanh văn phú e có 30 căn với các giá khác nhau hi vọng sẽ đáp ứng được nhu cầu của quý khách.+ Bđs luôn là kênh tài chính trú ẩn an toàn và lợi nhuận nhất mọi thời điểm.            ",80 m²,11.48 tỷ,,,,,21/11/2022,29/11/2022,Tin thường,35592762,batdongsan_com_vn_35592762,5 m,,
