address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Mặt tiền,Đường vào,Hướng nhà,Nội thất,Hướng ban công
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Nghĩa Đô']","
+ Vị trí đẹp, phố Nghĩa Đô nối Hoàng Quốc Việt ra ngoại khu giao đoàn, Tây Hồ Tây, giao thông thuận tiện đi Nguyễn Văn Huyên, Phạm Văn Đồng... Đi lại bằng xe buýt, tầu điện trên cao, bến xe cực kì thuận lợi.+ Khu vực phân lô đẳng cấp - an sinh tuyệt vời - dân trí cực cao.+ Cách mặt phố Nghĩa Đô chỉ 30m. Phố Nghĩa Đô ngắn nhưng hạ tầng rất tốt, đầy đủ tiện ích. Rất gần đại học Điện lực, Đại học Quân sự, Học viện Chính trị Hồ Chí Minh, Công viên Nghĩa Đô, chợ dân sinh, trường học các cấp, Trung tâm thương mại, văn phòng, chung cư... Khách mua về vừa ở vừa làm văn phòng Công ty.+ Ô tô 7 chỗ có thể vào nhà. Trước nhà 2 ô tô tránh nhau vèo vèo. Ô tô đỗ cửa ngày đêm.+ Nhà 2 thoáng trước sau, phía sau khe thoáng rộng, mở được cửa sổ.+ Nhà nếu cho thuê được 18 triệu/ tháng.+ Nhà khung cột bê tông chắc chắn.Thiết kế: Cơ bản, hợp lý.- Tầng 1: Gara, bếp, WC.- Tầng 2: Phòng khách, ngủ, WC. Hơi giật cấp 1 chút, phòng khách thấp hơn.- Tầng 3,4: Mỗi tầng 2 phòng ngủ rộng, WC. Sàn bằng.- Tầng 5: Vườn rau sạch tại gia, sân tập thể thao, sân phơi.Sổ đỏ sẵn sàng giao dịch ngay.+ Liên hệ: Mai Phạm 0335 060 *** ",62 m²,16.3 tỷ,5 tầng,5 phòng,Sổ đỏ chính chủ,01/12/2022,08/12/2022,Tin thường,35017359,batdongsan_com_vn_35017359,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Thành Thái', 'Dự án The Park Home']","
0986 149 ***) chính chủ cần bán căn 1909 (120,42m²) 3 ngủ view toàn cảnh Cầu Giấy giá 6,3 tỷ.Tôi cần tiền đầu tư kinh doanh cần bán gấp.Căn hộ 3 phòng ngủ tại The Park Home - Cạnh công viên Cầu Giấy, Đại sứ quán Mỹ và UBND Quận Cầu Giấy đang xây.Liên hệ: Anh Thành - Chính chủ 0986 149 ***).            ",120.42 m²,6.3 tỷ,,3 phòng,,05/12/2022,12/12/2022,Tin thường,35050105,batdongsan_com_vn_35050105,2 phòng,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1']","
+ Nhà nằm tại vị trí đắc địa, gần các tuyến phố lớn, bến xe Mỹ Đình, sân vận động Mỹ Đình... Chợ, trường, siêu thị, tiện ích đủ đường. Khu vực sinh viên, người đi làm lưu trú cực đông.+ Trang thiết bị phòng cháy chữa cháy, thiết bị camera theo dõi được lắp đặt ở trước cổng tòa nhà và khu để xe đảm bảo an ninh cho tòa nhà.+ Thiết kế các phòng đều có ban công, cửa sổ to thoáng mát. DT1 căn phòng: 25m² - 30m². Điều hòa, nóng lạnh, giường ngủ, bàn bếp, tủ bếp, tủ quần áo, bàn ghế ngồi.: Camera theo dõi 24h; Khóa vân tay bảo mật.+ Thiết kế 7 tầng: Tầng 1 khu để xe, từ tầng 2 - 5 mỗi tầng 2 phòng, trên tầng 6 tầng 7 thiết kế penthouse.- Sổ đỏ chính chủ, gia dịch ngay.- Liên hệ ĐT zalo: Mai Phạm 0335 060 *** ",65 m²,10.4 tỷ,7 tầng,,Sổ đỏ/ Sổ hồng.,01/12/2022,08/12/2022,Tin thường,34935192,batdongsan_com_vn_34935192,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', '203', 'Imperia Garden']","
Bán biệt thự Imperia Garden 196m² - siêu vip - thiết kế đẳng cấp 5 sao - tiện ích bạt ngàn.+ Biệt thự nhà vườn Imperia Garden vườn trong phố - 203 Nguyễn Huy Tưởng có vị trí siêu đẹp, hiếm và nhiều tiện ích hiện đại bậc nhất quận Thanh Xuân, đạt tiêu chuẩn sống châu âu, đẳng cấp 5 sao, đầy đủ tiện ích: Bể bơi, phòng tập gym, spa, trung tâm thương mại siêu vip.+ Phong cách thiết kế hiện đại, công phu tỉ mỉ từng chi tiết, từng góc cạnh của căn nhà, nhà đạt tiêu chuẩn 5 sao đầy đủ tiện ích như: Phòng xông hơi, bồn xục, phòng thay đồ, phòng làm việc, phòng đọc sách thưởng trà.+ Tầng hầm: Gara ô tô, quầy bar.+ Tầng 2: Phòng khách, bếp, khu sân vườn tiểu cảnh.+ Tầng 3: 2 phòng ngủ khép kín.+ Tầng 4: 1 ngủ lớn, phòng thay đồ, phòng thể dục, bồn sục massage xông hơi.+ Tầng 5: Phòng thờ, phòng đọc sách thưởng trà ngắm cảnh thư giản.+ Tầng 6: Sân phơi rộng rãi.Sổ vuông vắn, pháp lý rõ ràng, sẵn sàng giao dịch.Liên hệ mua nhà: Mr. Lợi 0944 829 ***hỗ trợ hoàn toàn miễn phí từ xem nhà, tư vấn pháp lý, hỗ trợ thủ tục ngân hàng... ).            ",196 m²,49.8 tỷ,5 tầng,4 phòng,"Sổ đỏ chính chủ, sẵn sàng giao dịch.",05/12/2022,13/12/2022,Tin thường,35944621,batdongsan_com_vn_35944621,4 phòng,9 m,12 m,Đông - Nam,Full nội thất cao cấp.,
"['Hà Nội', 'Ba Đình', 'Phường Trúc Bạch', 'Phố Châu Long']","
Mô tả:+ Vị trí nhà đẹp nhất Phố, Nhà 2 Mặt thoáng 1 mặt phố và 1 mặt ngõ có mở cửa cả 2 mặt cực kỳ thoáng, nhà có cả lối đi phía sau rất tiện, cách hồ Trúc Bạch chỉ vài bước chân, phố Châu Long thông rất nhiều tuyến phố lớn, Nguyễn Trường Tộ, Quán Thánh, Phó Đức Chính, Nghi Tàm...!Thiết kế:+ Tầng 1: Kinh doanh + Phòng khách + wc.+ Tầng 2: 2 Phòng + wc.+ Tầng 3: 1 phòng thờ + sân phơi.+ Nhà đã cũ Chủ xác định bán đất, nếu khách muốn sử dụng luôn, chỉ cần sơn sửa 1 chút là ok.Sổ đỏ hoa hậu, sẵn sàng giao dịch!            ",90 m²,35 tỷ,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35500469,batdongsan_com_vn_35500469,3 phòng,4 m,,,Full,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Huỳnh Thúc Kháng', 'Dự án Hateco Laroma']","
0986 149 ***) Cần bán gấp căn hộ Hateco Laroma, Phường Láng Thượng, Q Đống Đa, Hà Nội.+ Tầng 19 căn 05 (căn góc 1905) DT: 111,5m², thiết kế 3pn + 1 đa năng, 2 vệ sinh, cửa hướng Tây, ban công Đông, view Nguyễn Chí Thanh cực đẹp.+ Tầng 21 căn 02 (căn 2102) DT: 86,7m², thiết kế 2PN + 1 đa năng, 2 vệ sinh, cửa hướng Tây, ban công Đông, view Nguyễn Chí Thanh cực đẹp.+ Tầng 25 căn 10 (căn góc 2510) DT: 136,8m², thiết kế 3pn + 1 đa năng, 2 vệ sinh, cửa hướng Đông, ban công Tây - Bắc, view đường Láng cực đẹp.+ Nhà mình cần bán gấp với giá từ 63 triệu/m² (có thương lượng).Liên hệ chính chủ anh Tuấn Long 0986 149 ***MTG.            ",137 m²,68 triệu/m²,,3 phòng,Sở hữu lâu dài.,05/12/2022,12/12/2022,Tin thường,35143693,batdongsan_com_vn_35143693,2 phòng,,,Đông,Full nội thất cao cấp 5 sao.,Tây - Bắc
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Mai Dịch']","
+ Nhà thuộc khu tập thể phân khu Thủ Đô phân lô ô tô tránh, ô tô chạy vòng quanh, vỉa hè ô tô đỗ ngoài ngày đêm.+ Lô góc cực kỳ thoáng sáng 2 mặt Ô tô tránh,+ Tiện ích vô vàn: Chợ Đồng Xa, Siêu Thị, Ngân Hàng, Vinmart...+ Vị trí nhà phố Mai Dịch, Cầu Giấy thông tứ tung kết nối: Hồ Tùng Mậu, Doãn Kế Thiện, Trần Vỹ, Phạm Văn Đồng, Lê Đức Thọ, Nguyễn Khả Trạc.+ Đi lại thuận lợi bằng xe bằng xe buýt, tàu điện trên cao, bến xe.+ Gần trường học các cấp 1,2, cao đẳng, đại học.+ Nhà thiết kế 4 tầng.+ Sổ đỏ vuông đẹp, sẵn sàng giao dịch.+ Liên hệ Mai Phạm 0335 060 *** ",50 m²,13.1 tỷ,4 tầng,,Sổ đỏ/ Sổ hồng,01/12/2022,08/12/2022,Tin thường,34572659,batdongsan_com_vn_34572659,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Nhật Tân', 'Đường Đặng Thai Mai']","
Siêu phẩm Tây Hồ lộng gió - Đặng Thai Mai - toà nhà căn hộ penthouse 10 tầng thang máy hoành tráng, đẳng cấp - tiện ích vô vàn tây nhiều hơn ta.Mô tả:- Diện tích trên sổ 180m², diện tích thực tế đang sử dụng 195m², với 10 tầng thang máy thiết kế hiện đại, Nội thất sang trọng, không gian sống an ninh an sinh cực đỉnh, bảo vệ 24/24.Thiết kế 10 tầng, Xây dựng 150m²/ sàn.- Tầng 1 và tầng lửng Lobby làm sảnh, văn phòng, chỗ để xe, sân vườn.- Tầng 2 - 6 là 5 căn hộ 3 ngủ, 2 wc và 1 phòng giặt.- Tầng 7 + 8 + 9 là penthouse với 450m² sàn, 4 ngủ + 5 WC + bếp ăn + phòng khách, sinh hoạt + kho + sân thượng.- Chủ vừa ở vừa cho thuê với dòng tiền 10.000 Đô/ tháng. Khu vực tập chung người nước ngoài sinh sống, Tây nhiều hơn ta.- Tiện ích xung quanh vô vàn, nhà gần Hồ Tây lộng gió, an sinh, an lành.- Pháp lý: Sổ đỏ chính chủ, giao dịch ngay.            ",195 m²,78 tỷ,10 tầng,7 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,34901375,batdongsan_com_vn_34901375,7 phòng,9.2 m,4 m,,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Nguyễn Văn Giáp', 'Dự án Hoàng Thành Pearl']","
0986 149 ***) SNG Hoàng Thành Pearl, Nam Từ Liêm, căn 1902 (79,39m²), căn 2505(79,53m²) căn 1801(108,64m²), căn 2210(112,78m²), căn 1212(107,94m²) giá chỉ 48 triệu/m².- TẦNG 19 Căn 02 (1902), diện tích 79,39 m², 2 phòng ngủ, View Vinhomes Hàm Nghi, thiết không góc tối, tràn ngập ánh sáng.- TẦNG 18 CĂN 01 (1801) DIỆN TÍCH 108,64 m², căn góc 3 phòng ngủ, View Vinhomes Hàm Nghi.- TẦNG 25 căn 05 (2505), DIỆN TÍCH THÔNG THỦY 79,53 m², view nội khu Công viên NGỌC TRAI, 2 phòng ngủ với các phòng đều hướng sáng.- TẦNG 22 căn 10 (2210), diện tích sử dụng 112,78 m², view nội khu Công viên Ngọc Trai, căn góc 3 phòng ngủ với các phòng đều hướng sáng.- tầng 12 căn 12, căn góc 3 phòng ngủ, diện tích thông thủy 107,94m², thiết kế logia phòng khách và phòng ngủ master.Liện hệ chính chủ: 0986 149 *** Anh Quốc Cường.MTG.            ",108.64 m²,48 triệu/m²,,3 phòng,Sổ đỏ lâu dài,05/12/2022,12/12/2022,Tin thường,35175475,batdongsan_com_vn_35175475,2 phòng,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ']","
- Vị trí đắc địa, khu vực đông dân cư, kinh doanh. Ngay cạnh các trường ĐH, trường cấp 1,2,3, chợ... Cơ sở hạ tầng phát triển đồng bộ.- Khu vực kết nối với các đường, Lê Quang Đạo, Hàm Nghi, Nguyễn Hoàng,, Hồ Tùng Mậu, Hoàng Quốc Việt kéo dài, Phạm Hùng,.. Đi lại thuận lợi bằng xe buýt, tầu điện trên cao, bến xe.+ Nội thất hoàn thiện mỗi phòng đều có điều hoà, giường, tủ, tủ bếp và bếp, vệ sinh khép kín... Máy giặt máy sấy chung.+ Ngõ nông choẹt sát sạt mặt phố.+ Diện tích sổ đỏ quá lý tưởng cho toà nhà đôi 6 tầng - 22 phòng khép kín full đồ, dòng tiền 120 triệu/ 1 tháng (cả phí dịch vụ giặt sấy, tiền chênh điện nước.. ).Dòng tiền 10 năm xíu là gấp đôi tài sản, vừa ở vừa cho thuê, gà đẻ trứng vàng chưa bao giờ vượng đến vậy.- Sổ đỏ vuông vắn, sẵn sàng giao chủ mới.- Liên hệ: Mai Phạm 0335 060 *** ",85 m²,12.9 tỷ,6 tầng,,,01/12/2022,08/12/2022,Tin thường,35325975,batdongsan_com_vn_35325975,,,,,,
