address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Đường vào,Số tầng,Hướng nhà,Hướng ban công,Mặt tiền
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Nguyễn Cơ Thạch', 'Dự án Mỹ Đình I']","
Gia đình cần bán gấp căn hộ 86m², 3 ngủ 2wc, nội thất cơ bản, toà B6 mặt đường Nguyễn Cơ Thạch và Lưu Hữu Phước.Khu vực dân cư Đông đúc - Tiện ích Đủ Đầy, Giao thông thuận tiện Kinh doanh sầm uất ngày đêm.Vài bước chân là ra Sân vận động Mỹ Đình, Bến xe Mỹ Đình, đường đua F1.Hệ thống các trường chuẩn quốc gia.Khu đô thị lớn và cao cấp vây quanh.Nhà hiện tại đang cho thuê làm vp công ty, nội thất cơ bản. Giá 2 tỷ 800tr có thương lượng.Anh chị quan tâm liên hệ trực tiếp 0977 758 *** xem nhà (miễn TG, miễn MG).            ",86 m²,2.8 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36038048,batdongsan_com_vn_36038048,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Nguyễn Cơ Thạch', 'Dự án Mỹ Đình I']","
Bán căn hộ chung cư nhà B6 đường Nguyễn Cơ Thạch, Nam Từ Liêm, Hà Nội.B6 là tòa nhà có sảnh thang máy rộng nhất, sảnh thang máy rộng tới 60m² là sân chơi cho trẻ nhỏ.Mật độ rất thấp chỉ cao 11 tầng (8 căn/tầng = 80 căn hộ/tòa nhà).Khu vực có mặt bằng dân trí cao, vị trí trung tâm, gần các trường học chất lượng cao như Đoàn Thị Điểm, Lê Quý Đôn, Việt Úc, Vinschool,...Diện tích 86m², gồm 2 phòng ngủ. Nội thất cơ bản.Giá bán: 2,65 tỷ, bao phí, có sổ.Liên hệ: 0969 856 *** ",86 m²,2.65 tỷ,2 phòng,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36038567,batdongsan_com_vn_36038567,Cơ bản,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City - Park Hill']","
Bán gấp căn hộ cao cấp 2PN Park Hill DT 79m², giá 4,65 tỷ.Gia đình cần bán gấp căn hộ 2PN Park Hill. DT 79m². Giá 4,65 tỷ nhà mới tinh.- Thông tin căn hộ:- Diện tích: 79m² thiết kế vô cùng hợp lý: 2PN rộng, phòng khách rộng thoáng, phòng bếp riêng biệt nấu nướng không bị mùi, không gian căn hộ vô cùng rộng rãi. Nhà lại được nằm trong toà trung tâm nên vô cùng thuận tiện.- Nội thất căn hộ đầy đủ đồ: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, tủ bếp, tủ tường, điều hòa 2 chiều, giường tủ, sofa, bàn ăn...- Giá bán thiện chí: 4,65 tỷ gia đình rất thiện chí.- Liên hệ xem nhà: 0348 315 ***viber, zalo, message).- Email: lientrinh@bdsnhamoi.vn ",79 m²,4.65 tỷ,2 phòng,,,05/12/2022,12/12/2022,Tin thường,35856661,batdongsan_com_vn_35856661,"Sàn gỗ, trần thạch cao, thiết bị vệ sinh, tủ bếp, tủ tường, điều hòa 2 chiều, giường tủ, sofa, bàn ăn...",,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Đền Lừ', 'Dự án Đền Lừ I']","
Hiện tại tôi cần bán căn hộ chung cư nhà G, khu đô thị Đền Lừ, ngay sát chợ đầu mối.Diện tích: 71m².Thiết kế: 2pn, 2vs, nội thất nguyên bản.Giá: 1,45 tỷ.Liên hệ: 0965 056 ***Xin cảm ơn!            ",71 m²,1.45 tỷ,2 phòng,2 phòng,,05/12/2022,12/12/2022,Tin thường,36038564,batdongsan_com_vn_36038564,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Phố Hồng Tiến']","
Vị trí: Khu vực Nguyễn Văn Cừ - Hồng Tiến, nhà ngõ ô tô đỗ cách 10 bước chân, cầu vượt Hồng Tiến đang hoàn thiện, đường đang mở.Sân trước 4,5 x 4m, sân sau 4,5 x 1m.Nhà chính chủ xây ở chắc chắn, 3 tầng đầy đủ công năng.Chủ nhà chuyển về biệt thự Sài Đồng ở nên bán túc tắc.            ",91 m²,6.75 tỷ,,,Sổ đỏ/ Sổ hồng.,05/12/2022,12/12/2022,Tin thường,36038563,batdongsan_com_vn_36038563,Đầy đủ,5 m,3 tầng,,,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt']","
Mảnh đất 48m² Đống Đa - Ô tô vào nhà - Kinh doanh - Gần hồ Hoàng Cầu - GPXD 7 tầng thang máy.Ô tô vào nhà - kinh doanh - gần hồ hoàng cầu - nở hậu cực đẹp.- Do công việc nên chủ nhà không xây cần bán lại đất tặng Giấy phép xây dựng 7 tầng thang máy.- Kinh doanh VP, Spa, thẩm mỹ.- Sổ đỏ nở hậu cực đẹp.Liên hệ Mr Công gặp chính chủ.            ",48 m²,8.8 tỷ,,,,05/12/2022,12/12/2022,Tin thường,34288911,batdongsan_com_vn_34288911,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Yết Kiêu', 'Đường Chu Văn An', 'Dự án Samsora Premier']","
E cần bán nhanh căn 2PN Samsora - 70m² ban công ĐN, cửa Tây Bắc.Nhà nội thất cơ bản: Rèm, điều hòa, nóng lạnh, bếp, tủ bếp...Giá 2.7 tỷ có thương lượng.Căn hộ vuông vắn, tầng trung đẹp là căn hoa hậu của tòa nhà.Sổ hồng chính chủ sẵn sàng sang tên.Lh 0982 289 *** e Hà Linh.            ",70 m²,2.7 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36038556,batdongsan_com_vn_36038556,,,,Tây - Bắc,Đông - Nam,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Lê Quang Đạo', 'Dự án The Matrix One']","
Gia đình cần bán chung cư Matrix One.Căn 2 phòng ngủ, tầng cao, view thoáng. Giá bán cắt lỗ 4,4 tỷ.Liên hệ 0916 190 ***, giá bán trước Tết.            ",86 m²,4.4 tỷ,2 phòng,2 phòng,,05/12/2022,12/12/2022,Tin thường,36037680,batdongsan_com_vn_36037680,,,,,,
"['Hà Nội', 'Gia Lâm', 'Thị trấn Yên Viên', 'Phố Phan Đăng Lưu']","
Yên Viên: Mặt ngõ thẳng - thông - ô tô - cách đường lớn 10m - 02 thoáng.- Diện tích 50m², MT = hậu = 5m.- Vị trí: Ái Mộ, Yên Viên, gần Phan Đăng Lưu,- Sau nhà được hưởng khe thoáng 1m,- Nằm trên mặt ngõ thẳng, thông, cách đường lớn 10m,- Ngõ ô tô vào đất thoải mái, có chỗ đỗ xe ngày đêm,- Gần chợ, nhà văn hoá,...- Giá: 2.4 tỷ có TL.0329848888.            ",50 m²,2.4 tỷ,,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,34637821,batdongsan_com_vn_34637821,,4 m,,,,5 m
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Dự án The Link 345-CT1']","
Cần bán căn hộ The Link Ciputra bên L2.- DT 153m² 3PN 2 WC.- Hướng Tây Nam thoáng mát.- Nội thất đầy đủ chỉ việc đến ở ngay.- Sổ đỏ sẵn giao dịch ngay.LH 0986436161.(để xem nhà và thêm thông tin).            ",153 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35888614,batdongsan_com_vn_35888614,Đầy đủ nội thất.,,,Tây - Nam,Tây - Nam,
