address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Pháp lý,Đường vào,Hướng ban công,Hướng nhà
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy', '241', 'Indochina Plaza']","
Căn hộ nằm ở tháp ở tòa nhà chung cư cao cấp bậc nhất Hà Nội, tòa Indochina Plaza 241 Xuân Thủy, Cầu Giấy, Hà Nội. Với vị trí đắc địa vô cùng thuận tiện được quản lý bởi CBRE chuẩn chỉ, Đặc điểm: Căn hộ 98m² thiết kế 02 phòng ngủ riêng biệt + 01 phòng khách + 01 phòng bếp + 02 nhà tắm.Căn hộ hiện có nội thất đầy đủ: Điều hòa hai chiều, nóng lạnh, rèm cửa, sàn gỗ, bếp điện, hệ thống tủ bếp, lò nướng + vi sóng, tủ lạnh side by side, tivi, giường chăn đệm ngủ, bàn ăn, sofa, máy giặt.- Dịch vụ: Rạp chiếu phim, nhà hàng, trung tâm thương mại, bể bơi, sân chơi, gym.+ Hệ thống rèm tự động 2 lớp.+ Hệ thống chiếu sáng và đèn ngủ chất lượng cao.+ Truyền hình cáp, TV màn hình rộng.+ Internet tốc độ cao.+ Miễn phí dịch vụ: Phòng tập thể dục, hồ bơi, nhà trẻ...+ Dịch vụ khách hàng 24/7.- Vị trí: Gần trường cấp 1, 2, các trường ĐH Quốc Gia, Sư Phạm, Báo Chí, gần chợ đầu mối...View thoáng về trung tâm thành phố, không bị ồn từ sân chính.LH Mr Tuan 0974 877 *** ",98 m²,4.6 tỷ,2 phòng,2 phòng,"Nội thất đầy đủ: Điều hòa hai chiều, nóng lạnh, rèm cửa, sàn gỗ, bếp điện, hệ thống tủ bếp, lò nướng + vi sóng, tủ lạnh side by side, tivi, giường chăn đệm ngủ, bàn ăn, sofa, máy giặt.",01/12/2022,08/12/2022,Tin thường,27957768,batdongsan_com_vn_27957768,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Thịnh Liệt', 'Đường Nguyễn Chính']","
Nhà đẹp đón Tết - giá cả hợp lý - gần ô tô - cách ô tô tránh 20m - công năng đầy đủ - nhà 2 thoáng vĩnh viễn.+ Cách ô tô dừng đỗ 20m, đường trước nhà thông, bagac tránh xe máy, 2 mặt thoáng vĩnh viễn.+ Vài phút ra chợ Tân Mai, tiện ích đầy đủ không thiếu thứ gì.+ Nhà xây 5 tầng kiên cố, khung cột chắc chắn, mua về ở ngay.- Tầng 1: Khách, bếp, wc.- Tầng 2, 3, 4 tầng 1 ngủ rộng, wc.- Tầng 5: Phòng thờ sân phơi.+ Sổ chính chủ, vuông đẹp, giao dịch ngay.- Liên hệ: Quang Huy 0372 222 *** ",31 m²,3.25 tỷ,3 phòng,4 phòng,,06/12/2022,13/12/2022,Tin thường,36042479,batdongsan_com_vn_36042479,4 m,5 tầng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Thịnh']","
Bác Thu Cán bộ bộ Y Tế đã nghỉ hưu nhờ bán nhà phố Thái Thịnh, Đống Đa gần 40m², 4 tầng, giá 4,2 tỷ.- Nhà nằm trong khu trung tâm quận Đống Đa, khu dân trí cao, ngập tràn tiện ích. Rất gần bệnh viện Trâm Cứu trung ương, vài bước chân ra Đại Học Công Đoàn, Thủy Lợi, Học Viện Ngân Hàng, Cao Đẳng dạy Nghề Hà Nội.- Nhà nằm mặt ngõ thẳng, thoáng, rộng 2 xe máy tránh nhau vèo vèo, đi bộ ra phố chính Thái Thịnh 50m.- Bệnh viện trung ương Xanh Pôn, Bệnh viện Nhi Trung ương, bệnh viện Phụ Sản Trung ương.- Nhà khung bê tông chắc chắn, rộng rãi, đầy đủ công năng, nhiều phòng ngủ. Khách về chỉ việc mang quần áo đến ở.- Chủ nhà là Cán bộ công chức ở rất giữ gìn, nhờ bán để chuyển lên chung cư Cao cấp Mipec gần đấy.- Sổ đỏ sẵn sang giao dịch.- Liên hệ: Mr Ngọc 24h/7 để nhận được hỗ trợ mọi vấn đề về BĐS hoàn toàn miễn phí.            ",40 m²,4.2 tỷ,4 phòng,3 phòng,,03/12/2022,10/12/2022,Tin thường,36020557,batdongsan_com_vn_36020557,3.6 m,4 tầng,Sổ đỏ/ Sổ hồng,2.5 m,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chính chủ muốn đổi sang căn có diện tích lớn hơn cần bán cắt lỗ căn hộ 2 PN thuộc KĐT Vinhomes Ocean Park Gia Lâm.DT: 60,1m² thiết kế 2PN 1 VS.Tầng trung.Hướng mát.Sổ đỏ cất két sẵn sàng giao dịch, không vay NH.Căn hộ đã hoàn thiện full nội thất khách mua chỉ cần xách valy về ở.Cộng đồng cư dân văn minh.Tiện ích đầy đủ như một thành phố thu nhỏ, thuận tiện mua sắm, giải trí. Giao thông đồng bộ thuận tiện kết nối đến nội thành Hà Nội và các vùng lân cận.Khách quan tâm LH: 0918 661 *** ",60.1 m²,1.6 tỷ,2 phòng,1 phòng,Full nội thất.,02/12/2022,09/12/2022,Tin thường,36009160,batdongsan_com_vn_36009160,,,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Dự án An Bình City']","
Tôi có căn góc 83m² tầng trung nhưng do chuyển công tác nên bán lại. Thông tin căn hộ như sau: 0971 335 ***.1. Đặc điểm căn hộ.- Diện tích 83m².- Tầng cao thoáng mát.- Hướng ban công: Tây phù hợp với những người Tây Tứ Trạch, view hồ điều hòa 15ha.- Ban công Nam đón gió thoáng mát, view bể bơi.- Là căn 3PN có thiết kế hợp lý với tất cả các phòng đều lấy ánh sáng và gió tự nhiên.- Phòng khách rộng 26m² đảm bảo không gian sinh hoạt chung của cả gia đình.- Phòng ngủ master rộng 14,2m² rộng thoải mái kê đồ.- Phòng ngủ phụ diện tích 13,4m² và 11,7m² có cửa sổ kính lớn tạo không gian thoáng đãng, tràn ánh sáng và gió trời.- Không gian phòng tắm và WC 3.3 m² thoải mái cho sinh hoạt gia đình.- Căn hộ có thiết kế bếp cạnh cửa sổ lớn giúp bay mùi và tràn ánh sáng cho không gian bếp nấu.- Là một trong những căn hộ hiếm hoi của dự án An Bình dành cho khách hàng Tây Tứ Trạch.2. Nội thất.- Nội thất nguyên bản chủ đầu tư gồm sàn gỗ, trần thạch cao, hệ thống điện, đầu chờ điều hòa, phòng WC full nội thất và phòng tắm, đèn Led âm trần...Điện thoại liên hệ: 0971 335 ***. Rất nhiệt tình tiếp đón quý khách.            ",83 m²,Thỏa thuận,3 phòng,2 phòng,"- Nội thất nguyên bản chủ đầu tư gồm sàn gỗ, trần thạch cao, hệ thống điện, đầu chờ điều hòa, phòng WC full nội thất và phòng tắm, đèn Led âm trần...",06/12/2022,13/12/2022,Tin thường,20616054,batdongsan_com_vn_20616054,,,,,Tây,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Dương Quảng Hàm']","
Chính chủ cần bán gấp nhà phố Dương Quảng Hàm 125m², thang máy, KD sầm uất giá 19.9 tỷ.+ Nhà được thiết kế xây dựng 7 tầng, thang máy theo phong cách hiện đại + 23 phòng khép kín Full nội thất, rất sang trọng.+ Khu nhà ở gần sát trường đại học Thủ Đô, gần Trường Học Viện Báo Trí, Trường Cao Đẳng Sư Phạm Trung Ương, Trường Học Viện Bưu Điện nên nhu cầu thuê phòng rất cao, dòng tiền luôn ổn định.+ Nhà nằm trên đường Dương Quảng Hàm, nối giữa đường Cầu Giấy sang đường Nguyễn Khánh Toàn, thông sang phố Nguyễn Văn Huyên và nhiều tuyến phố khác nên giao thông đi lại rất thuận tiện.+ Sổ đỏ vuông đẹp, pháp lý sạch, sẵn sàng giao dịch.+ Liên hệ tôi Hậu 0867 066 *** để xem nhà.            ",125 m²,19.9 tỷ,,,,06/12/2022,13/12/2022,Tin thường,35436321,batdongsan_com_vn_35436321,,7 tầng,Sổ đỏ,,,
"['Hà Nội', 'Đống Đa', 'Phường Kim Liên', 'Đường Phạm Ngọc Thạch']","
Chính chủ cần bán biệt thự trung tâm phố Phạm Ngọc Thạch quận Đống Đa, ô tô vào nhà:+ Vị trí trung tâm quận, thông các phố nổi tiếng Xã Đàn, Kim Liên, Chùa Bộc, các trung tâm thương mại lớn, trường học bệnh viện đầy đủ cả.+ Kiến trúc biệt thự Pháp cổ, 3 tầng, có sân vườn thích hợp ở sướng, đầu tư xây mới đều đẹp.+ Sổ vuông đẹp, nở hậu nhẹ giao dịch ngay.Chủ thiện chí bán chào giá 18 tỷ có thương lượng.Liên hệ xem nhà: Mr Quyến 0364 901 ***Cam kết ảnh thật thông tin thật).            ",130 m²,18 tỷ,4 phòng,3 phòng,Đầy đủ nội thất,05/12/2022,12/12/2022,Tin thường,35963527,batdongsan_com_vn_35963527,8 m,3 tầng,Sổ đỏ/ Sổ hồng,10 m,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Dự án An Lạc Green Symphony']","
An Lạc Green Symphony có 2 căn bt ngon quá.Anh chị sẵn tiền mua thì quá ngon.Diện tích: 186m² - 15 tỷ.Diện tích: 201m² - 15.5 tỷ.LH: 0912 347 *** ",201 m²,15.5 tỷ,,,,01/12/2022,08/12/2022,Tin thường,36003204,batdongsan_com_vn_36003204,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 420']","
Chính chủ bán lô góc 3 mặt tiền vị trí hot nhất, sinh lời cao cho nhà đầu tư.Diện tích 130m² full thổ cư mặt tiền 7m, nở hậu.Đường hai ô tô tránh nhau.Vị trí ngay sau trường cấp 2 và uỷ ban xã Bình Yên, Thạch Thất, thành phố hà Nội cách khu công nghệ cao 3 phút đi xe, cách Tỉnh Lộ 420 chỉ 300m.Xung quanh dân cư đông đúc, gần chợ, pháp lý rõ ràng, công chứng ngay trong ngày.Giá cho nhà đầu tư.LH em số ĐT: 0988 697 *** dẫn đi xem đất và công chứng luôn trong ngày.            ",130 m²,18 triệu/m²,,,,01/12/2022,08/12/2022,Tin thường,36004506,batdongsan_com_vn_36004506,7 m,,Sổ đỏ/ Sổ hồng,7 m,,Đông - Nam
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Riverside']","
Gia đình cần bán nhanh căn góc tòa R2 chung cư Sunshine Riverside.+ Thiết kế: 3PN + 2WC + 2 ban công, có ban công phòng khách.+ Diện tích: 92m² thông thủy.Giá: 4 tỷ mới tinh, đã có sổ.Nội thất cao cấp: Điều hòa âm trần, sàn gỗ, tủ bếp, bếp từ Hafele, TBVS Kohler - Đức, lavabor, gương led.Tiện ích đầy đủ: Bể bơi, gym, siêu thị, cafe, ăn sáng, hiệu thuốc, ngân hàng...Liên hệ xem nhà trực tiếp 0966 286 *** Ms. Lý.            ",92 m²,4 tỷ,3 phòng,2 phòng,Đầy đủ,02/12/2022,09/12/2022,Tin thường,35447147,batdongsan_com_vn_35447147,,,Sổ đỏ/ Sổ hồng,,,Đông
"['Hà Nội', 'Huyện Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Do đi công tác nước ngoài nên cần bàn nhanh căn hộ 2 PN Vinhomes Ocean Park nhà bàn giao chủ đầu tư, view hồ lớn Ngọc Trai, hướng mát, nhà đã có sổ đỏ. Toà căn hộ gần trung tâm khu bàn giao mới của chủ đầu tư.            ",55 m²,1.78 tỷ,2 phòng,1 phòng,Đã có 3 điều hoà ,01/12/2022,08/12/2022,Tin thường,35648797,batdongsan_com_vn_35648797,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Phố Trần Bình', 'Dự án Dolphin Plaza']","
Chủ nhà gửi bán các căn hộ 133m² tại tháp 2 Dolphin Plaza - Mỹ Đình.- Giá bán: 4,5 tỷ.- Diện tích: 133m².- Thiết kế căn hộ:+ 2 + 1 phòng ngủ - 2 vệ sinh.+ Hướng cửa: Nam.+ Hướng ban công: Bắc.+ Sổ đỏ chính chủ.+ Nội thất cơ bản.= Liên hệ: 0962 636 *** ",133 m²,4.5 tỷ,3 phòng,2 phòng,Nội thất cơ bản,06/12/2022,13/12/2022,Tin thường,36042471,batdongsan_com_vn_36042471,,,Sổ đỏ/ Sổ hồng,,Bắc,Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Phố Nghĩa Tân']","
Chính chủ bán căn hộ 100m², tầng 2 TT Nghĩa Tân + nội thất, giá 1.8 tỷ (TL).Căn hộ khu TT Nghĩa Tân, diện tích 100m², 3PN, PK, bếp, 2 VS nhà đẹp, trần cao thoáng, nhà đã làm đẹp rồi, có để lại nội thất tiện nghi, khách mua về ở luôn...+ Khu dân trí cao, gần trường tiểu học Nghĩa Tân, trung học CS Nghĩa Tân, Lê Quý Đôn... Gần các trường đại học lớn: Đại học Điện Lực, học viện Công Nghệ Bưu Chính Viễn Thông, đại học Sư Phạm I, đại học Ngoại Ngữ, ĐHQG Hà Nội, gần bệnh viện, công viên Nghĩa Đô..Giá bán: 1,8 tỷ có thương lượng cho ai nhiệt tình.Liên hệ Anh Hải: 0977 689 *** ",100 m²,1.8 tỷ,3 phòng,2 phòng,,06/12/2022,13/12/2022,Tin thường,36042467,batdongsan_com_vn_36042467,,,,,,
