address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Pháp lý,Hướng ban công,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Đường Nguyễn Khuyến', 'Dự án KĐT Văn Quán']","
Bán nhà liền kề KĐT Văn Quán như sau:- Diện tích 88.5m², MT 5.1m.- Nhà xây dựng 5 tầng.+ Tầng 1: Gara ô tô và văn phòng.+ Tầng 2: Phòng bếp và khách.+ Tầng 3: 2PN to + 1 phòng thư viện.+ Tầng 4: 2PN + 1 phòng thờ.+ Tầng 5: Kho + sân phơi vườn rau.- Đường trước nhà rộng 12m.Giá bán: 14 tỷ có thỏa thuận.Cam kết đến thời điểm hiện tại sản phẩm trên là vẫn còn. Không báo diện tích ảo và giá ảo.Để biết thêm thông tin chi tiết vui lòng liên hệ Mr Cường 0903 491 ***. Có thời gian 10 năm Chuyên môi giới mua - bán nhà liền kề, biệt thự KĐT Văn Quán Hà Đông. Kênh thông tin uy tín và đầy đủ nhất khu vực đô thị Văn Quán.Địa chỉ: Văn phòng BĐS Tâm Đức Tín. Địa chỉ A66 - TT11 Khu đô thị Văn Quán, Hà Đông Hà Nội.Truy cập website: http://nhadatvanquan.com để có thêm lựa chọn.Nhận ký gửi bán và tìm mua nhà theo yêu cầu của quý khách.Chân thành cám ơn đã đọc tin.            ",88.5 m²,14 tỷ,5.1 m,12 m,Đông - Nam,5 tầng,4 phòng,27/11/2022,04/12/2022,Tin thường,12536398,batdongsan_com_vn_12536398,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Vĩnh Hưng', 'Đường Vĩnh Hưng']","
+ Ngõ to rộng ba gác phi ầm ầm, 10m ra đường ô tô, kinh doanh online.+ Dân trí cao, an ninh tốt, nhà rất thoáng, mùa hè mát mẻ, mùa đông ấm cúng.+ Bán kính 1km đầy đủ tiện ích, gần chợ, gần trường.+ Giao thông thuận tiện, nhà gần các đường Tân Khai, Lĩnh Nam,..+ Nhà chỉ mất 5p xe máy đến TTTM Times City.+ Chủ nhà ở có lộc, bán đi để mua nhà to hơn.+ Khách chỉ cần xách vali về ở luôn.+ Thiết kế 6 tầng:+ Tầng 1: Khách, bếp, WC.+ Tầng 2,3,4: Phòng ngủ, WC.+ Tầng 5: Phòng thờ, sân phơi.+ Tầng 6: Tiểu sảnh trồng rau.+ Sổ đỏ vuông vắn, sẵn sàng giao dịch.+ Liên hệ Mr Học chuyên khu vực Hoàng Mai.            ",32 m²,3.3 tỷ,,3 m,,6 tầng,3 phòng,27/11/2022,04/12/2022,Tin thường,35793309,batdongsan_com_vn_35793309,4 phòng,Sổ đỏ,,
"['Hà Nội', 'Hà Đông', 'Phường Yết Kiêu', 'Đường Quang Trung', 'Dự án Tòa Tháp Thiên Niên Kỷ']","
Nhà mới đón Tết.Hot! Bán căn góc hoa hậu (số 11a), tòa (Thiên Niên Kỷ) - Giá tốt nhất thị trường.Thông tin chi tiết căn hộ như sau:+ Nhà vuông vắn, tầng trung, view đường Nguyễn Trãi, ban công rộng thoáng. Hướng Đông Nam, các phòng đều có ánh sáng tự nhiên.+ Căn hộ 55m² thiết kế 2PN 1WC, phòng khách, bếp, ban công, logia.+ Giá: 2.2xx tỷ sổ đỏ sẵn sàng giao dịch.Anh chị có nhu cầu liên hệ 0973 262 *** để xem nhà ngay.            ",55 m²,2.28 tỷ,,,Tây - Nam,,2 phòng,22/11/2022,29/11/2022,Tin thường,35919605,batdongsan_com_vn_35919605,1 phòng,Sổ đỏ,Đông - Nam,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Doãn Kế Thiện']","
Chính chủ bán ngay căn chung cư 48m² phố Doãn Kế Thiện, Q. Cầu Giấy. SĐCC.+ Căn hộ nằm trên con phố ẩm thực và đầy đủ tiện ích, cạnh siêu thị Aeon Nhật Bản.+ Tặng toàn bộ nội thất hiện có cho chủ mới.+ Vị trí trung tâm, gần nhiều trường đại học lớn (Quốc Gia, thương mại, điện lực, ngoại ngữ.. ) trường học các cấp 1,2,3..+ Căn hộ tầng 2 trong tòa nhà 7 tầng, thang máy.+ Diện tích 45m², 2PN, 1 WC, bếp, phòng khách, logia đầy đủ.+ SĐCC đồng sở hữu đứng tên cùng các hộ trong toà nhà hoàn toàn yên tâm, đang cho thuê là 84tr/năm(7tr/ tháng + 1 tháng cọc) nếu mua có thể tiếp tục hợp đồng với người thuê cũ.+ Giá 1 tỷ giá thực tế thị trường là 1.25 tỷ Liên hệ ngay chính chủ 0967 555 *** mình tên Sơn.            ",48 m²,1 tỷ,,,Đông - Bắc,,2 phòng,25/11/2022,02/12/2022,Tin thường,35870398,batdongsan_com_vn_35870398,1 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,"Full nội thật điều hoà, bếp từ..nóng lạnh"
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Trường Chinh']","
Chung cư N01 Trường Chinh - Tây Sơn - Ngã Tư Sở.Liên hệ Trường chủ đầu tư 0971 846 ***Căn hộ xây dựng mới hiện đại, đã hoàn thiện có thể xách đồ về ở ngay.Gần các trường đại học - chợ - siêu thị - trường học các cấp - đi lại thuận lợi.Giá bán: 605tr - 714tr - 939tr - hơn 1 tỷ.Diện tích: 45m² - 48m² - 49m² - 51m² - 56m².Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Liên hệ trực tiếp chủ đầu tư để mua nhà - add zalo để nhận video căn hộ.            ",45 m²,605 triệu,,,Tây,,2 phòng,23/11/2022,30/11/2022,Tin thường,34070423,batdongsan_com_vn_34070423,1 phòng,Sổ đỏ/ Sổ hồng,Đông,Nội thất cơ bản đầy đủ về ở ngay
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Đường Văn Cao']","
Bán gấp! Chung cư N2 Phố Văn Cao - Đội Cấn - Ba Đình.Liên hệ Trường chủ đầu tư để mua nhà 0971 846 ***Ô tô đỗ gần nhà - căn hộ 1 - 2 phòng ngủ - căn hộ sáng thoáng ký hợp đồng trực tiếp chủ đầu tư.Diện tích: 45m² - 49m² - 50m² - 52m² - 55m².Giá bán: 620tr - 744tr - 971tr - 1 tỷ.Khách hàng không mất thêm bất kỳ chi phí nào khác.Pháp lý đầy đủ và đảm bảo theo quy định của pháp luật.Khách hàng liên hệ trực tiếp chủ đầu tư để mua nhà giá gốc.            ",45 m²,620 triệu,,,Đông,,2 phòng,25/11/2022,02/12/2022,Tin thường,32198340,batdongsan_com_vn_32198340,1 phòng,,Đông - Nam,Đầy đủ nội thất về ở ngay
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Đằng', 'Đường Tây Kết']","
+ Vị trí đẹp, trước nhà ô tô tránh, ngõ thông tứ tung, giao thông vô cùng thuận tiện.+ Tiện ích xung quanh đầy đủ, bán kính 1km: Trần khát chân, Lương yên, Trần khánh dư, Bạch đằng,..+ Nhà chủ xây vô cùng tâm huyết, khách mua về chỉ cần ở.+ Nhà lên phố hồ gươm chỉ mất vài phút, cách timecity khoảng 1km.+ Thiết kế: Thoáng trước sau.+ Tầng 1: Phòng khách, bếp, nhà để xe, wc.+ Tầng: 2 + 3 + 4: Mỗi tầng 1 phòng ngủ rộng, wc.+ Tầng 5: Tum và sân phơi.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Liên hệ Mr Học chuyên khu vực Hai Bà Trưng.            ",40 m²,5.5 tỷ,,4 m,Nam,5 tầng,3 phòng,27/11/2022,04/12/2022,Tin thường,35708166,batdongsan_com_vn_35708166,3 phòng,,,
"['Hà Nội.', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Vỡ nợ cần tiền gấp cắt lỗ bán nhanh căn 1N + 1 tại Vinhomes Ocean Park.- Thông tin căn hộ.+ Tổng diện tích: 47m².+ Tầng trung, view thoáng đẹp, ban công Đông Nam.+ Thiết kế: 1 phòng ngủ, 1WC, phòng khách, bếp và phòng đa năng. Các phòng rất vuông vắn, rộng rãi; đặc biệt là phòng đa năng, có thể làm phòng ngủ với giường tầng cho các bé hoặc làm phòng làm việc, phòng đọc sách thư giãn, không khác gì căn 2N.+ Nội thất nguyên bản chủ đầu tư (đã có điều hòa, nóng lạnh).+ Vị trí cực đẹp (nằm ở gần TTTM, trường ĐH Vinuni, công viên BBQ, máy tập gym miễn phí, Biển hồ nước mặn, cát trắng trải dài... Cùng hàng ngàn tiện ích ngay dưới chân tòa.+ Giá bán nhanh 1,3 tỷ.+ Hỗ trợ vay ngân hàng, thủ tục nhanh gọn.+ Pháp lý: Sổ đỏ chính chủ, pháp lý rõ ràng chủ nhà dễ tính.Liên hệ em Quang: 0969 493 ***call/Zalo) xem nhà miễn phí, hỗ trợ mọi thủ tục.            ",47 m²,1.3 tỷ,,,,,1 phòng,23/11/2022,30/11/2022,Tin thường,34778308,batdongsan_com_vn_34778308,1 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,"Nội thất nguyên bản chủ đầu tư (đã có điều hòa, nóng lạnh)."
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Kim Hoa']","
DT: 62m². MT: 3.6m. Xây 3 tầng.Tầng 1 cửa hàng. Kinh doanh.Tầng 2 + 3 có 6 căn hộ cho thuê.Nhà ở giữa phố, đoạn đông vui nhất Kim hoa.- Giá: 11 tỷ có TL.- SĐCC.- Liên hệ: Cô Mùi: 0904 056 *** ",62 m²,11 tỷ,3.6 m,,,3 tầng,6 phòng,21/11/2022,05/01/2023,Tin thường,35509636,batdongsan_com_vn_35509636,2 phòng,,,
"['Hà Nội', 'Đông Anh', 'Xã Nam Hồng']","
Gia đình cần tiền bán 60m² đất ở lâu dài, đã có sổ riêng. Đất hướng Tây, mặt tiền, hậu 4 m, sâu 15m, trước đất là đường bê tông 7,5m và sân bê tông công cộng. View thoáng mát, nhiều cây xanh to, môi trường sạch sẽ, hạ tầng cơ sở tốt. Giao thông tiện nghi đi sân bay 15p, cầu Nhật Tân 15p, cầu Thăng Long 5p; gần bến đỗ của 8 tuyến xe Bus chạy qua... Xe khách đường dài. An ninh tốt, dân trí cao, thân thiện. Giá tốt cho ace ai có nhu cầu liên hệ. Thank you!            ",60 m²,2.04 tỷ,4 m,7.5 m,Tây,,,24/11/2022,01/12/2022,Tin thường,35199668,batdongsan_com_vn_35199668,,,,
