address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Nội thất,Đường vào,Pháp lý,Hướng nhà
"['Hà Nội', 'Hoàng Mai', 'Phường Mai Động', 'Đường Tam Trinh', 'Dự án Helios Tower 75 Tam Trinh']","
Tôi cần bán gấp căn hộ 2PN tại tòa chung cư Helios 75 Tam Trinh. Vui lòng liên hệ 0971 283 *** để xem nhà.Thông tin căn hộ:- Số PN: 2PN + 2WC.- Diện tích: 68m².- Nội thất căn hộ: Điều hòa, nóng lạnh, tủ bếp + bếp, thiết bị nhà vệ sinh, sàn gỗ, trần thạch cao...- Nhà đã có sổ đỏ.- Có căn slot oto, bên này đã full hết chỗ để oto, cực kỳ khó có lốt cho xe mới.- Giá bán: 2.7 tỷ.CC Helios vị trí rất thuận tiện giao thông, khu chung cư đầy đủ tiện ích gym, bể bơi, spa, cắt tóc gội đầu, siêu thị Vinmart, trung tâm tiếng Anh...Sổ đỏ pháp lý đầy đủ an toàn cho người mua nhà.Liên hệ chính chủ: 0971 283 ***.            ",68 m²,2.7 tỷ,2 phòng,2 phòng,28/11/2022,05/12/2022,Tin thường,35724167,batdongsan_com_vn_35724167,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Dương Văn Bé']","
Gia đình cần lo việc, nên bán căn nhà mặt phố Dương Văn Bé, quận Hai Bà Trưng. Vỉa hè rộng rãi, kinh doanh cực kỳ sầm uất.Nhà 6 tầng tự xây kiên cố, tâm huyết chắc chắn. Diện tích 56m² - Mặt tiền 3.8m.Thiết kế hợp lý:- Tầng 1,2: Thông sàn.- Tầng 3: Khách + bếp.- Tầng 4,5: Mỗi tầng 2 ngủ + WC.- Tầng 6: Phòng thờ + sân phơi.+ Sổ đỏ vuông đẹp.+ Hiện nhà đang cho thuê, kinh doanh, kết hợp ở.Giá chào: 19 tỷ, có thương lượng.Liên hệ 0988 870 *** ",56 m²,19 tỷ,4 phòng,,30/11/2022,07/12/2022,Tin thường,35914335,batdongsan_com_vn_35914335,3.8 m,6 tầng,Nội thất đồng bộ.,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Mai Động', 'Đường Tam Trinh', 'Dự án Helios Tower 75 Tam Trinh']","
Chúng tôi chuyên mua bán các căn hộ tại chung cư Helios 75 Tam Trinh quỹ căn hộ độc quyền, đẹp nhất và mức giá tốt nhất thị trường Liên hệ Hotline (24/24) 0901 752 ***Ngoài ra chúng tôi nhận ký gửi mua bán, cho thuê các căn hộ thuộc tòa Helios. Quý Chủ nhà cần bán hay cho thuê vui lòng liên hệ hotline (24/24) 0901 752 ***Thông tin căn hộ:Diện tích:- 2PN + 2WC: Diện tích 63 m² 68 m² 70 m² 79 m² 80 m².- 3PN + 2WC: Diện tích 98.5 m².Căn hộ được thiết kế tối ưu phù hợp với hộ gia đình.Nội thất: Tùy từng căn hộ.- Sàn gỗ.- Trần thạch cao.- Điều hòa, nóng lạnh.- Tủ bếp và thiết bị bếp.- Thiết bị vệ sinh.- Điều hòa.- Bình nóng lạnh.- Bàn ghế.- Giường tủ.- TV.- Tủ lạnh.- Máy giặt.Giá bán.- 2PN: 2.6 tỷ - 3.3 tỷ.- 3PN: 3.8 tỷ - 4.1 tỷ.Phí dịch vụ: 6.6 k/m².- Oto: 1.2 triệu/tháng.- Xe máy: 80k/tháng.Tiện ích căn hộ:- Phòng Gym cao cấp.- Bể bơi bốn mùa.- Spa.- Hair, Nail Salon.- Siêu thị mini.- Nhà hàng.- Café.- Trung tâm Tiếng Anh.- Trung tâm dạy kỹ năng mềm cho trẻ em.- Mầm non.- Văn phòng.Helios nằm gần Times City nên được hưởng ké tiện ích của Times City:- Vinschool.- Vinmec.- Vincom Mega Mall.- Thủy cung.- Ngân hàng.- Rạp chiếu phim CGV.- Store thời trang, mỹ phẩm.- Nhà hàng Buffet: Haidilao, Manwah, Gogi.- KFC, Lotteria.Dự án Helios có vị trí giao thông cực kỳ thuận tiện, sổ đỏ pháp lý an toàn, giá cả hợp lý phù hợp với nhiều khách hàng.Hỗ trợ tư vấn và đi xem căn hộ miễn phí 100% - Liên hệ Hotline (24/24): 0901 752 *** ",68 m²,2.6 tỷ,2 phòng,2 phòng,28/11/2022,05/12/2022,Tin thường,35724046,batdongsan_com_vn_35724046,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Trần Hữu Dực', 'Dự án Florence Mỹ Đình']","
Cần chuyển nhượng căn hộ 3PN dự án Florence Mỹ Đình giá 3.2tỷ.- Diện tích: 80,5m².- Hướng Tây Tứ Mệnh.- Thiết kế 3PN 2WC (thiết kế thông thoáng cả các phòng đều có ánh sáng).- Để lại toàn bộ nội thất.- Pháp lý sổ đỏ.(Ngoài ra còn rất nhiều quỹ căn 2 - 3 phòng ngủ giá tốt chủ nhà gửi bán).Chi tiết và xem nhà: 0365 775 *** ",80.5 m²,3.2 tỷ,3 phòng,2 phòng,24/11/2022,24/12/2022,Tin thường,35939150,batdongsan_com_vn_35939150,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Phố Yên Lạc', 'Ngõ 60']","
Bán nhà chính chủ Yên Lạc 45m² x 5T thang máy, nhà mới đẹp, cách đường ô tô 10m, 6.5 tỷ.Nhà cách đường ô tô đúng 10m, ngõ rộng thoáng, nhà xây theo kiến trúc châu Âu, nội thất sang trọng đi ra các tuyến phố như Minh Khai, Kim Ngưu, Thanh Nhàn, Lạc Trung... Vô cùng tiện. Nhà được thiết kế:Tầng 1: Phòng khách, thang máy, wc.Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ, 1 wc.Tầng 5: Tầng thờ, Phòng ăn, sân phơi.Nhà vừa mới hoàn thiện, mới, chủ nhà xây dựng có tâm với nội thất cao cấp, cửa nhôm kính Xingpha, cửa chính, cửa phòng bằng gỗ Lim, tay vịn cầu thang gỗ, thiết kế kiểu phong cách Châu Âu độc đáo.SĐCC, giá 6.5 tỷ có thương lượng.Liên hệ c Tâm 0936 360 *** ",45 m²,6.5 tỷ,3 phòng,4 phòng,30/11/2022,07/12/2022,Tin thường,35828618,batdongsan_com_vn_35828618,4 m,5 tầng,,3 m,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Văn Cừ', '390', 'Berriver Long Biên']","
Chỉ với 40 triệu/m² diện tích căn hộ từ 48 - 65 - 75 - 81 - 100 - 115 - 179 m² để sở hữu căn hộ đắt giá tọa lạc tại vị trí vàng quận Long Biên, ngay trong ""siêu giao lộ"" kết nối hoàn hảo với trục giao thông trọng yếu:+ Nhận chiết khấu lên đến 7% khi thanh toán sớm.+ Tặng voucher mua hàng đón Tết tại BRG Mart trị giá 20 triệu/voucher.+ Giảm 3 triệu/m² thông thủy với gói ""Không gian sáng tạo.+ Gói quà tặng nội thất lên tới 85 triệu VND.+ Quà tặng trị giá 3 chỉ vàng AJC 9999 dành cho các chủ nhân may mắn.+ Miễn phí dịch vụ quản lý lên đến 24 tháng.+ Hỗ trợ lãi suất lên tới 70% GTCH miễn lãi và gốc trong vòng 15 tháng.Đặc biệt.* Cơ hội trúng thưởng ô tô Honda HRV, SH 150i và 2 cây vàng AJC linh vật năm mới.Sở hữu Căn hộ ""cận thị, cận giang, cận lộ"" hiếm hoi trong nội đô Hà Nội - tận hưởng cuộc sống tiện nghi cùng tiện ích chuẩn ""resort"" ngay trong thành phố!Liên hệ ngay để được tư vấn về ưu đãi CSBH trong tháng 12 này tại Berriver Jardin.Liên hệ hotline phòng KD: 0969 640 *** Ms. Hương            ",80 m²,3.3 tỷ,3 phòng,2 phòng,25/11/2022,05/12/2022,Tin thường,32090274,batdongsan_com_vn_32090274,,,Bàn giao CB.,,Sổ hồng lâu dài.,
"['Hà Nội', 'Hoàng Mai', 'Phường Mai Động', 'Đường Tam Trinh', 'Ngõ 87']","
Lô góc - nhà 3 tầng 1 tum chất lượng còn 80% - sơn sửa là ngon. Phù hợp gia đình nhỏ.- Hàng xóm Times City.- Đầu số nhỏ Tam Trinh, ngõ thông tứ tung ra Tam Trinh, Minh Khai.- Tầng 2: 1 phòng ngủ + wc.- Tầng 3: 1 phòng ngủ + wc.* Mô tả:- Tầng 1: Phòng khách, bếp, wc.- Tum: Phòng thờ, sân phơi, cây cảnh.- Sổ đỏ chung pháp lý chuẩn.            ",22 m²,1.7 tỷ,2 phòng,3 phòng,30/11/2022,10/12/2022,Tin thường,35987014,batdongsan_com_vn_35987014,,4 tầng,Đầy đủ.,2 m,Sổ đỏ chung.,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê', 'Ngõ 378']","
- Bán nhà ngõ 378 Thuỵ Khuê nhà xây mới chủ xây rất tâm huyết thường xuyên có mặt để giá sát nên dù lỗi nhỏ cũng bắt sửa.- Thiết kế 5 tầng.+ Tầng 1 phòng khách, bếp, nhà vệ sinh.+ Tầng 2,3,4 phòng ngủ nhà vs.+ Tầng 5 sân phơi đồ.- Nhà được thiết kế theo phong cách hiện đại nội thất cao cấp.+ Pháp lý nhà xây dựng 1 căn riêng biệt sổ đỏ chính chủ, có giấy phép xây dựng đầy đủ.- Vị trí 2 phút đi bộ ra mặt Hồ Tây đầy đủ các tiện nghi, cách ngõ ô tô vào 20m.- Liên hệ xem nhà Mr Hiển 0973 846 *** ",38 m²,4.4 tỷ,3 phòng,4 phòng,25/11/2022,02/12/2022,Tin thường,35788343,batdongsan_com_vn_35788343,4 m,5 tầng,,2 m,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Chung cư 536A Minh Khai']","
Ban quản lý chuyên bán các căn hộ tại chung cư 536A Minh Khai quỹ căn hộ độc quyền, đẹp nhất và mức giá tốt nhất thị trường liên hệ 0901 752 ***Ngoài ra chúng tôi nhận ký gửi mua bán, cho thuê các căn hộ thuộc tòa 536A Minh Khai. Quý chủ nhà cần bán hay cho thuê vui lòng liên hệ hotline (24/24) 0901 752 ***Diện tích:- 2PN: 49 m² - 55 m² - 72 m² - 75 m².- 3PN: 92 m² - 94 m².Giá bán:- 2PN: 2 tỷ 1 - 3 tỷ 2.- 3PN: 3 tỷ 6 - 4 tỷ.Nội thất: Tùy từng căn hộ.- Sàn gỗ.- Trần thạch cao.- Điều hòa, nóng lạnh.- Tủ bếp và thiết bị bếp.- Thiết bị vệ sinh.- Điều hòa.- Bình nóng lạnh.- Bàn ghế.- Giường tủ.- TV.- Tủ lạnh.- Máy giặt.Phí dịch vụ: 8k/m².- Oto: 1.2 triệu/tháng.- Xe máy: 100k/tháng.Tiện ích căn hộ:- Phòng gym cao cấp.- Spa.- Hair, nail salon.- Vinmart.- Nhà hàng.- Café.- Trung tâm dạy kỹ năng mềm cho trẻ em.- Mầm non.- Văn phòng.CC 536A Minh Khai nằm ngay cạnh Times City nên được hưởng toàn bộ tiện ích của Times City:- Vinschool.- Vinmec.- Vincom Mega Mall.- Thủy cung.- Ngân hàng.- Rạp chiếu phim CGV.- Store thời trang, mỹ phẩm.- Nhà hàng Buffet: Haidilao, Manwah, Gogi.- KFC, Lotteria.- Công viên.- Hồ nhạc nước.- Đường dạo bộ.536A Minh Khai có vị trí thuận tiện ngay cạnh Times City nên được hưởng toàn bộ tiện ích của Times nhưng giá cả lại hợp lý hơn nhiều cho khách hàng lựa chọn.Hỗ trợ tư vấn và đi xem căn hộ miễn phí 100% - Liên hệ (24/24): 0901 752 *** ",50 m²,2.1 tỷ,,,24/11/2022,01/12/2022,Tin thường,35747672,batdongsan_com_vn_35747672,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê']","
Cần bán nhà riêng ngay vòng xuyến Lê Trọng Tấn - La Khê, nhà xây 5 tầng với 35m², khu đô thị ParkCity Hà Nội. Khu dân cư đông đúc, thuận tiện đi lại.+ T1: Phòng khách + Bếp + WC.+ T2, 3, 4: Mỗi tầng 2 phòng ngủ + 1WC,+ T5: Phòng thờ + Sân phơi đầy đủ sang trọng thoáng mát.+ Thoáng trước sau.+ Gần khu đô thị PackCity Hà Nội, bể bơi La Khê.+ Rất thuận tiện ra trung tâm mua sắm vui chơi giải trí Aeon Mall Hà Đông, Công viên Thiên Văn học chỉ 800 m Đi Bộ.+ Cách trung tâm quận hà Đông, Đường Tố hữu Lê Văn Lương, Quang Trung chỉ vài phút di chuyển.+ Hệ thống điện nước, chiếu sáng đầy đủ, full nội thất (nội thất cao cấp sang chảnh) chỉ việc xách vali về ở.+ Sổ đỏ, GPXD đầy đủ, pháp lý rõ ràng luôn sẵn sàng Giao dịch 24/7.+ Giá 2.75 tỷ có thương lượng, Bao phí sang tên sổ đỏ.+ Hỗ trợ vay tất cả các ngân hàng nếu khách có nhu cầu.+ Lh: 0975 736 *** Bùi Quyên để được xem nhà trực tiếp, miễn phí.            ",35 m²,2.75 tỷ,3 phòng,,30/11/2022,07/12/2022,Tin thường,35729100,batdongsan_com_vn_35729100,,5 tầng,Nội thất cơ bản đầy đủ,,"Sổ đỏ, GPXD đầy đủ",Tây
