address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Đền Lừ']","
Bán nhà khu đô thị Đền Lừ - ô tô - cực hiếm.50m² - 5 tầng - mặt tiền 4m - 6,3 tỷ.Nhà đẹp, xây mới, thiết kế hiện đại 3 ngủ rộng, ô tô đỗ trước nhà, vào nhà, khu phố kinh doanh văn phòng sầm uất, an ninh tốt, dân trí cao, khách thiện chí chủ tặng nội thất tiền tỷ.Vị trí giao thông đi lại thuận tiện thông các trục đường lớn Minh Khai, Tân Mai, Tam Trinh, Vincom, gần trường, chợ tiện ích đầy đủ.            ",50 m²,6.3 tỷ,4 m,5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Giường ,tủ ,bếp ,điều hòa...",30/11/2022,10/12/2022,Tin thường,35987186,batdongsan_com_vn_35987186,
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh']","
Đầu tư tương lai giá trị tăng vọt.Thời cao điểm khách trả 16 tỷ chủ không bán, giờ cắt lỗ bán trả ngân hàng.Mô tả:Vị trí đắc địa mặt phố Lê Trọng Tấn, ngay sau nhà là đại đô thị Smartcity đang hoàn thiện mở đường kết nối.Đường 3 ô tô tránh vỉa hè thênh thang.Lợi thế nhất mặt tiền rộng 6.6m rất đẹp.Hiện trạng nhà xây thô, không có gì mô tả.Thiết kế 4 tầng, mỗi tầng 2 phòng.Sổ đỏ chính chủ nhà cần bán gấp.            ",130 m²,13.3 tỷ,,,4 tầng,,,,,29/11/2022,06/12/2022,Tin thường,35858912,batdongsan_com_vn_35858912,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Đường Yên Lộ']","
Siêu phẩm hiếm nhất DV khu D Yên Nghĩa, cách mấy nhà ra khu biệt thự phân lô, đẹp nhất phố, giá cực mềm thiết kế thoáng, vượng khí. Nội Thất xịn sò, Diện tích 50m², xây 4 tầng, thông tứ tung. Container tránh. Xuống là có lãi ngay nhé.Đẹp rẻ.Tiện ích: Nhà ở vị trí giao thông thuận lợi, Ngay KĐT Đô Nghĩa, công viên âm nhạc, kết nối phố Bến xe Yên Nghĩa và các bến xe khác...Chiến lược: Vành đai 4 chạy qua, Đường Lê Văn Lương Kéo dài chạy song song với QL6, Liên kết sang chung cư mini Hoài Đức, TTTM Đô Nghĩa.KĐT Đô Nghĩa xung quanh dân cư đông đúc tấp nập, dân trí cao, khu vực đáng sống nhất nhì quận Hà Đông.Nhà nằm ngay công viên, gần Đại Học Phenikaa, trường học Cấp 1, 2, 3, PTTH Nguyễn Huệ, trường PTTH Quang Trung, gần TTTM, sát chung cư cao cấp, tiện ích ngập tràn chẳng thiếu thứ gì...Nhà phân lô đường 3 ô tô tránh, đường 18m khu đô thị Văn Phú.Nhà xây 4 tầng BTCT chắc chắn, thiết kế kiến trúc hiện đại.+ Tầng 1: Thông tầng + bếp, KD.+ Tầng 2, 3: Mỗi tầng chia 2 phòng.+ Tầng 4: Phòng thờ, sân phơi.Giá: Nhỉnh 6 tỷ.ALo em Trịnh Việt chuyên BĐS Hà Đông - Hà Nội, để biết thêm thông tin và tư vấn, xem nhà đất miễn phí ạ (hoặc ace quan tâm ép giúp em Zalo để tiện trao đổi ạ)!Uy tín - trách nhiệm - dài lâu.            ",50 m²,6.1 tỷ,4 m,15 m,4 tầng,4 phòng,4 phòng,,,30/11/2022,07/12/2022,Tin thường,35456974,batdongsan_com_vn_35456974,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình']","
Bán gấp nhà 3 tầng nhà phố Khương Đình 30m², 2 ngủ, phù hợp vợ chồng trẻ, hoặc những em sinh viên lên học.- Sau 5 năm ở, bán lại đã gấp đôi.- Sđcc giao dịch ngay- Gần phố, phường, trường chợ, tttm... giao thông thuận tiện.- Gọi ngay 0975 055 *** để xem nhà.            ",30 m²,1.85 tỷ,,,3 tầng,2 phòng,,,,30/11/2022,07/12/2022,Tin thường,35987185,batdongsan_com_vn_35987185,
"['Hà Nội', 'Chương Mỹ', 'Xã Thụy Hương', 'Đường Liên Xã', 'Thôn Phú Bến']","
Chính chủ cần bán đất phân lô giãn dân tại Thụy Hương, Chương Mỹ, Hà Nội. Diện tích 75m² mặt tiền 4,17m đất vuông vắn đường 4,5m gần trường học trạm y tế và nhiều tiện ích giáp khu công nghiệp Thụy Hương. Xin liên hệ 0989 123 *** miễn trung gian.            ",75 m²,20.5 triệu/m²,4.17 m,4.5 m,,,,,,26/11/2022,03/12/2022,Tin thường,34780099,batdongsan_com_vn_34780099,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'đường Mỹ Đình', 'Ngõ 20']","
Bán nhà ngõ 20 Mỹ Đình - Từ Liêm.- Vị trí cực đẹp, ngõ thông từ Mỹ Đình sang Lê Đức Thọ, ba gác đỗ cửa, 30m ra đường ô tô, gần nhà văn hóa bãi đỗ xe ngày đêm, ngay sau bến xe Mỹ Đình, gần ngã tư Nguyễn Hoàng - Trần Bình,...- Diện tích 35m².Thiết kế dân xây 5T.+ Tầng 1: Bếp, khách, WC.+ Tầng 234: Mỗi tầng 1PN + WC.+ Tầng 5: Phòng thờ, sân giặt, phơi.- Sổ đỏ vuông vắn, nở hậu đẹp.Giá: 4.55 tỷ (thương lượng).Liên hệ với e Đức Anh để đi xem ngay.            ",35 m²,4.55 tỷ,5.6 m,2.5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,30/11/2022,07/12/2022,Tin thường,35920402,batdongsan_com_vn_35920402,Đông - Nam
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Thanh Bình']","
Vị trí: Nhà đẹp, có sân để chục chiếc xe máy, phân lô cán bộ. 2 ô tô tải tránh nhau trước cửa, ô tô vào nhà thoải mái. Ngõ thông khắp ngả. Tiện ích Mỗ Lao không thiếu thứ gì. Giá trị tương lai tăng cao chóng mặt.+ Thiết kế 3 tầng, 3 ngủ, đủ công năng.+ Sổ đỏ chính chủ vuông vắn.            ",65 m²,6.9 tỷ,3.5 m,8 m,3 tầng,3 phòng,3 phòng,Sổ đỏ,Đầy đủ,30/11/2022,07/12/2022,Tin thường,35856404,batdongsan_com_vn_35856404,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Trần Quang Diệu']","
Bán Nhà phân lô phố Trần Quang Diệu, Hoàng Cầu. Tiện ở, làm văn phòng nhìn ra vườn hoa. DT: 80m², Nhà xây 7 tầng, thang máy ngoại nhập, mặt tiền 5m, vị trí đắc địa, nhà đẹp, Thiết kế hiện đại, mỗi tầng 1 sàn thông, nội thất cao cấp đường trước nhà + hè = 15m. Tiện làm văn phòng, cho thuê, kinh doanh, phòng khám, spa, lớp học, showroom, siêu thị, trung tâm dạy tiếng Sổ đỏ chính chủ.Giá bán 31,9 tỷ có thương lượng.LH; Mr Đĩnh: 0942 136 *** 097.434.8168.            ",80 m²,31.9 tỷ,5 m,15 m,7 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng.,Hiện đại.,30/11/2022,07/12/2022,Tin thường,34220661,batdongsan_com_vn_34220661,Đông - Nam
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Đường Đào Tấn']","
Bán đất đường Đào Tấn, Ba Đình:- Vị trí gần ngã tư Đào Tấn - Đường Bưởi.- Ngõ rộng, thông thoáng các hướng.- Sổ đỏ chính chủ, pháp lý rõ ràng.- Đất diện tích 50m², mặt tiền 4m.- Giá 4.4 tỷ (có thương lượng).Liên hệ: Mr. Quảng 0963 010 *** ",50 m²,4.4 tỷ,4 m,2 m,,,,Sổ đỏ/ Sổ hồng,,30/11/2022,07/12/2022,Tin thường,35986723,batdongsan_com_vn_35986723,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ']","
Bán nhà Đại Từ, Linh Đàm, lô góc, 42m², 5 tầng, 4.2 tỷ.- Vị trí đẹp, lô góc 2 mặt thoáng, ngõ ba gác thông nông rộng.- Thông đường Giải Phóng, Nguyễn Hữu Thọ, Nguyễn Cảnh Dị, Linh Đàm, Đại Từ, Đặng Xuân Bảng.- Gần hồ Linh Đàm, khu đô thị Linh Đàm, chợ Đại Từ, bến xe Giáp Bát, Nước Ngầm, ĐH Kinh tế, Xây Dựng, Bách khoa.- Khu vực an ninh tốt, dân trí cao, đầy đủ tiện ích, trường cấp 1,2,3 bán kính 500m.- Nhà đẹp, chủ tự xây, khung cột bê tông, nội thất xịn, thiết kế hiện đại. Khách mua vào ở luôn.- Sổ đỏ vuông, diện tích 42m², 5 tầng, 5 phòng ngủ.- Giá 4.2 tỷ (có thương lượng). Tặng toàn bộ nội thất.Liên hệ xem nhà 0903 254 ***miễn trung gian quảng cáo).            ",42 m²,4.2 tỷ,,,5 tầng,5 phòng,4 phòng,Sổ đỏ.,,30/11/2022,07/12/2022,Tin thường,35987165,batdongsan_com_vn_35987165,
