address,gen_descrip,Diện tích,Mức giá,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Pháp lý,Số tầng,Nội thất,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Quốc Oai', 'Xã Sài Sơn', 'Dự án Sunny Garden City']","
- Vị trí: KĐT Sunny Garden City, Sài Sơn, Quốc Oai (CĐT CEO).- Diện tích: 180 - 300m².- Alo là có giá và sổ đỏ.- Tiện ích: Khu vui chơi trẻ em, sân tennis, sân bóng...- Dự án nhiều cây xanh, không khí mát mẻ trong lành.- Kết hợp nghỉ dưỡng, ngôi nhà thứ 2 hoặc dưỡng già quá lý tưởng ạ.- Đối diện trường THPT Phan Huy Chú.- Tiện ích gần trường cấp 1, 2, 3 và chợ.- Khu du lịch Tuần Châu 200m.- Di tích Chùa Thầy 500m.- Cách Đại Lộ Thăng Long khoảng 600m.- 15 phút là về trung tâm TP Hà Nội.- Liên hệ em Thịnh 0985 242 *** xem BT.            ",180 m²,Thỏa thuận,25/11/2022,02/12/2022,Tin thường,35294633,batdongsan_com_vn_35294633,,,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Dự án Mỹ Đình Pearl']","
BQL tổng hợp gửi bán gấp quỹ chung cư Mỹ Đình Pearl, Q. Nam Từ Liêm, TP. Hà Nội.+ Thiết kế: 3 phòng ngủ + 2 WC, Diện tích: 82 - 96m².+ Nhà đẹp, view đẹp, tầng đẹp, thoáng mát.+ Tiện ích đầy đủ dưới chân đế tòa nhà.+ Có nhiều căn hộ giá chỉ từ 3.8 tỷ - 4.1 tỷ - 4.9 tỷ - 5.1tỷ để cho khách hàng lựa chọn.Mọi người quan tâm vui lòng liên hệ em Thêu 0379 409 ***Để được tư vấn và đến xem trực tiếp căn hộ.            ",83 m²,3.59 tỷ,23/11/2022,30/11/2022,Tin thường,33476922,batdongsan_com_vn_33476922,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Khương Đình']","
BÁN ĐẤT TẶNG NHÀ 4 TẦNG KHƯƠNG ĐÌNH - NGÕ THÔNG - Ô TÔ - LÔ GÓC - 75M2, GIÁ 6 TỶ .- Ngõ to, rộng, kinh doanh sầm uất, thông sang KĐT Đại Kim, Nguyễn Xiển, ĐH Thăng Long. - Hiện trạng 4 tầng, tận dụng ở vẫn ngon. Khu vực dân cư tấp nập, gần ĐH Thăng Long, nhiều Sinh viên, đập xây CCMN 7 tầng hết nước chấm.- Sổ A4 sẵn sàng giao dịch. LH 0979 315 ***, Thảo chuyên nhà phố.            ",75 m²,6 tỷ,26/11/2022,04/12/2022,Tin thường,35959801,batdongsan_com_vn_35959801,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,4 tầng,Cơ bản,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Đê La Thành']","
- Nhà có vị trí trung tâm Đông Đa, ngõ thông nên đi lại thuận tiện, đầy đủ tiện ích xung quanh.- Ngõ nông rộng thoáng sạch, bagac đi lại thoải mái, rất gần ngõ ô tô.- Gần các tuyến phố lớn như Giảng Võ, Láng Hạ, Xã Đàn.- Sổ đỏ chính chủ/Pháp lí minh bạch/Sẵn sàng giao dịch.- Giá: 3,68 tỷ (có thương lượng).- Liên hệ: Em Hà.            ",32 m²,3.68 tỷ,24/11/2022,01/12/2022,Tin thường,35548201,batdongsan_com_vn_35548201,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,5 tầng,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Hoàng Văn Thái']","
Cần bán nhà phân lô - ô tô tránh phố Hoàng Văn Thái - Thanh Xuân.Diện tích: 40m².Mặt tiền: 4,6m.Nhà 4 tầng - nhà lên tầng thoải mái.Sổ đỏ chính chủ, vuông vắn - ko lỗi phong thuỷ.Mặt ngõ trước nhà rộng 3,5m - ô tô tránh - nhà mt rộng ô tô vào nhà thoải mái.Trước nhà là doanh trại quân đội - An Ninh tốt - nhà thoáng, sáng - hiện trạng đang nhà cũ - chỉ cần 1 thùng sơn là đẹp ở được luôn.Giá chào 8,5 tỷ (Có thương lượng).            ",40 m²,8.5 tỷ,21/11/2022,28/11/2022,Tin thường,35714343,batdongsan_com_vn_35714343,4 phòng,,Sổ đỏ/ Sổ hồng,4 tầng,,4.6 m,3.5 m,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Nhân Hòa']","
+ Vị trí đầu phố đoạn giao Nguỵ Như Kon Tum, khu vực TT Thanh Xuân tiện ích mua sắm, trường học C1 - 2 - 3.+ Hiện nhà xây 6 tầng: 3 ngủ rộng + bếp + khách + sân thượng trồng cây thưởng trà.Chủ để lại toàn bộ nội thất full cho khách mua, về ở luôn không cần sửa chữa.+ Sổ đỏ chính chủ nở hậu / sẵn sàng giao dịch.+ Giá 6,5 tỷ (có thương lượng).            ",46 m²,6.5 tỷ,21/11/2022,28/11/2022,Tin thường,35893010,batdongsan_com_vn_35893010,3 phòng,,Sổ đỏ/ Sổ hồng,6 tầng,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã An Thượng', 'Thôn An Hạ']","
Bán 50m² cách ô tô đỗ 70m tại thôn An Hạ, An Thượng.- MT 4m hậu 4m vuông đét. 2 mặt thoáng.- Gần chợ, trường mầm non cấp 1,2,3.- Cách khu đô thị Nam An Khánh chỉ 1km.- Chỉ 20p lái xe là đến trung tâm thành phố Hà Nội.- Sổ đỏ pháp lý sạch sẽ sang tên trong vòng 15 ngày.- SĐT 0987 856 *** Em Luân để được xem thực địa.            ",50 m²,1.5 tỷ,26/11/2022,03/12/2022,Tin thường,33537918,batdongsan_com_vn_33537918,,,Sổ đỏ,,,4 m,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Văn Cừ', '390', 'Berriver Long Biên']","
* Trực tiếp chủ đầu tư BRG: Nhận ngay chính sách mua nhà hấp dẫn cho quý khách hàng sở hữu căn hộ tại Berriver Jardin 390 Nguyễn Văn Cừ trong tháng 7:- Chỉ cần thanh toán 30% sở hữu ngay căn hộ cao cấp tại Berriver.- Ngân hàng hỗ trợ vay 70% giá trị căn hộ tối đa 35 năm. Miễn lãi gốc trong 15 tháng, miễn phí trả nợ trước hạn.- Chiết khấu 5% khi thanh toán sớm 95% Giá trị căn hộ.- Chiết khấu 4% khi thanh toán theo tiến độ thông thường.- Miễn phí dịch vụ trong 18 tháng từ ngày nhận bàn giao căn hộ.- Quà tặng vàng tân gia lên đến 10 chỉ vàng AJC 9999.- Căn hộ cao cấp được thiết kế thời thượng, hiện đại, tối ưu diện tích sử dụng.- Với 100% phòng ngủ đều có cửa sổ hoặc ban công view thoáng đẹp.- Ban công nối thông giữa phòng khách và phòng ngủ, diện tích lên đến 8m².- Ngoài ra ban công trải dài thoáng là đặc sản của Berriver Jardin. Ban công chính kết hợp cùng hệ thống cửa kính lớn phát huy tối đa lợi thế của căn hộ.- Tất cả các phòng đều có ánh sáng tự nhiên, căn hộ có từ 2 đến 3 logia.- Thiết kế kính tràn chân tường. Tầm view thoáng rộng.- Sở hữu 2 bể bơi ngoài trời diện tích 350m² cùng với hơn 30 tiện ích đẳng cấp và cảnh quan cây xanh hiện đại.- Bàn giao nội thất cao cấp: Trần thạch cao, sàn gỗ công nghiệp, thiết bị vệ sinh đầy đủ, có bình nóng lạnh, đầu chờ điều hòa.* Hotline tư vấn chính thức của chủ đầu tư: Ms Hương 0969 640 **** Quỹ căn hộ đặc biệt từ CĐT:- Căn hộ diện tích 48m² thiết kế 1PN giá chỉ từ 2.4 Tỷ.- Căn hộ diện tích 62m² - 64m² thiết kế 2PN + 1WC giá chỉ từ 2.9 tỷ.- Căn hộ diện tích 75m² thiết kế 2PN + 2WC giá chỉ từ 3.7 tỷ.- Căn góc diện tích 81m² - 84m² thiết kế 2PN + 1 đa năng giá chỉ từ 3,9 tỷ.- Căn hộ diện tích 101 m² thiết kế 3PN + 2WC giá chỉ từ 4.4 tỷ.- Căn hộ diện tích 113m² thiết kế 3PN + 2WC giá chỉ từ 5 tỷ.- Căn hộ diện tích 115m² thiết kế 3PN + 1 đa năng giá chỉ từ 5.5 tỷ.- Căn hộ diện tích 179m² thiết kế 4PN + 3WC giá chỉ từ giá chỉ từ 6.9 tỷ.* Tổng quan dự án Berriver Jardin.- Vị trí: 390 Nguyễn Văn Cừ, Long Biên, Hà Nội.- Được phát triển bởi CĐT BRG Group cực kỳ uy tín.- Tầm view sông Hồng siêu đẹp, ngắm trọn 4 cây cầu.- Trung tâm của Quận Long Biên, ngoại khu sầm uất.- 10 phút: Kết nối nhanh tới trung tâm Hà Nội, hồ Hoàn Kiếm, phố Cổ qua các cây cầu Long Biên, Chương Dương & cầu Trần Hưng Đạo chuẩn bị khởi công.- 5 phút: Aeon Mall Long Biên, Sân Golf Long Biên, Trường quốc tế Well Spring, bến xe Gia Lâm.- 2 phút: Bệnh viện Tâm Anh, hồ Hàng Không, trường tiểu học Ngọc Lâm.- Tiện ích sở hữu bể bơi thiết kế theo phong cách Resort đẳng cấp, chuỗi siêu thị cao cấp BRG mart, gym, spa, yoga cao cấp.- Dự kiến bàn giao: Quý IV/2023.- Hình thức: Sổ hồng lâu dài.* Liên hệ phòng kinh doanh của chủ đầu tư để được nhận hỗ trợ tư vấn và đăng ký xem thực tế căn hộ 24/7:+ Ms Hương: 0969 640 ***SMS, Zalo, Skype).            ",83 m²,3.9 tỷ,18/11/2022,28/11/2022,Tin thường,34575494,batdongsan_com_vn_34575494,3 phòng,2 phòng,,,"Bàn giao nội thất cao cấp: Trần thạch cao, sàn gỗ công nghiệp, thiết bị vệ sinh đầy đủ, có bình nóng lạnh, đầu chờ điều hòa.",,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Phố Vũ Tông Phan', 'Dự án Riverside Garden']","
Do gia đình chuyển lên căn 3pn chuyển nhượng căn 2PN 65m² dự án Riverside Garden, Quận Thanh Xuân.- DT: 65m² - TK 2PN - 2 WC.- Nội thất full mình gửi qua zalo.- Giá bán 2,6 tỷ.- Call 0907 871 *** em Hiệp.            ",65 m²,2.6 tỷ,22/11/2022,29/11/2022,Tin thường,35841392,batdongsan_com_vn_35841392,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Khương Trung', 'Dự án Star Tower 283 Khương Trung']","
Do chuyển công tác sang quận Long Biên em cần nhượng lại căn hộ 3PN Dự án Star Tower 283 Khương Trung, quận Thanh Xuân, Hà Nội.- DT: 92m² TK: 3PN 2WC.- Nội thất cơ bản. (thiếu tivi, tủ lạnh, giường... ).- Gía 3,250 tỷ.0907871994 em Hiệp.            ",92 m²,3.25 tỷ,22/11/2022,29/11/2022,Tin thường,35754020,batdongsan_com_vn_35754020,3 phòng,2 phòng,,,,,,Tây - Bắc,Đông - Nam
