address,gen_descrip,Diện tích,Mức giá,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'đường Võng Thị', 'Số 14/9h ngõ 8']","
Gia đình tôi cần bán căn nhà 4 tầng số 14/9h ngõ 8 Võng Thị ngõ thông Lạc Long Quân thông Thụy Khuê, ô tô 7 chỗ đỗ cửa.Giá: 6.85 tỷ.Lh: C Phương 0981 080 *** xem nhà sau 5 giờ hoặc T7, cn.            ",45 m²,6.85 tỷ,29/11/2022,06/12/2022,Tin thường,35310653,batdongsan_com_vn_35310653,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Chính chủ bán shop chân đế dòng tiền tốt - Giá rẻ nhất dự án Vinhomes Smart City.- Căn shop thuộc phân khu Saphire của dự án.- Diện tích 100m².- Dòng tiền 40tr/tháng.- Giá chỉ hơn 90tr/m².- Vay ngân hàng 70%.- Anh chị quan tâm vui lòng liên hệ để biết thêm thông tin.* Ngoài ra còn có nhiều căn shop giá tốt khác để khách hàng lựa chọn.Hotline: 0931 304 ***Uy tín - tận tâm - chuyên nghiệp.            ",100 m²,Thỏa thuận,29/11/2022,08/12/2022,Tin thường,35511933,batdongsan_com_vn_35511933,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Phố Thái Thịnh']","
Chủ đầu tư mở bán chung cư Yên Lãng - Thái Thịnh - Chùa Bộc - sổ hồng từng căn riêng.* Thiết kế sang trọng hiện đại, nhiều ánh sáng tự nhiên.* Vị trí cạnh nhiều trường đại học - chợ, khu vui chơi.Gần các tuyến đường như: Yên Lãng - Thái Thịnh - vĩnh Hồ - Thịnh Quang - Láng - Thái Hà - Tây Sơn - Chùa bộc.- Giá bán:Giá bán: 550 triệu - 650triệu - 785 triệu - 950triệu - 1 tỷ - 1tỷ 2 - 1ty260.Diện tích: 28m² - 33m² - 40m² - 45m² - 48m² - 50m² - 55m².(giá bao gồm VAT - phí làm sổ).Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led.Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.* Giấy tờ pháp lý:Khách hàng mua căn hộ nhận được sổ hồng vĩnh viễn từng căn riêng.Hợp đồng mua bán công chứng.* LH để được đi xem nhà miễn phí (miễn môi giới - trung gian).            ",28 m²,550 triệu,28/11/2022,05/12/2022,Tin thường,34145643,batdongsan_com_vn_34145643,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Dự án Vinhomes Green Villas']","
Cập nhật qũy căn biệt thự Vinhomes Green Villas.Hotline: 0931 304 ***Vinhomes Green Villas tôn vinh đẳng cấp cho chủ nhân.- Tiện ích đẳng cấp quốc tế.- Vị trí gần trung tâm thủ đô.- Hạ tầng đồng bộ giao thông thuận tiện.I. Báo giá căn bán mới.- Giá bán từ: 200tr/m².- Được vay 70% ân hạn đến tháng 9/2023.II. Báo giá chuyển nhượng.1. Cửa Đông Bắc.- Diện tích: 232m²: Gía Bán: 50 tỷ.2. Cửa Tây Nam.- Diện tích: 236m² - Gía Bán: 46 tỷ.3. Cửa Đông Nam.- Diện Tích: 283m² - Gía bán: 60 tỷ.4. Mặt Hồ.- Diện tích: 279m² - Gía bán: 63 tỷ.5. Mặt Hồ: Đông Nam Tây Nam.- Diện tích: 326m² - Gía bán: 96 tỷ.6. Cửa Tây Bắc.- Diện tích: 283m² - Gía bán: 56 tỷ.Check thêm căn anh/chị liên hệ theo số hotline sau: 0931 304 *** ",283 m²,Thỏa thuận,29/11/2022,08/12/2022,Tin thường,35424205,batdongsan_com_vn_35424205,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Kim Liên', 'Đường Phạm Ngọc Thạch']","
- Bán chung cư mini Phạm Ngọc Thạch Chùa Bộc - Đống Đa.- Vị trí đắc địa: Trung Tâm Quận Đống Đa.Cách Vinhomes Phạm Ngọc Thạch khoảng 400m.Cách bệnh viện Bạch Mai khoảng 1 km.Tòa nhà xây mới 100%.Có thang máy, thang bộ, bảo vệ 24/24.Có đồng hồ điện, nước riêng biệt.- Diện tích đa dạng: 30 - 35 - 46 - 48 - 55m².- Giá bán từ 550tr - 630tr - 780tr - 950tr  đến  hơn 1 tỷ Chiết khấu cao 30 - 50tr/căn.- Mua bán công chứng nhà nước, sở hữu sổ hồng vĩnh viễn.Có nội thất cơ bản: Tủ bếp, máy hút mùi, bình nóng lạnh, bếp âm, sàn lát gạch, thiết bị wc đầy đủ, các đầu chờ: Internet, wifi có sẵn.Khu vực trung tâm đi đâu cũng tiện Đây chính là nơi lý tưởng cho gia đình bạn định cư lâu dài.Liên hệ xem nhà chính chủ. Miễn trung gian.            ",46 m²,780 triệu,28/11/2022,08/12/2022,Tin thường,32450863,batdongsan_com_vn_32450863,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Có nội thất cơ bản: Tủ bếp, máy hút mùi, bình nóng lạnh, bếp âm, sàn lát gạch, thiết bị wc đầy đủ, các đầu chờ: Internet, wifi có sẵn.",,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Hotline: 0931 304 ***Bán căn Shop rẻ nhất dự án - Dòng tiền tốt - Vinhomes Smart City.Căn shop thuộc phân khu S4 chỉ có 45 căn shop chân đế phục vụ cho 2700 căn hộ (khoảng 8000 dân cư).Phân khu S4 là trung tâm của dự án với vị trí giao thông thuận lợi cho việc di chuyển sang các phân khu khác và các dự án, đường chính và đại lộ như: Khu đô thị Geleximco Lê Trọng Tấn, Tố Hữu Hà Đông, Đại lộ Thăng Long,...Diện tích 120m².Dòng tiền 50tr/tháng.Giá chỉ hơn 90tr/m² - Rẻ nhất dự án.Quý anh chị khách hàng vui lòng liên hệ để được tư vấn.Em Hiếu: 0931 304 ***Ngoài ra còn rất nhiều quỹ shophouse chân đế bán và cho thuê phù hợp với nhu cầu của khách hàng.Uy tín - tận tâm - chuyên nghiệp.            ",120 m²,Thỏa thuận,29/11/2022,08/12/2022,Tin thường,35424645,batdongsan_com_vn_35424645,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
Chủ đầu tư trực tiếp mở bán chung cư E1 Xuân Đỉnh - Phạm Văn Đồng, full nội thất cao cấp, ở ngay.1: Vị trí đắc địa: Gần nhiều trường Đại Học lớn như Học viện Tài Chính, ĐH Nội Vụ, Học Viện Cảnh Sát, ĐH Quốc Gia Hà Nội...* Gần Công viên Hoà Bình, siêu thị HC Xuân Đỉnh, Khu Ngoại giao đoàn...2: Diện tích và giá.- Căn hộ 01 phòng ngủ 35m² giá từ 520tr.- Căn hộ 02 phòng ngủ 45m² - 48m² - 52m² - 60m² giá 850tr - 900tr - hơn 1 tỷ.- Khách hàng thanh toán nhanh chiết khấu từ 30tr - 50 triệu đồng/căn hộ.- Nội thất: Sàn gạch, trần thạch cao, tủ bếp, bếp từ, hút mùi, thiết bị vệ sinh, nóng lạnh, giường, tủ âm tường, sofa, kệ tivi.- Tòa nhà có thang máy thang bộ và bảo vệ 24/24.- Nhà ngay mặt ngõ thoáng ô tô vào tận nơi.3: PHÁP LÝ.- Ký hợp đồng trực tiếp chủ đầu tư.- Nhận sổ hồng từng căn riêng.Liên hệ trực tiếp chủ đầu tư (miễn trung gian).            ",35 m²,520 triệu,28/11/2022,08/12/2022,Tin thường,34669487,batdongsan_com_vn_34669487,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,"Nội thất: Sàn gạch, trần thạch cao, tủ bếp, bếp từ, hút mùi, thiết bị vệ sinh, nóng lạnh, giường, tủ âm tường, sofa, kệ tivi.",,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Cho thuê và chuyển nhượng mặt bằng kinh doanh dự án Vinhomes Smart City 280ha mật độ dân số hơn 100.000 người.Hotline/zalo: 0931 304 ***Dự án Vinhomes Smart City với mật độ dân số lên đến 100.000 người, dân cư tập trung nên viên kinh doanh buôn bán mọi mặt hàng đều hiệu quả, nhận diện thương hiệu nhanh chóng hiệu quả.Các nhà đầu tư có thể thuê mặt bằng shophouse để kinh doanh nhiều lĩnh vực đa dạng và phong phú như:Mặt hàng kinh doanh ăn uống: Cafe, ăn nhanh, các nhà hàng ẩm thực, cửa hàng thực phẩm sạch,..Mặt hàng kinh doanh về thời trang, đồ thể thao: Do có nhiều khu tập thể thao, gym, yoga, tennis,Mặt hàng chăm sóc sắc đẹp, sức khỏe như: Phòng khám, cửa hàng thuốc, kinh doanh spa, hiệu cắt tóc nais.Cho thuê làm vp, trường mầm non tư thục, trung tâm tiếng anh.Giá cho thuê & chuyển nhượng shop chân đế Vinhomes Smart City.Diện tích từ 23 - 74m².+ Giá cho thuê từ 21tr - 70tr/tháng (khoảng 500K - 1Tr/m²/tháng. ).+ Giá chuyển nhượng từ hơn 4 tỷ.Diện tích từ 85 - 150m².+ Giá cho thuê từ 40tr - 80tr/tháng (khoảng 500k - 1tr/m²/tháng. ).+ Giá chuyển nhượng từ 8 tỷ.Hotline/zalo: 0931 304 *** ",110 m²,Thỏa thuận,29/11/2022,08/12/2022,Tin thường,34334999,batdongsan_com_vn_34334999,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Nguyễn Ngọc Vũ']","
Chính chủ - bán chung cư Nguyễn Ngọc Vũ - Giáp Nhất - Láng.Tòa nhà nằm trung tâm quận, đi lại thuận tiện giữa các quận, gần công viên, gần chợ, siêu thị, trường học cấp 1, cấp 2, cấp 3.Giá bán: 630tr - 752tr - 950tr - hơn 1 tỷ.Diện tích:  45m² - 48m² - 49m² - 50m² - 52m² - 56m².Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.            ",45 m²,630 triệu,28/11/2022,08/12/2022,Tin thường,34206351,batdongsan_com_vn_34206351,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Đống Đa', 'Phường Ngã Tư Sở', 'Phố Thái Thịnh']","
Chủ Đầu Tư Mở Bán Chung cư Bán Chung Cư Yên Lãng - Thái Thịnh - Thái Hà - sổ hồng - Full Đồ.* Vị trí vàng của quận Đống Đa, gần các tuyến đường lớn như Láng Hạ, Hoàng Cầu, Chùa Bộc, Tây Sơn, Xã Đàn, Ngã Tư Sở...- Gần với rạp chiếu phim Quốc Gia, gần nhiều ĐH lớn như: ĐH Thủy Lợi, Học Viện Ngân Hàng. ĐH Y.* Diện tích 40m² - 46m² - 50m² - 61m².* Giá bán 670tr-   830tr - 950tr - hơn 1 tỷ /căn.(Giá Đã bao gồm VAT Tách sổ hồng).Thiết kế 2 đến 3 phòng ngủ, 2 vệ sinh, 1 ban công, 1 khách, 1 bếp.Nội thất.- Đầy đủ các trang thiết bị: Sàn gạch men cao cấp, trần thạch cao, tủ bếp trên dưới, bếp gas, hút mùi, nóng lạnh, thiết bị vệ sinh đầy đủ, các đèn điện chiếu sáng và trang trí tuyệt đẹp, đầu chờ internet, truyền hình cáp.* Pháp lý.Mua chung cư Yên Lãng - Thái Hà.Khách ký HĐMB công chứng nhà nước.Có sổ hồng vĩnh viễn.Liên hệ trực tiếp chủ đầu tư để hưởng chiết khấu cao.            ",40 m²,Thỏa thuận,28/11/2022,08/12/2022,Tin thường,34236272,batdongsan_com_vn_34236272,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,
