address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Số toilet,Pháp lý
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyễn Chí Thanh', 'Dự án Vinhomes Nguyễn Chí Thanh']","
Do không có nhu cầu ở, cần bán gấp căn góc 3 phòng ngủ, 128m², ban công hướng mát Đông Bắc, Đông Nam.Đã hoàn thiện và để lại đầy đủ nội thất, chỉ việc chuyển quần áo về ở.Giá bán 9tỷ.Liên hệ xem nhà em Thắng: 0798 116 *** ",128 m²,9 tỷ,Đông - Bắc,Đông - Bắc,3 phòng,Đầy đủ,27/11/2022,04/12/2022,Tin thường,33696257,batdongsan_com_vn_33696257,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng']","
Bán đất Phú Thượng, lô góc 2 thoáng - gần đường đôi KĐT Ciputra - ô tô đỗ cửa.Diện tích: 32m².Mặt tiền 4 m.Nhỉnh 2,55 tỷ.+ Vị trí rất đẹp, cách đường đôi 40m Ciputra chỉ 100m. Gần KĐT, hưởng trọn tiện ích.+ Thửa đất lô góc, xây nhà hết ý,+ Sổ đỏ đẹp nở hậu,Gọi ngay: 0984 758 ***hiếm).            ",32 m²,2.55 tỷ,,,,,28/11/2022,05/12/2022,Tin thường,35971342,batdongsan_com_vn_35971342,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Cầu Giấy']","
Siêu hiếm 5.75 tỷ, Cầu Giấy, phân lô ô tô tránh.Mai Dịch, Cầu Giấy, 35m², 6 tầng.- Nhà thiết kế hiện đại, sàn gỗ Lim, nội thất đầy đủ.Chủ để lại toàn bộ nội thất.Thiết kế:Tầng 1: Khách, bếp, vệ sinh.Tầng 2,3,4: Mỗi tầng 1 phòng, 1 vệ sinh.Tầng 5: Phòng thờ, sân phơi.Tầng 6: Tum, làm vườn cây tuyệt đẹp.0822910123 có zalo.            ",40 m²,5.75 tỷ,,,4 phòng,,29/11/2022,06/12/2022,Tin thường,35819170,batdongsan_com_vn_35819170,3.3 m,6 m,6 tầng,4 phòng,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hồ Mễ Trì', 'Dự án Trinity Tower']","
Tôi chính chủ cần bán căn hộ 2 phòng ngủ, diện tích 68m².Vuông nhất toà nhà.Tầng đẹp nhất dự án.Căn hộ nhìn rất thoáng.Bàn giao nội thất cơ bản liền tường vào ở được luôn.Tháng 11/2022 này bàn giao kĩ thuật, tháng 12 vào ở.Nhà tôi hướng view hồ Mễ Trì, view thấp tầng vĩnh viễn.Liên hệ: 0967 618 *** ",68 m²,Thỏa thuận,,,2 phòng,FULL liền tường,29/11/2022,06/12/2022,Tin thường,35823833,batdongsan_com_vn_35823833,,,,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Cầu Giấy']","
5.75 tỷ Cầu Giấy - cách ô tô 30m, bãi gửi xe cạnh nhà.Cầu Giấy 50m², 4 tầng, MT 3.6m.- Tầng 1: Khu để xe, phòng khách, bếp vệ sinh.- Tầng 2: 2 ngủ, vệ sinh.- Tầng 3: Thiết kế lệch tầng 2 ngủ, vệ sinh.- Tầng 4: Phòng thờ sân phơi.0822910123 có zalo.            ",50 m²,5.75 tỷ,,,4 phòng,,29/11/2022,06/12/2022,Tin thường,35819143,batdongsan_com_vn_35819143,3.6 m,3 m,4 tầng,4 phòng,
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Sơn']","
- Ảnh thật - thông tin chuẩn.Khu vip hàng không Nguyễn Sơn. Hàng không - khu Đoàn bay - khu xách tay..., ngõ thông 2 chiều, ô tô tránh chỉ 15m, 34m² nhà 5tầng giá chỉ ngoài 3 tỷ.- Nhà đẹp, vị trí đẹp, ngõ thông trải nhựa sạch xẽ, chủ thiện chí bán.- Ô tô đỗ, tránh nhau ngày đêm cách nhà đúng 15m, khu vực tiềm năng còn tăng giá cao - chủ sốt bán cần tài chính gấp nên để giá này.- Nhà dân, 34m², thiết kế 5 tầng có đủ nội thất 3 phòng ngủ, nhà nở hậu đón tài lộc.- Sổ sách chuẩn, không lỗi, giá chào 3tỷ6 còn thương lượng.- Liên hệ 0333 835 *** di động - zalo.            ",34 m²,3.6 tỷ,,,3 phòng,Đầy đủ.,24/11/2022,01/12/2022,Tin thường,35660623,batdongsan_com_vn_35660623,4.5 m,2.5 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Xuân Diệu', 'Dự án D’. Le Roi Soleil - Quảng An']","
* Hiện em đang có quỹ căn hộ bên D. Le Roi Soleil - Quảng An, Tây Hồ, Hà Nội bán cắt lỗ anh/chị cần thông tin chi tiết xin liên hệ e: 0971 682 ***- Căn 2PN DT 88m² - 110m² giá từ 5 tỷ full nội thất và đồ cơ bản.- Căn 3PN DT 111m² - 146m² giá từ 6 tỷ full nội thất và đồ cơ bản.- Căn 3PN vip DT 146m² giá từ 7 tỷ full nội thất và đồ cơ bản.- Căn 4PN vip DT 234m² giá từ 17 tỷ bàn giao thô và có nội thất.- Căn Pent House Víp nhất dự án DT 350m² bàn giao thô và có nội thất giá thoả thuận..* Tất cả các căn hộ đều đã có sổ sẵn sàng giao dịch.* Dự án tọa lạc trên khu ""đất vàng hiếm có"" mặt Hồ Tây, sở hữu 2 mặt tiền đường Đặng Thai Mai - Xuân Diệu, với trọn vẹn hướng view 3 mặt hướng Hồ Tây, 1 mặt hướng sông Hồng. Vị trí tấc đất tấc vàng - sống tại Hồ Tây đem lại cho chủ nhân sống tại đây những trải nghiệm tuyệt vời, cảm hứng thăng hoa trong công việc và những thành công bền vững trong tương lai D'. Le Roi Soleil.Tiện ích dịch vụ đẳng cấp phục vụ tối đa mọi nhu cầu sinh hoạt của cư dân: Siêu thị, nhà hàng, ngân hàng, gym, spa, bể bơi 4 mùa và ngoài trời...* Mọi thông tin xin liên hệ em: 0971 682 ***cam kết giá rẻ nhất thị trường).            ",111 m²,7 tỷ,,,3 phòng,,29/11/2022,06/12/2022,Tin thường,29505557,batdongsan_com_vn_29505557,,,,2 phòng,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Hồ Tùng Mậu']","
4.3 tỷ, Cầu Giấy sổ vuông đét - khu vực yên tĩnh - an sinh đỉnh.Hồ Tùng Mậu 38m², 4 tầng, MT 3.8m.Mô tả:+ Vị trí ngõ sạch sẽ thoáng mát gần đường Hồ Tùng Mậu thuận tiện đi lại.+ Nhà thiết kế 4 tầng khung cột chắc chắn khách mua về có thể nâng tầng thoải mái.- Tầng 1: Phòng khách và bếp.- Tầng 2,3: Mỗi tầng 1 ngủ và vệ sinh.- Tầng 4: Phòng thờ và sân phơi.+ Sổ đỏ vuông đét.0822910123 có zalo.            ",38 m²,4.3 tỷ,,,4 phòng,,29/11/2022,06/12/2022,Tin thường,35805036,batdongsan_com_vn_35805036,3.8 m,3 m,4 tầng,4 phòng,Sổ đỏ.
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Nguyễn Sơn', 'Ngõ 158']","
Cần bán gấp để lo việc gia đình, căn nhà có vị trí đắc địa tại ngõ 158 Nguyễn Sơn, quận Long Biên, xung quanh là các tòa chung cư của dự án Beriver Nguyễn Sơn,Nhà có đường vào rộng, ô tô 4 chỗ tới được tận cửa nhà mình, vị trí lô góc 2 mặt cửa sổ cực thông thoáng.Diện tích 45m² gia chủ xây 5 tầng mới với công năng cực kì hợp lý cho 1 hộ gia đình đông người.Sổ sách vuông đẹp, mặt tiền gần 5m cực thoáng, chủ chào giá 4tỷ5 có thương lượng. Quan tâm liên hệ nhanh 0333 835 *** để đi xem nhà. Xin cảm ơn đã đọc tin!            ",45 m²,4.5 tỷ,,,4 phòng,Đầy đủ,24/11/2022,01/12/2022,Tin thường,35847702,batdongsan_com_vn_35847702,5 m,4 m,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hoàn Kiếm', 'Phường Cửa Nam', 'Phố Nam Ngư']","
Bán nhà mặt phố Nam Ngư, Hoàn Kiếm giá chỉ ngang đất Tây Hồ - 57.8m², 6 tầng, mặt tiền 5m, 31 tỷ - cách 500m ra hồ Hoàn Kiếm - Giá đã thương lượng 2/11/2022 là 28,9 tỷ.- Vị trí: Mặt phố Nam Ngư, Hoàn Kiếm phố ô tô 2 chiều - cách hồ Hoàn kiếm 3 phút đi bộ.- Diện tích sổ đỏ chính chủ ghi 57,8m² x 6 tầng.+ Mặt tiền: 5m (hậu 5,06m).+ Giá bán: 29,9 tỷ (có thương lượng).- Xây dựng 58 m² x 6 tầng.Các phòng thoáng sáng có ánh sáng tự nhiên.Thiếu mỗi thang máy thành siêu phẩm hiện nay có rất nhiều bài đăng về căn nhà có thang máy và diện tích vênh lên 60 m² và 7 tầng cao là sai sự thật về căn nhà.- Liên hệ ngay: 0986 262 ***Zalo, để được cập nhật giá cả tài sản liên tục giá hấp dẫn).- Pháp lý: Sổ đỏ chính chủ, thửa đất vuông đẹp, nở hậu.(Làm việc chính chủ).Hiện này có rất nhiều bài đăng về căn nhà là có.            ",58 m²,28.9 tỷ,Bắc,,5 phòng,,04/10/2022,02/01/2023,Tin thường,35371576,batdongsan_com_vn_35371576,5 m,10 m,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Bài', 'Phố Hàng Bài']","
Nhà mặt phố Hàng Bài, Hoàn Kiếm.Diện tích: 40m², 7 tầng thang máy.Mặt tiền: Gần 4m.Vị trí vàng cách bờ hồ vài phút đi bộ...Giấy tờ pháp lý: Sổ đỏ cất két sẵn sàng giao dịch.Giá liên hệ: 0903 469 *** ",40 m²,Thỏa thuận,,,,,04/10/2022,02/01/2023,Tin thường,35371512,batdongsan_com_vn_35371512,,,7 tầng,,Sổ đỏ
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Phố Quảng Khánh']","
Cần bán gấp mảnh đất quận Tây Hồ.+ Vị trí đẹp nhất phố, lô góc, mặt Hồ Tây lớn, thửa đất xây khách sạn 8 nổi 2 hầm cho tây thuê, xây toà nhà văn phòng, biệt thự thì vip nhất Phố... Bên cạnh và xung quanh đã xây 8 - 9 tầng rất nhiều.Cạnh nhà có dự án xây nhà Hát Lớn của Q. Tây Hồ đã phê duyệt 1/500. Và mở 2 tuyến đường lớn Tứ Liên và Đặng Thai Mai gần đó, tương lai tươi sáng.+ Diện tích 343m² sổ, thực tế 377m² sử dụng.Chủ nhà quan chức đã về hưu, có nhiều tài sản nên muốn bán bớt đi.Sổ đẹp đầy đủ pháp lý rõ ràng.Chủ cần bán 285 tỷ có thương lượng.Liên hệ: Cao Vấn 0989 104 *** ",343 m²,285 tỷ,,,,,27/09/2022,26/12/2022,Tin thường,35190016,batdongsan_com_vn_35190016,,,,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hoài Đức', 'Xã Lại Yên']","
Chính chủ cần bán lô đất dịch vụ Lại Yên, Hoài Đức, Hà Nội.- Diện tích 61.4 m², mặt tiền 3.96m - Hậu nở 3.97m.Đường trước đất rộng 9m có vỉa hè, hướng Tây Bắc.Khổ đất lý tưởng cho đầu tư, để ở hoặc kinh doanh.- Vị trí vàng trong lõi đô thị vùng thủ đô. Cách đường 40m Lại Yên khoảng 36m, cách trung tâm hành chính Hà Nội mới Mỹ Đình khoảng 6km.- Các dự án, hạ tầng giao thông xung quanh khu đất đang gấp rút triển khai như đường vành đai 3.5 rộng 60m và đường LK rộng 50m. Đồng thời đường Vành đai 4 chuẩn bị được phê duyệt. Sớm đưa Hoài Đức lên quận trong thời gian tới.Các nhà đầu tư thông thái hay gia đình có nhu cầu mua để ở khu vực đáng sống nhất phía Tây Hà Nội.            ",61.4 m²,75 triệu/m²,Tây - Bắc,,,,13/09/2022,12/12/2022,Tin thường,35136682,batdongsan_com_vn_35136682,3.96 m,9 m,,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Dự án Việt Hưng']","
Biệt thự 3.5 tầng đang cho thuê nên không tiện đăng ảnh. Cách các trường mầm non, tiểu học THCS vài bước chân, khu dân cư ổn định. Biệt thự hướng Đông Nam, đường lớn, hệ số kinh doanh cao.            ",200 m²,45 tỷ,Đông - Nam,,,,15/11/2022,13/02/2023,Tin thường,35845205,batdongsan_com_vn_35845205,,,4 tầng,,Sổ đỏ/ Sổ hồng
"['Hà Nội.', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Thuộc tầng trung, hướng view không bị che chắn cực thoáng mát.- Cạnh trường học, tổ hợp khu vui chơi, công viên gym, công viên BBQ, sân chơi,...- Thiết kế căn ở giữa gồm 2 phòng ngủ, 1 phòng vệ sinh, phòng khách phòng bếp liên thông vẫn tạo được không gian riêng.- Nội thất: Bàn giao nguyên bản chủ đầu tư, có điều hòa, nóng lạnh.- Giá bán nhanh: 1.52 tỷ.- Liên hệ: Thuỳ Chi để được hỗ trợ nhiệt tình.            ",60 m²,1.52 tỷ,,,2 phòng,,26/11/2022,03/12/2022,Tin thường,35879202,batdongsan_com_vn_35879202,,,,1 phòng,Sổ đỏ/ Sổ hồng.
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', 'Dự án Home City - Trung Kính Complex']","
Nhà đẹp đón tết - tặng toàn bộ nội thất hiện trạng - chung cư cao cấp - tầng trung view đẹp - phố Trung Kính x Nguyễn Chánh.Quy mô: Home City được xây dựng trên tổng diện tích đất 1.732 m², gồm 4 tòa tháp cao từ 27 30 tầng. Mật độ xây dựng 50%. Thiết kế tòa nhà: 4 tòa tháp V1, V2, V3, V4.Dự án có chức năng thương mại kết hợp với văn phòng và nhà ở với tổng diện tích sàn xây dựng 196.161 m². Trong đó, khối đế 3 tầng trong đó có 2 tầng hầm liên thông giữa các tòa nhà.Thiết kế: 2 ngủ + 2 WC. Hướng ban công: TB, cửa chính: ĐN.Sổ đỏ chính chủ.Liên hệ. 0392 688 *** ",71 m²,3 tỷ,Đông - Nam,Tây - Bắc,2 phòng,Tặng toàn bộ nội thất hiện trạng.,28/11/2022,05/12/2022,Tin thường,35961869,batdongsan_com_vn_35961869,,,,2 phòng,Sổ đỏ chính chủ.
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Trung Kính']","
Chính chủ bán gấp nhà phố Trung Kính 40m², ô tô, kinh doanh sầm uất giá 5.9 tỷ.Nhà xây khung cột chắc chắn, vỉa hè rộng kinh doanh sầm uất mọi loại hình.Nhà có vị trí đắc địa, trung tâm giao thông đi lại thuận tiện qua các tuyến phố, đường lớn như: Trần Duy Hưng, vũ Phạm Hàm, Mạc Thái Tổ, Mạc Thái Tông, Hạ Yên Quyết, Phạm Văn Bạch...Sổ đỏ đẹp chính chủ, sẵn sàng giao dịch.Liên hệ tôi Hậu để xem nhà.            ",40 m²,5.9 tỷ,,,,,29/11/2022,06/12/2022,Tin thường,35466615,batdongsan_com_vn_35466615,,,,,Sổ đỏ/ Sổ hồng
