address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số toilet,Đường vào,Nội thất
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê']","
Mô tả:- Nhà cần bán có vị trí ngay sát Hồ Tây, nhà có 2 đường vào từ phố Thụy Khuê và phố Nguyễn Đình Thi, cách cả 2 mặt phố chỉ tầm 30m.- Xung quanh nhà toàn cán bộ về hưu, an sinh và an ninh tuyệt vời.- Hiện trạng là nhà 4 tầng, chủ xây tâm huyết được vài năm, khung cột bê tông chắc chắn, chủ mới sơn lại nhìn như mới, khách mua về ở được luôn.- Bố cục nhà nhà như sau:+ Nhà tầng 1: Phòng Khách, bếp và nhà vệ sinh. Có khoảng sân nhỏ trước nhà để được 2, 3 xe máy cùng lúc.+ Từ tầng 2 đến tầng 4: Mỗi tầng 2 phòng và nhà vệ sinh (tổng 5 phòng ngủ đủ cho cả 3 thế hệ).- Vị trí từ nhà kết nối: Thụy Khuê - Văn Cao - Hoàng Hoa Thám. Khách mua nhà được hưởng trọn tiện ích của khu vực: Con cái học đúng tuyến Trường Tiểu học, THCS Chu Văn An, vài bước chân ra hưởng trọn không khí trong lành của Hồ Tây, của công viên Bách Thảo, của Lăng Bác, vào Phố Cổ cũng thật dễ dàng.- Giá bán: 5.45 tỷ (có thương lượng).Thông tin chi tiết vui lòng liên hệ:Mr Trụ: 0983 942 ***Chuyên viên tư vấn bất động sản: Uy tín - tận t m - chính xác.Xin chân thành cảm ơn!            ",40 m²,5.45 tỷ,4 m,4 tầng,5 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35000124,batdongsan_com_vn_35000124,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án Kim Văn Kim Lũ']","
Gia đình cần bán căn hộ Kim Văn Kim Lũ, nhà sổ đỏ chính chủ. Ngày trước hai vợ chồng chỉ có mấy trăm nên vẫn phải vay ngân hàng, hiện tại còn dư nợ khoảng 300 triệu thôi ạ. Căn hộ đầu tay, rồi bây giờ cũng vay thêm 1 chút mua căn 3pn 3 tỷ ở thông tấn xã, để lại cho ai có duyên.Diện tích: 54m², SĐCC.Thiết kế: 2 ngủ, 2 vệ sinh.Hướng: Cửa Tây Nam, ban công Đông Nam.Nội thất: Sàn gỗ, trần trạch cao, tủ bếp, nóng lạnh, điều hòa, giường tủ, sofa, ti vi, tủ lạnh.Giá: 1,56 tỷ bao tên.Liên hệ 0982 475 *** ",54 m²,1.56 tỷ,,,2 phòng,Sổ đỏ/ Sổ hồng.,30/11/2022,07/12/2022,Tin thường,35987872,batdongsan_com_vn_35987872,Tây - Nam,Đông - Nam,2 phòng,,
"['Hà Nội', 'Thanh Trì', 'Xã Ngũ Hiệp']","
Bán nhà Ngũ Hiệp, Thanh Trì, DT 40m², MT 4m, 3pn, 3 tầng, giá 2.4 tỷ.Mô tả.- Đường trước nhà rộng, ô tô đỗ cách 5m, gần trường học các cấp chỉ 100m, gần chợ, giao thông thuận tiện.- Nhà thiết kế cực kỳ đẹp, cầu thang giữa, nội thất đầy đủ.Tầng 1: Phòng khách, bếp, vs.Tầng2: 2 phòng ngủ, vs.Tầng 3: 1 phòng ngủ, sân phơi.- Pháp lý sổ đỏ chuẩn.- Giá: 2.4 tỷ (có thương lượng).- Liên hệ em Tân: 0981 898 *** ",40 m²,2.4 tỷ,4 m,3 tầng,3 phòng,Sổ đỏ,30/11/2022,07/12/2022,Tin thường,35795342,batdongsan_com_vn_35795342,,,3 phòng,3 m,Đầu đủ
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', '210 Đường Quang Trung', 'Dự án Unimax Twin Tower']","
Bán căn hộ Unimax 210 Quang Trung, Hà Đông, 2.75 tỷ đủ đồ- Diện tích căn hộ: 103 m² với 03 PN, 02 WC.- Pháp lý: Sổ hồng chính chủ.- Hướng ban công: Đông Nam & Đông Bắc.- Hướng cửa ra vào: Tây Bắc.* ĐT 0868 008 *** A Bình.            ",103 m²,Thỏa thuận,,,3 phòng,Sổ hồng chính chủ.,30/11/2022,07/12/2022,Tin thường,31607766,batdongsan_com_vn_31607766,Tây - Bắc,Đông - Nam,2 phòng,,Đủ đồ
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Hoàng Hoa Thám']","
Nhà mình bán trong ngõ 173 Hoàng Hoa Thám, trung tâm quận Ba Đình, ngõ thông Đội Cấn, Ngọc Hà, cực gần oto, bãi xe, trường học, chợ xung quanh.Nhà mới tinh đón tết, chủ mới chỉ việc dọn đồ về ở, thiết kế hiện đại:Tầng 1: Sân để xe + phòng khách + bếp + wc.- Tầng 2,3,4: Mỗi tầng 1 phòng ngủ + wc.- Tầng 5: Phòng Thờ + sân phơi.Khu dân trí cao, điện nước hiếm khi bị cắt, mật độ chung cư rất ít nên không khí trong lành, cực đáng sống.            ",31 m²,3.75 tỷ,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,02/12/2022,Tin thường,35817796,batdongsan_com_vn_35817796,,,4 phòng,,
"['Hà Nội', 'Đông Anh', 'Xã Hải Bối', 'Đường Hải Bối']","
Chính chủ em cần bán mảnh đất 54m² tại Hải Bối, Đông Anh, HN.- Diện tích 54m², MT = MH 4,3m.- Mảnh đất tài lộc.- Đường trước đất hơn 4m.- Cách 20m ra trục đường chính.- Ngõ thông đi hướng nào cũng về được nhà.- Gần với khu đô thị ven sông hồng chủ nhà đã kiểm tra quy hoạch mảnh đất.- Cách 500m là cầu Nhật Tân và cầu Thăng Long, KCN Bắc Thăng Long.- Mất 15 phút sang bên nội thành.- Mảnh đất quá đẹp hè hơi nước mát sông hồng vào nhà quá mát.- Sổ đỏ full thổ cư 100 % GD trong ngày luôn.- Anh chị quan tâm LH em tuấn xem đất và thưởng thức không khí sông Hồng.            ",54 m²,38.5 triệu/m²,4.3 m,,,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35305878,batdongsan_com_vn_35305878,Tây - Bắc,,,4 m,
['65m 4T giá 15.8 tỷ.'],"
Bán gấp nhà Hoàng Cầu Đống Đa, ô tô kinh doanh, 65m² 4T giá 15.8 tỷ.Vị trí: Nhà bán nằm giữa trung tâm quận Đống Đa, khu vực phân lô dân trí cao, trước nhà rộng thoáng sáng, giao thông đi lại vô cùng thuận tiện, xung quanh có rất nhiều tiện ích, trường chợ tạp hóa lên vô cùng sầm uất, nhà vừa ở vừa kết hợp kinh doanh thì quá tuyệt vời, nhà kết nối với nhiều tuyến phố lớn, Thái Hà, Mai Anh Tuấn, Đê La Thành, Trần Quang Diệu...Thiết kế: Tầng 1 khách + bếp + wc.Tầng 2.3 mỗi tầng 2 phòng + wc.Tầng 4 phòng thờ + sân phơi.Sổ đỏ chính chủ pháp lý sạch miễn phí 100% khi đi xem nhà hỗ trợ vay vốn Ngân Hàng lên đến 80% liên hệ Hoàng Lân 0918 483 *** ",65 m²,15.8 tỷ,6 m,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,09/12/2022,Tin thường,35986264,batdongsan_com_vn_35986264,,,3 phòng,6 m,Đầy đủ
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Đường Văn Cao', '97']","
Bán nhà ngõ 97 Văn Cao - nhà dân xây gara ô tô vị trí ngõ đẹp nhất phố - gần hồ tây giá chỉ 11 tỷ.Ngõ 97 Văn Cao 45m² x 5 tầng, mặt tiền rộng 4,6m. Gía chào 11 tỷ.- Vị trí: Cực đẹp, ngõ đẹp nhất Văn Cao, vài trăm mét ra thẳng Hồ Tây.- Nhà dân xây chắc chắn cách phố 30m thiết kế ô tô để trong nhà với công năng và tiện ích đầy đủ.- Nhà đã xây được vài năm nhưng còn chắc chắn nội thất toàn bộ là gỗ lim khách mua về chỉ việc dọn về ở luôn.Thiết kế.+ Tầng 1: Gara và khu bếp, cầu thang cuối.+ Tầng 2: Phòng khách to + 1 ngủ + WC.+ Tầng 3: 1 ngủ, 1 WC to có bồn massage, giếng trời tiểu cảnh.+ Tầng 4: 2 ngủ 1WC.+ Tầng 5: Phòng thờ, sân phơi rộng.            ",45 m²,11 tỷ,4.6 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,28/11/2022,05/12/2022,Tin thường,35794477,batdongsan_com_vn_35794477,,,4 phòng,5 m,Bàn giao nội thất cơ bản
"['Hà Nội', 'Thạch Thất', 'Dự án Thạch Thất Quốc Oai']","
Bán đất CN kèm nhà xưởng 6500m² khu CN Thạch Thất 72ha, mặt đường rộng, đã có 3000m² nhà xưởng tiêu chuẩn, các hệ thống phụ trợ như VP, nhà ăn, diện tích 6500m2m², mặt tiền 47m, giá bán liên hệ: 0985 852 *** ",6500 m²,10 triệu/m²,47 m,,,,23/11/2022,03/12/2022,Tin thường,35927992,batdongsan_com_vn_35927992,Đông - Nam,,,20 m,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', '622', 'Amber Riverside']","
Chuyển lĩnh vực đầu tư, cần bán nhanh căn 3 phòng ngủ 97m² tại Amber Riverside tại 622 Minh Khai.Thông tin căn hộ:+ Diện tích 97m², tầng trung.+ Thiết kế 3 PN, 2 VS.+ Ban công Đông Nam.+ Giá 4.8 tỷ, bao phí sang nhượng.- Thiện chí có thể gặp mặt thương lượng.            ",97 m²,4.8 tỷ,,,3 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35225871,batdongsan_com_vn_35225871,,Đông - Nam,2 phòng,,Full
