address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số tầng,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Pháp lý,Đường vào,Số phòng ngủ,Số toilet,Nội thất
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Đường Đại lộ Thăng Long', 'Dự án Mailand Hanoi City']","
Cần bán liền kề 126m², KĐT Bắc An Khánh Splendora, Hoài Đức.Diện tích đất 126m²,6x21m, xây dựng 74m² x 4,5 tầng. Hướng Đông tứ.Giá: 14, x tỷ...Chi tiết vui lòng liên hệ Mr Huynh 0826 262 *** - 0966 828 881(Zalo).Ngoài ra còn có các căn: 100m² - 126m² - 145m² - 165m².            ",126 m²,Thỏa thuận,Nam,Đông,5 tầng,29/11/2022,06/12/2022,Tin thường,25424060,batdongsan_com_vn_25424060,,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Đức Giang', 'Đường 422', 'Nhà số 9 ngõ 72']","
Nhà số 9 ngõ 72 đường Đức Giang, Huyện Hoài Đức (Nằm trong khu tập thể bệnh viện Hoài Đức và Trung tâm y tế Hoài Đức), ngay cạnh bệnh viện đa khoa Hoài Đức cực kỳ yên tĩnh và tách bạch với khu dân cư bên ngoài.- Vừa có thể ở vừa có thể kinh doanh tiệm thuốc, hoặc phòng khám tư.- Đường rộng ô tô đỗ thoải mái.- Năm 2023 sẽ xây dựng đường vành đai 4 và lên Quận Hoài đức. Đầu tư sinh lời cao.- Gần Bệnh viện, trường học và Khu đô thị Sơn Đồng Center có nhiều tiện ích vui chơi.- Mất 10 phút đi ra Đại lộ Thăng Long, và 10 phút đi ra Mỹ Đình,- Mặt tiền 3m.Diện tích: 65 m².Giá bán: 3,3 tỷ.Liên hệ chính chủ không qua trung gian: 0916 553 *** ",65 m²,3.3 tỷ,Đông - Nam,,,14/11/2022,09/12/2022,Tin thường,35518543,batdongsan_com_vn_35518543,3 m,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Đông Anh', 'Xã Hải Bối', 'Thôn Đồng Nhân']","
Đất đẹp.Diện tích 58m² số đẹp đuôi thần tài.Mặt tiền 4m.Ngõ oto.Vị trí tại thôn Đồng Nhân giáp thành phố thông Minh 4,2 tỷ usd.Cách cầu Nhật Tân 3km.Thăng Long 2km.Cam kết đất ko tranh chấp ko vào quy hoạch. Sai đền gấp đôi tiền.Hỗ trợ xin giấy phép xây dựng nếu cần.            ",58 m²,40 triệu/m²,,,,29/11/2022,06/12/2022,Tin thường,35985954,batdongsan_com_vn_35985954,4 m,Sổ đẹp,3 m,,,
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Đường Đại lộ Thăng Long', 'Dự án Splendora An Khánh']","
Bán CH Chung cư Cao Cấp 150m², 3PN, Splendora Băc An Khánh.Nơi ước đên, chốn mong về.- Diện tích 150m².- Ban công hướng đông nam và Tây Nam.- Gồm 3 phòng ngủ + phòng khách, phòng bếp.- Khách Mua về ở hoặc cho thuê đều được, giá cho thuê hiện trạng khoảng 16tr/tháng. Tặng lại toàn bộ nội thất gắn tường cho khách mua.Giá: 30tr/m². (sổ đỏ) Giá sắp tới sẽ còn tăng mạnh.AC vui lòng kết bạn zalo em sẽ gửi ảnh thực tế.Ngoài ra còn các dt:- 2PN: 88 - 110m².- 3PN: 128 - 150m².- 4PN: 178m²(số lượng hạn chê).Giá: 28 - 32tr/m².Penhouse: 450m² giá ib.Chi tiết anh chị liên hệ: Em Huynh 0826 262 *** - 0966 828 ***.            ",150 m²,30 triệu/m²,,Đông - Nam,,29/11/2022,06/12/2022,Tin thường,34644516,batdongsan_com_vn_34644516,,Sổ đỏ/ Sổ hồng,,3 phòng,,
"['Hà Nội', 'Hoài Đức', 'Xã Song Phương', 'Đường Đại lộ Thăng Long', 'Dự án Hado Charm Villas']","
Cần bán biệt thự song lập, hướng Đông Nam, dự án Hà Đô Charm Villas.Diện tích 250m², 2 mặt thoáng trước sau, nở hậu rất đẹp, vườn sau rất rộng view khu cây xanh.Diện tích sàn xây dựng 84m² x 3 tầng. Đã hoàn thiện mặt ngoài.Thiết kế phong cách hiện đại của Nhật Bản, dự án có mật độ cây xanh rất nhiều, mật độ xây dựng chỉ 18%. Là khu đô thị khép kín, an ninh tốt, đầy đủ tiện ích nội khu.Giá bán: 9x triệu/m² (gồm đất và nhà 3 tầng đã hoàn thiện mặt ngoài).Đã nhận nhà.Chi tiết vui lòng liên hệ: Mr Huynh 0826 262 *** - 0966 828 881(Zalo).            ",250 m²,Thỏa thuận,,,3 tầng,29/11/2022,06/12/2022,Tin thường,28718423,batdongsan_com_vn_28718423,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Lê Văn Thiêm', 'Dự án Golden West']","
Do mới mua biệt thự nên gia đình cần bán gấp căn hộ tại Golden West.- Diện tích: Tim tường 96m².- Hướng ban công Đông Nam.- Thiết kế 3 phòng ngủ, 2WC sang trọng..- Giá cần bán nhanh: 3.2 tỷ bao phí.Rất mong gặp khách thiện chí giao dịch nhanh trong tháng.            ",96 m²,3.2 tỷ,,Đông - Nam,,29/11/2022,06/12/2022,Tin thường,35777304,batdongsan_com_vn_35777304,,Hợp đồng mua bán,,3 phòng,2 phòng,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Phạm Tuấn Tài']","
+ Nhà chú Tuấn tự xây nên khung cột rất chắc chắn, nhà lại có khe thoáng đằng sau nên nhà rất thoáng mát. Gia đình ở rất giữ gìn rất sạch sẽ, khách chỉ về việc ở luôn.+ Vị trí siêu Vip ở Phố Phạm Tuấn Tài, Quận Cầu Giấy, giao thông đi lại thuận tiện như: Hoàng Quốc Việt, Phạm Văn Đồng, Nguyễn Văn Huyên, Phạm Tuấn Tài, Cầu Giấy tiện ích xung quanh không thiếu gì.+ Nhà thuộc khu phân lô, bàn cờ, vìa hè rộng 3m, ô tô đỗ trước cửa nhà thoải mái, dân trí cao, hàng xóm thân thiện, an ninh tốt, khách vừa ở kết hợp kinh doanh hoặc cho thuê rất hợp.+ Nhà thiết kế hiện đại, thang máy nhập khẩu, tiện ích và công năng đầy đủ.+ Sổ đỏ chính chủ, pháp lý chuẩn.+ Giá: 11,9 tỷ, có thương lượng.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",55 m²,11.9 tỷ,,,,26/11/2022,03/12/2022,Tin thường,35735329,batdongsan_com_vn_35735329,,Sổ đỏ,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân']","
+ Cần bán gấp nhà riêng đường Lạc Long Quân 105m², vỉa hè, kinh doanh, ô tô, giá 22 tỷ.+ Vị trí kim cương vip nhất khu vực, trung tâm quận Tây Hồ, giao thông thuận tiện, buôn bán tấp nập, 3 bước chân ra Hồ Tây lộng gió.+ Khu vực phát triển mạnh, hàng xóm toàn đại gia, con cái học hành giỏi giang, dân trí cao, an sinh đỉnh, tiện ích bạt ngàn.+ Nhà đẹp ở ngay, thiết kế kiến trúc hiện đại, nội thất cơ bản, công năng sử dụng hoàn hảo, nhà ở kết hợp làm văn phòng, phòng khám, spa, kinh doanh mọi loại hình.+ Sổ đỏ đẹp như hoa hậu, pháp lý rõ ràng, sẵn sàng giao dịch.+ Liên hệ tôi Trần Dự để được xem nhà 24/7.            ",105 m²,22 tỷ,,,7 tầng,28/11/2022,05/12/2022,Tin thường,35846489,batdongsan_com_vn_35846489,,Sổ đỏ,12 m,7 phòng,7 phòng,
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã', 'Đường Tân Xã']","
Tổng hợp hàng đầu tư nét Tân Xã Thạch Thất cho anh em chủ đầu tư.1, 360m² full thổ cư thôn 8 Tân Xã MT 8.4m đường ô tô tránh giá 16tr5/m² phù hợp xây CCMN.2, 70.4m² mặt tiền 7m đường ô tô tránh thôn 8 Tân Xã giá 22tr/m² phù hợp xây ccmn.3, 74,4m² full thổ cư mặt tiền 4.18m nở hậu 5m cách đường tân xã 15m đường oto phù hợp xây CCMN giá 2 tỷ 380tr.4, lô mặt hồ Hạ Bằng phù hợp làm nghỉ dưỡng, nhà hàng DT từ 80 - 110m² giá hot từ 25 - 28tr/m² view thẳng hồ 7.2ha.5, 73.9m² Sen Trì đường to cách CNC chỉ 7p đi xe giá đầu tư ra hàng chỉ 18 tr5/m² đảm bảo khó kiếm lô thứ 2.Huy Cường BĐS 0793 438 ***Em còn rất nhiều hàng đầu tư, đất xây ccmn ace có nhu cầu call em hoặc zalo em nhé.            ",360 m²,16.5 triệu/m²,Đông - Nam,,,29/11/2022,09/12/2022,Tin thường,35810531,batdongsan_com_vn_35810531,13 m,Sổ đỏ/ Sổ hồng,3 m,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Mai Dịch']","
+ Bán nhà riêng phố Mai Dịch - kinh doanh, phân lô, ô tô, 85m², chỉ 17 tỷ.+ Vị trí đắc địa khu phân lô Quân Đội, đường rộng thông thoáng, ô tô dừng đỗ thỏa mái, kinh doanh sầm uất, thông thương khắp ngả.+ Nhà đẹp ở ngay, chủ xây tâm huyết, khung cột bê tông chắc chắn, nội thất toàn gỗ xịn, công năng sử dụng hoàn hảo.+ Khu vực toàn văn phòng, kinh doanh, hàng xóm toàn tướng tá quân đội, tiện ích xung quanh bạt ngàn, an ninh tốt.+ Sổ đỏ chính chủ, pháp lý sạch, giao dịch nhanh.+ Liên hệ tôi Trần Dự để được xem nhà 24/7.            ",85 m²,17 tỷ,,,5 tầng,29/11/2022,09/12/2022,Tin thường,35981876,batdongsan_com_vn_35981876,,Sổ đỏ/ Sổ hồng,12 m,6 phòng,5 phòng,
