address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường Phú Lãm', 'Phố Phú Lương']","
Vị trí nhà:- Cách Ba La Cây Xăng Xốm 2Km, sát Quốc Lộ 21b Chỉ 7 phút ra Ba La, 10 phút ra KĐT Văn Phú, tàu cao tốc Cát Linh - Hà Đông.- Nhà gần chợ, gần siêu thị, gần KĐT Thanh Hà các trường đại học, cao đẳng, trường cấp, cấp 1, 2, 3.- Nằm trong khu vực dân cư đông đúc, giao thông đi lại thuận tiện đời sống cực kỳ văn minh đáng sống. Giá đất sinh.Lời cao.- Ô tô đỗ cách nhà 5m, 3 gác đỗ cửa.Chi tiết nhà:- Diện tích: 35m², mặt tiền: 5,8 m, sổ nở hậu.- Nhà 5 tầng thiết kế hiện đại gồm: 4 phòng ngủ.- Full nội thất cơ bản.Pháp lý nhà:- Pháp lý rõ ràng, SĐCC không tranh chấp quy hoạch.- Hỗ trợ vay vốn ngân hàng lên tới 70%.- Giá: 1,65 tỷ (bao phí sang tên sổ đỏ).SĐT & zalo: 0981 261 ***Miễn trung gian môi giới).            ",35 m²,1.65 tỷ,5 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,20/11/2022,30/11/2022,Tin thường,35782737,batdongsan_com_vn_35782737,,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường 5A', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chính chủ càn tiền nên muốn bán gấp shophouse căn góc mặt đường lớn.Nằm ngay trường đại học Vinuni, bệnh viện Vinmec. Vài bước chân ra biển hồ.Nhà xây 5 tầng 1 tum. Lô góc.DT: 130m².DT xây dựng 80m².Tổng diện tích xây dựng 360,8m².Đầu tư sinh lời cao. Vì có việc gấp nên gia đình mới phải bán đi rất tiếc.Ai mua liên hệ: 0984 094 *** ",130 m²,18.5 tỷ,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,25/11/2022,02/12/2022,Tin thường,35126693,batdongsan_com_vn_35126693,12 m,30 m,Đông - Nam,Đông - Nam,Bàn giao chủ đầu tư.
"['Hà Nội', 'Hà Đông', 'Phường Phú Lương', 'Phố Xốm']","
Vị trí nhà:- Cách cây xăng Xốm 2Km, sát QL21b Chỉ 7 phút ra Ba La, 10 phút ra Văn Phú, KĐT Xa La Và tàu cao tốc Cát Linh - Hà Đông.- Nhà gần chợ, gần siêu thị, gần khu đô thị Thanh Hà các trường đại học, cao đẳng, trường cấp, cấp 1, 2, 3.- Nằm trong khu vực dân cư đông đúc, giao thông đi lại thuận tiện đời sống cực kỳ văn minh đáng sống. Giá đất sinh lời cao.- Ô tô đỗ cửa ngày đêm, đường rộng xe tải tránh.Chi tiết nhà:- Diện tích: 40m², sổ vuông,- Nhà 4 tầng thiết kế hiện đại gồm: 3 phòng ngủ + phòng khách gác lửng.- Full nội thất cơ bản như hình (Ảnh thật 100%).Pháp lý nhà:- Pháp lý rõ ràng, SĐCC không tranh chấp quy hoạch.- Hỗ trợ vay vốn ngân hàng lên tới 70%.- Giá: 2,4 tỷ (bao phí sang tên sổ đỏ).SĐT & zalo: 0981 261 ***Miễn trung gian môi giới).            ",40 m²,2.4 tỷ,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin thường,35725525,batdongsan_com_vn_35725525,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
+ Nhà rộng thênh thang chủ xây rất tâm huyết chắc chắn vô cùng, nhà lại 2 thoáng nên căn nhà thoáng sáng sáng tự nhiên ban ngày không phải bật điện.+ Vị trí siêu đẹp ở Cầu Giấy, thuộc TT Quận Cầu Giấy giáp các quận như: Đống Đa, Ba Đình, Tây Hồ, Thanh Xuân cơ sở hạ tầng phát triển bậc nhất, giao thông đi lại thuận tiện.+ Chủ nhà là Anh Quảng làm kỹ sư của FPT nay đã mua được biệt thự nên cần bán gấp.+ Trước nhà thoáng sáng, ô tô đỗ ngày đêm, hàng xóm toàn quan chức nên dân trí cao, an ninh tuyệt đối.+ Nhà thiết kế hiện đại, chủ tặng lại toàn bộ nội thất chi chủ mới chỉ việc kéo vali quần áo về ở, phù hợp ở cả đại gia đình hoặc vừa ở vừa kết hợp kinh doanh rất hợp lý.+ Nhà vuông đẹp, pháp lý chuẩn.+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp.            ",60 m²,8.9 tỷ,5 tầng,,,Sổ đỏ/ Sổ hồng,23/11/2022,03/12/2022,Tin thường,35833642,batdongsan_com_vn_35833642,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Phạm Thận Duật']","
Phân lô - vỉa hè - gara ô tô - thang máy nhập khẩu.+ Vị trí đắc địa, khu phân lô, vỉa hè rộng, khu vực dân cư đông đúc, dân trí cao.+ Giao thông thuận tiện các tuyến: Phạm Thận Duật, Doãn Kế Thiện, Phạm Văn Đồng...+ Nhà 6 tầng thang máy, chủ xây ở tâm huyết, thiết kế hợp lý, công năng thoải mái.+ DT: 50m².  + Giá giá 10 tỷ. Mua bán chính chủ, không qua trung gian.+ Pháp lý: Sổ đỏ vuông vắn, giao dịch ngay.+ Lh: Mr Tuân 0979 400 ***Để làm việc chính chủ).            ",50 m²,10 tỷ,6 tầng,,5 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,29/11/2022,Tin thường,35914883,batdongsan_com_vn_35914883,4 m,6 m,,,Đầy đủ
"['Hà Nội', 'Gia Lâm', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chính chủ cắt lỗ sâu căn biệt thự song lập HA03 tại vinhomes oceanpark gia lâm HN Diện tích đất 150m² Nhà 3 tầng 1 tum Giá chỉ hơn 21 tỷ LH: 0984 094 ***Vị trí đắc địa ko có căn thứ 2            ",150 m²,21 tỷ,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35960390,batdongsan_com_vn_35960390,9 m,20 m,Đông - Nam,Tây - Bắc,Cơ bản
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Chính chủ cần tiền nên muons bán cắt lỗ căn shophouse 5 tầng tại KĐT Vinhomes Ocean Park Gia Lâm.Diện tích đất 90m² đường thông thoáng.Mặt tiền 5m.Hướng Đông Nam.Giá bán cắt lỗ là 8.8 tỷ.Ưu tiên khách thiện chí.Vài bước chân ra biển hồ TTTM vincom phố đi bộ chợ đêm.Đầu tư sinh lời cao.LH: 0984 094 *** xem nhà.            ",90 m²,8.8 tỷ,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin thường,35795295,batdongsan_com_vn_35795295,5 m,52 m,Đông - Nam,Tây - Bắc,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung']","
Vị Trí Nhà :- Nhà thuộc Phường Quang Trung - Hà Đông , Vị trí trung tâm cách Bến Xe Yên Nghĩa - Đường sắt trên cao Cát Linh - Hà Đông chỉ 500m , cách trung tâm vườn hoa Hà Đông 2km . Cách bệnh viện 103 , viện bỏng , viện K chỉ vài phút chạy xe .- Xung quanh tiện ích đầy đủ bao gồm : Siêu thị , chợ dân sinh , nhà hàng , quán xá đầy đủ . Gần bãi gửi xe ô tô và trường học các cấp thuận tiện cho các hộ gia đình có con nhỏ .- Ngõ nông ba gác đỗ cửa - ô tô đỗ cách nhà khoảng 20m - 50m ra trục chính Quang Trung . Chi tiết Nhà :- Diện tích : 33m² , Mặt tiền : 5,4m , Sổ Vuông- Nhà xây 4 tầng thiết kế hiện đại : 3 Phòng ngủ + Phòng Thờ - Sân Phơi- Nội thất cơ bản : Cửa chính 2 lớp , Cầu thang gỗ , thiết bị nhà vệ sinh nhập khẩu , Tủ bếp gỗ xoan mặt đá , đèn led , đèn điện chiếu sáng đầy đủ . Pháp Lý Nhà :- Pháp lý rõ ràng , SĐCC không tranh chấp quy hoạch- Hỗ trợ vay vốn ngân hàng lên tới 70%- Giá : Nhỉnh 2,4 tỷ ( Bao phí sang tên ) SĐT & Zalo : 0981 261 *** ( Miễn trung gian môi giới )            ",33 m²,2.4 tỷ,4 tầng,3 phòng,3 phòng,,25/11/2022,05/12/2022,Tin thường,35953440,batdongsan_com_vn_35953440,,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường 5A', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Bán gấp trong tuần căn hộ cao cấp tại KĐT Vinhomes Ocean Park Gia Lâm.Căn 3PN2VS.Diện tích 80m².Nhà mới chưa ở.Nội thất bàn giao chủ đầu tư.Ban công Đông Bắc.Tầng thấp.Sổ đỏ sẵn sàng giao dịch.Hỗ trợ vay ngân hàng nếu khách có nhu cầu.LH: 0984 094 *** xem nhà 24/24.            ",80 m²,2.35 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,22/11/2022,29/11/2022,Tin thường,35891450,batdongsan_com_vn_35891450,,,Đông - Nam,Đông - Bắc,Cơ bản
"['Hà Nội', 'Long Biên', 'Phường Đức Giang']","
Bạn muốn ô tô vào nhà? Rất dễ thôi !  Chỉ 1 căn duy nhất trong khu vực Đức Giang, Thông số DT 36,1m². x MT 3.74m x 5 tầng. Nhà hiếm mới xây, phong cách thiết kế hiện đại, ô tô vào nhà nếu muốn, chỉ 10m ra đường ô tô tải tránh rộng thênh thang. Gần trường chợ Đức Hoà bán kính 300m Chỉ việc xách vali đến ở luôn thôi. Sổ đỏ đẹp phân lô cất két giao dịch vèo.Mobile 0787 362 *** để XEM NHÀ MIỄN PHÍ            ",36.1 m²,4.5 tỷ,5 tầng,4 phòng,4 phòng,Sổ đỏ.,21/11/2022,28/11/2022,Tin thường,35889161,batdongsan_com_vn_35889161,3.74 m,,,,Để lại full nội thất.
