address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Hướng ban công,Nội thất,Đường vào
"['Hà Nội', 'Tây Hồ', 'Phường Tứ Liên', 'Đường Tứ Liên']","
Bán nhà Tứ Liên - Tây Hồ, 3T, 78 m², mặt tiền 6m, cách phố Âu Cơ 30m, sổ đỏ CC, giá chỉ 5.75 tỷ.Mô tả:+ Thông số: Tổng diện tích sử dụng 78m², diện tích nhà 50m²(6mx8.5m) + 12m²(6mx2m) sân để xe riêng + 16m² ngõ đi riêng.+ Vị trí: Cực đẹp, cách mặt phố Âu Cơ chỉ khoảng 30m, ngõ rộng gần 3m, ba gác tránh thoải mái.+ Hiện trạng: Nhà 3 tầng cũ 4 ngủ, chủ xác định bán đất. Có thể sửa chữa ở ngay hoặc cho thuê hoặc phù hợp xây mới 7 tầng thang máy ở kết hợp kinh doanh apartment.+ Pháp lý: Sổ đỏ chính chủ.Giá 5.75 tỷ (giá gia lộc nhẹ).LH: Đức Hiền 0342 772 ***Zalo).            ",78 m²,5.75 tỷ,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,29/11/2022,Tin thường,34867238,batdongsan_com_vn_34867238,,,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Bạc', 'Phố Cầu Gỗ']","
+ Gia đình chuyển vào Sài Gòn định cư cần bán gấp mặt phố Cầu Gỗ 101m² x 5 tầng, mặt tiền 6.8m, chỉ 89.8 tỷ.+ Vị trí đắc địa đẹp nhất phố, kinh doanh tấp nập ngày đêm, cách Hồ Hoàn Kiếm chỉ vài chục bước chân.+ Diện tích 101m², mặt tiền 6.8m phù hợp xây tòa Building kinh doanh bất chấp mọi loại hình, Hotel, Nhà hàng, Văn phòng.+ Sổ đỏ vuông đẹp full thổ cư sẵn sàng giao dịch.Liên hệ Mr Tú: 0358 298 ***. Thông tin chuẩn 100%, cảm ơn quý ac đã xem tin.            ",101 m²,89.8 tỷ,5 tầng,,,,25/11/2022,02/12/2022,Tin thường,34988694,batdongsan_com_vn_34988694,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công']","
- Nằm tại trung tâm Tây Hồ, sống giữa những cơn gió mát mẻ của Hồ Tây, không gian thoáng đãng nhưng vẫn đảm bảo sự yên tĩnh.- DT: 46m², mặt tiền rộng 5m, giá 4,2 tỷ.- Khu vực dân trí cao, đi bộ 3 bước thấy bộ đội, 5 bước thấy công an, trường học các cấp đạt chuẩn Quốc Gia bán kính khoảng 1km.- Mặt thoáng đẹp vô cùng tận, để ở thì miễn bàn!- Hỗ trợ thủ tục xây dựng, bản thiết kế miễn phí.- Cam kết: Không thu bất kì chi phí nào, kể cả khi giao dịch thành công.- Vui lòng không làm việc qua các đơn vị trung gian!- Liên hệ Mr. Tú chuyên nhà đất Tây Hồ để xem nhà ngay.            ",46 m²,4.2 tỷ,,,,,19/11/2022,29/11/2022,Tin thường,34323420,batdongsan_com_vn_34323420,5 m,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Phố Trần Bình', 'Dự án Dolphin Plaza']","
Bán căn hộ Dự án Dolphin Plaza, Nam Từ Liêm, Hà Nội.Căn hộ diên tích 144m² thiết kế 2 phòng ngủ.Cửa chính hướng Bắc, Ban công hướng Nam.Giá mong muốn 4,8 tỷ có thương lượng.Anh chị xem nhà liên hệ em Hải: 0989 271 *** ",144 m²,4.8 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,33349218,batdongsan_com_vn_33349218,,Bắc,Nam,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
Nhà Mới Đẹp, Xuân Đỉnh, Bắc Từ Liêm 30.2m², 5 tầng, mặt tiền 4.4m chỉ hơn 3 tỷ tí tị tì ti... Ngay gần Xuân La Tây Hồ.Tổng diện tích sử dụng 40m² : 10m² ngõ chungÔ tô con đỗ cổng, 30m ô tô tránh, nhà đẹp đón tết, gần phố, ngõ thông, SĐCC.Tổng 3 phòng ngủ, khu vực Trung Tâm không thiếu thứ gì.Sổ đỏ chính chủ.Liên hệ xem nhà Mr Cường.            ",40 m²,3.3 tỷ,5 tầng,3 phòng,4 phòng,Sổ đỏ chính chủ.,25/11/2022,02/12/2022,Tin thường,35951920,batdongsan_com_vn_35951920,4.4 m,,,Đầy đủ,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Quang Tiến']","
- Tôi chính chủ cần bán nhà Đại Mỗ, Nam Từ Liêm.34m² x 5T, giá 3.78 tỷ.- Nhà thiết kế hiện đại, đầy đủ nội thất, có ban công trồng hoa.- Trước nhà ô tô đỗ cửa, bãi gửi xe 24/24 ngay cạnh nhà.- Nhà của dân xây, chắc chắn, trước nhà có 1 sân vườn, thoáng vĩnh viễn.- Nhà cách Vincom Megamall khoảng 200m, Aeon Mall tầm 800m.- Xung quanh có bệnh viện quốc tế, Trường học cấp 1,2,3 ngay cạnh 300m là tới.- Chợ đi bộ mất 2p.- Sổ đỏ chính chủ, pháp ký rõ ràng.- Mọi chi tiết xin liên hệ: 0967 628 *** ",34 m²,3.78 tỷ,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,27/11/2022,04/12/2022,Tin thường,35883810,batdongsan_com_vn_35883810,3.6 m,,,Nội thất đầy đủ.,4 m
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Võ Chí Công', 'Đường Lạc Long Quân']","
- Đáng đồng tiền bát gạo - Đất gia đình cần bán.- Nằm tại trung tâm Tây Hồ, sống giữa những cơn gió mát mẻ của Hồ Tây, ô tô 30 chỗ qua nhà, 16 chỗ đỗ trong nhà.- DT: 120m², mặt tiền rộng 7,5m, giá 16 tỷ, 100% thổ cư.- Miếng đất vàng nằm trong khu vực đã quy hoạch xong, kinh doanh và để ở đều vip.- Cạnh chợ dân sinh họp cả ngày, gần khu vực hành chính công phường và quận Tây Hồ, TTTM cách 1km với tổ hợp giải trí bạt ngàn.- Khu vực dân trí cao, đi bộ 3 bước thấy bộ đội, 5 bước thấy công an, trường học các cấp đạt chuẩn quốc gia bán kính khoảng 500m.- Hỗ trợ thủ tục xây dựng, cấp phép.- Cam kết: Không thu bất kì chi phí nào, kể cả khi giao dịch thành công.- Vui lòng không làm việc qua các đơn vị trung gian.- Liên hệ Mr. Tú chuyên gia kết nối tổ ấm Tây Hồ để xem nhà ngay.            ",120 m²,16 tỷ,,,,,25/11/2022,05/12/2022,Tin thường,35149941,batdongsan_com_vn_35149941,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Khang']","
Cách phố 50m - ngõ thẳng - lô góc - 3 thoáng vĩnh viễn.- Nhà nằm vị trí đắc địa của khu vực, cách phố chỉ 50m, bãi đỗ xe ô tô cách nhà chỉ hơn 100m. Nhà lô góc, 3 mặt thoáng, phòng nào cũng tràn ngập ánh sáng.- Nguyễn Khang là khu phố phát triển mạnh, xung quanh tiện ích đủ đầy. Gần nhiều chợ, thực phẩm luôn luôn tươi sống.- Gần trường mầm non, C1, C2, C3 Yên Hoà, Trường TH & THCS Nguyễn Siêu, trường St. Mary's International,...- Gần các trường Đại học lớn như ĐH Giao thông vận tải, ĐH Luật, ĐH Lao động Xã hội,..- Bán kính 2km ra bệnh viện 19 - 8 Bộ Công An, Bệnh viện Hồng Ngọc, bệnh viện Giao Thông Vận Tải,...- Giao thoa với rất nhiều đường lớn như Đường Láng, Cầu Giấy, Võ Chí Công, Đại lộ Thăng Long,... Giao thông thuận tiện.- Thiết kế 5 tầng khung cột bê tông chắc chắn, thiết bị hiện đại, đèn cảm biến, cửa sổ cách âm, sàn gỗ cao cấp.- Sau nhà là trường THPT Yên Hoà, Thoáng Vĩnh viễn lên Phòng nào cũng rất thoáng.+ T1: Khách + Bếp + WC.+ T2, 3: Mỗi tầng 1 phòng ngủ khép kín.+ T4: Chia 2 phòng + WC.+ T5: Phòng thờ + sân phơi.- Nhà mới đẹp, chủ mới chỉ cần xách Vali về ở luôn.+ Sổ đỏ đẹp cất két, chính chủ sẵn sàng giao dịch.            ",36 m²,4 tỷ,5 tầng,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35664219,batdongsan_com_vn_35664219,5.4 m,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Ngô Thì Nhậm', 'Phố Trần Xuân Soạn']","
- Gia đình cần bán gấp mặt phố Trần Xuân Soạn - Hai Bà Trưng 334m² x 2 tầng, mặt tiền 10.2m², 161 tỷ.- Diện tích lớn mặt tiền rộng xây tòa văn phòng, hotel, thời trang, cafe.- Giao thông kết nối Phố Huế, Ngô Thì Nhậm, Thi Sách.Sổ đỏ vuông đẹp 1 chủ sẵn sàng giao dịch.LH 0358 298 *** ",334 m²,161 tỷ,2 tầng,,,,25/11/2022,02/12/2022,Tin thường,31600574,batdongsan_com_vn_31600574,10.2 m,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân']","
- Tổ ấm tại trung tâm Tây Hồ, sống giữa những cơn gió mát mẻ của Hồ Tây, không gian thoáng đãng nhưng vẫn đảm bảo sự yên tĩnh.- DT: 46m², giá 4 tỷ.- Khu vực dân trí cao, đi bộ 3 bước thấy bộ đội, 5 bước thấy công an, trường học các cấp đạt chuẩn Quốc Gia bán kính khoảng 1km.- Hỗ trợ thủ tục xây dựng, bản thiết kế miễn phí.- Cam kết: Không thu bất kì chi phí nào, kể cả khi giao dịch thành công.- Vui lòng không làm việc qua các đơn vị trung gian!- Liên hệ Mr. Tú chuyên nhà đất Tây Hồ để xem nhà ngay.            ",46 m²,4 tỷ,,,,,25/11/2022,05/12/2022,Tin thường,34317312,batdongsan_com_vn_34317312,,,,,
