address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Pháp lý,Nội thất,Số tầng,Mặt tiền,Đường vào
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai', 'Dự án Sky Light']","
Chính chủ cần bán căn hộ duplex tại dự án Sky Light, Minh Khai, Hai Bà Trưng.Căn hộ 225m² gồm 3 phòng ngủ, 2 phòng vệ sinh, 2 phòng khách.Căn hộ tầng trung, view đẹp, thoáng mát.Trong nhà đã trang bị đầy đủ nội thất cao cấp.Giá bán: 9,5 tỷ.Qúy khách có nhu cầu liên hệ số: 0396 638 *** để xem nhà.            ",225 m²,9.5 tỷ,3 phòng,2 phòng,06/12/2022,13/12/2022,Tin thường,35045843,batdongsan_com_vn_35045843,,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', 'Dự án Hapulico Complex']","
Chính chủ cần bán nhanh căn 3PN 2WC, 135m² tầng trung, đẹp nhất, mới nhất và rẻ nhất tại tòa 24T2 Hapulico.Do gia chủ không còn nhu cầu sử dụng nữa, nên cần bán lại để đầu tư cái khác, cụ thể như sau:- Hướng: TB, ban công Đông Nam.- Thiết kế: 3 ngủ, 2WC, DT: 135m².- Nội thất đẹp thiết kế sang trọng trẻ trung.- Phòng khách, bếp, thiết bị vệ sinh tất cả đều mới và sử dụng tốt.- Nhà đã có sổ pháp lý rõ ràng.- View tầng đẹp không bị ồn ào, nắng chiếu, bụi.Giá: 5.1 tỷ (có thương lượng).* Không tiếp môi giới.            ",135 m²,5.1 tỷ,3 phòng,2 phòng,02/12/2022,09/12/2022,Tin thường,36017749,batdongsan_com_vn_36017749,Tây - Bắc,Đông - Nam,Sổ đỏ chính chủ.,Full nội thất.,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Nguyễn Cơ Thạch', 'Dự án Mỹ Đình I']","
Chính chủ cần bán gấp biệt thự đơn lập Mỹ Đình 105m², MT 8m, vỉa hè 5m giá 26,9 tỷ.Nhà được thiết kế theo phong cách Châu Âu hiện đại, nội thất toàn gỗ lim sang trọng, bền, đẹp hút mắt.Nhà ở khu biệt thự cao cấp, view thoang, vỉa hè rộng, xung quanh nhiều tiện ích, giao thông đi lại thông thoáng.Khu nhà ở gần khu đô thị Hàm Nghi, Trường C1, C2 Đoàn Thị Điểm, khu vực hiếm nhà bán!Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hậu để xem nhà.            ",105 m²,26.9 tỷ,,,02/12/2022,09/12/2022,Tin thường,35805408,batdongsan_com_vn_35805408,,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Phạm Hùng', 'Dự án Vinhomes West Point']","
Gia đình cần bán căn hộ 2PN dt tim tường 72m², diện tích sử dụng 64m².Đã hoàn thiện nội thất đầy đủ cao cấp.Căn hộ tầng trung, hướng cửa Tây Bắc - Ban công Đông Nam view tòa W1.LH: 0916 091 *** ",72 m²,4.5 tỷ,2 phòng,2 phòng,06/12/2022,13/12/2022,Tin thường,35890749,batdongsan_com_vn_35890749,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt', 'Số 91', 'Tràng An Complex']","
Tôi là cư dân chung cư Tràng An Complex Cầu Giấy đang có nhiều căn hộ chào bán giá rất tốt. Xem nhà ngay!Mong gặp khách hàng có nhu cầu thực!Bán gấp căn hộ chung cư cao cấp Tràng An Complex, giá rẻ, sổ đỏ cầm tay, rất thiện chí bán nên mong muốn gặp khách có nhu cầu thực.Liên hệ xem nhà: Mai Linh 0971 335 ***Do điều cần tiền giải quyết việc riêng nên mình muốn bán gấp căn hộ chung cư Tràng An - GP Invest.Nhà mới tinh chưa ở, mới nhận được sổ hồng. Và căn hộ full nội thất!Ban đầu gia đình tính mua để ở nên chọn căn hộ rất kĩ, hướng đẹp, view thoáng.Mong muốn bán lại cho người thiện chí, đã nhận sổ đỏ và nhà ở mới tinh!Căn 1: Diện tích thông thủy 78.6m², 2 phòng ngủ, 2 WC, cửa vào hướng Bắc, ban công hướng Nam.Thiết kế 2 phòng ngủ đều có cửa sổ thông ra ngoài trời, tầng cao view đẹp, thoáng mát.Căn 2: Diện tích 988m²; 3 phòng ngủ, 2 wc, cửa Nam ban công Bắc nhìn hồ Tây xanh mướt xinh đẹp.Căn hộ bàn giao đầy đủ tủ kệ bếp, bếp từ, thiết bị vệ sinh, đèn v. V có thể dọn vào ở ngay.Mọi người đã về ở gần như 100% nên các tiện ích dịch vụ đã đi vào hoạt động rất tốt.Nguyên bản chủ đầu tư bàn giao bao gồm:- Bếp và tủ bếp hoàn chỉnh, bếp từ và hồng ngoại. Trang bị hệ thống tủ bếp, bếp âm, hút mùi, máy sấy bát.- Nhà vệ sinh thiết kế đầy đủ nóng lạnh, phòng tắm đứng, vòi sen, tủ kính.- Mỗi phòng đều có điều hòa Daikin 2 chiều.- Trần thạch cao, đèn và toàn bộ thiết bị chiếu sáng.- Sàn gỗ phòng ngủ, sàn gạch cao cấp phòng khách.- Vị trí tòa nhà: Số 91 Hoàng Quốc Việt, phường Nghĩa Đô, quận Cầu Giấy, Hà Nội, giao thông cực kỳ thuận lợi.- Trong bán kính 300m có đầy đủ tiện ích: Trường cấp 1, 2 Nghĩa Tân, trường cấp 2 Lê Quý Đôn, công viên Nghĩa Đô, bảo tàng Dân Tộc VN, chợ Nghĩa Tân, chợ Bưởi, bệnh viện E,...- Dịch vụ: Siêu thị, bể bơi gym, spa, trường mẫu giáo.Rất mong tìm được khách mua thiện chí; cư dân tòa nhà cực kỳ văn minh và dân trí.- Mai Linh 0971 335 *** căn hộ 1606 tòa CT1 Tràng An Complex (miễn QC).- Tư vấn miễn phí chính xác 100%.* Xem nhà tất cả các ngày trong tuần kể cả ngày lễ và chủ nhật.            ",88 m²,Thỏa thuận,3 phòng,2 phòng,06/12/2022,13/12/2022,Tin thường,26509077,batdongsan_com_vn_26509077,Bắc,Nam,Sổ đỏ/ Sổ hồng,"Nội thất hoàn chỉnh: Tường: Sơn chuẩn, Trần thạch cao, đèn chùm và toàn bộ thiết bị chiếu sáng. Sàn gỗ phòng ngủ, sàn gạch cao cấp đối với phòng khách. Trang bị hệ thống tủ bếp, bếp âm, hút mùi",,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Thiên Hiền']","
Bán nhà Thiên Hiền Mỹ Đình lô góc ô tô sát phố 46m2x4T 5,2 tỷ.- Ngõ nông, rộng, lô góc 2 mặt tràn ngập ánh sáng; ô tô đỗ cửa quay đầu, vài bước chân ra mặt phố, hồ điều hòa.- Kết nối Mỹ Đình, Thiên Hiền, Đình Thôn; rất gần BX Mỹ Đình, Kang Nam, Big C Garden.- Chính chủ xây dựng, BTCT, đầy đủ công năng cho đại gia đình, nội thất chất lượng tặng 100% khách thiện chí.- Sổ đỏ hoa hậu, chủ nhiệt bán để mua nhà Vinhome.- Khách hàng mua nhà Mỹ Đình, Thiên Hiền vui lòng liên hệ em Lãm thổ cư gặp chủ xem nhà 24/7, miễn trung gian môi giới.            ",46 m²,5.2 tỷ,4 phòng,3 phòng,06/12/2022,13/12/2022,Tin thường,36042394,batdongsan_com_vn_36042394,,,Sổ đỏ/ Sổ hồng,Đầy đủ,4 tầng,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Sơn', 'Dự án PHC Complex 158 Nguyễn Sơn']","
Không ở tôi bán căn hộ đầy đủ nội thất chung cư PHC Complex 158 Nguyễn Sơn.- Diện tích: 75m². (thông thủy).- Thiết kế: 2 phòng ngủ 2 vệ sinh.- Ban Công: Tây Nam.- Nôi thất full như ảnh.- Sổ đỏ chính chủ.- Giá: 3.5 tỷ.- Liên hệ: 0971 508 *** ",75 m²,3.5 tỷ,2 phòng,2 phòng,06/12/2022,13/12/2022,Tin thường,35967825,batdongsan_com_vn_35967825,,Tây - Nam,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai']","
Tôi chính chủ cần bán căn nhà 4 tầng diện tích 35m² sổ đỏ. Nhà mới xây kiên cố gần trung tâm xã Tả Thanh Oai và trường cấp 1.2 Tả Thanh Oai Giá bán 1.99 tỷ và có hỗ trợ vay vốn ngân hàng. Liên hệ xem nhà 0966 507 *** ",35 m²,1.99 tỷ,,,06/12/2022,16/12/2022,Tin thường,35595657,batdongsan_com_vn_35595657,,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc', 'Dự án Diamond Blue 69 Triều Khúc']","
Tôi cần bán sàn thương mại tại dự án Diamond blue Ngay Đại học Công Nghệ Giao Thông Vận Tải, cách ngã tư Khuất Duy Tiến Nguyễn Trãi 1km.- Diện tích: 548m².- Sàn tầng 1.Lợi thế ki ốt Diamond Blue:- Nằm tại khu dân cư đông đúc, có vị trí đắc địa nằm gần tuyến đường sắt trên cao Hà Đông - Cát Linh với hệ thống hạ tầng tiện ích đầy đủ nhất khu vực phía Tây Hà Nội.- Kinh doanh ki ốt đang phát triển bùng nổ và mạnh mẽ, với lợi thế có rất đông cư dân sinh sống và làm việc tại các toà nhà. Vì thế nhu cầu mua bán trao đổi hàng hoá dịch vụ là rất lớn.- Cơ hội mua đầu tư, cho thuê hoặc kinh doanh hộ gia đình.- Giá bán: Liên hệ trực tiếp 0984 925 *** ",548 m²,Thỏa thuận,,,06/12/2022,16/12/2022,Tin thường,36042166,batdongsan_com_vn_36042166,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Hoa Bằng', 'Ngõ 92']","
Ngõ 92 phố Hoa Bằng vị trí kinh doanh sầm uất, 1 vị trí ở và an sinh cực kỳ tuyệt vời, 2 bước ra chợ, 3 bước ra các điểm trường vô cùng tuyệt vời.Phố Hoa Bằng thông với các phố tRung Kính, Yên Hòa, Nguyễn Khang.Sổ đỏ hoa hậu, chỉ chò chủ mới về rước.Nha chủ tự xây 5 tầng đầu đủ công năng, có chỗ đọc sách thưởng trà hết ý.LH; Ngay em Thuận chuyên nhà phố, cam kết tin thật 100%, xem nhà miễn phí 24/24.            ",55 m²,8.2 tỷ,4 phòng,,06/12/2022,13/12/2022,Tin thường,36042393,batdongsan_com_vn_36042393,,,Sổ đỏ.,,5 tầng,5 m,3 m
