address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Hoàng Mai', 'Phường Giáp Bát', 'Đường Giải Phóng']","
Mua nhà xinh rinh lộc vàng! Chung cư Giải Phóng - Trường Chinh - ĐH KTQD - Diện tích 28 - 55 - 65m² giá từ 650 triệu - 850tr - 12.6 tỷ - 1.35 tỷ/căn.Liên hệ trực tiếp chủ đầu tư dự án: 0989 339 ***.1. Vị trí chung cư Giải Phóng - Phố Vọng.- Tòa chung cư nằm trên đường Giải Phóng, Quận Hai Bà Trưng, Hà Nội.- Chung cư mini Giải Phóng chỉ cách Hồ Gươm 3 km, vị trí vô cùng thuận tiện.- Gần các tuyến đường lớn như: Đại Cổ Việt, đường Võ Thị Sáu, đường Bạch Mai, đường Nguyễn Khoái, Phố Huế, Giải Phóng, Minh Khai, Trường Chinh, Giáp Bát,...- Gần các trường học như THCS - THPT, gần các trường đại học lớn ĐH Xây Dựng, ĐH Kinh Tế Quốc Dân, ĐH Bách Khoa, siêu thị Điện Máy Xanh, gần công viên Thống Nhất.2. Quy mô - thiết kế chung cư Giải Phóng - Trường Chinh.- Mỗi sàn thiết kế 5 căn hộ, từ 1 - 2 - 3 phòng ngủ, có ban công thoáng mát, mặt ngõ đẹp, nhiều ánh sáng, phòng khách rộng, thang máy, thang bộ thoát hiểm. Tầng 1 để xe máy, bảo vệ 24/7, camera an ninh, hệ thống PCCC.- Diện tích căn hộ cụ thể:+ Căn 31 - 33 - 35m²: Gồm 1 phòng ngủ + 1 phòng khách liền bếp + 1WC + 1 ban công.+ Căn 48 - 50 - 52 - 65m²: Gồm 2 - 3 phòng ngủ + 1 phòng khách liền bếp + 1WC + 1 ban công.3. Giá bán.- Căn 1 ngủ: Giá từ 800 - 900 triệu/căn.- Căn 2 ngủ: Giá từ 1.150 tỷ - 1.25 tỷ - 1.36 tỷ/căn.- Căn 3 ngủ: Giá từ 1,65 - 1,7 tỷ/căn.4. Pháp lý.- Khách hàng được kí hợp đồng mua bán trực tiếp với CĐT không qua môi giới.- Nhận giấy tờ pháp lý đầy đủ theo pháp luật hiện hành: Sổ đỏ, giấy phép xây dựng, thiết kế căn hộ, giấy tờ cá nhân của chủ đầu tư. Tách sổ hồng vĩnh viễn theo quy định của pháp luật.- Thanh toán nhanh được chiết khấu khủng cùng hàng ngàn quà tặng hấp dẫn. Tặng ngay bộ nội thất cao cấp: Giường, tủ quần áo, kệ tivi,... Chiết khấu 2% giá trị căn hộ. Tặng ngay vàng 9999 cho khách hàng thanh toán nhanh trong 5 - 7 ngày.Mọi thông tin chi tiết về dự án vui lòng liên hệ trực tiếp đại diện chủ đầu tư dự án.Hotline: 0989 339 *** ",35 m²,690 triệu,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,05/12/2022,12/12/2022,Tin thường,35864685,batdongsan_com_vn_35864685,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Tố Hữu', 'Dự án Roman Plaza']","
Chính chủ cần bán căn hộ chung cư tòa Roman Plaza Tố Hữu.- Diện tích: 69m², thiết kế 2PN, 2VS, phòng khách, bếp.- Căn hộ thiết kế đẹp, hợp lý.- Nội thất đầy đủ chỉ việc sách valy về ở.- Vị trí trung tâm đi lại thuận tiện, gần trường gần chợ.- Tòa nhà có rất nhiều tiện ích, như phòng tập Gym, trung tâm thương mại, siêu thị, nhà hàng.. Vv.Sổ đỏ chính chủ.Giá bán: 2.9 tỷ (có thương lượng).Liên hệ: Ms Huệ 0987 459 *** ",69 m²,2.9 tỷ,2 phòng,,,Nội thất đầy đủ,02/12/2022,09/12/2022,Tin thường,35255523,batdongsan_com_vn_35255523,Tây - Nam,Đông - Bắc,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', '677', 'Heritage West Lake']","
Chủ đầu tư Capitaland Singapore ra mắt siêu phẩm căn hộ hạng sang Heritage West Lake - 677 Lạc Long Quân, vị trí độc tôn sở hữu lâu dài.Căn góc 3PN duy nhất mã căn 03 thiết kế 3 phòng ngủ, 3 vệ sinh.- Diện tích thông thủy: 150m².- Hướng Đông Nam thoáng mát.- 1 sảnh riêng.- 1 bếp riêng + bếp đảo có logia.- 1 phòng khách + bàn ăn rộng có ban công dài rộng có để bàn trà.- 3 phòng ngủ gồm 1 master chính có bồn tắm, 1 phòng master có nhà vệ sinh, 1 phòng ngủ thường.- 1 phòng làm việc.Bàn giao đồ nội thất cao cấp.Liên hệ xem căn hộ thực tế: 0987 409 **** Điểm nổi bật và khác biệt so với các dự án khác.- 100% căn hộ có thang máy riêng.- 100% căn hộ có từ 2 - 3 mặt thoáng.- 100% căn hộ view Hồ Tây.- 100% căn hộ được đảm bảo chỗ đỗ xe ô tô.- 100% căn hộ được trang bị nội thất xa xỉ hàng đầu thế giới.- 100% căn hộ được quản lý vận hành bởi đơn vị quản lý vận hành khách sạn hàng đầu.- Dự án sở hữu vị trí kim cương, ""đầu rồng"" thắng địa, mở tầm nhìn không hạn chế ra Hồ Tây thơ mộng. Số lượng sản phẩm ít và tỷ lệ diện tích phù hợp, những căn hộ view Hồ Tây khan hiếm mà các khách hàng đang tìm kiếm.- Ra mắt hồ bơi vô cực nước nóng khoáng ngoài trời dài 50m trên cao tại Hà Nội.- Dự án hội tụ hàng loạt những thương hiệu nội thất cao cấp nổi tiếng thế giới như: Gaggenau, Gessi, Poggenpohl, Smeg và Villeroy & Boch.Hotline PKD của CĐT: 0987 409 ***Diệu Linh).            ",150 m²,Thỏa thuận,3 phòng,3 phòng,,Bàn giao đồ nội thất cao cấp.,05/12/2022,12/12/2022,Tin thường,34332353,batdongsan_com_vn_34332353,,Đông - Nam,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Chánh', 'Dự án Vimeco II - Nguyễn Chánh']","
Bán gấp CHCC tòa CT1 Vimeco Nguyễn Chánh tầng chung.- Diện tích 151m² thiết kế 3 phòng ngủ, 2 vs nhà đã sửa mới đẹp căn góc 2 ban công đầy đủ đồ chỉ việc vào ở, có slot ô tô.- Vị trí trung tâm Cầu Giấy, thuận tiện con cái học Amsterdam nằm ngay chân cầu vượt Nguyễn Chánh, Trần Duy Hưng dưới chân tòa nhà đầy đủ tiện ích như trường học, trung tâm thương mại, bể bơi, chợ... Nút giao Nguyễn Chánh, Trần Duy Hưng, Hoàng Minh Giám, Đại Lô Thăng Long, Vành Đai 3 giao thông đi lại rất thuận tiện...- Pháp lý: Sổ đỏ chính chủ, giao dịch luôn.Giá chỉ 5,6 tỷ có thương lượng nhiều cho khách thật sự thiện chí.Liên hệ xem nhà ngay 0858 152 *** ",151 m²,5.6 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,36036087,batdongsan_com_vn_36036087,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 21']","
Bán đất khu Hồ Sen - xã Bình Yên - huyện Thạch Thất - Hòa Lạc.- Pháp lý minh bạch, sổ đỏ sẵn sàng công chứng, sổ mới nhất 2021.- Diện tích 101.7m², MT 5.65m, nở hậu.- Đường trước mặt 10m + vỉa hè rộng 1.5m - 2m, khu hiếm hoi có vỉa hè ở Hòa Lạc.- Tiện ích cây xanh và gần hồ điều hoà đẹp nhất và duy nhất ở Hoà Lạc hồ sen rộng 3.2ha, đã có hạ tầng đường điện, xử lý nước thải đạt chuẩn KĐT.- Cách đường QL 21 mở rộng 80m chỉ 200m.- Cách ĐH Quốc Gia Và ĐH FPT 1km.- Cách khu CNC Hoà Lạc Chỉ 1km.- Cách sân golf Đồng Mô 2km và Asean Resort 1,5km và một số tiện ích như uỷ ban nhân dân, trường C1, C2, trạm y tế, chợ dân sinh..Quan tâm sâu hơn liên hệ tôi qua số:Hotline: 0972 136 ***hỗ trợ xe đưa khách đi xem đất).Zalo/Viber: 0972 136 *** ",101.7 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,30584185,batdongsan_com_vn_30584185,Tây - Nam,,5.65 m,10 m,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Dự án Hà Nội Homeland']","
Bán căn chung cư Long Biên.2 ngủ, 2 vệ sinh, thang máy, sổ đỏ lâu dài, nhà thương mại.Giá: 2.xxx tỷ.Liên hệ trực tiếp: 0858 183 *** ",70 m²,Thỏa thuận,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,15/12/2022,Tin thường,36035938,batdongsan_com_vn_36035938,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 21']","
+ Vị trí: Nằm ở thôn Linh Sơn, xã Bình Yên, Thạch Thất, HN.+ Cách chợ Hòa Lạc vài bước chân, gần Thế Giới Di Động, siêu thị, khu đất phân lô đẹp thích hợp đầu tư hoặc xây cho thuê lại.+ Sát hồ Linh Khiêu nối sang ĐHQG, cách CNC 550m, ĐH FPT 1km, làng ĐH QG 1km.+ Đường nội khu to, ô tô đi thoải mái, các lô đất đều vuông đẹp.+ Diện tích 64.2m², mặt tiền 5.67m giá 1,2 tỷ.+ Pháp lý rõ ràng, sổ đỏ trao tay.Quan tâm sâu liên hệ: 0972 136 ***Ms Thanh Vân).            ",64.2 m²,1.2 tỷ,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,33339228,batdongsan_com_vn_33339228,Đông - Bắc,,5.2 m,8 m,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên']","
+ Vị trí: Xã Bình Yên, huyện Thạch Thất, Hà Nội.+ Pháp lý rõ ràng, sổ đỏ trao tay.+ DT 62.5m², mặt tiền 6,25m, đất vuông vắn.+ Giá 830tr/1 lô, có gia lộc cho người mua thiện chí.+ Cách đường 420 chỉ hơn 600m, uỷ ban, bệnh viện chỉ 1km.+ Cách khu công nghiệp rộng hơn 1300ha chỉ nhỉnh 1,2km.+ Đường trước mặt 2 ô tô tránh nhau, hàng xóm nhộn nhịp.+ Xung quanh đã có 3 khu bán trước đó và đằng sau có 1 khu vực mở bán giai đoạn 3.Liên hệ xem đất: Vân 0972 136 *** ",62.5 m²,830 triệu,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,32651255,batdongsan_com_vn_32651255,,,6.25 m,5.6 m,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy', '241', 'Indochina Plaza']","
Bà chị chơi thân nhờ bán, đang cần bán gấp căn chung cư toà Tây Indochina 241 Xuân Thuỷ.Mô tả:+ Toà chung cư có 3 thang máy rộng đi lại thuận lợi, vị trí nằm ngay ngã tư, gần đường vành đai và hướng ra sân bay.+ Toà nhà có đầy đủ tiện ích không thiếu gì như trung tâm thương mại, xem phim, tập gym, khối văn phòng.+ Nhà mình lô góc view ra phố, view hết tầm mắt. Thiết kế phòng khách và khu bếp rộng, hiện chủ để hai ngủ cho rộng nhưng nếu cần có thể thành 3 ngủ. Hành lang rộng có thể kê bàn thưởng trà hay cafe ngắm sao view phố. Nhà có khu phơi quần áo thông minh riêng biệt và sạch sẽ.+ Nội thất sang sịn chủ để lại cho khách hết.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Quý khách có nhu cầu xin liên hệ:- Hungsmile: 0899 556 ***- Hungsmile chuyên hàng đầu tư ngon, ở Vip tại Hà Nội, trị giá từ 2 tỷ - 1000 tỷ liên hệ ngay để được thoả mãn.- Anh chị em có người thân hay có tài sản muốn bán xin giới thiệu, Hungsmile xin hậu tạ.- Hungsmile phục vụ 24/7. ",145 m²,7.2 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,05/12/2022,15/12/2022,Tin thường,36035942,batdongsan_com_vn_36035942,,Tây - Nam,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Phạm Văn Bạch', 'Dự án Golden Park Tower']","
Bán căn hộ chung cư Golden Park Phạm Văn Bạch 96m², 3 ngủ, 2WC.Căn hộ thoáng mát.Vị trí tòa nhà thuận tiện đi lại, dịch vụ tiện ích đầy đủ bể bơi, spa, siêu thị...LH: 0372 857 *** để xem nhà ạ.            ",96 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,35284769,batdongsan_com_vn_35284769,,Đông - Nam,,,
