address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Pháp lý,Số tầng,Nội thất
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', '203', 'Imperia Garden']","
Ng Nam thiết kế và xây dựng 04 tầng có hầm gia đình chính chủ cần bán biệt thự nhà vườn dự án Imperia số 203 phố Nguyễn Huy Tưởng Nguyễn Tuân. Diện tích 164m² hướng Đông, vị trí sân vườn rộng khu dân trí cao Thuận tiện ở và làm văn phòng công ty. Nhà sổ đỏ chính chủ.Diện tích 197m² hướng Đông Nam mặt tiền 11m xây dựng và thiết 4,5 tầng có sân vườn rộng, thiết kế hai mặt đường trước sau, khu dân trí cao thuận tiện ở và làm văn phòng công ty, sổ đỏ chính chủ, xin liên hệ: Em Duy 0986 819 *** ",164 m²,Thỏa thuận,Đông,06/12/2022,01/01/2023,Tin thường,27045823,batdongsan_com_vn_27045823,,,,,
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông', 'Đường Quốc lộ 21A(Quốc lộ 21)', 'Dự án Hòa Lạc Premier Residence']","
Lô đất biệt thự rẻ nhất dự án Thiên Mã.Lô Góc B38: 221,8m² chưa phải xây ngay.Mặt tiền 12m vuông đẹp.Lô góc ngay ngã 3 gần sát cổng Dự Án đi ra hồ Đồng Mô và sân golf cách 100m.Lô đất gần các tiện ích đẳng cấp nội khu như Nhà hàng, Khu tiểu cảnh đồi non bộ, Nhà văn hoá,Từ lô đất đến Đại Học Quốc Gia Hà Nội tại Hoà Lạc, đến Đại Học FPT chỉ 10 phút lái xe, đến Khu Công Nghệ Cao Hoà Lạc chỉ 3 km.Mua đầu tư x2, x3 tài sản sau 2 năm hoặc xây để ở đều rất tuyệt vời.Đơn giá rẻ nhất Hoà Lạc chỉ 19 triệu/m².Liên hệ: 0393 652 *** ",221 m²,19 triệu/m²,,06/12/2022,13/12/2022,Tin thường,34813508,batdongsan_com_vn_34813508,12 m,20 m,"Lô góc đẹp, pháp lý chuẩn.",,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Phố Nghĩa Tân']","
Bán tòa nhà 8 tầng thang máy căn hộ dịch vụ vừa ở vừa cho thuê. Diện tích 150m² xây dựng 120m², lô góc sát 2 mặt đường ô tô tránh nhau đường Nghĩa Tân, Cầu Giấy.8 tầng thang máy, lô góc 1 mặt 10m, 1 mặt 14m vuông vức cực đẹp.Tầng 1 để 2 xe 7 chỗ và nhiều xe máy.Tầng 2. Thông sàn làm văn phòng.Tầng 3 - 4 - 5 - 6. Mỗi tầng 3 căn dịch vụ full nội thất, cửa sổ cực thoáng.Tầng 7. Thông sàn, khách + bếp + phòng ăn.Tầng 8. Sân phơi, ban công.Nhà thiết kế vừa ở vừa cho thuê, đầy đủ nội thất, điều hòa, máy giặt, tủ bếp, giường, tủ quần áo, mành rèm, thiết bị vệ sinh cao cấp, bếp, chỉ việc về ở và thu tiền hàng tháng.Vị trí đẹp, trung tâm, sát đường Hoàng Quốc Việt, lô góc sát 2 mặt đường ô tô tránh nhau, thuận tiện giao thông, gần nhiều trường Đại học lớn, nhiều TTTM, ngay gần chợ Nghĩa Tân, công Viên Nghĩa Đô.Sổ đỏ chính chủ. Giá 27,7 tỷ có thương lượng.            ",150 m²,27.7 tỷ,,02/12/2022,09/12/2022,Tin thường,36015756,batdongsan_com_vn_36015756,10 m,7 m,Sổ đỏ/ Sổ hồng,8 tầng,Đầy đủ
"['Hà Nội', 'Gia Lâm', 'Xã Kim Sơn', 'Đường Quốc Lộ 17']","
Chính chủ bán hàng F0 đất Kim Sơn, Gia Lâm. Gần Quốc lộ 17.+ Diện tích: 56m², mặt tiền 4,8m nở hậu.+ Giá bán: 1 tỷ 400tr (có gia lộc cho người mua thiện chí).+ Đường trước đất gần 2,5m, tặng ngay 10m SDR vĩnh viễn không tính tiền.+ Lô đất nằm vị trí đẹp xung quanh dân đã ở sẵn, tiện ích cơ bản đầy đủ, gần UBND, trường học các cấp, gần QL17, Cách trung tâm trâu quỳ và Vinhomes Ocean Park chỉ 5p chạy xe. Thích hợp mua an cư hoặc đầu tư lâu dài...+ Pháp lý: Sổ đỏ chính chủ, không cầm cố, sẵn sàng công chứng.+ Liên hệ 0983 408 *** để xem đất miễn phí.            ",56 m²,1.4 tỷ,,01/12/2022,08/12/2022,Tin thường,35383319,batdongsan_com_vn_35383319,4.8 m,2.5 m,Sổ đỏ/ Sổ hồng.,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Yên Hòa']","
* Doanh thu khủng bỏ túi 3.3 tỷ/năm ~ hiệu suất 15%/năm + lãi kép từ giá trị gia tăng BĐS. Hiện đang cho thuê full phòng.- Tòa căn hộ dịch vụ cho thuê phố Yên Hòa, Cầu Giấy, thang máy tải trọng lớn, cực an toàn.+ Diện tích: 140m² x 8 tầng Thang máy PCCC chuẩn.+ Số lượng: 35 phòng - đầy đủ điều hoà, nóng lạnh, bếp, đệm, tủ, wifi, tầng thượng 4 máy giặt công nghiệp.- Phố Yên Hòa được hưởng lợi từ các trường ĐH xung quanh nên số lượng sinh viên và người lao động rất đông. Đặc biệt cách phố Chùa Láng 200m là nơi tập trung sinh viên dày đặc.+ Bán kính 200m là Đại học Ngoại Thương, Ngoại Giao, CĐ Công nghệ, Học viện thanh thiếu niên, Học viện hành chính, ĐH Luật, Giao thông vận tải.+ 400m có Học viện Báo chí tuyên truyền, ĐH Quốc gia, Sư phạm, Ngoại ngữ, ĐH Thương Mại, Sân khấu Điện Ảnh.--------------------------------------------------+ Giá 21,7 tỷ (có thương lượng).+ Pháp lý chuẩn - Sổ đỏ chuẩn.            ",140 m²,21.7 tỷ,,02/12/2022,09/12/2022,Tin thường,36015851,batdongsan_com_vn_36015851,,6 m,Sổ đỏ/ Sổ hồng,8 tầng,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Hoàng Ngân']","
PL vip, thông tứ tung, vỉa hè, ô tô tránh, MT rộng, kinh doanh, 92m2x5 tầng, 20,7 tỷ.+ Khu phân lô vip cao cấp quận Cầu Giấy, 2 mặt thoáng, vỉa hè rộng, đường trước nhà 3 ô tô tránh, dừng đỗ.+ Ngõ thông bàn cờ, mặt tiền rộng, làm văn phòng công ty, kinh doanh cực tốt.+ Nhà 5 tầng phân lô đẹp long lanh, thiết kế nội thất mỗi tầng 2 phòng, cầu thang gỗ Lim, cửa gỗ Lim chắc chắn.- Tầng 1: Phòng ngoài làm kho + phòng ăn (bếp) bên trong + vệ sinh. Ngõ sau mở có cửa.- Tầng 2: Phòng khách + phòng họp + vệ sinh. Sau có mở cửa sổ.- Tầng 3, 4: Mỗi tầng 2 phòng ngủ + vệ sinh từng tầng. Sau có mở cửa sổ.- Tầng 5: Phòng thờ + sân phơi.+ Sổ đỏ chính chủ phân lô vuông vắn 2 mặt tiền trước và sau. Pháp lý sạch, sẵn sàng giao dịch ngay.+ Giá bán 20,7 tỷ có ra lộc.            ",92 m²,20.7 tỷ,,02/12/2022,09/12/2022,Tin thường,36015922,batdongsan_com_vn_36015922,,6 m,Sổ đỏ/ Sổ hồng,5 tầng,Đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
Chủ nhà đang cần bán gấp trước Tết căn nhà thuộc khu phân lô quân đội gần đường Hoàng Quốc Việt. Diện tích 85m², mặt tiền 6m, xây 6 tầng, thang máy nhập khẩu, thiết kế phong cách Indochine độc đáo, đẳng cấp.Đường trước nhà 2 ô tô tránh nhau.+ Tầng 1: Gara ô tô để được 2 xe full size.+ Tầng 2: Khu vực phòng khách và bếp thông tầng.+ Tầng 3 + 4: Mỗi tầng 2PN khép kín.+ Tầng 5: Master Bedroom (Phòng ngủ chính).+ Tầng 6: Khu vực phòng thờ và sân chơi ngoài trời.Hình ảnh thực tế 100%.Sổ đỏ chính chủ sẵn sàng giao dịch.Giá: 22 tỷ 500 triệu (Có thương lượng).            ",85 m²,22.5 tỷ,,02/12/2022,09/12/2022,Tin thường,36016011,batdongsan_com_vn_36016011,6 m,6 m,Sổ đỏ/ Sổ hồng,,Đầy đủ
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường An Trai']","
Chính chủ cần bán gấp mảnh đất ở đầu làng An Trai, Vân Canh, Hoài Đức đất vị trí đẹp ô tô đỗ, ngay gần trường mầm non, C1, C2, C3, trường đại học Công Nghiệp, FPT, siêu thị tiện ích, sân chơi, chợ. Khổ đất đẹp, xây dựng dễ0972 148 ***+ DT 40m².+ MT 3,8m.Vị trí nằm đầu làng An Trai ngõ ô tô, trường mầm non Vân Canh, bộ máy hành chính Vân Canh, rất thuận tiện với những tiện ích xung quanh gần đương 422 và đường Vành Đai 3.5 đang làm. 5 p ra đường Trịnh Văn Bô, 10 phút ra Mỹ Đình, ra Cầu Giấy chưa đầy 20 p...Giá của mảnh đất An Trai - Vân Canh là 1.995 tỷ bao phí có thương lượng cho ai thiện chí hỗ trợ nhiệt tình vay ngân hàng.* Gọi ngay em Hạnh 0972 148 ***zalo 24/24) để được dẫn xem đất nhiệt tình và miễn phí.            ",40 m²,1.995 tỷ,,06/12/2022,13/12/2022,Tin thường,34763137,batdongsan_com_vn_34763137,3.8 m,3.5 m,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Gia Lâm', 'Xã Đặng Xá', 'Đường Ỷ Lan']","
Cần thanh khoản gấp lô đất 43m² Đặng Xá, Gia Lâm.- Diện tích 43m² mặt tiền lý tưởng 4,11m hậu 4,15m nở hậu.- Vị trí: Cực đẹp, ô tô 16 chỗ chạy thông vòng quanh, cách đường ỷ lan 4 làn xe chạy chỉ 150m, trong vòng bán kính 50m đầy đủ trường học các cấp, ủy ban, trạm y tế,... Cách vinhome ocean park và trung tâm TT Trâu Quỳ chỉ 3p đi xe.- Dân cư đông đúc, cư dân thuần, pháp lý rõ ràng, sang tên ngay.LH 0983 408 *** ",43 m²,Thỏa thuận,,06/12/2022,13/12/2022,Tin thường,36040815,batdongsan_com_vn_36040815,4.11 m,5 m,Sổ đỏ/ Sổ hồng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Nguyễn Văn Huyên']","
- Vị trí cực vip phân lô cán bộ, ngõ thông bàn cờ, gần phố, ô tô chạy vòng quanh, trước nhà ô tô dừng đỗ thoải mái, ô tô tránh.- Căn nhà siêu đẹp, thiết kế khác biệt và phù hợp để ở đẳng cấp, hoặc kết hợp làm văn phòng, có ô chờ lắp thang máy.- Thiết kế xây dựng đẹp lung linh. Chủ nhà xây để ở cực kì tâm huyết, nội thất xịn sò, nhập ngoại, công năng thoải mái mọi yêu cầu khắt khe nhất, vườn cây thoáng mát.- Sổ đẹp chính chủ, giao dịch ngay.- Giá 22,7 tỷ.            ",105 m²,22.7 tỷ,,02/12/2022,09/12/2022,Tin thường,36016063,batdongsan_com_vn_36016063,,6 m,Sổ đỏ/ Sổ hồng,,Đầy đủ
