address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Đường vào
"['Hà Nội', 'Hai Bà Trưng', 'Phường Nguyễn Du', 'Đường Nguyễn Thượng Hiền', 'Số 26']","
0976 686 *** cần bán nhà mặt phố số 26 nguyễn Thượng Hiền, góc ngã ba đi Yết Kiêu, ngay sát Viện Kinh Tế Thương Mại, rất tiện đi Lê Duẩn, Khâm Thiên, Nguyễn Du.Nhà có 2 phần diện tích là tầng 1 số nhà 26 Nguyễn Thượng Hiền có diện tích 56m² mặt tiền 4.7m.Và 1 phần diện tích Tầng 2 bên nhà 24 Nguyễn Thượng Hiền là 17m².Giá bán 21 tỷ có gia lộc cho người thiện chí.Hiện sổ đỏ đứng tên 2 vợ chồng cô chú Tôi, nên chỉ cần quý khách quan tâm về BĐS này, xin gọi điện trực tiếp cho tôi vào số ĐT.0912895078.            ",72 m²,21 tỷ,4.7 m,01/12/2022,08/12/2022,Tin thường,35660511,batdongsan_com_vn_35660511,,,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Lê Đại Hành', 'Đường Tô Hiến Thành']","
0976 686 *** - bán nhà mặt phố Tô Hiến Thành, gần ngã 4 Bà Triệu, rất tiện đi Tuệ Tĩnh, Mai Hắc Đế, Bùi Thị Xuân.- DT 23m² x 4 tầng.- MT: 3.3m.- Cầu thang bộ cuối nhà, nhà mới, mỗi tầng 1 phòng + 1 vệ sinh.- Sổ vuông vắn, vỉa hè rộng, thuộc đoạn đẹp nhất phố.0912895078 (Chuyên nghiệp - Uy Tín).            ",23 m²,14.8 tỷ,3.3 m,01/12/2022,08/12/2022,Tin thường,36003459,batdongsan_com_vn_36003459,4 tầng,,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Đường Kim Ngưu']","
Bán mảnh đất còn sót lại phố Kim Ngưu 45m². Ngõ rộng, thông, gần ô tô tránh, gần trường học các cấp, chợ sầm uất.+ Gia đình muốn bán để chuyển ra biệt thự sống, muốn bán nhanh để giải quyết việc gia đình nên cần khách thiện chí, giá linh động không cứng nhắc.+ Tuyến đường Kim Ngưu kinh doanh sầm uất quận Hai Bà Trưng, khu vực rất hiếm đất bán, ba bước ra ô tô tránh, gần chợ, trường học, khu vực quy hoạch ổn định.+ Khu VIP nhất quận, an ninh tuyệt vời, khu vực hạ tầng ổn định, xây dựng theo ý muốn tài chính của gia chủ tầng cao thoải mái.+ Giá: Nhỉnh 3 tỷ có thỏa thuận (luôn được giá tốt đối với khách có nhu cầu mua thật sự).+ Liên hệ xem vị trí trực tiếp qua Mr việt: 0936 327 *** ",45 m²,3.65 tỷ,,02/12/2022,09/12/2022,Tin thường,35866510,batdongsan_com_vn_35866510,,,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Chính chủ do chuyển đổi mục đích sử dụng cần bán lại căn hộ chung cư đẹp nhất dự án.- Diện tích 55m², gồm 2 phòng ngủ, 2 vệ sinh.- Ban công hướng Đông Nam rất thoáng và mát mẻ, view công viên trung tâm.- Hiện tại căn đã được chủ nhà thiết kế và làm full nội thất hiện đại và đầy đủ tiện nghi.- Tiện ích xung quanh của căn hộ đầy đủ tất cả mọi thứ từ bệnh viện quốc tế, trường học các cấp, trung tâm thương mại, dịch vụ, chợ...- An ninh cực kỳ tốt, dân cư thiện lành.- Sổ đỏ chính chủ, pháp lý rõ ràng minh bạch.- Giá bán 2,1 tỷ.            ",55 m²,2.1 tỷ,,05/12/2022,12/12/2022,Tin thường,35865484,batdongsan_com_vn_35865484,,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Full đồ.,,
"['Hà Nội', 'Thanh Trì', 'Thị trấn Văn Điển']","
Bán nhà TTTM Thanh Trì 63m² gara ô tô, ngõ thông chỉ 6 tỷ.- Dồn tiền mua căn mặt phố cần bán nhanh nhà 4 tầng sau TTTM Thanh Trì, bệnh viện Đa khoa Thanh Trì.- Diện tích 63m² thiết kế cầu thang giữa, nhà tự xây được 6 năm còn khá đẹp, khung cột chắc chắn móng ép cọc.- Nhà 4 tầng, mỗi tầng 2 phòng ngủ, tầng 1 gara ô tô chỗ để xe riêng biệt.- Sổ đỏ, pháp lý sạch.- Giá 6 tỷ (Bao sổ).- Lh em Sự 0943 090 *** ",63 m²,6 tỷ,,05/12/2022,12/12/2022,Tin thường,36035174,batdongsan_com_vn_36035174,4 tầng,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Số 8', 'The Zei Mỹ Đình']","
Căn 2PN tầng 16 hướng Đông Nam duy nhất còn lại từ CĐT The Zei - Giá chiết khấu chỉ 4.8 tỷ đồng.- Diện tích sử dụng: 84m², thiết kế 2 phòng ngủ, 2 vệ sinh.- Căn hộ thiết kế tối ưu: Không góc chết, thẳng và phẳng nhờ kết cấu tường chịu lực, sử dụng công nghệ bê tông hiện đại bậc nhất thay vì cột và dầm. Do đó mọi diện tích trong căn hộ đều được tối ưu công năng sử dụng.- Nhận nhà ngay, sổ đỏ trao tay.------------------------------------------------* Tiện ích và liên kết vùng:- Hệ thống tiện ích đẳng cấp: Bể bơi bốn mùa, gym - spa, rạp chiếu phim, vườn thiền, Co - Working Space, khu vui chơi trẻ em, thư viện...- Tầm view hồ điều hòa công viên Nam Từ Liêm 13ha.Bàn giao mới 100% toàn bộ đồ nhập khẩu cao cấp:- Sàn tre.- Cửa gỗ công nghiệp cao cấp, trang bị khóa vân tay 4 chức năng Adel, chuông hình Femax.- Hệ thống cửa sổ và vách kính sử dụng kính Low - E 2 lớp, cách âm, cách nhiệt.- Hệ thống tủ bếp, bếp nấu, hút mùi đầy đủ của Hafele nhập khẩu.- Thiết bị vệ sinh cao cấp từ các thương hiệu: Hans Grohe, Grohe, Duravitbao gồm cả bồn tắm.- Điều hòa âm trần 2 chiều Hitachi.- Tủ giày âm tường..Khu dân trí cao, an ninh tốt, vận hành bởi đơn vị quản lý đến từ Nhật Bản - Visaho.------------------------------------------------* Nhận thêm thông tin chi tiết và tham quan căn hộ liên hệ: 0946 299 *** ",84 m²,59 triệu/m²,,05/12/2022,12/12/2022,Tin thường,36035440,batdongsan_com_vn_36035440,,Tây - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bách Khoa', 'Phố Lê Thanh Nghị']","
Hiếm! Mặt phố Lê Thanh Nghị, đối diện bệnh viện bạch mai, DT 145m² xây 8 tầng, mặt tiền 9m, giá 49.4 tỷ.Mô tả:+ Phố Lê Thanh Nghị thuộc phường Bách Khoa, Hai Bà Trưng, Hà Nội.+ Kết nối các phố Giải Phóng, Trần Đại Nghĩa, Tạ Quảng Bửu, Bạch Mai, Thanh Nhàn.+ Nhà ở vị trí cực đẹp: Vỉa hè rộng, kinh doanh tấp nập ngày đêm. Mặt tiền thênh thang, phù hợp xây trụ sở Văn phòng, Phòng khám, Trường học, Ngân hàng, Showroom.+ Diện tích: 145m², mặt tiền 9m, giá 49.5 tỷ.+ Sổ đỏ chính chủ(1 sổ) sẵn sàng giao dịch.Lh: Anh Quân 0988 809 *** miễn tiếp môi giới.            ",145 m²,49.4 tỷ,9 m,05/12/2022,12/12/2022,Tin thường,36035432,batdongsan_com_vn_36035432,8 tầng,,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Thụy Phương', 'Đường Thụy Phương']","
Nhà đẹp giá tốt tại Thụy Phương, Bắc Từ Liêm.+ Diện tích 38m xây 5 tầng với khung cột bê tông kiên cố, thiết kế phong cách Tây Âu hiện đại, đẹp và tỉ mỉ đến từng chi tiết nhỏ. Nhà 2 mặt thoáng trước sau, nhiều cửa sổ xung quanh, ánh sáng ngập tràn các phòng.+ Thiết kế:- Tầng 1: Phòng khách vip + bếp ăn.- Tầng 2,3,4: Mỗi tầng 1 phòng ngủ. VS khép kín.- Tầng 5: Phòng thờ, sân thượng.+ Vị trí cực đẹp, cực thoáng ngõ trước nhà rộng 4m ô tô đỗ cửa, vài bước ra đường ô tô tránh nhau, gần chợ, trường học các cấp. Khu dân trí cao an cực tốt hàng xóm thân thiện.+ Nội thất làm đẹp, thiết bị cao cấp, đồ gỗ, trang trí hiện đại - sang trọng.+ Sổ đỏ chính chủ, pháp lý rõ ràng.+ Giá chỉ 3.85 tỷ (Có thương lượng và bao sang tên sổ).+ Liên hệ xem ngay để sở hữu: Anh Tiên 0967 779 ***Miễn TG + BM).            ",38 m²,3.85 tỷ,4 m,05/12/2022,12/12/2022,Tin thường,36035430,batdongsan_com_vn_36035430,5 tầng,,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,6 m
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Tân Mai', 'Dự án Louis City Hoàng Mai']","
Cần tiền tôi muốn bán nhanh căn liền kề - shophouse thuộc dự án Louis City Hoàng Mai:- Diện tích 106m², đã có sổ đỏ.- Đặc biệt mặt tiền nhà 8m rất tiện kinh doanh buôn bán so với những căn mặt tiền 5m.- Vị trí ngay đầu dự án, sát đường Tân Mai, sẽ là khu vực phát triển nhất tại dự án.- Đối diện trước mặt là toà chung cư với dân cư đông đúc, tiêm năng kinh doanh lớn.- Giá 145tr/m².Liên hệ: 0983 533 *** - để nhận thêm thông tin và thương thảo về giá.            ",106 m²,145 triệu/m²,8 m,05/12/2022,12/12/2022,Tin thường,36035428,batdongsan_com_vn_36035428,,,,,Đã có sổ đỏ.,,Bắc,13.5 m
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Sao Biển', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cần bán nhanh căn liền kề Sao Biển 90m² gần Vincom, biển hồ 6,1ha tại Vinhomes Ocean Park.Diện tích 90m², xây dựng 56m²/sàn.Hướng Tây Bắc.Đã có sỏ đỏ.Giá bán 14 tỷ bao toàn bộ thuế phí.Liên hệ ngay: 0828 288 *** E Huy.            ",90 m²,14 tỷ,,02/12/2022,09/12/2022,Tin thường,36010871,batdongsan_com_vn_36010871,,,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,
