address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Pháp lý,Nội thất,Hướng ban công
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Phố Kim Mã']","
Cần bán căn hộ tập thể cũ tại khu tập thể Giảng Võ - Ba Đình - HN. Diện tích 70m²; thiết kế 2 phòng ngủ, 1 phòng Khách, 1 phòng bếp, 1 vệ sinh. Điện nước tốt, dân trí cao. Mặt đường Kim Mã, gần nhiều trường học tốt như tiểu học Kim Đồng, THCS Giảng Võ, THPT Nguyễn Trãi và Phạm Hồng Thái gần ngã tư Núi Trúc.* Giá bán: 3,x tỷ (có thương lượng).LH cô Trang: 0989 086 *** ",70 m²,3.5 tỷ,2 phòng,1 phòng,21/11/2022,28/11/2022,Tin Vip 2,35896155,batdongsan_com_vn_35896155,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Bế Văn Đàn', 'Ngõ 6']","
Bán gấp nhà cấp 4 ngõ 6 Bế Văn Đàn 40m² SĐCC chỉ 4.699 tỷ, LH: 0944 573 ***- Nhà sổ đỏ chính chủ, diện tích sử dụng 42m, sổ đỏ 40 mét. Mặt ngõ rộng ô tô vào tận cửa. Mặt sau có lưu không 2 mét cực thoáng, ở được luôn.- Cách đường Quang Trung 500 mét, gần chợ, trường học, bệnh viện. Khu dân cư công chức dân trí cao, an ninh cực kỳ tốt.- Giá bán: 4,699 tỷ có thương lượng.Khách hàng thiện chí mua liên hệ chính chủ: 0944 573 *** không qua trung gian.            ",40 m²,4.699 tỷ,2 phòng,1 phòng,21/11/2022,01/12/2022,Tin Vip 2,35894700,batdongsan_com_vn_35894700,3.1 m,6 m,Đông - Nam,1 tầng,Sổ đỏ/ Sổ hồng,Không nội thất,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê', 'Dự án Sun Grand City']","
Chủ nhà gửi bán một số căn hộ tốt tại dự án Sun Grand City Thụy Khuê. Đủ loại diện tích từ 01 phòng ngủ đến 04 phòng ngủ. Đảm bảo uy tín với giá bán tốt nhất, không chênh giá.1. Căn hộ 01 PN. Diện tích 45m², view Hồ Tây. Ban công Tây Bắc, Cửa Đông Nam. Giá bán: 04 tỷ.2. Căn hộ 02 PN. DT 96m² thông thủy. Ban công Nam. Giá chào bán 7.3 tỷ.3. Căn hộ 3PN.- Căn hộ Diện tích thông thủy 123m², 3PN. Bán đủ đồ. Giá chào bán 9.5 tỷ.- Căn hộ 145m², 3PN. View Hồ Tây. Giá chào bán 15 tỷ.* 4. Đặc biệt Căn góc siêu hiếm 185m² thiết 04 phòng ngủ diện tích lớn các phòng đều vuông văn và thông thoáng. View trọn hồ tây. Giá bán nhanh * 5. Duplex 2 tầng tổng diện tích 180m² view hồ tây. Giá bán thô 14 tỷ. Thiết kế hiện đại không gian mở cực đẹp.* 6. Duplex 2 tầng tổng diện tích 230m² - thiết kế siêu đẹp ( 5 tỷ thiết kế và đồ đạc). Gía chào 23 tỷ.III. Điểm nổi bật của dự án.- Là sản phẩm căn hộ hạng sang của tập đoàn Sun Group - ông lớn trong ngành BĐS nghỉ dưỡng tại Việt Nam.- Sảnh căn hộ, sảnh thang máy & hàng lang căn hộ đều được làm theo phong cách và tiêu chuẩn khách sạn: Cao, rộng, sang trọng.- Căn hộ có kích thước cao độ trần cao nhất thị trường Hà Nội: 3,6m tạo sự thông thoáng và sang trọng cho không gian bên trong căn hộ.- Bể bơi bốn mùa - tiêu chuẩn Olympic đẹp nhất Hà Nội. Chỉ có cư dân được bơi.- Siêu thị Vinmart, khu vui chơi trẻ em, trường mẫu giáo, Starbucks, rạp chiếu phim CGV.- 3 lối ra vào dự án thuận tiện từ Thụy Khuê và Hoàng Hoa Thám và một con đường mới giữa 2 tòa nhà.Liên hệ: 0975 034 *** - xem nhà 24/7 (Mr Tuyển).Cám ơn đọc tin và MTG.            ",180 m²,14 tỷ,4 phòng,2 phòng,18/11/2022,28/11/2022,Tin Vip 2,31727926,batdongsan_com_vn_31727926,,,,,,,
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ']","
Chính chủ cần bán đất có sẵn nhà cấp 4 diện tích 57.6m² tại Trâu Quỳ, Gia Lâm, Hà Nội.- Diện tích đất 57,6m².- Rộng 3.5m, đất nở hậu.- Đường trước nhà rộng 7,6m. Có thể làm gara ôtô trong nhà.- Địa chỉ: Khu 2, tập thể Viện Nghiên cứu Rau Quả, Trâu Quỳ, Gia Lâm, Hà Nội.- Khu dân trí cao, yên tĩnh, an ninh.- Gần trường ĐH Nông nghiệp 1, giao thông thuận tiện.- Hai nhà liền kế bên đã xây 4 tầng mới.- Giá bán nhanh 57 triệu/m². (Có thể thỏa thuận giảm 1 chút cho người mua đã chuẩn bị sẵn kinh tế).- Vui lòng không trung gian.- Anh chị thiện chí thật sự quan tâm xin liên hệ trước qua email: Ngminhhieu2011@gmail.com ",57.6 m²,57 triệu/m²,,,21/11/2022,01/12/2022,Tin Vip 2,35661288,batdongsan_com_vn_35661288,3.5 m,7.6 m,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', '16', 'Vinhomes Gardenia']","
Bất động sản Alpha chuyên mua bán, cho thuê chung cư Vinhomes Gardenia, 16 Hàm Nghi.Để được tư vấn nhanh chính xác nhất quý khách hàng gọi ngay Mr Hoàng: 0931 133 ***- Giá cam kết rẻ nhất thị trường.- Tư vấn nhiệt tình chính xác nhất.- Công ty có văn phòng ngay tại Vinhomes Gardenia nên xem nhà 24/7.- Khách mua được xem trực tiếp căn hộ, làm việc chính chủ.- Hỗ trợ tư vấn về pháp lý và thủ tục sang tên sổ đỏ trong suốt thời gian mua bán.- Căn hộ 1 ngủ có diện tích từ 54 - 57m²: 2,2 tỷ - 2,6 tỷ.- Căn hộ 2 ngủ có diện tích từ 78,5 - 85,7m²: 3,2 tỷ - 3,8 tỷ.- Căn hộ 3 ngủ có diện tích từ 104 - 122m²: 5 tỷ - 6 tỷ.- Căn hộ 4 ngủ có diện tích từ 129 - 146,8m²: 5,5 tỷ - 6 tỷ.- Căn hộ Duplex 3 ngủ có diện tích từ 98 - 102m²: 5,1 tỷ - 6 tỷ.Các dịch vụ tiện ích tại Vinhomes Gardenia có thể kể đến như:- Phòng khám quốc tế Vinmec.- Trường mầm non & tiểu học Vin School.- Bể bơi ngoài trời.- Bể bơi bốn mùa trong nhà.- Sân tennis, cầu lông...- Tiện nghi sống tiên tiến: Hầm để xe thông minh, máy phát điện dự phòng 100%, quản lý 5*.* Liên hệ tư vấn: Mr Hoàng 0931 133 *** ",110 m²,Thỏa thuận,3 phòng,2 phòng,21/11/2022,28/11/2022,Tin Vip 2,35826291,batdongsan_com_vn_35826291,,,Tây - Bắc,,Sổ đỏ/ Sổ hồng,Full,Đông - Nam
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Trần Hữu Dực', 'Dự án Iris Garden']","
Em ở tại dự án Iris Garden CT1A tầng 3 SH19 chuyên nhận ký gửi, mua bán, cho thuê được nhiều cư dân tin tưởng nhờ bán lại một số căn hộ giá tốt.Em có sẵn khóa nên khách hàng không cần hẹn trước, đi xem nhà 24/7 lúc nào cũng được.* Quỹ căn 2PN (60 - 61m² thông thuỷ), 2WC 2 logia.+ Căn 2PN cơ bản: 2,6 tỷ.+ Căn 2PN full nội thất: Giá 2.8 tỷ.* Quỹ căn góc 3PN (103m² thông thuỷ), 2WC 3 logia 3mặt thoáng.+ Căn 3PN, 2WC, cơ bản: Giá từ 4.2 tỷ.+ Căn 3PN full đồ: Giá từ 4.4 tỷ.* Quỹ căn góc 3PN (135m² thông thuỷ), 2WC 3 logia 3 mặt thoáng.+ Căn 3PN nguyên bản: 5 tỷ. (bao toàn bộ ra sổ).+ Căn 3PN full đồ: 4,950 tỷ. (view sân vận động cực rẻ).+ Căn 3PN full đồ: 4.9 tỷ.(Giá 100% căn hộ, đã có VAT, bao sang tên, nếu ưng có thể thương lượng về giá).* Ngoài em ra còn quỹ căn cho thuê:* Shophouse làm mặt bằng kinh doanh hoặc văn phòng giá rẻ.* Căn 2 ngủ. 3 ngủ từ cơ bản đến full đồ.Liên hệ để xem nhà, gặp trực tiếp chủ nhà và hỗ trợ thủ tục pháp lý.Lh 0853 368 ***Em Dương).            ",62 m²,2.6 tỷ,2 phòng,2 phòng,21/11/2022,01/12/2022,Tin Vip 2,35534598,batdongsan_com_vn_35534598,,,Đông,,Sổ đỏ/ Sổ hồng,Full.,Tây
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Hoàng Hoa Thám', 'Số 108 ngõ 173']","
Khu vực dân trí cao, sầm uất ngay trung tâm thành phố tiện đường giao thông có thể đi vào từ các ngõ 209,279 Đội cấn, Ngõ xe Ba gác đi thoải mái nằm trên đường trục chính của làng Ngọc Hà.Nhà mới được sửa chữa lại rất đẹp, thiết kế hiện đại, đường vào rộng rãi.Giá bán 8.15 tỷ.Liên hệ ngay chính chủ 0915 427 *** để có giá tốt nhất.            ",55.1 m²,8.15 tỷ,6 phòng,3 phòng,21/11/2022,01/12/2022,Tin Vip 2,35889400,batdongsan_com_vn_35889400,5.35 m,3 m,Đông - Bắc,4 tầng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Bắc
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Võ Chí Công', 'Dự án Sunshine Riverside']","
Tổng hợp một số căn đẹp tại dự án: Đã có sổ.* Căn hộ 3 PN.- Căn 3 phòng ngủ full đồ 43 tỷ.- Căn góc 3 phòng ngủ 100m² nguyên bản. Giá cắt lỗ 3,99 tỷ.- Căn góc 3PN ban công Đông Nam, view sông Hồng, cầu Nhật Tân, giá 3,8 tỷ nhà mới đẹp.Căn góc 2 mặt thoáng, 3PN, 2WC, 2 logia: Diện tích: 90m² giá chào 4 tỷ nhà mới tinh chưa ở.- Căn hoa hậu rộng và đẹp nhất dự án trục 09R2: 114m², thiết kế 3PN và phòng khách view sông Hồng, cầu Nhật Tân, 2 ban công. Tầng trung, nhà mới tinh - sổ đỏ xịn: Giá: 5.7 tỷ (siêu rẻ).* Căn 2 phòng ngủ.- Căn góc cạnh vườn treo 58m², thiết kế 2PN, 1WC, khách, bếp thoáng, ban công hướng Nam, nhà đủ đồ giá cắt lỗ sâu 2.8 tỷ.- Căn 61m², ban công hướng Đông, mát quanh năm, full nội thất, đã có sổ - giá chỉ 2,7 tỷ full cả đồ rời.- Căn 64m², 2PN, 2WC view sông Hồng, cầu Nhật Tân, nhà nguyên bản CĐT, sổ đỏ sẵn. Giá: 3.1 tỷ.- Căn 2PN, 2WC, 62m² view sông Hồng, cầu.- Căn 70m², 2PN, 2WC giá từ 3.5 - 3.7 tỷ view sông Hồng, cầu Nhật Tân.- Căn 2PN, 2WC, diện tích từ 80 - 82m² view sông Hồng, cầu Nhật Tân giá từ 3.8 - 4.1 tỷ.- Căn 3PN, 2WC, 90m², 2 ban công có giá từ 3.9 - 4.3 tỷ.- Căn 3PN, 2WC, 95 - 99m², 2 ban công có giá từ 4.1 - 5.4 tỷ.- Căn 3PN, 2WC, 2 ban công diện tích 115m² có giá từ 5.4 - 6.8 tỷ.Tiện ích:+ Có 1 vườn treo cây xanh 50 - 100m.+ Bể bơi trong nhà, ngoài trời.+ Trường học mầm non, liên cấp 1,2 của Sunshine Maple Bear.+ Siêu thị Sunshine Mart.+ Sân vui chơi cho trẻ em + sân bóng và tennis.+ Gym, spa, cà phê...Liên hệ xem nhà miễn phí 24/7: 0904 250 *** ",100 m²,3.8 tỷ,3 phòng,2 phòng,21/11/2022,28/11/2022,Tin Vip 2,35667670,batdongsan_com_vn_35667670,,,,,Đã có sổ,,Đông - Nam
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Dự án An Lạc Green Symphony']","
Dự án An Lạc Green Symphony.Gửi nhà đầu tư siêu phẩm ngon - bổ - rẻ.Bán nhanh trong tuần vì quá tốt ạ.Diện tích: 201m².Giá bán: 17 tỷ (vào việc) = 64tr/m² đất.4 lý do để khẳng định giá sắp tới chắc chắn sẽ tăng mạnh:Chủ đầu tư đã xây xong đợt 3 giá: 180 - 220tr/m².Chung cư đang chuẩn bị mở bán giá 55tr/m².Cư dân đang về ở.Đường Vành đai 3.5 thi công mạnh, nút giao thăng long chọn nhà thầu.LH: 0912 347 *** ",201 m²,17 tỷ,,,21/11/2022,28/11/2022,Tin Vip 2,35742999,batdongsan_com_vn_35742999,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Biên Giang', 'Đường Phúc Thành']","
+ Diện tích: 71m² sổ đỏ chính chủ.+ Gía: 3,5 tỷ.+ Đất mặt đường Phúc Thành gần Quốc Lộ 6. Trước cửa 2 ô tô tránh. Ô tô vào đất.            ",71 m²,3.5 tỷ,,,21/11/2022,21/12/2022,Tin Vip 2,35888120,batdongsan_com_vn_35888120,4.5 m,,,,Sổ đỏ/ Sổ hồng,,
