address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số tầng,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Nguyễn Văn Cừ']","
Nhà thiết kế hiện đại, thang máy mỗi tầng 2 phòng, ô tô vào nhà, ngõ nông, vị trí đắc địa gần cầu Chương Dương sang phố cực thuận tiện.Giá bán 12,5 tỷ có thương lượng.LH: 0975 970 *** ",70 m²,12.5 tỷ,Đông,Đông,5 tầng,Đã có sổ,Cơ bản.,24/11/2022,01/12/2022,Tin thường,34597619,batdongsan_com_vn_34597619,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Đằng', 'Đường Đầm Trấu']","
Vị trí đẹp nằm trong khu phân lô Đầm Trấu - khu vực nhiều khách tìm kiếm, hiếm nhà bán. Đường trước nhà rộng thoáng, ô tô vào nhà.Hiện trạng nhà xây 52m², 8 tầng, thang máy, khung cột bê tông chắc chắn, còn đẹp như mới, khách về ở ngay không phải sửa sang gì.Thiết kế thông sàn, phù hợp khách mua để ở hoặc vừa ở vừa làm văn phòng.Pháp lý chuẩn chỉ, sổ đỏ chính chủ sẵn sàng giao dịch.Giá bán: 12.3 tỷ.Mọi thông tin chi tiết liên hệ Em Thức 24/24: 0911 520 *** - 0961 6569 22.Phạm Thức chuyên nhà đất thổ cư Hà Nội đẹp, giá tốt nhất thị trường.            ",52 m²,12.3 tỷ,,,8 tầng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35556725,batdongsan_com_vn_35556725,3.7 m,5 m,5 phòng,7 phòng
"['Hà Nội', 'Long Biên', 'Phường Giang Biên', 'Phố Kẻ Tạnh']","
Giang Biên: Bán đất 60m² Giang Biên MT khủng 5,22m say rượu vẫn lái vào đất, đường nhựa thông, vị trí đẹp gần chợ, tiện ích sầm uất, xây nhà cực đẹp, giá bán 5 tỷ có thương lượng, LH: 097597005.            ",60 m²,5 tỷ,,,,Đã có sổ.,,24/11/2022,01/12/2022,Tin thường,35385091,batdongsan_com_vn_35385091,5.22 m,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Khương Trung']","
Chính chủ bán nhà phố Khương Trung, Thanh Xuân.Diện tích: 39m2x5 tầng.Mô tả:+ Vị trí cực đẹp, ngõ thẳng tắp, cách phố 15m.+ Khu vực trung tâm quận Thanh Xuân đi đâu cũng tiện, gần Khương Trung, Khương Đình, Khương Hạ, Hoàng Văn Thái và nhiều trường ĐH, tầm tiền hiếm nhà bán.+ Nhà gần hồ Đầm Hồng, không khí thoáng mát.+ Thiết kế:- Tầng 1: Khách + bếp + vệ sinh.- Tầng 2,3: Mỗi tầng 2 phòng ngủ + vệ sinh.- Tầng 4: 1 phòng ngủ + 1 phòng thờ.- Tầng 5: Sân phơi.+ Sổ đỏ chính chủ, cất két, sẵn sàng giao dịch.Giá: 3.8 tỷ (Gia lộc cho người mua thiện chí).Liên hệ: Ms. Trang 0943 282 *** để được tư vấn và xem nhà hoàn toàn miễn phí.            ",39 m²,3.8 tỷ,,,5 tầng,Sổ đỏ,,22/11/2022,29/11/2022,Tin thường,35646798,batdongsan_com_vn_35646798,,,5 phòng,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Đường Thanh Am']","
Chủ gửi bán đất TDC Xóm Lò, Thượng Thanh.DT 79m², vị trí đẹp tiện ích đầy đủ, tương lai còn phát triển, giá bán 8,3 tỷ có gia lộc.LH: 0975 970 *** E Quân BDS thổ cư.            ",79 m²,8.3 tỷ,Đông - Nam,,,Đã có sổ.,,24/11/2022,01/12/2022,Tin thường,33098505,batdongsan_com_vn_33098505,6 m,6 m,,
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Phố Vạn Phúc']","
+ Nhà bán nằm trên con Phố Vạn Phúc, Hà Đông. Hưởng trọn tiện ích KĐT mới Vạn Phúc, mầm non Vạn Bảo, Dọc Bún 1, đường lớn Quang Trung, Bưu Điện, vườn hoa, chợ, Khu phố ẩm thực Cầu Am chỉ đi vài phút tiện ích không thiếu thứ gì.+ Chủ nhà làm giáo viên trường cấp 3 Lê Lợi, hiền lành, phúc hậu thiện chí cần bán gấp để mua nhà KĐT Dương Nội thuận tiện cho vợ đi làm ở AEON.+ Diện tích 42m², phân lô, ô tô tránh dừng đỗ ngày đêm, 2 thoáng vĩnh viễn, view công viên, đất vượng Lộc gia chủ làm ăn phát đạt.+ Sổ đỏ chính chủ cất két sẵn sàng giao dịch.+ Gía 5 tỷ (có Ra Lộc cho khách thiện chí).+ Cam kết miễn phí mọi thủ tục kể cả khi giao dịch thành công.+ Liên hệ Em Đạt Nhà Đẹp nhiệt tình, kinh nghiệm, tận tâm để xem nhà ngay 0965 890 *** ",42 m²,5 tỷ,,,,Sổ đỏ,,21/11/2022,28/11/2022,Tin thường,35448902,batdongsan_com_vn_35448902,,6 m,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy', 'Đường Gia Thượng']","
Nhà Ngọc Thụy 33m² ngõ rộng, nông cách 30m có bãi gủi xe quá tiện, quy hoạch mở đường 17m tương lai quá đẹp, 2 mặt thoáng full nội thất, đẹp long lanh, vị trí trung tâm, gần trường học các cấp, giá bán 3,95 tỷ, LH: 0975 970 *** ",33 m²,3.95 tỷ,,,,Đã có sổ,,24/11/2022,01/12/2022,Tin thường,35937405,batdongsan_com_vn_35937405,,,,
"['Hà Nội', 'Đống Đa', 'Phường Hàng Bột', 'Đường Hàng Bột']","
Bán nhà mặt phố Hàng Bột, con phố VIP cực hiếm nhà bán.Diện tích: 90m² x 5 tầng.Mặt tiền: 6.5m.Giá: 23 tỷ có thương lượng.Mặt phố vip kinh doanh sầm uất, kinh doanh các loại hình.Nhà 5 tầng, xây chắc chắn, khách mua về có thể xây tòa nhà văn phòng, tầng hầm kinh doanh mọi loại hình.Mặt phố Hàng Bột rất hiếm nhà bán!Liên hệ xem nhà quà zalo/mobile: 0589 995 ***Nguyễn Hồng).            ",90 m²,23 tỷ,,,5 tầng,,Đẹp.,26/11/2022,03/12/2022,Tin thường,34767860,batdongsan_com_vn_34767860,6.5 m,12 m,4 phòng,4 phòng
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Trần Duy Hưng']","
Chính chủ bán nhà phố Trần Duy Hưng, Cầu Giấy.Diện tích: 50m2x4 tầng.Mặt tiền: 4.1m.Lô góc - 3 thoáng - phố vip - ngõ rộng - hiếm nhà bán - full nội thất - ở ngay.Vị trí:- Ngõ rộng, gần phố, trước nhà xe ba gác đỗ tận cửa.- Ô tô gửi ngay đầu ngõ, xung quanh tiện ích đầy đủ.Thiết kế:- Tầng 1: Để xe, phòng khách, bếp, wc.- Tầng 2, 3: Tổng 4 phòng ngủ rộng, wc.- Tầng 4: Phòng thờ, sân phơi rộng.- Nội thất đầy đủ, chủ tặng lại toàn bộ nội thất, chỉ việc về ở ngay.Sổ đỏ chính chủ, vuông vắn, giao dịch ngay.Liên hệ: Ms. Trang 0943 282 *** để được xem nhà hoàn toàn miễn phí và đàm phán chính chủ.            ",50 m²,6.6 tỷ,,,4 tầng,Sổ đỏ,Full nội thất.,24/11/2022,04/12/2022,Tin thường,35944512,batdongsan_com_vn_35944512,4.1 m,,4 phòng,
"['Hà Nội', 'Đống Đa', 'Phường Hàng Bột', 'Phố Tôn Đức Thắng']","
Mặt phố Tôn Đức Thắng mặt tiền siêu rộng kinh doanh vô địch.Bán nhà mặt phố Tôn Đức Thắng, con phố VIP cực hiếm nhà bán.Diện tích: 95m² x 4 tầng.Mặt tiền: 6.5m.Giá: 23 tỷ có thương lượng.Mặt phố Vip kinh doanh sầm uất, kinh doanh các loại hình.Hàng xóm Phố Cổ, chỉ vài bước chân là tới Hồ Gươm, thuận lợi lưu thông các ngả.Nhà 4 tầng, xây chắc chắn, khách mua về có thể xây tòa nhà văn phòng, tầng hầm kinh doanh mọi loại hình.Mặt phố Tôn Đức Thắng rất hiếm nhà bán!Liên hệ xem nhà quà zalo/mobile: 0589 995 ***Nguyễn Hồng).            ",95 m²,23 tỷ,,,4 tầng,,Đẹp.,26/11/2022,03/12/2022,Tin thường,34767846,batdongsan_com_vn_34767846,6.5 m,12 m,4 phòng,4 phòng
