address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Đình Thôn']","
Gđ cần bán nhà Đình Thôn Mỹ Đình.Nhà đẹp ở luôn - gần phố - ngõ ba gác đỗ cửa.Vị trí: Nhà mình bán cách mặt phố 50m, ngõ to ba gác đỗ cửa, nhà thiết kế dân xây dựng chắc chắn. Chủ nhà làm ăn được mua chỗ ô tô vào nhà. Diện tích cực rộng nhà thiết kế vuông vắn đẹp - khách mua đến ở luôn. Khu vực sầm uất nhiều người nước ngoài sinh sống, tiện ích xung quanh không thiếu gì.LH Mai Hoa: 0979 906 *** ",60 m²,6 tỷ,5 m,5 m,5 tầng,5 phòng,5 phòng,05/12/2022,12/12/2022,Tin thường,36035232,batdongsan_com_vn_36035232,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Tô Vĩnh Diện']","
+ Gia đình tôi có căn nhà ở Tô Vĩnh Diện, Thanh Xuân không có nhu cầu sử dụng nên mong muốn sang nhượng sớm cho khách có thiện chí mua.+ Nhà thiết kế 4 tầng, còn mới, khách chỉ việc xách vali về ở.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ LH Ms Thủy 0961 505 *** xem và gặp trực tiếp chủ nhà.Miễn MG và TG. Trân trọng!            ",40 m²,7.05 tỷ,,,4 tầng,4 phòng,,05/12/2022,12/12/2022,Tin thường,36036006,batdongsan_com_vn_36036006,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Xuân Phương']","
Chuyển nhượng dự án trung tâm thương mại tại mặt đường lớn khu Xuân Phương - Nam Từ Liêm.Diện tích = 2709m².Mật độ xây dựng 30.12% x 3 tầng và 1 hầm + 1 tầng lửng.Tổng diện tích sàn là 3.939.87 m².Pháp lý rõ ràng, vị trí đẹp mặt tiền rất rộng, khu dân cư đông đúc, dân trí cao.Giá chuyển nhượng thỏa thuận.Liên hệ: Mrs Vân 0913 329 *** ",2709 m²,Thỏa thuận,,,,,,05/12/2022,12/12/2022,Tin thường,31712471,batdongsan_com_vn_31712471,Sổ đỏ/ Sổ hồng.,,,
"['Hà Nội', 'Long Biên', 'Phường Phúc Lợi', 'Đường Phúc Lợi', 'Ngõ 197']","
Nhà đẹp, giá rẻ 6 tầng, gara ô tô ở ngõ 197 Phúc Lợi, Long Biên chỉ 3.89 tỷ.Diện tích 32m²; mặt tiền - hậu 5m.Hướng nhà: Đông Bắc.Nhà xây móng ép cọc BTCT, thiết kế chắc chắn, tiện lợi khi sử dụng; nhà gồm:Tầng 1: Gara ô tô, vệ sinh.Tầng 2: Bếp, phòng khách.Tầng 3,4,5: Mỗi tầng 1 phòng ngủ, vệ sinh.Tầng 6: Phòng thờ, khu máy giặt, sân phơi rộng.Nhà tại ngõ 197 Phúc Lợi, mấy bước chân ra Chợ, trường cấp 1.2.3 Phúc Lợi; khu vực tiện ích đầy đủ. Ngõ trước nhà rộng 4m, ô tô để trong nhà; chỉ 500m ra mặt phố Phúc Lợi.Pháp lý sạch, SĐCC, GPXD.Giá bán 3.89 tỷ (có bớt cho ai mua thiện chí).LH em Hoàn 0978 993 *** ",32 m²,3.89 tỷ,5 m,4 m,6 tầng,3 phòng,5 phòng,05/12/2022,12/12/2022,Tin thường,35185168,batdongsan_com_vn_35185168,Sổ đỏ/ Sổ hồng,Đông - Bắc,Đông - Bắc,Đầy đủ nội thất cơ bản.
"['Hà Nội', 'Hoài Đức', 'Xã An Thượng', 'Đường Đại lộ Thăng Long', 'Dự án Hado Charm Villas']","
Chào bán Biệt Thự Đơn Lập Góc Vip tại dự án Hà Đô Charm Villas.Diện tích 345m².Khu đô thị Compound khép kín, với quy mô 30,2ha mật độ xây dựng chỉ 18%. Còn lại là cây xanh cảnh quan.Các căn Villas đã được chủ đầu tư bán giao đến tay khách hàng để hoàn hiện.Một số hạng mục tiện ích đang gấp rút triển khai để bàn giao đồng bộ toàn khu.Anh chị mua có thể về hoàn thiện ở luôn.Chi tiết liên hệ em Nam hỗ trợ chi tiết, tận tâm, lâu dài.Hoài Nam 0979 913 *** ",345 m²,Thỏa thuận,,,3 tầng,,,05/12/2022,12/12/2022,Tin thường,36034941,batdongsan_com_vn_36034941,,,,
"['Hà Nội', 'Long Biên', 'Phường Phúc Đồng', 'Đường Nguyễn Văn Linh', 'Ngõ 229']","
Seri 2 căn xây mới tại ngõ 229 Nguyễn Văn Linh.- Hiện vừa hoàn thiện xong 100% đang mở bán đón khách về.- Nhà xây tường riêng cột riêng, dầm móng riêng không chung đụng (có video từ móng).- Nhà ngay gần trục đường chính, cách Aeon mall và cầu vĩnh tuỹ 1km cực kì thuận tiện đi lại.- Nội thất đầy đủ, sổ đỏ phôi mới, cam kết không quy hoạch, tranh chấp.- Mọi thủ tục chi phí sang tên tôi chịu.- Liên hệ: 0369 276 *** ",31 m²,2.9 tỷ,3.5 m,2.5 m,5 tầng,4 phòng,4 phòng,05/12/2022,12/12/2022,Tin thường,35368705,batdongsan_com_vn_35368705,Đã có sổ,,,Đầy đủ
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Đức Giang', '93', 'Bình Minh Garden']","
Diện tích 76m x 5 tầng.Mặt tiền 4,5m hoàn thiện ngoài thô trong.Các tầng để thông tiện khách mua về hoàn thiện theo nhu cầu.Sổ đỏ chính chủ.Dự án đã đi vào hoạt động nên đẹp.Giá 12 tỷ (bao sang tên).            ",76 m²,12 tỷ,4.5 m,12 m,5 tầng,,,05/12/2022,13/12/2022,Tin thường,35940606,batdongsan_com_vn_35940606,Sổ đỏ/ Sổ hồng.,Đông - Bắc,Đông - Bắc,Không nội thất.
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh']","
Vị trí: Nằm trong khu đô đông đúc khu An Khánh, tập trung nhiều chung cư, biệt thự. Hạ tầng đồng bộ, giao thông thuận tiện.Mô tả:- Diện tích đất 5500m².- Diện tích xây dựng 40% x 3tầng.- Phù hợp trường mầm non, tiểu học quốc tê, song ngữ chất lượng cao.Giá thoả thuận.Liên hệ: 0913 329 ***Quý khách tham khảo thêm tại web: bds24gio.vnTrân trọng cảm ơn!            ",2200 m²,Thỏa thuận,,,4 tầng,,,05/12/2022,12/12/2022,Tin thường,33209374,batdongsan_com_vn_33209374,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Tam Trinh', '885', 'Gelexia Riverside']","
Diện tích 86m² tòa CT1 có 3 phòng ngủ 2WC phòng khách rộng.Thiết kế vuông văn, căn góc đẹp nhất dự án, view tòa CT2 và nội khu.Sổ đỏ đầy đủ, nhà mới, đẹp đủ đồ nội thất.Giá 2,850 tỷ (bao sang tên).LH: 0987 522 *** ",86 m²,2.85 tỷ,,,,3 phòng,2 phòng,05/12/2022,13/12/2022,Tin thường,35943883,batdongsan_com_vn_35943883,Sổ đỏ/ Sổ hồng.,,,
"['Hà Nội.', 'Hoàn Kiếm', 'Phường Hàng Bài', 'Phố Lý Thường Kiệt', 'Dự án T - Place']","
Không có nhu cầu cần chuyển nhượng gấp.- Căn hộ 2 ngủ đã hoàn thiện nội thất cơ bản (sàn gỗ, điều hòa, thiết bị vệ sinh, tủ bếp).- Vị trí trung tâm nằm ở giao giữa phố Hàng Bài và Phố Lý Nam Đế.- Diện tích 57m², đã có sổ đỏ.- Liên hệ xem nhà: 0829 882 *** ",57 m²,11.14 tỷ,,,,2 phòng,,05/12/2022,12/12/2022,Tin thường,31931946,batdongsan_com_vn_31931946,Sổ đỏ/ Sổ hồng.,,,
