address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Hướng nhà,Hướng ban công,Số toilet,Nội thất,Số tầng,Đường vào
"['Hà Nội.', 'Hoài Đức', 'Xã Vân Canh', 'Đường 422B']","
- Đất dịch vụ Vân Canh gồm 4 khu.+ Khu 1.7ha vị trí mặt đường Trịnh Văn Bô kéo dài.+ KHu 4.5ha vị trí mặt đường vành đai 3.5.+ Khu 6.9ha vị trí cạnh khu đô thị hub.+ Khu 25ha vị trí cạnh khu biệt thự liền kề An Lạc Green Symphony (cách đường 70 khoảng 150m).- Diện tích các lô đất từ 35m² đến 200m².- Khu vị trí kết nối giao thông cực kỳ thuận tiện: Cách Mỹ Đình khoảng 3km, kết nối với nhiều tuyến đường lớn như, đường vành đai 3.5, đường Trịnh Văn Bô, đường 70, đường Đại Lộ Thăng Long...- Xung quanh lại nhiều khu đô thị, biệt thự liền kề.- Quy hoạch như khu đô thị đầy đủ tiện ích như: Trường học, vườn hoa, nhà văn hóa, trạm y tế, công viên...- Khu vực rất đẹp quy hoạch như khu đô thị vừa Ở vừa đầu tư rất tốt.- E gửi 1 số lô các khách hàng tham khảo:+ Lô góc 2 mặt tiền 36m² mặt tiền 16m (mặt ngã tư siêu đẹp, KD, xây đua được 50m²).+ Lô 45m² cách mặt đường Trịnh Văn Bô 10m siêu víp, siêu hiếm.+ Lô 46m² mặt tiền 4m.+ Lô 48m² mặt tiền 4m².+ Lô 50m² mặt tiền 5m.+ Lô 50m² mặt tiền 4.6m mặt đường to 30m.+ Lô 55m² mặt tiền 4m view vườn hoa rất hiếm.+ Lô 55m² mặt tiền 5m.+ Lô 60m² mặt tiền 4m5.+ Lô 68m² mặt tiền 4.5m (view vườn hoa).+ Lô 138m² mặt tiền 9m (View vườn hoa).+ Lô 200m² mặt tiền 12m (View vườn hoa).+ Lô 60m² mặt đường 20m.+ Lô góc 68m² 2 mặt tiền mặt tiền 16m (view vườn hoa).+ Lô 70m² mặt tiền 4.6m mặt đường 30m siêu kinh doanh.+ Lô 55m² mặt tiền 5m mặt đường 16m.+ Lô góc 90m² mặt đường 16m.+ Lô 100m² mặt tiền 5.8m siêu đẹp xây biệt thự đỉnh.+ Lô 70m² mặt tiền 5.8m mặt đường 60m vỉa hè 7m siêu KD(mặt đường Trịnh văn Bô kéo dài).+ Lô 48m² mặt tiền 4m mặt đường 60m vỉa hè 7m siêu KD(mặt đường Trịnh văn Bô kéo dài).- https://datnenhoaiduc.net/- Liên hệ Mr. Hải 0933 638 ***liên hệ Zalo để nhận thêm nhiều lô đẹp).- Giá cạnh tranh, đầu tư.- Sổ đỏ chính chủ.            ",50 m²,64 triệu/m²,5 m,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,34673356,batdongsan_com_vn_34673356,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Phạm Hùng', 'Dự án Sunshine Center']","
Căn hộ cao cấp 3PN 130m² Sunshine Center ngay BX Mỹ Đình + Keangnam.Bàn giao full nội thất cao cấp.Tặng 2 năm phí DV.- Nhận nhà ở luôn.- Chiết khấu thanh toán sớm tới 20%.Liên hệ để xem thực tế và nhận bảng giá chi tiết.0969 58 58 25.            ",130 m²,5.55 tỷ,,,06/12/2022,13/12/2022,Tin thường,35309480,batdongsan_com_vn_35309480,3 phòng,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án The Two Residence - Gamuda Garden']","
Chủ nhà bán căn hộ The Two Gamuda.+ Thiết kế: 1PN, 2VS.+ Diện tích: 47m².+ Tầng trung thoáng mát.+ Giá: 1,83 tỷ (có sổ).Lh& zalo: 0962 435 *** ",47 m²,1.83 tỷ,,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,36042515,batdongsan_com_vn_36042515,1 phòng,Đông - Nam,Tây - Nam,2 phòng,Đầy đủ.,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Phú Thượng']","
Bán đất Phú Thượng, Âu Cơ, Tây Hồ, vỉa hè ô tô tránh nhau. DT 102m² x MT 6,9m x 14,7 tỷ.Mô tả:Vị trí thửa đất vuông thuộc, lô góc 2 ô tô tránh nhau trên đường Phú Thượng, khu vực đang phát triển cực kỳ mạnh mẽ, tương lai cách đường đôi 60m, và tiện ích vô vàn, gần chợ, công viên, trường học, bệnh viện, trung tâm thương mại...Sổ đỏ đẹp sẵn sàng giao dịch ngay.Liên hệ Hùng Thổ Cư để xem đất miễn phí, mua được như ý.0922115999 - 0975 906 ***.            ",102 m²,14.7 tỷ,,Sổ đỏ,06/12/2022,13/12/2022,Tin thường,34666404,batdongsan_com_vn_34666404,,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Imperia Smart City']","
Em có căn chân đế chung cư giá chỉ 7,99 tỷ.2024 nhận bàn giao.Cần bán shophouse khối đế quần thể 280ha - 80.000 dân.Diện tích thông thuỷ: 53.8m².Thanh toán thường CK 5%.Thanh toán sớm CK 14%.Hỗ trợ gói vay 0% lãi suất lên đến 80%.View bể bơi 1000ha và công viên nội khu.            ",54 m²,7.99 tỷ,,Hợp đồng mua bán.,06/12/2022,13/12/2022,Tin thường,35947045,batdongsan_com_vn_35947045,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Chánh', 'Dự án Vimeco II - Nguyễn Chánh']","
Chính chủ bán căn hộ chung cư CT3 Vimeco, Đường Nguyễn Chánh, Phường Yên Hòa, Quận Cầu Giấy.+ Diện tích 90 m².+ Căn hộ thiết kế 2 phòng ngủ, 2 vệ sinh.+ Nội thất cơ bản.+ Sổ đỏ chính chủ, pháp lý rõ ràng.+ Giá 3.3 tỷ.- Vị trí cực đẹp, khu vực sầm uất nhất Quận, giao thông thuận lợi dễ dàng di chuyển tới các quận trung tâm và các Khu Đô Thị khác...- Tiện ích ngập tràn, gần chợ, siêu thị, trường học các cấp, các trường mầm non và các trường quốc tế. Khu vực dân trí cao, an ninh tốt, hàng xóm thân thiện...- Liên hệ xem nhà: 0919 636 *** ",90 m²,3.3 tỷ,,Sổ đỏ/ Sổ hồng.,06/12/2022,13/12/2022,Tin thường,35378436,batdongsan_com_vn_35378436,2 phòng,,,2 phòng,Nội thất cơ bản.,,
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam', 'Đường Lĩnh Nam']","
Vị trí: Phố Lĩnh Nam, Nam Dư, Thanh Đàm.Tiện ích: Khỏi bàn, gần trường đại học, gần trường cấp 1.2.3 gần chợ. Trung tâm thương mại.+ Giao thông cực kỳ thuận lợi thông khắp nơi gần cầu Thanh Trì, Vĩnh Tuy.+ Công năng: Đầy đủ 3 phòng ngủ vệ sinh + phòng Thờ. Sân phơi.Pháp Lý: Sổ đỏ chính chủ không lỗi phong thủy.Liên hệ chính chủ: 097324485 Mr Thảo.Trân trọng!            ",35 m²,3.5 tỷ,,Có sổ,06/12/2022,13/12/2022,Tin thường,35317435,batdongsan_com_vn_35317435,3 phòng,,,,,5 tầng,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Imperia Smart City']","
Quỹ 5 căn ngoại giao độc quyền Imperia Smart City tầng đẹp chính sách tốt nhất ck 18% hỗ trợ vay80%.Độc quyền 5 căn ngoại giao tầng đẹp chính sách tốt nhất Imperia Smart City đối diện công viên trung tâm, biển hồ khu vui chơi, công viên thể thao, trường học Vin, nhà để xe. Tiện ích đầy đủ nhất.Quý khách liên hệ em 0969 585 ***Zalo/call 24/7) để biết thêm thông tin và nhận được chính sách ưu đãi nhất.Bàn giao nội thất theo chủ đầu tư: Full nội thất liền tường điều hoà, nóng lạnh, tủ bếp, smart home, trần thạch cao, sàn gỗ, thiết bị vệ sinh, cửa chống cháy, chuông hình.Căn 55m² giá 2ty2.Căn 43m² 1ty7.Căn Studio 1,2 ty.Căn 75m1 3ty4.Căn 64m² 2ty7.+ Chiết khấu tối đa lên đến 20% và miễn phí 5 năm phí dịch vụ.+ Hỗ trợ vay 80% LÃI 0% trong 24 tháng.+ Thanh toán sớm chiết khấu thêm.Khắc phục các nhược điểm phân khu trước trong khu đô thị Vinhomes SC, phân khu Imperia có:- 10m ra nhà để xe nổi, trường học Vin, 50m tới công viên, biển hồ, khu vui chơi,- Có máy phát điện, lễ tân tại tầng 1.- Sử dụng gạch đỏ nung để xây ngăn phòng cách âm tốt.Để sở hữu căn hộ chung cư Vinhomes Smart City phân khu Imperia SC Vip nhất khu đô thị, 1 bước sang biển.            ",55 m²,2.2 tỷ,,,06/12/2022,13/12/2022,Tin thường,35971101,batdongsan_com_vn_35971101,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Khương Thượng', 'Đường Tam Khương']","
Bán đất Tam Khương, Tôn Thất Tùng, Chùa Bộc, Phạm Ngọc Thạch. Dt 65m2x7,4 chỉ 20,5 tỉ.Mô tả:+ Mảnh đất vuông vắn, mặt tiền khủng. Thực tế hơn 65m².+ Vị trí cực đắc địa, kinh doanh sầm uất mọi loại hình, gần Tôn Thất Tùng, Vincom Phạm Ngọc Thạch, Đại học Y, dân trí cao, tiện ích trung tâm.+ Sổ đẹp cất két, giao dịch nhanh.Liên hệ Hùng Thổ Cư để xem nhà miễn phí mua được như ý.0922115999 - 0975 906 ***.            ",65 m²,20.5 tỷ,,,06/12/2022,13/12/2022,Tin thường,35686306,batdongsan_com_vn_35686306,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Vĩnh Hưng', 'Đường Tân Mai', 'Dự án Đồng Phát Park View Tower']","
Bán căn hộ chung cư Đồng Phát Park View.Căn hộ 2 ngủ cơ bản 72m² 2tỷ3.Căn hộ 2 ngủ đủ đồ 76m² 2tỷ4.Căn hộ 3 ngủ cơ bản 87m² 2tỷ6.Liên hệ xem nhà 0362 662 *** ",76 m²,2.4 tỷ,,,06/12/2022,13/12/2022,Tin thường,36041281,batdongsan_com_vn_36041281,2 phòng,,,2 phòng,,,
