address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Hưng']","
Chính chủ cần bán gấp căn liền kề An Hưng. Dt 82,5m² xây 4,5 tầng.Vị trí đẹp đối diện là trường lên thoáng vĩnh viễn, vỉa hè 4m rộng rãi.Khu nhà ở cực kì yên tĩnh, dân trí cao.SĐCC. Giá bán 11.5 tỷ (có gia lộc cho khách hàng thiện chí).Lh 0945 556 *** ",82.5 m²,11.5 tỷ,SĐCC,29/11/2022,06/12/2022,Tin thường,34042949,batdongsan_com_vn_34042949,,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
Bán nhà Thái Hà - Đống Đa 47m², 4 tầng, ngõ ô tô tránh, kinh doanh tốt.Giá 9.7 tỷ.Phân lô Thái Hà - ô tô tránh - kinh doanh văn phòng.- Vị trí trung tâm bậc nhất quận Đống Đa, là con phố Kinh doanh đồ công nghệ, thời trang VIP của Hà Nội.- Hiện trạng nhà 4 tầng thiết kế khung cột chắc chắn, thiết kế tầng 1 phòng khép kín.- Ngõ rộng, gần phố ô tô tránh ra vào nhà.- Khu phân lô cán bộ, thoáng trước sau.Sổ đỏ vuông vắn, pháp lý sạch sẽ.            ",47 m²,9.7 tỷ,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35984596,batdongsan_com_vn_35984596,3.4 m,3.5 m,4 tầng,2 phòng,3 phòng,Nội thất đầy đủ.,,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Định Công', '176', 'Sky Central']","
Gia đình có việc cần bán chung cư 176 Định Công:+ Diện tích 105m², 3 phòng ngủ, 2 vệ sinh.+ Sổ đỏ chính chủ.+ Tặng lại toàn bộ nội thất 600 triệu.+ Bao toàn bộ phí sang tên.+ Nhiều tiện ích: 3 tầng hầm gửi xe, bể bơi 4 mùa, 3 siêu thị, 2 cafe, nhà thuốc, quán nướng, sân chơi trẻ em, gần chợ, cây xăng, trường học, bệnh viện.+ 5 phút lên Bách Khoa, Kinh tế, Xây dựng, Y Hà Nội.+ Giá 4 tỷ 3.Liên hệ: Ms Quỳnh Lê.            ",105 m²,4.3 tỷ,Sổ đỏ/ Sổ hồng.,29/11/2022,09/12/2022,Tin thường,33137056,batdongsan_com_vn_33137056,,,,3 phòng,2 phòng,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', '234 Đường Phạm Văn Đồng', 'Dự án Green Stars']","
Mua căn hộ to hơn nên cần bán ngay căn, cần bán lại căn hộ 2 phòng ngủ giá rẻ, ban công mát rượi và đẹp nhất dự án, LH 0942 444 ***Em tạo điều kiện vay ngân hàng, nhà đã có sổ đỏ chính chủ.Tầng đẹp nhất tòa nhà, giá 2.6xx tỷ.Căn hộ 66.8m², 2 phòng ngủ, 2 vệ sinh, 1 ban công phụ phơi đồ...Em để lại đồ có sẵn trong nhà gồm tủ bếp, rèm, điều hòa phòng khách, sàn gỗ, trần thạch cao, đèn chiếu sáng, bình nóng lạnh, thiết bị vệ sinh đầy đủ, sofa xịn, bàn ăn xịn, giường, tủ bàn ghế, trang thiết bị hiện đại, nội thất xịn, nhà đẹp bóng.2 mặt view thoáng và tầng đẹp nhất dự án, tầng trung đẹp nhất tòa nhà.Thuộc căn hoa hậu tại Green Star.3. Điểm nổi bật khu chung cư Green Stars em ở:- Thiết kế căn hộ thông minh, diện tích hợp lý tất cả các phòng đều có ánh sáng và đón gió tự nhiên.- Cư dân sống nơi đây sẽ được sử dụng một quần thể rộng với kiến trúc hiện đại theo đó là không gian sống trong lành.- Dịch vụ hoàn hảo có Vincom Plaza dưới tầng hầm, khu tập gym, spa... Và trung tâm thương mại đảm bảo cho cư dân nơi đây có một cuộc sống hiện đại.Đặc biệt là có hồ điều hòa 17ha, rộng, thoáng, khuôn viên cây xanh phát triển gần 10 năm, bầu không khí trong lành, mát rượi.Bên cạnh có rạp chiếu phim, bệnh viện, trường học, Vincom, Metro... Không thiếu bất cứ dịch vụ gì ạ.Em chỉ tiếp người mua thiện chí, không tiếp MG, QC.Xem nhà 24/24 kể cả tối lúc 10h đêm ạ, alo em 0942 444 ***Địa chỉ mail để tiện liên hệ: thuythanh.tpkd@gmail.com ",66.8 m²,Thỏa thuận,Có sổ,29/11/2022,06/12/2022,Tin thường,13215015,batdongsan_com_vn_13215015,,,,2 phòng,2 phòng,"Nội thất đầy đủ full gồm: Sàn gỗ, thiết bị vệ sinh đầy đủ, cửa cao cấp, đèn chiếu sáng led, bình nóng lạnh. Bàn ghế, giường tủ, điều hòa, sofa, tủ bếp, rèm, giàn phơi,",Đông - Bắc,Tây - Nam
"['Hà Nội', 'Hoàng Mai', 'Phường Thịnh Liệt', 'Đường Giáp Nhị']","
Bán nhà Giáp Nhị - trung tâm Quận Hoàng Mai 20m ô tô 2 mặt ngõ - đi đâu cũng tiện.+ Nhà 2 mặt ngõ trước sau rất thông thoáng.+ Nhà gần trường tiểu học Thịnh Liệt, nhà đẹp, lô góc nên rất thoáng sáng phòng nào cũng có cửa sổ đón nắng tự nhiên, chủ tự xây kiên cố chắc chắn.Thiết kế 5 tầng, mỗi tầng 2 phòng ngủ.+ Sổ đỏ đẹp sẵn sàng giao dịch.            ",45 m²,4.55 tỷ,Sổ đỏ.,29/11/2022,06/12/2022,Tin thường,35984441,batdongsan_com_vn_35984441,,,5 tầng,6 phòng,4 phòng,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', '232', 'An Bình City']","
0987 065 ***Tôi chính chủ cần bán lô shophouse - TTTM chung cư An Bình City, 232 Phạm Văn Đồng, HN.Lô đẹp nhất khu An Bình City, ở giữa quảng trường.Lô 03, tòa A3, An Bình City.Rất thuận tiện đi lại trao đổi thông thương mua bán trong tòa nhà.Tổng diện tích sử dụng gồm cả: Tầng 1, gác lửng, tầng 2 là 150m².Có cầu thang thông tầng từ tầng 1, gác lửng và tầng 2.Đang cho thuê giá ổn định 35tr/tháng.1 năm thu lợi nhuận 420tr, mà không mất chi phí đầu tư.Không bao giờ để trống nhà.Giá bán 7 tỷ xxx tr.Sổ hồng lâu dài vĩnh viễn, không phải là sổ 50 năm như những shophouse (TTTM) khác...Mua sở hữu tiếp tục cho thuê, tự kinh doanh và có thể ở.Khu có gần trung tâm vincom bắc từ liêm, gần 20 tòa chung cư khu thành phố giao lưu, hơn 300 lô biệt thự.Nơi cư dân sống đông đủ.Giao thông thuận lợi, thông thương các tuyến đường...Xem thực tế mọi lúc, 0987 065 *** (24/24).            ",150 m²,Thỏa thuận,,29/11/2022,06/12/2022,Tin thường,32038523,batdongsan_com_vn_32038523,7 m,,2 tầng,3 phòng,,"Sàn, trần, cầu thang, nhà vệ sinh đầy đủ...",Bắc,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Dự án Mỹ Đình Pearl']","
Tổng hợp các căn hộ 1PN - 2PN - 3PN cần bán nhanh tại chung cư Mỹ Đình Pearl, giá chỉ từ 2.1 tỷ.Thông tin:+ Căn hộ 1PN + 1WC, Diện tích: 48m² - 52m², giá từ: 2.1 tỷ - 2.45 tỷ - 2.6 tỷ.+ Căn hộ 2PN + 2WC, Diện tích: 72m² - 79m², giá từ: 3.3 tỷ - 3.6 tỷ - 4.2 tỷ.+ Căn hộ 3PN + 2WC, Diện tích: 82m² - 94m² - 101m², giá từ: 3.4 tỷ - 3.75 tỷ - 5.5 tỷ.Cam kết:- Khách hàng mua căn hộ được làm việc trực tiếp với chủ nhà.- Hỗ trợ mọi thủ tục pháp lý sang tên sổ đỏ nhanh nhất, tốt nhất.- Hỗ trợ vay vốn từ nhiều ngân hàng như: BIDV, Techcombank, Vietcombank, VIB...Mọi người quan tâm vui lòng liên hệ.Mr Nguyên: 0932 357 ***Để được tư vấn và đến xem trực tiếp căn hộ ạ.            ",74 m²,40 triệu/m²,,29/11/2022,06/12/2022,Tin thường,34743454,batdongsan_com_vn_34743454,,,,3 phòng,3 phòng,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', '232', 'Thành Phố Giao Lưu']","
Chính chủ cần bán biệt thự khu đô thị Thành Phố Giao Lưu, 232 Phạm Văn Đồng, HN.DDT 0987 065 ***Nhà biệt thự, diện tích rộng 240m² đất.Xây dựng tầng nổi và khu sân vườn thông nhau từ cửa trước ra cửa sau.Tầng 1 gồm: Phòng khách siêu rộng, nhà vệ sinh, cầu thang bộ, cầu thang máy.Tầng 2 gồm: 3 phòng ngủ đơn + 1 phòng ngủ masster + 1 nhà vệ sinh chung + đặc biệt phòng ngủ 100% ánh sáng tự nhiên.Tầng 3 gồm: Khu bếp và phòng ăn, siêu rộng + 1 phòng ngủ đơn + 1 phòng ngủ masster. Đặc biệt các phòng ngủ 100% ánh sáng tự nhiên.Tầng 4: Gồm phòng thời, sân thượng, phòng kho, trồng cây xanh, rau sạch.Tầng 5: Chuồng chim đi lên cầu thang bộ, nơi tập yoga, bể bơi ngoài trời...Hướng nhà gió mát quanh năm, ko ồn, ko bụi, yên tĩnh, thoáng đoãng.Đã hoàn thiện full nội thất hịn, xịn,.Giá nhỉnh 4X tỷ xxx.Thông tin: Sổ đỏ chính chủ, rõ ràng pháp lý.Nhà lắm lộc, đông con, đông cháu, làm ăn vượng phát.Nhà đã thiết kế lại xịn, hịn, đẹp, chất, về chỉ việc ở, đèn chùm, tường ốp, sàn gạch phòng khách, sàn gỗ các phòng, tranh trang trí, bình hoa, những vật dụng trang trí - xứng tầm đẳng cấp...Khu đô thị sầm uất nhất Bắc Từ liêm, Hà Nội.Cạnh Mega Market Phạm Văn đồng, HN.Cạnh vincom phạm văn đồng.Cạnh hồ điều hòa An Bình 17ha.Khu biệt thự đầy đủ tiện ích: Khách sạn, nhà hàng, trường học, phòng khám, dịch vụ văn phòng, văn phòng đại diện, khu ăn uống, giải trí, cạnh chợ cổ nhuế, công viên hòa bình...1 nơi mà có không gian xanh phủ kín.Gần bệnh viện E, thông thương giữa các tuyến đường đi liên tỉnh và sân bay nội bài dễ dàng...1 nơi rất đáng sống, tránh xa ồn ào và khói bụi.Vừa ở vừa cho thuê.Để ở, để đầu tư, để kinh doanh...Em tiếp người thiện chí mua.Ko tiếp mg và QC.Em cảm ơn, ĐT Em_ 0987 065 *** ",240 m²,Thỏa thuận,,29/11/2022,06/12/2022,Tin thường,32280310,batdongsan_com_vn_32280310,7.5 m,,5 tầng,,,,Nam,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Nguyễn Xiển', 'Ngõ 214', 'Legacy Garden']","
Nhận booking 10 căn đầu tiên chuẩn bị mở bán đợt 1 dự án Legacy Garden ngõ 214 Nguyễn Xiển.Vị trí thuận lợi, tiếp giáp các quận của Hà Nội.Ngay cạnh các trường của Phường Thanh Xuân Nam.Ngay cạnh trường ĐH Công Nghệ Giao Thông Viện Tải.Nằm trên trục đường Đại Lộ Hoàng Mai rộng 30m.Dự án xây 5 tầng - 1 tum.Hiện tại đã xây đến tầng 3.Bàn giao vào quý 4/2023.Sổ đỏ lâu dài.Xung quanh dân cư đông đúc, đầy đủ tiện ích.Quỹ đất vô cùng hiếm hoi cạnh nội đô Hà Nội.Liên hệ em Hoàng Thảo để nhận chi tiết thông tin và đăng ký vào xem dự án nhé.Điện thoại: 0971 983 *** ",85 m²,201 triệu/m²,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35984575,batdongsan_com_vn_35984575,6 m,13 m,6 tầng,8 phòng,9 phòng,Không nội thất,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án BID Residence']","
Chính chủ tôi cần bán 3 suất ngoại giao chung cư BID Residence Hà Đông.- Diện tích: 144m²; 3PN; 2WC, tầng trung đẹp. Căn góc.- Căn hộ view đẹp với 100% các phòng ngập tràn ánh sáng tự nhiên.- Lối ra ban công phòng khách siêu rộng, tận hưởng không gian trồng cây xanh và tiểu cảnh.- Hệ thống 11 thang máy căn hộ, tăng cường di chuyển nhanh chóng cho cư dân, thang cuốn hiện đại tại Trung tâm thương mại sầm uất...- Hệ thống thiết bị giám sát, an ninh hiện đại 24/24.- Cam kết giá tốt nhất thị trường.- Có phí MG cho sale.Liên hệ chính chủ: Vũ Nguyên 0932 357 *** ",144 m²,23 triệu/m²,,29/11/2022,06/12/2022,Tin thường,35723891,batdongsan_com_vn_35723891,,,,3 phòng,2 phòng,,,Đông - Nam
