address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số tầng,Mặt tiền,Đường vào
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Park Hill Premium - Times City']","
- Gia đình cần tài chính muốn bán gấp căn hộ cao cấp 2 PN tòa P10 tại Park Premium Time City. Giá 3,85 tỷ.- Thông tin căn hộ:- Với thiết kế thông minh diện tích 68m² được chia ra 2 phòng ngủ rộng thoáng 2 WC một ban công một logia vô cùng rất thoáng, căn ban công Nam vô cùng thoáng mát.- Nội thất đầy đủ: Có sàn gỗ trần thạch cao, tủ bếp, tủ âm tường, điều hòa thiết bị vệ sinh, máy hút mùi, hệ thống thiết bị cảm ứng.- Căn hộ đã có sổ đỏ.- Giá bán 3,85 tỷ gia đình rất thiện chí.- Liên hệ xem nhà: 0348 315 ***viber, zalo, message).- Email: lientrinh@bdsnhamoi.vn ",68 m²,3.85 tỷ,2 phòng,2 phòng,Đã có sổ đỏ.,"Có sàn gỗ trần thạch cao, tủ bếp, tủ âm tường, điều hòa thiết bị vệ sinh, máy hút mùi, hệ thống thiết bị cảm ứng.",05/12/2022,15/12/2022,Tin thường,36031862,batdongsan_com_vn_36031862,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'Dự án Hồng Hà Eco City']","
Chỉ 2.9x tỷ sở hữu ngay căn hộ 3PN - 110m² tòa CT13 Sakura Hồng Hà Ecocity, Sổ đỏ, ban công Đông Nam!- Diện tích: 101 m² thông thủy - 110 m² tim tường.- Pháp lý: Sổ đỏ chính chủ cầm tay có hỗ trợ vay ngân hàng cho khách thiện trí.- Thiết kế: 3 ngủ, 2 vệ sinh, 2 ban công.- Hướng: Cửa Tây Bắc, ban công Đông Nam cực thoáng mát.- Nội thất: Nội thất sàn gỗ, trần thạch cao, tủ bếp, 3 điều hòa, 2 nóng lạnh, rèm cửa...- Giá: 2,9x tỷ chưa sang tên!Liên hệ xem nhà: Mr Đức 0374 912 *** ",110 m²,2.95 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36031857,batdongsan_com_vn_36031857,Tây - Bắc,Đông - Nam,,,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', 'Phố Láng Hạ', '16', 'BRG Grand Plaza']","
Chung cư 16 Láng Hạ là chung cư cao cấp nằm tại trung tâm thành phố Hà Nội, mảnh đất vàng của thủ đô gần rất nhiều địa điểm lớn của thành phố như: Rạp chiếu phim quốc gia, siêu thị FiviMart, chợ Láng Hạ, triển lãm Giảng Võ, đại sứ quán Mỹ cùng nhiều trường học, bệnh viện và trung tâm thương mại đáp ứng mọi nhu cầu thiết yếu cho các hộ gia đình.1/ Tổng quan về dự án:- Tên dự án: Chung cư Diamond Park Plaza - 16 Láng Hạ.- Diện tích 8.152m², cao 19 tầng, 4 tầng hầm, 18 tầng căn hộ, tầng mái là phòng gym, phòng đa năng và khu vực tiện ích phục vụ cư dân.+ Chủ đầu tư: Tập đoàn BRG.+ Đơn vị thiết kế: P&T Consultants PTE LTD (Singapore) & Công ty tư vấn đại học xây dựng.+ Đơn vị thẩm tra: Công ty CP Tư Vấn XDDD và đô thị Việt Nam.+ Đơn vị thi công: Posco E&C Việt Nam Tư vấn giám sát: Coninco.2/ Thiết kế các căn hộ tại dự án BRG Grand Plaza 16 Láng Hạ.- Căn hộ 1PN diện tích: 54m² - 55m².- Căn hộ 2PN diện tích: 82 - 100m².- Căn hộ 3PN diện tích: 123m².- Thiết kế 7 căn/1 sàn. Mật độ siêu thoáng.- Thiết kế hợp lý, diện tích sử dụng triệt để với công năng các phòng.3/ Nội thất bàn giao:Bàn giao full nội thất cao cấp: Sàn, trần, điều hòa âm trần, tủ bếp, bếp từ, hút mùi, chậu rửa, thiết bị vệ sinh đầy đủ cả nóng lạnh, hệ thống tủ quần áo...- Nội thất bàn giao full cao cấp liền tường hoặc bàn giao thô.4/ Chính sách bán hàng:+ Hỗ trợ vay trả góp 25 năm tới 65% GTCH.+ Lãi Suất 0% và ân hạn nợ gốc 12 tháng.+ Tặng 12 tháng miễn phí quản lý tòa nhà.* Tiện ích bể bơi 4 mùa, cafe tầng thượng, gym, spa... Chỉ phục vụ cư dân.            ",54 m²,5 tỷ,1 phòng,,Hợp đồng mua bán,,05/12/2022,12/12/2022,Tin thường,35160509,batdongsan_com_vn_35160509,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Golden River']","
Tập đoàn Sunshine Group ra mắt siêu căn hộ biệt thự sân vườn trên không Sunshine Golden River - KĐT Ciputra, Tây Hồ.Diện tích 141m², gồm 3 phòng ngủ, 2 vệ sinh, phòng khách, bếp, logia.Thiết kế xanh thông minh với logia rộng lên tới gần 50 m² tạo không gian sân vườn vô cùng rộng rãi cho gia chủ.Đặc biệt thiết kế trần cao 3.6m, tất cả các phòng đều chan hòa ánh sáng tự nhiên.Giá trực tiếp CĐT 10,5 tỷ, sau chiết khấu còn 9,5 tỷ (gồm VAT). Giá gồm VAT và Full nội thất độc bản nhập khẩu cao cấp từ các thương hiệu nổi tiếng trên thế giới như: Porta Door, Duravit, Hafele, Hansgrohe.1. Chính sách bán hàng ưu đãi:- Miễn phí 2 năm phí dịch vụ quản lý.- NH hỗ trợ vay 70% GTCH, lãi suất 0% tới khi bàn giao căn hộ, ân hạn nợ gốc, miễn phí trả nợ trước hạn.- Chiết khấu 6% GTCH khi KH thanh toán sớm 95% GTCH.2. Tổng quan dự án Sunshine Golden River:- CĐT: Sunshine Group.- Nhà thầu thi công: SCG.- Tư vấn giám sát: APAVE.- Đơn vị vận hành: Thương hiệu Grand Aston được quản lý bởi Archipelago International - Tập đoàn quản lý khách sạn lớn nhất Đông Nam Á.- Quy mô: 01 tòa nhà 35 tầng, 5 tầng TTTM (3 tầng shophouse - 2 tầng tiện ích), 3 tầng hầm; 27 lô thấp tầng.- Hình thức sở hữu: Sổ đỏ lâu dài.- Tiện ích: Bể bơi bốn mùa, bể bơi ngoài trời, khu tập golf trên mái, Cigar Lounge/Bar thương gia, trường học, thư viện, nhà cộng đồng, khu vui chơi trẻ em, vườn BBQ, đường dạo bộ, ghế thư giãn, đình hóng gió, S Plus Cafe', Sunshine Mart, S - Fitness, sauna, nhà hàng... Dành riêng cho cư dân.            ",141 m²,9.5 tỷ,3 phòng,2 phòng,Hợp đồng mua bán. Sổ đỏ,,05/12/2022,12/12/2022,Tin thường,35160901,batdongsan_com_vn_35160901,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Dự án The Link 345-CT1']","
Bán căn hộ 3PN 106m² dự án The Link 345 Ciputra. View vườn hoa nội khu và được thừa hưởng toàn bộ các tiện ích của khu đô thị Ciputra như công viên, đường dạo bộ... Sẽ mang đến cho cư dân một căn hộ đúng tiêu chuẩn căn hộ xanh.1. Tổng quan dự án.Tên dự án: The Link 345.Chủ đầu tư: Tập đoàn Ciputra (Indonesia).Đơn vị thi công: Tổng công ty đầu tư phát triển hạ tầng đô thị Udic.Tư vấn giám sát: Công ty cổ phần TEXO tư vấn và đầu tư.Quy mô: Gồm 03 tòa tháp cao 21 tầng có tổng số gần 600 căn hộ đẳng cấp.2. Lợi thế của dự án.- Chủ đầu tư nước ngoài uy tín, danh tiếng thương hiệu vững mạnh. Khu đô thị đồng bộ đẳng cấp quốc tế, được xây dựng và vận hành bởi CĐT nước ngoài.- Quy hoạch ổn định, đồng bộ, quy mô lớn.- Giao thông thuận tiện (Vành Đai 2, 3, tuyến đường sắt Metro số 2 đi qua nội khu), dễ dàng kết nối với các khu vực xung quanh.- Vị trí lý tưởng trong quần thể Ciputra HN (nằm cạnh sân golf, Ciputra Club, đối diện tháp Vietinbank, gần kề Hồ Tây, Lotte Mall.- Cảnh quan đẹp, hầu như không có dự án nào tại Hà Nội được view trực tiếp sân golf, không gian sống xanh, môi trường văn hóa sinh thái, mật độ xây dựng thấp.- Căn hộ diện tích đa dạng, thiết kế thông minh.- Đạt giải thưởng khu căn hộ cao cấp tốt nhất Hà Nội (2016), chứng chỉ tòa nhà xanh the Edge IFC World Bank.- Tiện ích đồng bộ: Một trong những dự án có nhiều tiện ích thể thao, giải trí quốc tế, sân tập golf hiện đại nhất Hà Nội, dịch vụ quản lý chuyên nghiệp, ổn định, tiện ích giáo dục tốt nhất.- Cộng đồng cư dân nước ngoài lớn nhất HN, chiếm hơn 30% số cư dân khu đô thị với hơn 40 quốc gia và vùng lãnh thổ.* Ký HĐMB trực tiếp với chủ đầu tư Ciputra.* Nhận nhà ở ngay!            ",106 m²,5.4 tỷ,3 phòng,2 phòng,,,05/12/2022,12/12/2022,Tin thường,34809707,batdongsan_com_vn_34809707,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường 70', 'Dự án FLC Garden City']","
Do cần chuyển nhà gấp trong tháng này, cần bán nhanh căn hộ ở toà FLC Đại Mỗ.- Diện tích 65m², tầng trung.- Hướng ĐB, View hồ điều hoà và công viên thiên văn học.- Nhà để lại nội thất cơ bản: Bếp, nội thất liền tường, giường tủ, các đồ rời khác gặp mặt thương lượng.- Giá bán: 2 tỷ.LH 0967 967 *** xem nhà và trao đổi thêm.            ",65 m²,2 tỷ,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36031931,batdongsan_com_vn_36031931,Đông - Bắc,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Dự án Sunshine City']","
Bán căn hộ 3PN full nội thất cao cấp dát vàng dự án Sunshine City nằm trên đường Phạm Văn Đồng, Đông Ngạc, Bắc Từ Liêm, Hà Nội.Thiết kế căn hộ 3PN, diện tích 98m².Giá bán: 4,6 tỷ (Bao gồm VAT và full nội thất cao cấp).Ban công phía Bắc view sông Hồng.Bàn giao full nội thất liền tường cao cấp với các thương hiệu nổi tiếng thế giới như: Thiết bị vệ sinh Kohler dát vàng, thiết bị bếp Hafele, cửa gỗ cao cấp Potar Door số 1 châu Âu, kính Low - E chống nhiệt và tia UV, sàn gỗ, đá cao cấp...Liên hệ: Chí Cương 0983 650 **** Tổng quan dự án:- Sản phẩm thuộc tập đoàn Sunshine Group.- Nằm trong quần thể khu đô thị đẳng cấp Ciputra Hà Nội, giáp với đường Phạm Văn Đồng, gần cầu Thăng Long.- Tổng diện tích đất 4,3ha với mức đầu tư 5000 tỷ.- Quy mô: 6 tòa tháp cao 40 tầng, 03 tầng hầm, 03 tầng TTTM.- Tổng 1791 căn hộ dát vàng cao cấp + 69 lô biệt thự, shophouse thấp tầng.- Thiết kế đẳng cấp: Lấy cảm hứng từ New York hoa lệ, Paris yên bình. Sunshine City là một điểm nhấn tại bờ Nam Sông Hồng hưởng trọn sinh khí thịnh vượng từ dòng chảy tài lộc.- Hiện đã bàn giao căn hộ cho khách hàng.            ",98 m²,4.6 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,34809501,batdongsan_com_vn_34809501,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án The Pride']","
Bán nhanh căn 3 ngủ 95m² dự án The Pride Hải Phát.Về ở ngay.Đã bao gồm tất cả các loại thuế phí giá 24tr/m².            ",95 m²,24 triệu/m²,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,05/12/2022,12/12/2022,Tin thường,36032855,batdongsan_com_vn_36032855,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Đường Đại lộ Thăng Long', 'Dự án Mailand Hanoi City']","
- Vị trí thuộc dự án Splendora Bắc An Khánh (phân khu Splendora).- Để nói về dự án này không phải bàn hiện tại có 77 căn thì đã có chủ hết không còn người bán.- Không gian nghỉ dưỡng tươi mát nhờ nhiều cây xanh, an ninh tốt từ ngoài vào trong khu.- Gần phố đi bộ, tiện ích hồ bơi sân, sân thể thao, cafe...- Diện tích 325m².- Mặt sàn 120m.- 3 tầng hoàn thiện mặt ngoài.Ai thiện chí liên hệ tôi ngay trong tháng này qua số 0344 646 ***Zalo Việt Tiến).            ",325 m²,160 triệu/m²,,,Sổ đỏ/ Sổ hồng,Không nội thất,05/12/2022,15/12/2022,Tin thường,35942960,batdongsan_com_vn_35942960,Nam,Nam,3 tầng,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phương Canh']","
Cần bán lô đất đấu giá phân lô 60m, mặt tiền 5m, sâu 12m đường trước mặt rộng 13m.Cách đường Trịnh Văn Bô 50m.Thửa đất đẹp, vuông vắn, sổ đỏ lâu dài chính chủ, phù hợp với nhiều hình thức sử dụng, vừa ở và kinh doanh, đường rộng đẹp, cơ sở hạ tầng đồng bộ, tiềm năng tăng giá cao.- Quy Hoạch: 5 tầng 1 tum.- Vị trí vàng nằm trên mặt đường Trần Hữu Dực kéo dài thông với Phạm Hùng tiếp giáp (Quốc Lộ 32 - Quốc Lộ 70).- Gần trường Đại Học Công Nghiệp Hà Nội, Đại Học Đông Á, Cao Đẳng Thực Hành FPT...- Gần với Bên xe mới (ngã tư nhổn) và Ga Tầu Nhổn.- Gần các trạm y tế, trường tiểu học, cấp 2, cấp 3 Nam Từ Liêm.- Mở ra cơ hội cho các nhà đầu tư cũng như quý khách hàng mua để ở vì vị trí này rất có tiềm năng tăng giá mạnh trong tương lai khi tập đoàn Vingroup về triển khai dự án của hộ chung cư cao cấp tại đây.- Giá thương lượng trực tiếp chính chủ.- Quý khách hàng quan tâm xin liên hệ em Hải 0972 577 ***Để được xem đất.- Xin cảm ơn quý khách hàng quan tâm.            ",60 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,36032935,batdongsan_com_vn_36032935,,,,5 m,20 m
