address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Mặt tiền,Số tầng,Đường vào
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Trần Thủ Độ', 'Dự án Pháp Vân Tứ Hiệp']","
Lô góc khu đô thị Pháp Vân Tứ Hiệp Hoàng Liệt 82m² 3 phòng ngủ 2 toilet 2.180 tỷ.Mô tả:+ Toà nhà nằm ngay phía sau bến xe nước ngầm.+ Tầng 12 cao mát mẻ, 2 ban công hướng Tây và Nam.+ View đẹp nhìn xuống sân chơi thể thao, cầu vượt, đường giải phóng...+ Full nội thất cơ bản.+ Gần mặt đường ô tô tránh, gần công viên.            ",82 m²,2.18 tỷ,Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đẹp.,06/12/2022,13/12/2022,Tin thường,35973696,batdongsan_com_vn_35973696,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Trần Thủ Độ', 'Dự án Pháp Vân Tứ Hiệp']","
Bán căn hộ chung cư KĐT Pháp Vân Tứ Hiệp 93m² tầng trung 2.6 tỷ.Mô tả:+ Diện tích 93m², gồm 3 phòng ngủ, 2 vệ sinh, phòng nào cũng có cửa sổ thoáng mát.+ Căn hộ nằm ở tầng 7, căn số 02. Cả tòa nhà có 9 tầng.+ Cửa chính hướng Đông Bắc.+ 2 Ban công hướng Tây Nam và Tây Bắc.+ Chủ để lại toàn bộ nội thất bao gồm tivi, tủ lạnh, điều hòa, nóng lạnh, vv... Khách mua chỉ việc ở luôn.+ Tòa nhà nằm ở khu đô thị Pháp Vân Tứ Hiệp, cạnh đường cao tốc Pháp Vân - Cầu Giẽ.+ Thang máy êm ru, thiết kế mỗi tầng 8 phòng, sảnh rộng rãi.+ Dưới có sân chơi trẻ em, không gian nhiều cây xanh rất yên tĩnh.+ Trước mặt là dự án xây trường học liên cấp, xung quanh đầy đủ tiện ích không thiếu thứ gì.+ Pháp lý sổ đỏ chính chủ, sẵn sàng giao dịch.            ",93 m²,2.6 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Để lại nội thất.,06/12/2022,13/12/2022,Tin thường,35973304,batdongsan_com_vn_35973304,Đông - Bắc,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Thanh Trì', 'Đường Thanh Lân']","
Bán nhà đẹp ở Thanh Lân Hoàng Mai, ngõ thông ô tô đỗ cửa và vào nhà, bãi đỗ xe ngay sát nhà, vừa ở vừa kinh doanh thì quá tuyệt vời. Vị trí cực hiếm người bán khu vực Thanh Lân Hoàng Mai, Ngũ Nhạc, Thanh Đàm, Nam Dư với các thông số sau:Diện tích: 49m².Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chào: 5.05 tỷ (có thương lượng).Liên hệ: Anh Dương 0975 383 ***Gọi hoặc inbox 24/24g).Miễn phí xem nhà nguồn hàng phong phú nhiệt tình tận tâm hỗ trợ 24/24g.            ",49 m²,5.05 tỷ,,,,Sổ đỏ.,,06/12/2022,13/12/2022,Tin thường,35653857,batdongsan_com_vn_35653857,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Thanh Trì', 'Đường Thanh Lân']","
Bán nhà đẹp ở Thanh Lân Hoàng Mai, ngõ nông và thoáng sáng, đầy đủ công năng, Ngay sát phố Thanh Lân. Khu vực đang phát triển, giá quá tốt để mua ở hoặc đầu tư sinh lời cao. Xung quanh nhiều tiện ích như chợ, trường học các cấp. Vị trí cực hiếm người bán khu vực Thanh Lân Hoàng Mai, Nam Dư, Ngũ Nhạc, Thanh Đàm, Nguyễn Khoái với các thông số sau:+ Diện tích: 50m².Ngõ rộng, thoáng sáng, Ô tô đỗ cách vài bước chân. Đi vài bước chân ra phố Thanh Lân đường rộng thênh thang 2 ô tô tránh, tiếp cận nhanh nhất tới các nút giao thông chính như Cầu Thanh Trì, Cầu Vĩnh Tuy, Ngã ba Tam Trinh, đường vành đai 3,Khu vực dân trí cao, an ninh tốt với hàng xóm thân thiện. Xung quanh cũng là các trường học chất lượng các cấp, chợ, siêu thị, bãi đỗ xe ô tô cho cuộc sống an lành bền vững gia đình 2 - 3 thế hệ.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá chào: 3,75 tỷ (có thương lượng).Liên hệ: Anh Dương 0975 383 ***Gọi hoặc inbox 24/24g).Miễn phí xem nhà nguồn hàng phong phú nhiệt tình tận tâm hỗ trợ 24/24g.            ",50 m²,3.75 tỷ,,,,Sổ đỏ/ Sổ hồng.,,06/12/2022,13/12/2022,Tin thường,35644497,batdongsan_com_vn_35644497,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Thanh Trì', 'Đường Ngũ Nhạc']","
Chính chủ chuyển đổi công tác nên gửi bán nhà mặt phố Ngũ Nhạc Hoàng Mai, lô góc thoáng sáng, đường trước nhà rộng thênh thang 2 ô tô tránh nhau, Kinh doanh sầm uất. Vị trí cực hiếm người bán khu vực Ngũ Nhạc Hoàng Mai, Đông Thiên, Đại Đồng, Tân Khai, Lĩnh Nam với các thông số sau:Diện tích: 27m².Pháp lý rõ ràng, sẵn sàng giao dịch.Giá chào: 2.2 tỷ (có thương lượng).Liên hệ: Anh Dương 0975 383 ***Gọi hoặc inbox 24/24g).Miễn phí xem nhà nguồn hàng phong phú nhiệt tình tận tâm Hỗ trợ 24/24g.            ",27 m²,2.2 tỷ,,,,Hợp đồng mua bán.,,06/12/2022,13/12/2022,Tin thường,35727038,batdongsan_com_vn_35727038,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam', 'Đường Nam Dư']","
Bán nhà đẹp, đầy đủ công năng ở Nam Dư Hoàng Mai, ngõ thoáng sáng, ô tô đỗ gần. Khu vực đang phát triển, giá quá tốt để mua ở hoặc đầu tư sinh lời cao. Xung quanh nhiều tiện ích như chợ, trường học các cấp, đi vài bước chân ra phố Nam Dư và phố Lĩnh Nam. Vị trí cực hiếm người bán khu vực Nam Dư Hoàng Mai, Lĩnh Nam, Tây Trà, Thanh Lân, Thanh Đàm, Nguyễn Khoái với các thông số sau:+ Diện tích: 37m².Ngõ rộng, thông thoáng, Ô tô đỗ gần. Đi vài bước chân ra phố Lĩnh Nam, phố Nam Dư đường rộng thênh thang 2 ô tô tránh, tiếp cận nhanh nhất tới các nút giao thông chính như Cầu Thanh Trì, Cầu Vĩnh Tuy, Ngã ba Tam Trinh, đường vành đai 3,Khu vực dân trí cao, an ninh tốt với hàng xóm thân thiện. Xung quanh cũng là các trường học chất lượng các cấp, chợ, siêu thị, bãi đỗ xe ô tô cho cuộc sống an lành bền vững gia đình 2 - 3 thế hệ.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Giá chào: 2,6 tỷ (có thương lượng).Liên hệ: Anh Dương 0975 383 ***Gọi hoặc inbox 24/24g).Miễn phí xem nhà nguồn hàng phong phú nhiệt tình tận tâm hỗ trợ 24/24g.            ",37 m²,2.6 tỷ,,,,Sổ đỏ/ Sổ hồng.,,02/12/2022,09/12/2022,Tin thường,35633320,batdongsan_com_vn_35633320,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Thanh Trì', 'Phố Thanh Đàm']","
Chủ nhà định cư nước ngoài không ở đến gửi bán nhà đẹp ở Đại Đồng Hoàng Mai, ô tô đỗ cửa. Tiện ích bạt ngàn như bãi đỗ xe, chợ dân sinh, trường học các cấp quá tuyệt vời cho khách mua ở. Vị trí cực hiếm người bán khu vực Thanh Đàm Hoàng Mai, Đại Đồng, Ngũ Nhạc, Thanh Đàm, Nam Dư với các thông số sau:Diện tích: 38m².Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chào: 3.75 tỷ (có thương lượng).Liên hệ: Anh Dương 0975 383 ***Gọi hoặc inbox 24/24g).Miễn phí xem nhà Nguồn hàng phong phú Nhiệt tình tận tâm Hỗ trợ 24/24g.            ",38 m²,3.75 tỷ,,,,Sổ đỏ/ Sổ hồng,,05/12/2022,12/12/2022,Tin thường,35643349,batdongsan_com_vn_35643349,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Đỗ Quang', 'Ngõ 26']","
Chính chủ quyết bán nhà giá bất chấp! - ngõ 26 Đỗ Quang - Cầu Giấy để ăn tết cho ngon lành!Nhà đẹp - Giá cực rẻ - phố VIP - Kinh doanh đỉnh - 2 mặt thoáng - vỉa hè rộng - nhà mới.+ Diện tích: 50m².+ Nhà 5 tầng.+ Mặt tiền: 4m.+ Giá: 13.5 tỷ.+ Vị trí: Nhà nằm gần Mặt phố Đỗ Quang, Nguyễn Thị Định và Trần Duy Hưng, 2 con phố hot của Cầu Giấy, kinh doanh tấp nập, đa ngành nghề. Ô tô đỗ ngày đêm.+ Thiết kế:- Tầng 1: Làm văn phòng, cầu thang bộ ở giữa.- Tầng 2,3: Mỗi tầng 2 phòng, Wc chung.- Tầng 4: 2 phòng ngủ khép kín.- Tầng 5: Sân phơi, phòng thờ,+ Sổ đỏ vuông vắn, giao dịch ngay.+ Liên hệ xem nhà: 0915 551 ***Thùy chuyên mặt phố - kinh doanh).            ",50 m²,13.5 tỷ,,5 phòng,5 phòng,,Xác định mua khung cột bê tông,01/12/2022,08/12/2022,Tin thường,35935882,batdongsan_com_vn_35935882,,4 m,5 tầng,
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam']","
- Nhà đẹp Lĩnh Nam - Hoàng Mai, gần trường học, gần chợ, thoáng trước sau.- Sổ đỏ 52m² * 3 tầng - Mt 5m.- Giá 3.65 tỷ (có thương lượng).- Vị trí đẹp, cách ô tô vài bước chân, giao thông thuận tiện, tiện ích xung quanh đầy đủ.- Ba gác vào tận cửa, trước và sau nhà đều rất thoáng sáng.- Thiết kế:+ Tầng 1: Phòng Khách, Gara xe máy, Bếp và WC.+ Tầng 2,3: phòng ngủ (tổng 3 ngủ) + wc.+ Tầng 3: Thêm 1 phòng thờ + 1 Sân phơi.- Sổ đỏ chính chủ - vuông đét.- LH em Tú Hoàng Mai: 0983 956 ***Zalo, Viber) để được tư vấn và xem nhà.            ",52 m²,3.65 tỷ,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,06/12/2022,13/12/2022,Tin thường,36040509,batdongsan_com_vn_36040509,,5 m,3 tầng,3 m
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Đỗ Quang', 'Ngõ 55']","
Giá rơi tự do, chủ nhà cần bán nhanh nhà phân lô ngõ 55 Đỗ Quang - Trung Hòa Cầu Giấy.+ Diện tích: 55m².+ Nhà 6 tầng.+ Giá: 13.8 tỷ.Phân lô - kinh doanh - ô tô tránh - ở sướng - gần nhiều văn phòng - trường học - chủ thiện chí bán nhanh.+ Vị trí: Khu phân lô VIP phố Đỗ Quang, đường ô tô tránh có vỉa hè; hàng xóm toàn bán giá triệu đô nhà mình cần nhanh nên giá bất chấp khu vực khách xem kết có thể mua đầu tư ngay.+ Nhà 1 mặt đường nhựa ô tô tránh có vỉa hè 1 mặt đường phần lô ô tô tránh.+ Cơ hội mua gom 2 nhà hàng xóm tổng diện tích 3 căn 153m², mặt tiền 11m, 2 mặt thoáng, phù hợp tòa nhà văn phòng.+ Nhà trước chủ cho thuê 30 triệu /tháng, nay cần bán nên dừng hợp đồng thuê.+ Thiết kế cầu thang cuối thông sàn.+ Có thể thiết kế thang máy trong ô thoáng cầu thang.+ Sổ đỏ vuông đét, chủ mong bán từng ngày.+ Liên hệ xem nhà và được kết nối chính chủ: 0915 551 ***E Thùy chuyên nhà phố - kinh doanh).            ",55 m²,13.8 tỷ,,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,06/12/2022,13/12/2022,Tin thường,36040626,batdongsan_com_vn_36040626,,4 m,6 tầng,
