address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Mặt tiền,Đường vào
"['Hà Nội', 'Chương Mỹ', 'Xã Phụng Châu', 'Đường Quốc lộ 6']","
* Vị trí:Cách bến xe Yên Nghĩa 3Km.Cách cầu Mai Lĩnh của Phường Biên Giang - Hà Đông 1km.Cạnh ngay đại học Thể dục Thể Thao.Nhà xây 3 tầng có 3 ngủ và 2wc.Diện tích đất 30m².* Hoàn thiện nội thất đẹp như hình, chỉ mang đồ về ở.* Nội thất:Cầu thang gỗ Lim.Cửa thông phòng gỗ. Tủ bếp hiện đại.Cửa nhôm chất lượng, cửa chính gỗ Lim cực sang trọng.Thiết bị vệ sinh cao cấp, trần thạch cao sáng đẹp.Sơn cao cấp. Bồn nước Sơn Hà. Máy bơm nước tiện lợi.Dây điện Trần Phú, ống nhựa Tiền Phong bền bỉ chất lượng.Đá ốp cầu thang hoa cương tự nhiên.* Sổ đỏ đầy đủ, pháp lý minh bạch rõ ràng.Hỗ trợ ngân hàng tối đa 70% giá trị cho khách có nhu cầu vay vốn. Chỉ cần có từ 400 - 500 triệu có thể mua được nhà.- Ms. Trang chính chủ tên sổ đỏ.- Ngân hàng hỗ trợ cho vay 60 - 70%.            ",30 m²,1.39 tỷ,Tây - Nam,3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,29/11/2022,27/02/2023,Tin thường,34800538,batdongsan_com_vn_34800538,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Phạm Hùng', 'Dự án Nam Trung Yên']","
Bán căn hộ B3 Nam Trung Yên, 89m² 2 ngủ giá: 2.65 tỷ.Gia đình cần bán căn hộ chung cư B3 Nam Trung Yên tầng thấp.DT thông thủy: 88.4m² căn góc 3 thoáng, thiết kế 2 ngủ, 1 vệ sinh nguyên bản có thể sửa thành 2 ngủ 2 vệ sinh.Kh dân cư dân trí cao gần nhiều trường mầm non, mẫu giáo nhà trẻ, trường cấp 1,2.Tầng 1 để xe bảo vệ 24/24 an ninh tốt thuận tiện đi lại siêu thị gần nhà.Phù hợp đầu tư hoặc mua sửa ở ổn định lâu dài.Giá bán: 2.65 tỷ.LH: A Tuấn. 0941 018 *** ",89 m²,2.65 tỷ,,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,29/11/2022,06/12/2022,Tin thường,35985144,batdongsan_com_vn_35985144,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Imperia Sky Garden']","
Chủ nhà cần tiền bán gấp CH 3PN, DT 88m², Full đồ nội thất cơ bản, sổ đỏ cầm tay, tầng trung view đẹp.Giá: 4,7 tỷ.Lh & zalo: 0969 399 ***Hỗ trợ xem nhà 24/7.            ",88 m²,4.7 tỷ,Tây - Bắc,,3 phòng,2 phòng,Có sổ đỏ,Full nọi thất,29/11/2022,06/12/2022,Tin thường,35984947,batdongsan_com_vn_35984947,Đông - Nam,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Quốc lộ 32', 'Dự án Hinode Royal Park']","
Chính chủ bán căn nhà liền kề trục đường chính rộng 17m. Hiện tại đã cất nóc. Dự kiến bàn giao nhà vào quý 1/2023.- Khách hàng đóng tiền theo tiến độ xây dựng.- Diện tích: 95m², mặt tiền 5m.- Nhà xây thô và hoàn thiện mặt ngoài.- Hợp đồng mua bán chính chủ.Giá thiện chí nhất dự án.LH: 0963 865 *** ",95 m²,7 tỷ,,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35778017,batdongsan_com_vn_35778017,,5 m,17 m
"['Hà Nội', 'Cầu Giấy', 'Dự án Chung cư 60 Hoàng Quốc Việt']","
Bán nhanh căn hộ 3 phòng ngủ tại chung cư 60 Hoàng Quốc Việt, Cầu Giấy, HN.+ Thiết kế: 3 phòng ngủ + 2WC + 2 ban công, diện tích: 117m² thông thủy.+ Tầng đẹp, view đẹp, thoáng mát, ở luôn. Giá bán: 5, x tỷ.Sổ đỏ lâu dài cất két. Nhà full nội thất đẹp.Mọi người quan tâm vui lòng liên hệ.Liên hệ xem nhà 0946 366 *** em Trung.Để được đến xem trực tiếp ạ.            ",117 m²,Thỏa thuận,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,28/11/2022,05/12/2022,Tin thường,35969454,batdongsan_com_vn_35969454,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', 'Dự án Eco Lake View']","
Chủ nhà cần tiền bán gấp CH 2PN, DT 76 m², Full đồ nội thất, sổ đỏ cầm tay, tầng trung view đẹp.Giá: 2tỷ950.Lh & zalo: 0969 399 ***Hỗ trợ xem nhà 24/7.            ",76 m²,2.95 tỷ,Tây - Bắc,,2 phòng,2 phòng,Đã có sổ đỏ,Full đồ,29/11/2022,06/12/2022,Tin thường,35984886,batdongsan_com_vn_35984886,Đông - Nam,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Vũ Trọng Phụng', '69', 'Rivera Park Hà Nội']","
Sắp tới gia đình tôi chuyển vào Nam sinh sống nên hiện tại gia đình tôi muốn bán nhanh căn hộ tại dự án Rivera Park 69 Vũ Trọng Phụng trong tháng này.- Thiết kế: 3PN + 2WC.- Nhà tầng trung, view thoáng đẹp.- Nội thất: Full đồ.- Có slot ô tô.- Pháp lý: Sổ đỏ.- Dự án imperia garden nằm tại vị trí trung tâm quận Thanh Xuân nên cực kỳ thuận lợi cho việc di chuyển tới các khu vực xung quanh.- Dự án có quần thể tiện ích đầy đủ như: Bể bơi, phòng gym, siêu thị,- Giá: 5,4 tỷ (Có thương lương).- Liên hệ xem nhà: O962353316 (MTG).            ",105 m²,5.4 tỷ,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full,29/11/2022,06/12/2022,Tin thường,35913197,batdongsan_com_vn_35913197,Đông - Nam,,
"['Hà Nội', 'Thanh Trì', 'Xã Thanh Liệt', 'Đường Kim Giang']","
* Nhà ngay đầu ngõ cách MP kim Giang vài bước chân, ô tô đỗ cửa, có thể kinh doanh online, văn phòng, tạp hoá, hiệu thuốc...* Nhà thuộc quận Thanh Trì tiếp giáp quận Hoàng Mai, giao thông thuận tiện ra Ngã Tư Sở, khu đô thị Đại Kim, đường vành đai,...* Nhà xây khung CBT chắc chắn 5 tầng với 3 phòng ngủ rộng rãi, khách, bếp, phòng thờ, sân phơi.* DT 32m², 5 tầng, giá 3.2 tỷ (có thương lượng).* Sổ đỏ chính chủ, sẵn sàng giao dịch.+ LH: Em Nhung 0973 833 *** chuyên nhà thổ cư.            ",32 m²,3.2 tỷ,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,34809258,batdongsan_com_vn_34809258,,,4 m
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Vũ Trọng Phụng', '69', 'Rivera Park Hà Nội']","
Do gia đình tôi không có nhu cầu sử dụng đến nên hiện tại tôi muốn bán nhanh 1 trong 2 căn hộ tại dự án Rivera Park - 69 Vũ Trọng Phụng.- Cả 2 căn hộ đều tầng trung, view thoáng đẹp.- Hướng nhà mát mẻ.- Nội thất: Full đồ.- Giá căn hộ 2PN: 3,650 tỷ.- Giá căn hộ 3PN: 5,3 tỷ.- Gia đình tôi cần bán nhanh trong tháng này nên giá cả có thể thương lượng cho khách thiện chí mua thực sự.- Liên hệ chính chủ tôi qua SĐT: 0962 353 ***MTG).            ",71 m²,3.65 tỷ,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35913166,batdongsan_com_vn_35913166,Đông - Nam,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', '203', 'Imperia Garden']","
Gia đình tôi cần bán nhanh căn hộ tại dự án Imperia Garden - 203 Nguyễn Huy Tưởng.- Thiết kế: 3PN + 2WC.- Nhà tầng trung, view thoáng đẹp.- Nội thất: Full đồ.- Giá: 5,750 tỷ (Có thương lượng).- Dự án Imperia Garden là dự án cao cấp bậc nhất khu vực Thanh Xuân. Dự án nằm tại vị trí đắc địa ngay ngã tư Nguyễn Tuân giao Nguyễn Huy Tưởng nên giao thông cực kỳ thuận tiện.- Liên hệ trực tiếp tôi: O962353316 để xem nhà.            ",118 m²,5.75 tỷ,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full.,29/11/2022,06/12/2022,Tin thường,35913232,batdongsan_com_vn_35913232,Đông - Nam,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh', 'Dự án Khu Ngoại Giao Đoàn']","
Tư vấn chuyên sâu mua bán chung cư ngoại giao đoàn.Các tòa N01, N02, N03 và N04 (2PN diện tích 85m², 3PN trên 100m²).N01 - T1 tầng thấp, DT 132m².N01 - T2 tầng trung và cao, diện tích: 110 - 128 - 141m², full nội thất, giá.N01 - T3, tầng 16 view Starlake hướng nam; view hồ điều hòa.N01 - T4, diện tích 87m², tầng cao, 2PN, 3PN nội thất đầy đủ, hiện đại.N01 - T5, diện tích 122m².N02 - T1, diện tích 105m².N02 - T2, diện tích 113,8m².N03 diện tích T1, T2, T3, T4, T5 có căn 2PN, diện tích 87m² và 3Pn.N04 view hồ Tây diện tích 129m².Tiện ích: An ninh tốt bảo vệ 24/24, sân tập golf, ngân hàng, siêu thị, nhà hàng, dân trí cao, môi trường sống lý tưởng, siêu thị, sân thể thao, bể bơi, gần trường quốc tế Dewey, các trường mầm non tư thục.Tình trạng pháp lý: HĐMB/SĐCC.Liên hệ 0943 802 ***BĐS Mây Home - Tầng 2 tòa 903 khu đô thị Tây Hồ Tây - Starlake.            ",132 m²,Thỏa thuận,,,,,,,29/11/2022,06/12/2022,Tin thường,35230134,batdongsan_com_vn_35230134,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Nguyễn Hy Quang']","
- Nhà nằm ở vị trí rất đẹp, di chuyển ra Nguyễn Lương Bằng, Ô Chợ Dừa chỉ vài bước chân. Ngõ to ô tô dừng tránh thoải mái, tiện ích đầy đủ, kinh doanh thì hết ý. Chủ hiện tại đang cho thuê doanh thu nhẹ nhàng 35 tr/tháng.- Thiết kế bao gồm 2 khối nhà 3 tầng, chủ mới có thể tận dụng thiết kế làm cafe, kinh doanh quần áo đều ổn.- Giá thương lượng, sổ chính chủ sẵn sàng giao dịch.Liên hệ: 0968 800 *** để kết nối trực tiếp với chủ nhà.            ",50 m²,18.5 tỷ,Đông,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,32049523,batdongsan_com_vn_32049523,,7.5 m,6 m
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', '203', 'Imperia Garden']","
Chính chủ gia đình tôi cần bán nhanh căn hộ tại dự án Imperia Garden - 203 Nguyễn Huy Tưởng.- Thiết kế: 2PN + 2WC.- Nhà tầng trung, view thoáng mát.- Nội thất: Full đồ.- Giá: 3,450 tỷ.- Liên hệ xem nhà: O962353316 (MTG).            ",71 m²,3.45 tỷ,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full,29/11/2022,06/12/2022,Tin thường,35913278,batdongsan_com_vn_35913278,Đông - Nam,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', '203', 'Imperia Garden']","
Do gia đình tôi không có nhu cầu sử dụng đến nên hiện tại tôi muốn bán nhanh 1 trong 2 căn hộ tại dự án Imperia Garden - 203 Nguyễn Huy Tưởng.- Cả 2 căn hộ đều tầng trung, view thoáng đẹp.- Hướng nhà mát mẻ.- Nội thất: Full đồ.- Giá căn hộ 2PN: 3,450 tỷ.- Giá căn hộ 3PN: 4,350 tỷ.- Gia đình tôi cần bán nhanh trong tháng này nên giá cả có thể thương lượng cho khách thiện chí mua thực sự.- Liên hệ chính chủ tôi qua SĐT: 0962 353 ***MTG).            ",71 m²,3.45 tỷ,Đông - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35913343,batdongsan_com_vn_35913343,Đông - Nam,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', '203', 'Imperia Garden']","
Sắp tới gia đình tôi chuyển vào Nam sinh sống nên hiện tại gia đình tôi muốn bán nhanh căn hộ tại dự án Imperia Garden - 203 Nguyễn Huy Tưởng trong tháng này.- Thiết kế: 3PN + 2WC.- Nhà tầng trung, view thoáng đẹp.- Nội thất: Full đồ.- Có slot ô tô.- Pháp lý: Sổ đỏ.- Dự án Imperia Garden nằm tại vị trí trung tâm quận Thanh Xuân nên cực kỳ thuận lợi cho việc di chuyển tới các khu vực xung quanh.- Dự án có quần thể tiện ích đầy đủ như: Bể bơi, phòng gym, siêu thị.- Giá: 4,350 tỷ (có thương lương).- Liên hệ xem nhà: 0962 353 ***MTG).            ",83 m²,4.35 tỷ,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35913389,batdongsan_com_vn_35913389,Đông - Nam,,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'Đường Vũ Lăng', 'Dự án Chung cư IEC Tứ Hiệp']","
Bán nhà liền kề IEC, Tứ Hiệp, Thanh Trì cách Bệnh viện Nội tiết TW 2km; kết nối trung tâm Hoàn Kiếm 15p lái xe.- Thiết kế: Nhà hoàn thiện mặt ngoài, để thô bên trong. Xây 4 tầng + 1 tum- Diện tích 57,5m², mặt tiền 5m, sâu 11,5m.- Vỉa hè rộng rãi, ô tô đỗ cửa, bảo vệ 24/24.- Vị trí nằm trên quy hoạch tuyến đường lớn: Đường 27m nối Ngọc Hồi  Khu TĐC X4  Khu đầu giá Tứ Hiệp; Đường Trần Thủ Độ kéo dài; Quốc lộ 1Adễ dàng di chuyển đến các tỉnh lân cận: Hưng Yên, Nam Định, Ninh Bình.tiện kinh doanh. Không gian thoáng mát, yên tĩnh, sạch đẹp.- Hướng Đông.- Liên hệ trực tiếp: 0963 392 *** ",57.5 m²,Thỏa thuận,Đông,4 tầng,4 phòng,4 phòng,Đã có sổ đỏ.,,29/11/2022,06/12/2022,Tin thường,30476161,batdongsan_com_vn_30476161,Đông,5 m,30 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai', 'Dự án Hinode City']","
Chủ nhà cần tiền bán gấp CH 2PN 77m², full đồ, tầng trung view đẹp, sổ đỏ cầm tay, dịch vụ tiện ích đa dạng.Giá: 4tỷ7.LH & zalo: 0969 399 ***Hỗ trợ xem nhà 24/7.            ",77 m²,4.7 tỷ,Tây - Bắc,,2 phòng,2 phòng,Đã có sổ đỏ,Full nội thất,29/11/2022,06/12/2022,Tin thường,35985011,batdongsan_com_vn_35985011,Đông - Nam,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Hữu Hưng']","
+ Vị trí nhà ở khu vực thoáng mát, gần Vườn Nhật và Vinhome Tây Mỗ, chỉ 5p lái xe ra Đại Lộ Thăng Long đến Mỹ Đình - Trung tâm thành phố...+ Căn nhà DT 36m² xây 5 tầng chắc chắn, thiết kế hài hòa, tận dụng không gian, ánh sáng tự nhiên, phù hợp cho hộ gia đình về ở thoải mái...+ Hướng nhà: Bắc.- Tầng 1: Phòng khách + bếp + WC.- Tầng 2 + 3 + 4: Mỗi tầng 1 phòng ngủ + WC.- Tầng 5: Phòng thờ + sân phơi..+ Giá bán: 3.15 tỷ - Có thương lượng.+ Sổ đỏ chính chủ - Hỗ trợ vay vốn ngân hàng lãi suất thấp.- Liên hệ ngay: Em Thư 0979 000 *** để được tư vấn và xem nhà miễn phí 24/7 ạ.Xin cảm ơn!            ",36 m²,3.15 tỷ,Bắc,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,29/11/2022,06/12/2022,Tin thường,35747868,batdongsan_com_vn_35747868,,4 m,3.5 m
