address,gen_descrip,Diện tích,Mức giá,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Nội thất,Mặt tiền,Số tầng,Hướng nhà,Hướng ban công
"['Hà Nội', 'Gia Lâm', 'Xã Yên Thường', 'Thôn Lại Hoàng']","
Đón sóng Lớn khi Gia Lâm lên Quận vào năm 2023 - Đất đấu giá Thôn Lại Hoàng, Yên Thường, Gia Lâm 80m² đất đấu giá phân lô đường 10m , giá bán thỏa thuận theo thị trườngCần tiền trả nợ bán gấp 80m² đất view hồ điều hòa Lại Hoàng, Yên Thường, Gia Lâm. Mặt trục đường đẹp nhất khu, sát lô góc, ngày đầu đường.Rộng 5m dài 16m đường rộng 9m.Lô đất có vị trí rất đẹp. View hồ điều hòa, cách 30m là ra trục đường liên thôn xã.250m ra đường rộng 40m kéo dài.Xung quanh lô đất có rất nhiều dự án như trường mầm non, tổ hợp y tế huyện. Đất biệt thự Gia Lâm chuẩn bị lên quận lên tiềm năng tăng giá rất caoCam kết giá rẻ nhất !            ",80 m²,Thỏa thuận,10 m,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35841399,batdongsan_com_vn_35841399,,,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'đường Tứ Hiệp', 'Dự án Tecco Garden']","
Tên dự án: Chung cư Tecco Garden.Vị trí dự án: Khu đô thị Tứ Hiệp, xã Ngũ Hiệp, Thanh Trì, Hà Nội.Chủ đầu tư: Tecco Hà Nội Chi nhánh của Tổng công ty Tecco tại Hà Nội.Mật độ căn hộ: 184 căn/tòa.Số thang máy: 04 thang.Mật độ căn/thang máy: 46 căn/thang.Căn 2 phòng ngủ: 82m²; 88m², 89,4m²; 2 ban công; 2 WC.Căn 3 phòng ngủ: 109,5m² 127,6m²; 2 ban công; 2 WC.Căn 4 phòng ngủ: 135m². 141m²; 2 ban công; 3 WC.Tất cả các căn hộ tại Tecco Garden Thanh Trì được sử dụng công nghệ xây đựng mới nhất, hiện đại nhất, chính vì vậy trong căn hộ sẽ không có cột, kèo làm ảnh hưởng tới thẩm mỹ và phong thủy.Tại tầng 1 và tầng 2 của tòa nhà, được Chủ đầu tư bố trí làm trung tâm thương mại & dịch vụ, cung cấp cho cư dân những sản phẩm tiêu dùng đa dạng, các thương hiệu thời trang, ẩm thực, giải trí nổi tiếng.Nhà hàng, Cafe.Phòng Gym Yoga Spa.Phòng khám, hiệu thuốc.Trường mầm non.Siêu thị mua sắm, dịch vụ thương mại.Phòng sinh hoạt cộng đồng.An ninh camera giám sát 24/7.Đường dạo bộ, khu dừng nghỉ.Khu vui chơi trẻ em.            ",127 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35678854,batdongsan_com_vn_35678854,4 phòng,3 phòng,Cơ bản.,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình']","
Bán nhà Khương Đình, Thanh Xuân. Diện tích 125m², 4 tầng, MT 6,6m, giá 6,4 tỷ. Nhà nằm tại vị trí trung tâm quận Thanh Xuân, 2 thoáng, nhiều tiện ích. Tương lai mặt đường 25m.Mô tả:+ Cách 50m ra hồ Hạ Đình, 5m ra ô tô tránh, gần trường học các cấp, tiện ích xung quanh ngập tràn.+ Thông sang Nguyễn Xiển, Hạ Đình, giao thông vô cùng thuận tiện.+ Nhà xây 4 tầng vô cùng chắc chắn, chủ mới về làm thùng sơn lại đẹp long lanh, nhà thoáng trước sau phòng nào cũng tràn ngập ánh sáng.Thiết kế.+ Tầng 1: Sân rộng, phòng khách, bếp ăn.+ Tầng 2,3: mỗi tầng 2 phòng.+ Tầng 4: Phòng thờ sân phơi.+ Pháp lý: Nhà chưa sổ.Vui lòng liên hệ trực tiếp: Ms Giang 0902 219 *** ",125 m²,6.4 tỷ,,,30/11/2022,10/12/2022,Tin thường,35987189,batdongsan_com_vn_35987189,4 phòng,4 phòng,,6.6 m,4 tầng,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng Liệt', 'Dự án Hà Nội Melody Residences']","
Mở bán quỹ độc quyền 60 căn toà NO3 - Hà Nội Melody Residences.Được ưu tiên chọn quỹ căn giới hạn 2PN, 3PN view sông, view hồ Linh Đàm.Được ưu tiên chọn căn góc, hướng Đông Nam, hướng phong thuỷ gia chủ.Cam kết giá bán tốt nhất thị trường.Chi tiết căn hộ Melody Residences:Phát triển dự án và phân phối: Hưng Thịnh Land.Vị trí: KĐT Tây Nam Linh Đàm.Căn hộ sổ hồng lâu dài Tiện ích đỉnh cao Vị trí độc tôn Trung tâm tiện ích vui chơi mua sắm Giá siêu hấp dẫn chỉ từ 2.3 tỷ.Quy mô: 3 tòa căn hộ 29 tầng gồm 1863 căn hộ.Loại hình căn 2PN: 67m² - 74m² - 82m² - 89m².Loại hình căn 3PN: 95m² - 120m² - 128m² - 145m².Mỗi sàn 9 căn - 6 thang máy.Chính sách ưu đãi vô cực duy nhất tháng 11/2022.Chiết khấu lên tới 33%, tiết kiệm tới 1,2 tỷ/căn.Hỗ trợ lãi suất 0%/24 tháng cho khoản vay tới 70% GTCH.Hỗ trợ 50% phí quản lý 2 năm.Tiến độ cực giãn, chia 21 lần, mỗi lần vào 100 triệu VND dễ xoay vốn.Dự án quản lý & vận hành bởi CBRE uy tín hàng đầu Việt Nam.Hà Nội Melody Residences - Chung cư có vị trí & giá bán tốt nhất Hà Nội hiện nay!LH zalo: 0986 330 *** ",80 m²,Thỏa thuận,,,29/11/2022,09/12/2022,Tin thường,35687064,batdongsan_com_vn_35687064,2 phòng,2 phòng,Cao cấp.,,,Đông - Nam,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Văn Khê']","
Bán biệt thự khu đô thị Văn Khê, Hà Đông. Dt 230m², 3 tầng, mt 14m, giá đẹp 35,9 tỷ view hồ, kinh doanh đỉnh, 6 làn đường, ô tô dừng đỗ ngày đêm.- Nhà nằm ở vị trí trung tâm của khu đô thị mới Văn Khê, cách Nguyễn Thanh Bình (Tố Hữu kéo dài) khoảng 200m.+ Phù hợp làm văn phòng, kinh doanh hàng ăn, quán café, trường học hoặc để ở cực sướng.+ Tiện ích, cơ sở hạ tầng đồng bộ, xung quanh tiện ích ngập tràn không thiếu thứ gì như công viên, hồ điều hòa, trường liên cấp quốc tế, siêu thị, chợ.- Thiết kế: Hiện đang làm VP công ty.+ Tầng 1: Lễ tân, phòng khách, 01 phòng làm việc.+ Tầng 2: Phòng Giám đốc, phòng làm việc lớn.+ Tầng 3: Phòng họp, 02 phòng làm việc.- Sổ đỏ chính chủ. Giao dịch nhanh chóng.Vui lòng liên hệ: Ms Giang 0902 219 *** ",230 m²,35.9 tỷ,,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35987184,batdongsan_com_vn_35987184,,,Đầy đủ,14 m,3 tầng,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Xiển', 'Dự án Athena Fulland']","
Bán căn liền kề ngay tại dự án Tây Nam Kim Giang, cách đường Nguyễn Xiển chỉ 100m.Mô tả vị trí:+ Cách 150m ngã tư giao lộ giữa đại lộ Chu Văn An và Vành đai 3.+ Nằm trong KĐT Đại Kim Hoàng Mai.Thông số:+ Diện tích: 141.3m².+ Xây dựng: 81.6m² bao gồm: 4 tầng, 1 tum, có ô chờ thang máy.+ Hè rộng 30m với 1 ô thiết kế làm vườn hoa, đường bên cạnh rộng 6m làm chỗ để xe thoải mái.+ Đường rộng: 15m.+ Hướng: Đông Bắc và Tây Bắc.Gía: 25 tỷ TL nhanh.Liên hệ: Ms Phạm Thu 0961 485 *** xem nhà trực tiếp.            ",81.6 m²,25 tỷ,20 m,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35355544,batdongsan_com_vn_35355544,5 phòng,5 phòng,,5 m,5 tầng,,
"['Hà Nội', 'Đan Phượng', 'Xã Tân Lập', 'Đường Quốc lộ 32', 'Dự án Tân Tây Đô']","
CC xoay vốn kinh doanh, cần bán biệt thự Tân Tây Đô hướng Đông Nam.- Dãy BT4.- Diện tích 204m², mặt tiền 12m.- Đường trước mặt 15m, 2 bên có vỉa hè.- Hướng Đông Nam mát mẻ.- Xung quanh có siêu thị, bệnh viện, trường học, chợ, phòng gym, sân chơi.. v.v. Đầy đủ.- Gần các trục đường giao thông lớn nên di chuyển thuận lợi.- Liên hệ: 0915 458 *** E Tú.            ",204 m²,Thỏa thuận,15 m,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35570029,batdongsan_com_vn_35570029,4 phòng,4 phòng,,12 m,3 tầng,Đông - Nam,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình']","
Bán nhà Khương Đình, Thanh Xuân. Siêu phẩm đẹp long lanh 45m 4 tầng MT 4m giá 6,8 tỷ - thông số đẹp hoàn hảo - nội thất cực xịn tặng hết khách mua. Gần mặt phố, ba gác tránh.Mô tả:+ Nhà rất gần mặt phố, trước nhà ba gác tránh xe máy thoải mái.+ Nhà thuê thiết kế, sửa cực tâm huyết, cầu thang, cửa... Gỗ Lim, nội thất, thiết bị đầu tư toàn hàng xịn xò.+ Đầy đủ nội thất không thiếu thứ gì, khách về ở luôn.+ Thiết kế.Tầng 1: Sân để xe, Phòng khách, bếp, vệ sinh.Tầng 2,3: 2 ngủ, vệ sinh.Tầng 4: 1 ngủ, vệ sinh, sân phơi.+ Sổ đỏ phân lô sẵn sàng giao dịch.Vui lòng liên hệ trực tiếp: Ms Giang 0902 219 *** ",45 m²,6.8 tỷ,,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35987162,batdongsan_com_vn_35987162,3 phòng,4 phòng,Đầy đủ,4 m,4 tầng,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án KĐTM Dương Nội']","
E bán nhanh căn hộ 07 CT7 chung cư Dương Nội, Hà Đông.DT 56,5m² view sân khuôn viên cửa Tây Bắc, ban công Đông Nam.Đã có nội thất như sàn gỗ, tủ bếp, bếp, hút mùi, 3 điều hoà, kệ ốp trang trí, kệ ti vi, giuong, bàn ghế sô pha, hệ thống đèn trần trang trí, rèm, ti vi, tủ lạnh, máy giặt giường đủ chỉ vào ở luôn.Ốp lát hết nhà vệ sinh mới tinh 100%.Sổ đỏ chính chủ.Giá gặp nhau bàn.Lh 0352 248 *** ",56.5 m²,Thỏa thuận,,Đã có sổ đỏ.,30/11/2022,07/12/2022,Tin thường,30303890,batdongsan_com_vn_30303890,2 phòng,1 phòng,Nội thất cơ bản.,,,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Lê Trọng Tấn']","
Bán nhà chung cư mini mặt ngõ Lê Trọng Tấn, diện tích 82m², 8 tầng, MT 4,7m, giá 16,4 tỷ. Nhà có thang máy, ngõ ô tô tránh, 50m ra mặt phố.- Nhà đẹp, thiết kế mới tinh đầy đủ nội thất hiện đại.+ Tầng 1: 1 phòng khép kín, để xe.+ Tầng 2 tầng 8: Mỗi tầng 2 căn hộ nhỏ khép kín!+ Tổng 15 phòng, cho thuê doanh thu 70tr/ tháng.- Vị trí mặt ngõ rộng ôtô tránh nhau thoải mái, đẹp và rộng nhất cách mặt phố Lê Trọng Tấn.- Khu vực phân lô cán bộ cấp cao quân đội an ninh dân trí cực đảm bảo, Hàng xóm thân thiện hoà đồng!- Khu vip Thanh Xuân đối Diện Phòng Không Không Quân.- Mặt ngõ ô tô tránh.Vui lòng liên hệ trực tiếp: Ms Giang 0902 219 *** ",82 m²,16.4 tỷ,,,30/11/2022,10/12/2022,Tin thường,35987143,batdongsan_com_vn_35987143,16 phòng,16 phòng,,4.7 m,8 tầng,,
