address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Số toilet,Nội thất,Mặt tiền
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Tố Hữu', 'Dự án KĐT Trung Văn - Hancic']","
Mua đất tặng biệt thự 4 tầng 144m².- Vị trí trung tâm cách ngã tư Lê Văn Lương - Khuất Duy Tiến 1km.- Quần thể đầy đủ tiện ích trường quốc tế Olympia, công viên cây xanh, bể bơi 4 mùa, sân bóng, bệnh viện, trung tâm thương mại...- Pháp lí an toàn sổ đỏ cất két.- Đường trước mặt 13m ô tô tránh nhau thoải mái.- Tiềm năng tăng giá cao đường 30m thông thẳng ra Tố Hữu.Liên hệ xem nhà 24/7: 0373 974 *** ",144 m²,Thỏa thuận,30 m,Bắc,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,24/11/2022,04/12/2022,Tin Vip 1,35943747,batdongsan_com_vn_35943747,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', '216', 'Summit Building']","
Căn hộ 3PN, tầng đẹp, giá tốt nhất tại vị trí kim cương của dự án The Summit Building 216 Trần Duy Hưng chiết khấu lên đến 5% và nhanh tay sở hữu quà tặng lên đến 300 triệu đồng.Diện tích: 101m².Hướng cửa: Tây Nam, ban công: Đông Bắc.Giá bán: 5.950 tỷ.Sở hữu viên kim cương cuối cùng còn xót lại - vip nhất nội thành hà nội.Giá từ # 5Xtr/m².Summit Building tọa lạc ngay nút giao Khuất Duy Tiến - Phạm Hùng - Trần Duy Hưng, kết nối nhanh chóng với các quận trung tâm!Vô vàn tiện ích Nội khu:- Bể bơi bốn mùa chuẩn Olympic, sân goft 3D, Phòng tập Gym, Yoga, Spa chăm sóc sắc đẹp, Quán Piza nổi tiếng 4'P, Khu vui chơi trẻ e, Vườn treo Sky Garden...Vô vàn tiện ích Ngoại khu như:- Đối diện Khách sạn 5 sao Green Plaza, Gần Vincom Center, Big - C Thăng Long, Bệnh viện Đa khoa Thu Cúc, 200m tới Công viên Thanh Xuân, Trường học Amt nổi tiếng... Cùng vô số các tiện ích xung quanh.Hình thức thanh toán và các chính sách chiết khấu cực kỳ hấp dẫn:+ TT 95%, được chiết khấu lên tới 5%.+ TT tiến độ, được chiết khấu 3%.+ TT vay: Đặc biệt được hỗ trợ Ân hạn nợ gốc lên tới 12 tháng (KH không cần trả lãi lẫn gốc trong vòng 12 tháng).------------------Liên hệ để xem căn hộ mẫu và nhận báo giá:Hotline: 0978 896 *** ",101 m²,5.95 tỷ,,Tây - Nam,,3 phòng,Hợp đồng mua bán,24/11/2022,04/12/2022,Tin Vip 1,35943666,batdongsan_com_vn_35943666,Đông - Bắc,2 phòng,Nội thất liền tường,
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Đức Giang', 'Dự án Bình Minh Garden']","
Chính chủ bán lại căn liền kề 2 mặt thoáng Bình Minh Garden.Diện tích 95m².Mặt tiền 5m.Xây thô 5 tầng hoàn thiện mặt ngoài.Hiện tại do công việc phải di chuyển đi nơi khác nên tôi có nhu cầu bán lại căn liền kề.Liên hệ chính chủ, không qua môi giới, có thương lượng với khách thiện chí.            ",95 m²,Thỏa thuận,,,5 tầng,,Sổ đỏ/ Sổ hồng.,24/11/2022,05/12/2022,Tin Vip 1,31969148,batdongsan_com_vn_31969148,,,,5 m
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam', 'Đường Nam Dư', 'ngõ 243']","
Chỉ 1,7 tỷ có nhà 20m² * 4 tầng, mặt tiền 4m, nội thất đầy đủ như: Tủ bếp, nóng lạnh và được thiết kế rất hiện đại. Hình ảnh thực tế 100%.Ngôi nhà nằm trong khu dân cư công chức, gần trường mầm non và tiểu học Lĩnh Nam. Hướng: Tây, ô tô đỗ cách nhà 10m. Có Sổ đỏ.Giá bán: 1,7 tỷ.Liên hệ:Chủ nhà: 0335 659 ***gọi điện trước khi đến 30 phút).Zalo: Không dùng, (gọi điện trước khi đến 30 phút).Đ/C: Số 59C ngõ 243 phố Nam Dư.(Để tránh làm phiền, vui lòng Miễn gọi điện mời đăng trang web và quảng cáo. Xin cảm ơn! ).            ",20 m²,1.7 tỷ,2 m,Tây,4 tầng,3 phòng,Sổ đỏ,24/11/2022,01/12/2022,Tin Vip 1,35662945,batdongsan_com_vn_35662945,,3 phòng,,4 m
"['Hà Nội', 'Long Biên', 'Phường Cự Khối', 'Đường Bát Khối', 'Số 18B ngõ 751']","
Bán nhà số 18B ngõ 751 Bát Khối, Tổ 05 Cự Khối, Long Biên, Hà Nội.- Diện tích: 30 m². Hướng Đông Nam.- Đường trước nhà 3 m, ô tô đỗ cửa cách 1 nhà.- Nhà xây thiết kế 4 tầng:- Tầng 1: Phòng khách + bếp + nhà vs nhỏ.- Tầng 2, 3: Phòng ngủ rộng + vệ sinh.- Tầng 4: Phòng ngủ + sân phơi.- Vị trí: Dân đông đúc - trung tâm đẹp nhất của phương - ngay cạnh chợ, trường học mầm non và tiểu học Cự Khối, giao thông thuận tiện đi các ngả.Giá bán: 2 tỷ850 tr (gọi điện trước khi đến 30 phút) vì mình không ở đấy.Liên hệ chủ nhà: 0966 509 *** / zalo: 0904 991 ***Đ/C: SN 18B ngõ 751 Bát Khối, Long Biên, TP Hà Nội.(Sale không gọi điện mời đăng trang web và quảng cáo).Xin cảm ơn!            ",30 m²,2.85 tỷ,3 m,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,24/11/2022,24/12/2022,Tin Vip 1,35663005,batdongsan_com_vn_35663005,,,,4 m
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ', 'Dự án Green Diamond 93 Láng Hạ']","
Căn hộ cao cấp Green Diamond 93 Láng Hạ. Căn hộ cao cấp bậc nhất Q. Đống Đa. Bàn giao nhà ngay. Bàn giao full nội thất cao cấp nhập khẩu. Sổ hồng trao tay. Quỹ 5 căn ngoại giao đẹp của dự án với những.* Chính sách bán hàng cực hấp dẫn như.- Thanh toán sớm 95% GTCH nhận nhà luôn: Chiết khấu 5%.- HT vay LS 0% trong vòng 12 tháng cho 65% GTCH.- Miễn phí 2 - 3 năm phí dịch vụ.- Quà tặng tân gia trị giá 145 triệu chỉ áp dụng cho 10 khách hàng sớm nhất.- Cam kết 1 xe ô tô và 2 xe máy cho mỗi căn hộ.Hotline 0969 698 **** Quỹ căn đẹp đợt cuối gồm:+ Căn 01. Tầng 18. 3 ngủ, 2 WC. Căn góc Đông Bắc.+ Căn 02. Tầng 15. 2 ngủ, 2 WC. Ban công hướng Đông.+ Căn 04. Tầng 16. 2 ngủ, 2 WC. Ban công hướng Đông.+ Căn 05. Tầng 20. 3 ngủ, 2 WC. Căn góc hướng Đông Nam.+ Căn 06. Tầng 20. S = 120m². 3 ngủ, 2 WC. Căn góc hướng Nam.+ Căn 09, 10. Tầng 19. 3 ngủ, 2 WC. Căn góc hoa hậu.Giá bán chiết khấu lên đến 500 triệu.Hỗ trợ thủ tục mua bán ký trực tiếp chủ đầu tư Vinaconex.Liên hệ xem căn hộ & giá bán - Mr. Thắng - 0973:881:567.            ",100 m²,70 triệu/m²,,Tây - Nam,,3 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35943404,batdongsan_com_vn_35943404,Đông - Nam,2 phòng,Đầy đủ,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án The Melody Ciputra']","
Căn biệt thự - đẹp nhất hiện tại - Khu đô thị Ciputra. 0966 919 ***Thông tin: Đã có sổ đỏ. Hoàn thiện bên ngoài và thô bên trong.Diện tích đất: 150m². Xây dựng 5 tầng và có hầm rộng hết đất.View công viên - phong thuỷ - thiên thời. Địa lợi - nhân hoà.Đường tiếp giáp: 11.5m.Giá thanh toán dự kiến (đã gồm VAT): 45,477 tỷ.Anh/chị quan tâm liên hệ: 0966 919 *** em Thanh Ciputra.            ",150 m²,45.477 tỷ,11.5 m,Nam,4 tầng,6 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin Vip 1,35943150,batdongsan_com_vn_35943150,Nam,5 phòng,KXĐ,6 m
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Trần Phú', 'Dự án Grand Sunlake']","
Chính thức mở bán tòa 45 tầng - Lake View thuộc dự án chung cư cao cấp Grand Sunlake Văn Quán - Hà Đông.Thiết kế căn hộ bao gồm:- Dual Key diện tích 72,6m² - 73,1m².- 1PN diện tích 65,5m².- 2PN diện tích 89,7m² - 99,6m².- 3PN diện tích 95,3m² - 101,6m².Pháp lí hoàn thiện đầy đủ.Chính sách bán hàng hấp dẫn:- Hỗ trợ vay tới 70% GTCH.- CĐT cam kết Thuê Lại căn hộ tổng giá trị lên đến 216tr/năm.- Tặng gói nội thất vip tổng giá trị lên đến 168tr.- Chiết khấu 5% GTCH.- Khách hàng thanh toán 95% GTCH sẽ được chiết khấu lên đến 20% GTCH (Áp dụng cho 5 KH đầu tiên).Ưu tiên KH có SHK Hà Đông được chiết khấu thêm 1% GTCH.----------------------------------------------Grand Sunlake Văn Quán - Hà Đông.Hotline/Zalo: 0702 421 *** (24/7).Email: hailhh@phutailand.vn.Địa chỉ: 135 Trần Phú, P. Văn Quán, Q. Hà Đông, Hà Nội.            ",70 m²,3.3 tỷ,,Tây - Nam,,2 phòng,Hợp đồng mua bán,24/11/2022,01/12/2022,Tin Vip 1,35943096,batdongsan_com_vn_35943096,Đông - Nam,2 phòng,Đầy đủ,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Phố Kim Mã']","
Gia đình tôi chuyển chỗ ở muốn bán gấp nhà 2 tầng phố Kim Mã - Giảng Võ - Ba Đình, căn 2 mặt thoáng cạnh trục đường to ngay khu vực trung tâm Kim Mã, ở luôn hoặc cho thuê kinh doanh, sổ đỏ chính chủ, giá tốt nhất thị trường, có gia lộc cho khách thiện chí mua. Liên hệ Mr. Phong: 0889 986 ***- Diện tích: 77m².- Mặt tiền: 5,2m.- Hướng: Bắc.- Giá: 10,5 tỷ.- Vị trí: Gần trung tâm thương mại Vincom, Lotte, đại sứ quán, trường tiểu học Kim Đồng, trường THPT Nguyễn Trãi, nhà hát kịch Việt nam, chợ, ngân hàng...Liên hệ xem Mr. Phong: 0889 986 ***có Zalo, Không có phí môi giới, trung gian).            ",77 m²,10.5 tỷ,25 m,Bắc,2 tầng,2 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,04/12/2022,Tin Vip 1,35943044,batdongsan_com_vn_35943044,Bắc,1 phòng,,5.2 m
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Hoàng Mai', 'Dự án Feliz Homes']","
Cập nhật quỹ căn ngoại giao toà Fantasy và Tropical dự án Feliz Homes Hoàng Mai.F06 diện tích 107m² giá 4.050 tỷ bao thuế phí sang tên.F14 diện tích 107m² giá 4tỷ2 bao thuế phí sang tên.F10 diện tích 77m² giá 2tỷ9 bao thuế phí sang tên.F01 diện tích 96,6m² giá 3tỷ9 bao thuế phí sang tên.F04 diện tích 77m² giá 3.150 bao thuế phí sang tên.F12A diện tích 77m² giá 3tỷ3 bao thuế phí sang tên.T10 diện tích 65m² giá bán 2.650 bao thuế phí sang tên.T10 diện tích 65m² giá 2.700 bao thuế phí sang tên.T10 diện tích 65m² giá 2tỷ700 bao thuế phí sang tên.T01 diện tích 117m² giá 4tỷ850 bao thuế phí sang tên.T12A diện tích 65m² giá 2tỷ6 bao thuế phí sang tên.T11 diện tích 75m² giá 3.450 bao thuế phí sang tên.T02 diện tích 107m² giá 4tỷ1 bao thuế phí sang tên.Bàn giao quý 1/2023 full nội thất của CĐT.Thủ tục nhanh gọn, chính xác.Ngoài ra em có quỹ căn tầng đẹp tòa Zen hỗ trợ lãi suất 0% đến khi nhận nhà. Anh/chị quan tâm liên hệ xem căn hộ mẫu Mr. Toản: 0969 301 ***sms, zalo).            ",76 m²,Thỏa thuận,,Tây - Bắc,,2 phòng,Sổ đỏ/ Sổ hồng.,24/11/2022,04/12/2022,Tin Vip 1,35942670,batdongsan_com_vn_35942670,Đông - Nam,2 phòng,Đầy đủ.,
