address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Ngõ 349']","
Gia đình có nhu cầu muốn chia tài sản cho 2 con nên cần Bán nhà trong ngõ 349 phố Minh Khai, phường Vĩnh Tuy, Hai Bà Trưng, TP Hà Nội, diện tích 36m² mặt tiền 3,4m nở hậu nhà xây khung bê tông 3 tầng + 1 Tum, sổ đỏ chính chủ, hướng Đông Bắc, ngõ 2 xe máy tránh nhau, từ nhà ra đến đường ô tô 20m, nhà đẹp chắc chắn, có 3 phòng ngủ, 1 phòng khách, 1 phòng bếp, 1 phòng thờ + sân phơi. Giá 3,6 tỷ. LH Bác Hiển 0913 037 ***miễn trung gian và quảng cáo làm phiền).            ",36 m²,3.6 tỷ,3.4 m,2 m,Đông - Bắc,Đông - Bắc,3 tầng,3 phòng,2 phòng,Nhà đẹp,05/12/2022,12/12/2022,Tin thường,32805964,batdongsan_com_vn_32805964,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', '47', 'GoldSeason']","
Cập nhật quỹ căn hộ tầng đẹp, giá cực tốt được chủ nhà gửi bán.Hotline: 0915 555 *** - 0387 80 7070.PKD xin gửi tới quý khách hàng cập nhật mới nhất quỹ căn hộ chuyển nhượng tháng 10 tại chung cư GoldSeason - 47 Nguyễn Tuân.Tòa Autumn:- Căn hộ 76,6m², 2 phòng ngủ 2 wc nội thất cơ bản, giá: 3,6 tỷ.- Căn hộ 102m², 3 phòng ngủ 2 wc full nội thất, giá: 5 tỷ.- Căn hộ 124m², 3 phòng ngủ 2 wc full nội thất, giá 5.6 tỷ.Tòa Summer 2:- Căn hộ 76m², 2 phòng ngủ 2 wc nội thất cơ bản, giá: 3,99 tỷ. (1 căn duy nhất).- Căn hộ 98m², 3 phòng ngủ 2 wc full nội thất, giá: 4,8 tỷ.- Căn hộ 110m², 3 phòng ngủ 2 wc full nội thất, giá: 5.2 tỷ. (1 căn duy nhất).Tòa Five Season:- Căn hộ 60m², 2 phòng ngủ 1 wc nội thất cơ bản, giá: 2.4 tỷ.- Căn hộ 90m², 3 phòng ngủ 2 wc nội thất cơ bản, giá: 3.450 tỷ.- Căn hộ 100m², 3 phòng ngủ 2 wc nội thất liền tường, giá: 3,8 tỷ.Tòa Spring:- Căn hộ 66m², 2 phòng ngủ 2 wc full nội thất, giá: 3,4 tỷ.- Căn 95m² 3 phòng ngủ, 2 vệ sinh full đồ giá 5 tỷ.Liên hệ: Hotline: 0915 555 *** - 0387 80 7070.            ",100 m²,3.8 tỷ,,,Đông,Đông - Nam,,3 phòng,2 phòng,,10/10/2022,08/01/2023,Tin thường,35428307,batdongsan_com_vn_35428307,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Khuất Duy Tiến']","
Mặt phố lớn đường 8 làn - hộ khẩu Trung Hòa Nhân Chính - giao thông thuận tiện đi các quận, huyện - kinh doanh vô đối - vỉa hè đá bóng.+ Mặt phố Khuất Duy Tiến, hộ khẩu phường VIP Nhân Chính, HOT nhất khu vực Thanh Xuân giáp Cầu Giấy.+ Kinh doanh vô địch: Auto, gara ô tô, nội thất, cafe, nhà hàng, văn phòng cty...+ Giao thương thuận tiện cực kỳ, từ Khuất Duy Tiến - Đường Vành đai 3 đi Thanh Xuân Nguyễn Trãi, Ngã Tư Sở, Hà Đông, đại lộ Thăng Long, Cầu Giấy...+ Sổ đỏ vuông vắn, chính chủ cất tủ.Liên hệ Mr. Hưng 0969 829 ***miễn trung gian - môi giới).            ",129 m²,36.5 tỷ,5 m,30 m,,,,,,Full,03/10/2022,01/01/2023,Tin thường,35350405,batdongsan_com_vn_35350405,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Dự án An Lạc Green Symphony']","
* Thông tin tòa Moonlight I trong KĐT An Lạc Green Symphony Hà Nội.- Vị trí: Mặt đại lộ Ánh Trăng 58m, KĐT Anlac Green Symphony, Vân Canh An Khánh, Hoài Đức, Hà Nội.- Chủ đầu tư: Công ty Cổ phần Tập đoàn Đầu tư An Lạc.- Đơn vị quản lý vận hành: CBRE.- Quy mô: 2 tòa căn hộ A, B cao 21 tầng nổi và 2 tầng hầm.- Cơ cấu: 494 căn hộ diện tích từ 66 - 95,19m² gồm loại căn 2PN, 2PN + 1, 3PN với 10 thang máy.- Phong cách thiết kế: Singapore.- Pháp lý: Sở hữu lâu dài.* Sắp ra mắt tòa căn hộ đầu tiên Moonlight I tại KĐT An Lạc Green Symphony.- Được định vị là tòa căn hộ cao cấp nhất, Moonlight I được ra mắt tại vị trí tâm điểm của KĐT An Lạc Green Symphony. Tòa căn hộ sở hữu những ưu điểm đắt giá:- Kết hợp giữa phong cách thiết kế Singapore hiện đại cùng lối kiến trúc tân cổ điển sang trọng.- Không gian sống sinh thái hiện hữu với mật độ cây xanh, mặt nước cao.- Cuộc sống riêng tư với giỏ hàng hữu hạn chỉ 494 căn, mật độ xây dựng 25,4%.- Hệ thống tiện ích đẳng cấp với 40 tiện ích của KĐT Anlac Green Symphony cùng 20 + tiện ích đặc quyền tích hợp trong tòa Moonlight I.- Căn hộ diện tích linh hoạt: 66m², 71m², 79m², 89m², 95m².* Chính sách bán hàng.- Chiết khấu 10% cho khách hàng thanh toán sớm.- Chiết khấu 6% cho khách hàng thanh toán thông thường (đóng 7 đợt).- Ngân hàng cho vay 65% hỗ trợ lãi suất 0% trong 18 tháng.- Chiết khấu 1% cho 60 khách hàng mua đầu tiên.Liên hệ: Vũ Duyên 0947 942 *** ",66 m²,50 triệu/m²,,,Tây,Đông - Nam,,2 phòng,2 phòng,Đầy đủ,05/12/2022,12/12/2022,Tin thường,35927607,batdongsan_com_vn_35927607,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Sóc Sơn', 'Xã Bắc Sơn', 'Đường 35']","
Nằm ở thế đất cao, hơi thoai thoải, đường ô tô phù hợp để đầu tư khu vui chơi trải nghiệm, khu du lịch sinh thái, viện dưỡng lão hay cả mở trường lái xe.Vị trí tại khu vực có nhiều hồ nhiều núi, giao thông thuận tiện, khí hậu trong lành mát mẻ quanh năm được đánh giá là Đà Lạt thứ 2 ngay trên đất Hà Nội.. Sẽ là địa điểm lý tưởng cho những chuyến dã ngoại cuối tuần tìm về với du lịch nghỉ dưỡng, văn hóa tâm linh cho những du khách HN muốn 1 địa điểm ngoại thành không quá gần và không quá xa và chỉ di chuyển trong thời gian 1h đồng hồ.Mảnh đất tại điểm nóng nghỉ dưỡng mới nổi Sóc Sơn lại giá thấp nhất HN phù hợp đầu tư thời điểm này vì gần các tỉnh phía bắc đang phát triển mạnh nhờ khu công nghiệp như bắc Ninh, Bắc Giang, Thái Nguyên, Vĩnh Phúc.. Gần các khu cảng hàng không, cảng biển nên ra hàng cũng rất dễ.. Chuẩn câu chơi chán bán vẫn lời khác hẳn với Hòa Bình chỉ phù hợp mua nghỉ dưỡng khi cần ra hàng rất khó.Sổ đỏ đẹp, 400m thổ cư còn lại là vườn liền kế sẵn sàng sang tên.Lợi thế sở hữu lâu dài.Diện tích: Gần 10.000 m².Giá: Hơn 2 triệu/m².Liên hệ: Em Hoài: 0989 247 ***/0901 952 ***Ngoài ra đến với em khi cần là bác có thể được thiết kế các nhà lắp ghép và cung cấp các loại cây sân vườn giá tại nhà vườn của em ngay gần đó luôn.Nhà đầu tư quan tâm có thể kết bạn zalo hoặc call để được trao đổi trực tiếp ạ.            ",10000 m²,Thỏa thuận,,,,,,,,,28/11/2022,26/02/2023,Tin thường,35648305,batdongsan_com_vn_35648305,Sổ đỏ/ Sổ hồng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mễ Trì', 'Dự án The Manor']","
Bán gấp căn tròn (loại đặc biệt) The Manor, ban công hướng mát view quảng trường cực đẹp.Đây thực sự là một tuyệt tác của căn hộ tại Hà Nội với trần cao 3.9m, phòng khách hình tròn cực lớn mái vòm tạo cảm giác như đang đứng dưới vòm trời rộng lớn.Diện tích 230m² với 3 phòng ngủ, 4 vệ sinh, phòng thờ, phòng kho.Đặc biệt là 2 gác xép rộng lớn (đề đồ, khu vui chơi trẻ nhỏ hoặc cho bác giúp việc ở.Liên hệ: 0962 967 ***The Manor là độc đáo là duy nhất từ thiết kế trong căn hộ tới kiến trúc cảnh quan.Mật độ cư dân cực thấp: 4 căn/1 tầng tháp, khu 10 tầng chỉ 2 nhà một thang máy, còn lại 2 khu Blog chỉ có 6 tầng.Hầm xe quá rộng giá lại thấp (các bác có thể để 4 - 5 xe tùy nhu cầu), trần cao như cung điện nên không mùi xăng xe.Cư dân đồng đều và văn minh bởi giá những căn nhỏ nhất cũng gần 5 tỷ rồi.Đặc biệt kèm với đó là tiện ích nội khu không khác gì phố cổ thậm chí vượt trội hơn bởi mọi người có thể mua sắm, ăn uống với các thương hiệu hàng đầu thế giới cho tới kiểu món ăn đường phố truyền thống với khoảng cách chỉ đi bộ: TTTM The Garden rộng lớn, Big C, bể bơi, fitness, Paris Gateaux, Highland Coffee, cộng cà phê, spa Hàn Quốc và dày đặc các cửa hàng của người Hàn, cửa hàng ăn uống truyền thống của Việt Nam...Mọi người hãy tới xem và cảm nhận.            ",230 m²,Thỏa thuận,,,,,,3 phòng,4 phòng,,28/11/2022,12/12/2022,Tin thường,34452518,batdongsan_com_vn_34452518,Sổ đỏ/ Sổ hồng.
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mễ Trì', 'Dự án The Manor']","
Tôi cần bán gấp căn hộ The Manor diện tích sổ 216m², không gian rộng lớn tuyệt đẹp.Nhà thiết kế 4 phòng ngủ 3VS, 1 khu sân vườn (hoặc bố trí phòng thờ rất đẹp).Trần nhà lên tới 3.9m nên không gian cực kỳ rộng và thoáng mát không chung cư nào có được.Tường nhà rất dày nên cách âm và cách nhiệt cực tốt, ấm mùa đông mát mùa hè.Không gian được bố trí cực kỳ hợp lý mà khó có chung cư nào làm được.Tất cả các phòng đều có cửa sổ lớn, riêng phòng khách rất nhiều cửa sổ. Tay cửa sổ nhiều và lớn nhưng ánh sáng rất hài hòa không bị chói.2 phòng ngủ nhỏ tách riêng phòng khách và phòng ngủ bố mẹ nên các thế hệ có không gian riêng. Phòng vệ sinh đôi (2 người có thể dùng cùng lúc) được bố trí ngay gần cạnh rất khoa học.Phòng khách rộng lớn có vệ sinh riêng cho khách, 1 gác xép chung lớn có thể dùng cho nhiều việc.Phòng ngủ chính có 1 xép rộng để đồ tiện lợi.Mật độ cư dân cực thấp với 2 tháp cao 26 tầng và chỉ 4 nhà/tầng, từ tầng 23 trở lên chỉ 2 nhà. 2 khu 10 tầng và 2 khu chỉ 6 tầng.Tầng hầm rộng lớn với trần cao như cung điện, thoáng đãng và không mùi xe. Dân cư để xe số lượng không hạn chế.Nhà cần bán gấp.Liên hệ: 0962 967 *** ",216 m²,Thỏa thuận,,,,,,4 phòng,3 phòng,,28/11/2022,13/12/2022,Tin thường,34484953,batdongsan_com_vn_34484953,Sổ đỏ/ Sổ hồng.
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Hoàng Văn Thái']","
Địa chỉ: Phố Hoàng Văn Thái - Phường Khương Trung - Quận Thanh Xuân - TP Hà Nội.- Phân lô phố Hoàng Văn Thái khu dành riêng cho quan chức đường rộng 3 ô tô tránh diện tích 120m² - mặt tiền đẹp 5.5m để ở hoặc kinh doanh giá hợp lý gọi ngay 0835 967 ***- Vị trí: Đường trước nhà rộng 12m ngõ thông tiệm cận phố, xung quanh quy hoạch ổn định toàn quan chức, thủ trưởng, lãnh đạo ở và làm việc.- Nhà: Không gian rộng thoáng có sân vườn gara xe riêng, diện tích 120m² - mặt tiền 5.5m tỷ lệ vàng. Gia chủ thành đạt làm ăn có lộc, con cái toàn làm trong bộ máy nhà nước.- Pháp lý: Sổ đỏ chính chủ, cất két.- Giá: Chỉ 15 tỷ (có thương lương) cần bán gấp.Hãy gọi luôn Hoàng Quý: 0835 967 *** miễn môi giới. Xin cảm ơn!            ",120 m²,15 tỷ,5.5 m,,,,5 tầng,5 phòng,4 phòng,,05/12/2022,12/12/2022,Tin thường,35969265,batdongsan_com_vn_35969265,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hai Bà Trưng', 'Phường Quỳnh Lôi', 'Phố Chùa Quỳnh', 'Ngách 269']","
Bán nhà ngách 269 ngõ Quỳnh, phường Quỳnh Lôi, quận Hai Bà Trưng, Tp Hà Nội. Diện tích 42m², mặt tiền 4m. Xây 4 tầng, mỗi tầng 2 phòng 1 wc, cầu thang ở giữa, tổng có 6 phòng. Trước có sân để xe máy, có cổng khóa riêng biệt. Gần trường trung học cơ sở Ngô Quyền. Giá 4.6 tỷ. Liên hệ bác Hiển: 0913 037 ***miễn trung gian và các trang mạng khác gọi điện làm phiền).            ",42 m²,4.6 tỷ,4 m,2.5 m,Đông - Nam,Nam,4 tầng,,3 phòng,Nội thất đầy đủ,05/12/2022,12/12/2022,Tin thường,35862618,batdongsan_com_vn_35862618,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô']","
Bán nhà chính chủ Nam Từ Liêm 35m², 5 tầng, MT 4m, chỉ 3.8 tỷ.- Vị trí: Vô cùng đắc địa khu vực Nam Từ Liêm. Nhà cách mặt ngõ chỉ 10m, thông tứ tung.- Thiết kế: Nhà chủ tự xây, khung cột bê tông cốt thép, móng, cọc cực chắc chắn, đầy đủ công năng cho gia đình.- Tiện ích: Khu vực tập hợp mọi loại hình kinh doanh, hàng quán, trường học đến chợ búa, thông mọi ngả,..- Pháp lý: Sổ đẹp chính chủ, sẵn sàng giao dịch.- Giá bán: Chỉ 3.8 tỷ (cam đoan giá tốt nhất thị trường).Liên hệ: Em Trang 0982 408 ***miễn QC, trung gian làm phiền).            ",35 m²,3.8 tỷ,,,,,5 tầng,4 phòng,4 phòng,,02/12/2022,09/12/2022,Tin thường,35932278,batdongsan_com_vn_35932278,Sổ đỏ
