address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Số phòng ngủ,Số toilet,Đường vào,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Nguyễn Văn Lộc']","
+ Diện tích 50m², mặt tiền 4m, đường rộng có vỉa hè, xe công tránh nhau thoải mái, nằm trên mặt đường Nguyễn Văn Lộc kéo dài, tương lai sầm uất khi các chung cư mọc lên.+ Nằm trong khu vực dân cư sầm uất bậc nhất Hà Đông, khu vực rất hiếm nhà bán, hiện trạng đang cho thuê 8tr/tháng, khách đến tiếp quản hoặc xây tòa.+ Giá 8.5 tỷ, sổ đỏ chính chủ, giao dịch ngay.+ Vui lòng liên hệ anh Hùng: 0972 846 *** để được tư vấn.            ",50 m²,8.5 tỷ,4 m,Sổ đỏ,27/11/2022,04/12/2022,Tin thường,35155328,batdongsan_com_vn_35155328,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyên Hồng']","
Chủ cần tiền chuyển lên chung cư cần bán nhà mặt ngõ ô tô tránh khu Nguyên Hồng, Trúc khuê,.. Thông tứ tung sang ngõ 49 Huỳnh Thúc Kháng.. Đi lại khắp nơi thuận tiện.- Phân lô Nguyên Hồng, Huỳnh Thúc Kháng, là khu vip nhất quận Đống Đa, ngõ đông, kinh doanh sầm uất, và cũng là khu hiếm nhà bán, tầm hơn 10 tỷ khó tìm được căn thứ 2 cùng phân khúc.- Nhà khung cột bê tông cực kỳ chắc chắn, tổng 4 phòng ngủ, phòng khách, bếp, sân phơi đầy đủ.- Sổ đỏ vuông đẹp, pháp lý rõ ràng mua bán ngay.- Liên hệ 0973 173 *** Mr Tặng để làm việc chính chủ.!            ",63 m²,13 tỷ,,Sổ đỏ/ Sổ hồng,24/11/2022,02/12/2022,Tin thường,35820172,batdongsan_com_vn_35820172,5 tầng,4 phòng,5 phòng,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Huỳnh Thúc Kháng']","
Chủ cần tiền bán gấp nhà Huỳnh Thúc Kháng giải quyết việc gia đình..Mô tả:- Xung quanh là các tuyến đường Huỳnh Thúc Kháng, Nguyễn Chí Thanh, Thành Công,... Rất nhiều tiện ích xung quanh...Tầng 1: Gara ô tô, vs Tầng 2 - Tầng 4 : Thông sànTầng 5: phòng khách ,khu ăn , bếp , WCTầng 6 : 2 PN Rộng khép kín , thoáng Tầng 7: 1 Phòng Master và 1 PN rộng  khép kín.- Sổ đỏ vuông vắn, chính chủ.- Giá chào: 25 tỷ ( Có thương lượng)- Liên hệ: 0973 173 *** Em Tặng để làm việc chính chủ.            ",73 m²,25 tỷ,,Sổ đỏ/ Sổ hồng,26/11/2022,06/12/2022,Tin thường,35958821,batdongsan_com_vn_35958821,7 tầng,4 phòng,8 phòng,,
"['Hà Nội', 'Đống Đa', 'Phường Ngã Tư Sở', 'Đường Cát Linh']","
Siêu Hiếm!!! Bán Tòa nhà mặt Phố Trường Chinh - Thông số đẹp - Kinh Doanh Đỉnh.S: 191m², Xây 8 tầng thang máy, Giá chỉ 232tr/m² ( thương lượng nhẹ) Vị trí đẹp lưu thông giữa các tuyến phố như Tây Sơn, Thái Hà, Thái Thịnh, Ngã Tư Sở, Nguyễn Trãi, Đường láng... đi đâu cũng tiện...Nhà thiết kế Tòa nhà văn phòng 7 tầng nổi+ 1 tầng hầm, Khai thác dòng tiền quá đỉnh, phù hợp với rất nhiều công việc ... Tiện ích xung quanh ngập tràn.LH Em Tặng  0973 173 ***  để biết thêm thông tin và hẹn chủ làm việc.            ",191 m²,44.3 tỷ,,Sổ đỏ/ Sổ hồng,26/11/2022,06/12/2022,Tin thường,35959057,batdongsan_com_vn_35959057,8 tầng,5 phòng,10 phòng,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Thạch Bàn']","
Bán đất phố Ngọc Trì Thạch Bàn 50m² giá 3.2 tỷ, Phân Lô, Siêu Đẹp.- Xung quanh là trường học các cấp, trung tâm y tế, công an quân, chợ, tiện ích ngập tràn, giá yêu thương.- Sổ đỏ chính chủ.LH Hằng Ta: 0964 813 *** ",50 m²,3.2 tỷ,5 m,,25/11/2022,05/12/2022,Tin thường,35950749,batdongsan_com_vn_35950749,,,,4 m,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Phố Kim Mã']","
Nhà phố Kim Mã Quận Ba Đình - Nhà đẹp ở ngay - Tặng full nội thất  Diện tích: 95.5m² - 5 Tầng - Mặt tiền : 7m  Thiết kế : 1 Garra ô tô , 1 Bếp , 1 Khách, 5 ngủ đầy đủ công năng , xây dựng chắc chắn thiết kế hiện đại , nội ngoại thất nhập khẩu  Vị trí đẹp trung tâm quận Ba Đình , giao thông thuận tiện đi Nguyễn Thái Học , Kim Mã , Đội Cấn , Giang Văn Minh . Sổ đỏ chính chủ vuông đẹp , thiện chí bá n: 20.5 Tỷ ( CTL) Liên hệ : 0973 173 *** em Tặng ( Giao dịch chính chủ)            ",96 m²,20.5 tỷ,,Sổ đỏ/ Sổ hồng,26/11/2022,06/12/2022,Tin thường,35959397,batdongsan_com_vn_35959397,5 tầng,5 phòng,6 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Đỗ Quang']","
Vị trí đắc địa, toà nhà nằm trong khu phân lô bàn cờ cực đẹp, vỉa hè rộng, ngõ thẳng tắp 3 nhà ra mặt Phố Đỗ Quang, thông tứ tung các phố Nguyễn Thị Định, Hoàng Ngân... Kinh doanh sầm uất, thích hợp làm công ty hoặc cho thuê..Thiết kế: Hiện đại.- Tầng hầm: Gara, phòng kỹ thuật.- Tầng 2 (Lửng): Sảnh lễ tân, VP.- Tầng 3 + 4: Thông sàn.- Tầng 5: 2 ngủ khép kín.- Tầng 6: 2 ngủ khép kín.- Tầng 7: Sân vườn, bếp, 1 phòng. WC.- Tầng 8: Tum.Giá chào: 31 tỷ (Có thương lượng).Liên hệ: 0973 173 *** Mr Tặng để xem nhà miễn phí.!            ",90 m²,31 tỷ,,Sổ đỏ/ Sổ hồng,24/11/2022,02/12/2022,Tin thường,35618092,batdongsan_com_vn_35618092,8 tầng,5 phòng,10 phòng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Xuân Thủy']","
Chính Chủ Bán!!! Tòa Văn Phòng Mặt Phố Xuân Thủy , Q. Cầu Giấy  Kinh Doanh bất chấp. Thông số đẹp, Hiện gia đình đang cho thuê.Đảm bảo không có căn thứ 2 về giá luôn. DT 103m², 8 tầng thang máy...Giá gia đình mong muốn 43 tỷ ( có thương lượng )Pháp lý 1 chủ. Sổ nở hậu đẹp. Giao dịch luôn trong ngày. Khách mua tiếp quản hợp đồng luôn hoặc tự vận hành lấy.: 0973 173 *** Mr Tặng  ưu tiên khách gọi trực tiếp ( Miễn TG & Quảng Cáo)            ",103 m²,43 tỷ,,Sổ đỏ/ Sổ hồng,26/11/2022,04/12/2022,Tin thường,35961697,batdongsan_com_vn_35961697,8 tầng,4 phòng,8 phòng,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Cổ Linh']","
BÁN ĐẤT PHỐ CỔ LINH THẠCH BÀN 35M2 GIá 2.9TỶ, Ô TÔ VÀO ĐẤT- Ô TÔ TRÁNH - PH N KHÚC HIẾM - VÔ VÀN TIỆN ÍCH - GẦN CHỢ -TRƯỜNG THPT CẤP 3 - Ô tô 7 chỗ vào đất, Cách Vỉa Hè Cổ Linh Vài Bước Chân- Phù hợp đầu tư, xây để ở..- Sổ vuông vắn chính chủ , sẵn sàng trao tay.  LH Hằng Ta: 0964 813 *** ",35 m²,2.9 triệu,4 m,,26/11/2022,06/12/2022,Tin thường,35957644,batdongsan_com_vn_35957644,,,,5 m,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Phố Trần Quốc Hoàn']","
Tòa nhà văn phòng siêu hiếm khu vực - phân lô ô tô chạy vòng quanh ít nhà bán.- Khu vực phân lô, ôtô vào nhà, gần phố, xung quanh tiện ích ngập tràn không thiếu thứ gì, khu Cầu Giấy là cho thuê văn phòng nhà ỏ hot nhất Hà Nội.+ Vị trí đẹp, ngõ to rộng thoáng, nhà đẹp long lanh, hàng xóm cán bộ trí thức.- Thiết kế 8 tầng thang máy kiên cố.Tầng 1: Gara xe ô tô.Tầng 2, 3,4: sàn thông.Tầng 5,6: Chia 2 phòng.Tầng 7: Phòng thờ + sân.Tầng 8: Tum.- Nhà vuông vắn, pháp lý sạch sổ đỏ đẹp giao dịch ngay.- Giá chào: 29 tỷ (có thương lượng).- Liên hệ: 0973 173 *** Mr Tặng để được tư vấn và hỗ trợ tốt nhất.!            ",106 m²,29 tỷ,6.8 m,Sổ đỏ/ Sổ hồng,22/11/2022,30/11/2022,Tin thường,35567200,batdongsan_com_vn_35567200,8 tầng,4 phòng,8 phòng,,
