address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Đường Nguyễn Công Hoan']","
+ Nhà mặt phố, đoạn đẹp nhất nhì phố Nguyễn Công Hoan, Ba Đình, Hà Nội.+ Mặt phố quy hoạch ổn định, vỉa hè hai phía rộng mênh mông.+ Thông số: 70m² x 5 tầng, mặt tiền 4.6m.+ Nhà mặt phố ngay cạnh Ngã 3 Nguyễn Chí Thanh, vài bước ra hồ Ngọc Khánh.+ Nhà mới đẹp, nội thất hiện đại, chỉ việc vào kinh doanh.+ Thiết kế:- Tầng 1,2: Thông sàn kinh doanh.- Tầng 3,4,5: Tầng hai phòng.+ Giá 27 tỷ.+ Liên hệ: 0918 952 *** A Hiệu.            ",70 m²,27 tỷ,4.6 m,5 tầng,Sổ đỏ/ Sổ hồng,Nội thất hiện đại.,21/11/2022,28/11/2022,Tin thường,35889959,batdongsan_com_vn_35889959,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
+ Căn nhà thuộc tuyến đường Hoàng Quốc Việt, không cần nói nhiều với tên tuổi quá hot của tuyến đường này.+ Với căn nhà thuộc khu phân lô quân đội, đường vào ô tô thẳng tưng, thoải mái, phải nói là việc di chuyển quá đối dễ dàng. Thêm vào đó, tuyến đường Nguyễn Văn Huyên đã mở, Công viên ngay cạnh, tiện ích sắp tới sẽ gọi là muôn bề.+ Căn nhà thuộc hàng xóm của Bộ Công An, phải nói là nâng tầm giá trị bản thân căn nhà cùng gia chủ lên tầm cao mới. Đã thế, lại còn an ninh đảm bảo, nhìn là thấy yên tâm mỗi giấc ngủ, có sức khoẻ tốt đi làm mỗi ngày.+ Căn nhà được xây dựng với diện tích gần 50m², 6 tầng thang máy mới đẹp, đầy đủ công năng.+ Sổ đỏ chính chủ, đẹp, tháng 7 có giá mềm thương lượng tốt. Khách hàng thiện chí, thì đơn giản.+ Liên hệ: Mạnh chuyên BĐS Cầu Giấy.            ",50 m²,8.39 tỷ,4.1 m,6 tầng,Sổ đỏ/ Sổ hồng,,27/11/2022,07/12/2022,Tin thường,34822094,batdongsan_com_vn_34822094,4 phòng,5 phòng,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Xuân La']","
BIỆT THƯ BA MẶT THOÁNG MẶT TIỀN RỘNG ĐẸP_Diện tích 134m cao 5 tầng mặt tiền 6.3m nở hậu cực đẹp_Thiết kế tự tay xây dựng tâm huyết với :- Tầng 1: Gara ô tô, phòng khách rộng, bếp thoáng- Tầng 2 , 3, 4: mỗi tầng 2 phòng rộng và vệ sinh khép kín.- Tầng 5 : phòng thờ sân vườn BBQ_Vị trí cực đẹp, trước nhà rộng 8m, ngõ thông, gần phố , dân trí cao, tiện ích xung quanh đầy đủ Lotte, Sunshine Ciputra, Hồ Tây _ Sổ đỏ chính chủ nở hậu đẹp_Giá bán 20 tỷ ( có thương lượng )Lh 0936 094 *** Hoàng Anh để gặp chính chủ            ",134 m²,20 tỷ,6.3 m,5 tầng,SỔ ĐỎ NỞ HẬU ĐẸP,,27/11/2022,05/12/2022,Tin thường,35963901,batdongsan_com_vn_35963901,6 phòng,7 phòng,8 m,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án Văn Phú Victoria']","
Cụ thể thông tin căn hộ:- Diện tích: 118,8m².- Thiết kế là 3PN - 2WC, rộng rãi thoải mái cho sinh hoạt.- Ban công Đông Nam chếch Tây Nam, vừa có nắng vừa có gió, đảm bảo sức khỏe gia đình.- Tôi để Lại Đồ liền tường và vài đồ nội thất như giường, tủ, bàn ghế.- Pháp lý: Sổ hồng chính chủ, có thể sang tên luôn.- Giá: Nhỉnh 3 tỷ - Liên hệ xem nhà: 0865 260 ***Long).            ",118.8 m²,3 tỷ,,,Sổ đỏ/ Sổ hồng,Full,27/11/2022,04/12/2022,Tin thường,35033373,batdongsan_com_vn_35033373,3 phòng,2 phòng,,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Khang']","
+ Căn nhà thuộc tuyến đường Nguyễn Khang, tuyến đường siêu hot tại khu vực Cầu Giấy, nơi đây giao thoa nhiều tuyến đường lớn trong thành phố, việc di chuyển quá đối dễ dàng.+ Vị trí rất đẹp chỉ cách ô tô 30m, ngõ vào nhà ba gác, thoải mãi rộng rãi.+ Với thiết kế 4 tầng, trên nền đất siêu rộng 45m² , mặt tiền lớn 5,1m, thông thoáng, chắc chắn.+ Sổ đỏ chính chủ, giao dịch liền tay, nhanh tay kẻo mất.+ Liên hệ: Mạnh Chuyên BĐS Cầu Giấy.            ",45 m²,5 tỷ,5.1 m,4 tầng,Sổ đỏ,,27/11/2022,07/12/2022,Tin thường,35732340,batdongsan_com_vn_35732340,4 phòng,,,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Nguyễn Văn Cừ', '67']","
Bán nhà 67 Nguyễn Văn Cừ vị trí thuận lợi đi chuyển sang phố cổ chỉ vài phút, tiện ích xung quanh tuyệt vời có các trường học cấp 1 2 3, chợ, bệnh viện Tâm Anh, bệnh viện Quốc tế Bắc Hà...+ Đường thông đi các ngả Ngô gia tự, Hồng Tiến, đê Thạch Bàn. Nam Đuống...+ Sổ đỏ chính chủ, pháp lý rõ ràng chủ thiện chí giao dịch LH Mr Tuấn 0985 788 *** ",33 m²,Thỏa thuận,,4 tầng,Sổ đỏ/ Sổ hồng.,,27/11/2022,07/12/2022,Tin thường,35250674,batdongsan_com_vn_35250674,,,,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
Căn hộ mới hoàn thiện đầy đủ nội thất cao cấp ở dự án CHCC Le Grand Jardin, Sài Đồng, Long Biên, Hà Nội.- Diện tích thông thủy: 97m².- Hướng Đông Nam.- 3 phòng ngủ.- 2 phòng vệ sinh.- Nhà được thiết kế đẹp và là căn góc nên các phòng ngủ, phòng khách và bếp đều có ban công hoặc cửa sổ. Ban công chính hướng Đông Nam, cửa vào hướng Đông Bắc nên không khí trong nhà luôn mát mẻ ôn hòa.- Trang thiết bị nội thất cao cấp, các thương hiệu như Hafele(toàn bộ thiết bị bếp và tủ bếp), Daikin, Sony, Hitachi, Electrolux, Toto,...- Đã có sổ đỏ.Căn hộ nằm trong tòa G3 khu dự án căn hộ cao cấp Le Grand Jardin chủ đầu tư BRG Land. Tòa G3 nằm ở góc phố Nguyễn Lam và Huỳnh Văn Nghệ và đối diện khu Vinhomes The Harmony, nhìn ra hồ Sài Đồng, rất gần các trường học vinschool, THCS, THPT, bệnh viện, trung tâm thương mại, giao thông thuận tiện, đường rộng 20m.Với mục đích ở lâu dài nên chủ nhà hoàn thiện mua sắm trang thiết bị cao cấp như Hafele(toàn bộ thiết bị bếp thiết thiết bị tủ bếp), Daikin, Sony, Hitachi, Electrolux, Toto,... Các trang thiết bị đều được sắm mới và còn mới 99%.Giá bán 4,15 tỷ (bao gồm đầy đủ nội thất, chỉ việc đến ở).Anh/Chị quan tâm xin liên hệ trực tiếp với chủ nhà anh Hưng 0904 901 *** ",97 m²,4.15 tỷ,,,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,18/11/2022,08/12/2022,Tin thường,35875693,batdongsan_com_vn_35875693,3 phòng,2 phòng,,Đông - Bắc,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Lê Trọng Tấn']","
+ Bán nhà phố Lê Trọng Tấn, Trường Chinh, Thanh Xuân, Hà Nội.+ Vị trí ngay Ngã Tư Sở, vị trí trung tâm 3 quận: Đống Đa, Thanh Xuân, Cầu Giấy.+ Ngõ 5m, thẳng tắp, 50m ra phố. Hàng xóm an ninh, dân trí cao.+ Ngõ thông rông, hàng xóm là văn phòng công ty, showroom, nail.+ Nhà diện tích 46m² x 5 tầng, mặt tiền 5m.+ Trước nhà ô tô tránh nhau, ô tô vào nhà.+ Nhà lô góc hai mặt thoáng, anh sáng lộc khí tràn ngập khắp nhà, lô góc diện tích tối ưu công năng xây dựng.+ Hàng cực hiếm.Nhà ngon bổ rẻ, giá sập hầm chủ cần gấp.+ Giá bán: 7.5 tỷ.Liên hệ: Mr Hiệu.            ",46 m²,7.5 tỷ,5 m,5 tầng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,35845936,batdongsan_com_vn_35845936,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung', 'Dự án FLC Star Tower']","
Thông tin chi tiết về căn hộ:- Diện tích nhà: 63m².- Thiết kế căn hộ: 2 phòng ngủ, 2 vệ sinh, 1 phòng khách.- Tầng trung, ban công Đông Bắc.- Tôi để lại toàn bộ nội thất.- Tiện ích: Bể bơi 4 mùa, trường học, siêu thị, chợ dân sinh ngay gần tòa nhà.- Giá: 1,8 tỷ.- Liên hệ: 0865 260 ***Long) để xem nhà.            ",63 m²,1.8 tỷ,,,Sổ đỏ/ Sổ hồng,Full,25/11/2022,02/12/2022,Tin thường,35467451,batdongsan_com_vn_35467451,2 phòng,2 phòng,,Đông - Bắc,Đông - Bắc
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Phố Phan Văn Trường']","
LÔ GÓC - Ô TÔ TRÁNH - KINH DOANH+ Xung quanh là các trường đại học lớn như Đại học Sư phạm, Đại học Quốc gia, Đại học Điện lực, Học viện Báo chí Tuyên truyền, Học viện Kỹ thuật quân sự.+ Nhà 5 tầng còn rất mới, lô góc 2 thoáng, đẳng cấp.- Tầng 1: gara + wc.- Tầng 2: khách + bếp + wc.- Tầng 3 + 4: mỗi tầng 2 ngủ + 1wc.- Tầng 5: phòng thờ + sân phơi.+ Sổ đỏ đẹp, sẵn sàng giao dịch.+Liên hệ e Biên 0919 124 *** ",52 m²,15.5 tỷ,5 m,5 tầng,"sổ đỏ, sổ hồng",hiện đại,27/11/2022,04/12/2022,Tin thường,35963900,batdongsan_com_vn_35963900,5 phòng,5 phòng,6 m,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Phú Thịnh Green Park']","
Thông tin căn hộ:- Diện tích: 65m².- Thiết kế: 2PN - 2WC.- Full nội thất cao cấp nhập khẩu như hình ảnh.- Ban công Đông Bắc: Căn duy nhất toàn sàn hướng mát, View đẹp nhất tòa.- Giá: 2.1 tỷ. Xem nhà thương lượng trực tiếp với chủ nhà.- Liên hệ: 0865 260 ***Long) để nhận tư vấn và xem nhà.            ",65 m²,2.1 tỷ,,,Hợp đồng mua bán,Full,25/11/2022,02/12/2022,Tin thường,35179154,batdongsan_com_vn_35179154,2 phòng,2 phòng,,Tây - Bắc,Đông - Bắc
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê']","
Hot! Bán gấp nhà MP Thụy Khuê - Tây Hồ 50m² 3 tầng MT 3m giá 11,5 tỷ.- Bán gấp nhà MP Thuỵ Khuê gần bệnh viện Thu Cúc, giao thông thuận tiện với các phố lớn Văn Cao - Đồng Cổ - Trích Sài.- Nhà gần Hồ Tây, trung tâm thương mại Lotte, khu vực đầy đủ mọi tiện ích.- Sổ đỏ chính chủ giao dịch ngay.- Anh/Chị thiện chí vui lòng gọi 0777 708 *** để biết thêm chi tiết.            ",50 m²,11.5 tỷ,3 m,3 tầng,Sổ đỏ/ Sổ hồng,,19/11/2022,29/11/2022,Tin thường,35649303,batdongsan_com_vn_35649303,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Nguyễn Ngọc Nại']","
+ Gia đình định cư bên Mỹ nhà phố Nguyễn Ngọc Nại, Trường Chinh, Thanh Xuân, Hà Nội.+ Vị trí ngay Ngã Tư Sở, vị trí trung tâm 3 quận: Đống Đa, Thanh Xuân, Cầu Giấy.+ Ngõ 5m, thẳng tắp, 50m ra phố. Hàng xóm an ninh, dân trí cao.+ Ngõ thông rông, hàng xóm là văn phòng công ty, showroom, nail.+ Nhà diện tích 50m² x 5 tầng, mặt tiền 5m.+ Trước nhà ô tô tránh nhau, ô tô vào nhà.+ Nhà lô góc hai thoáng cực xịn xò.+ Nhà hiếm cần bán gấp giá rẻ sập hầm.+ Giá bán: 7.5 tỷ.Liên hệ: Mr Hiệu: 0918 952 *** ",50 m²,7.5 tỷ,5 m,5 tầng,Sổ đỏ/ Sổ hồng,,24/11/2022,01/12/2022,Tin thường,35942192,batdongsan_com_vn_35942192,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Lạc Long Quân']","
Hot! Bán gấp nhà phố Lạc Long Quân - Tây Hồ 50/54m² 6 tầng MT 4,3m giá 22,2tỷ.- Bán gấp nhà phố Lạc Long Quân, đường trước nhà rộng 8m, thông thẳng ra Hồ Tây, nhà cách Hồ 100m.- Khu vực hiếm nhà bán, thích hợp vừa ở vừa kinh doanh, tiện ích xung quanh không thiếu gì.- Thiết kế:* T1 thông sàn + tầng lửng.* T2,3,4 mỗi tầng 2 phòng khép kín.* T5 phòng thờ sân phơi.- Sổ đỏ chính chủ giao dịch ngay.- Anh Chị thiện chí vui lòng gọi 0777 708 *** ",50 m²,22.2 tỷ,4.3 m,6 tầng,Sổ đỏ/ Sổ hồng,,26/11/2022,03/12/2022,Tin thường,34228961,batdongsan_com_vn_34228961,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Trần Quang Diệu']","
+ Nhà chính chủ phố Trần Quang Diệu, Đống Đa, Hà Nội, nơi nhiều nước ngoài lưu trú.+ Nhà 140m² x 4 Tầng, công năng đầy đủ tầng 2 phòng.+ Nhà Lô góc ô tô tránh kinh doanh vô địch, lô góc tối ưu được công năng, tầng 2 đua ra được cả chục m².+ Nhà ngõ rộng 7m, có thể kinh doanh spa, salon, showroom.+ Hàng xóm kinh doanh showroom, cà phê, nhà hàng.+ Xem nhà liên hệ 0918 952 *** A Hiệu.            ",140 m²,22.6 tỷ,,4 tầng,Sổ đỏ/ Sổ hồng,,22/11/2022,29/11/2022,Tin thường,35923462,batdongsan_com_vn_35923462,,,7 m,,
"['Hà Nội', 'Ba Đình', 'Phường Quán Thánh', 'Đường Quán Thánh']","
Bán gấp nhà phố Quán Thánh - Ba Đình 43m² MT 4,5m 2 tầng giá 5,2 tỷ.- Chính chủ cần bán gấp nhà phố Quán Thánh, 1 phút ra hồ Trúc Bạch, trung tâm phố cổ tiện ích quanh nhà không thiếu thứ gì.- Sổ đỏ chính chủ giao dịch ngay.- Anh/Chị thiện chí vui lòng gọi 0777 708 *** đi xem nhà thực tế.            ",43 m²,5.2 tỷ,,2 tầng,Sổ đỏ/ Sổ hồng,,22/11/2022,29/11/2022,Tin thường,34930125,batdongsan_com_vn_34930125,3 phòng,,,,
"['Hà Nội', 'Đống Đa', 'Phường Khâm Thiên', 'Phố Khâm Thiên']","
Bán nhà nhà mặt phố Khâm Thiên - Đống Đa.Diện tích: 116m², mặt tiền 6.9m.Sổ chính chủ.Nhà xây 09 tầng cả 1 hầm.Nội thất trang thiết bị cao cấp.Liên hệ chi tiết cụ thể: 0963 189 *** ",116 m²,67 tỷ,6.9 m,9 tầng,Có sổ.,Nội thất trang thiết bị cao cấp.,23/11/2022,30/11/2022,Tin thường,33118690,batdongsan_com_vn_33118690,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Văn Minh']","
Bán nhà mới xây Di Trạch, 50m ra đường văn minh, khu đô thị Hadico, 1km ra ngã tư Nhổn, DT 30m². Nhà siêu thoáng. Gần trường học. Nhà văn hoá. Giá chỉ 2,2 tỷ. Hàng hiếm.Tầng 1: Phòng bếp + khách + nhà vs.Tầng 2,3,4: Nhà vs + phòng ngủ.Tầng 5: Sân phơi + phòng thờ.LH E Bích chính chủ để xem nhà 0338 342 *** ",30 m²,2.2 tỷ,4 m,5 tầng,Sổ đỏ/ Sổ hồng,,22/11/2022,29/11/2022,Tin thường,35298050,batdongsan_com_vn_35298050,3 phòng,4 phòng,2 m,Tây - Nam,Tây - Nam
