address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng ban công,Nội thất
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Dự án KĐT Linh Đàm']","
Bán căn biệt thự vị trí siêu đẹp, đường trước nhà 20m có vỉa hè khu vực kinh doanh sầm uất.Địa chỉ khu đô thị Tây Nam Hồ Linh Đàm, quận Hoàng Mai, Hà Nội.Diện tích: 200m²*4 tầng, thiết kế hiện đại theo phong cách Châu Âu.Hương: Tây Bắc.Mặt tiền: 10m.Gần trường cấp 1 Chu Văn An.Pháp lý: Sổ đỏ.Giá chào: 42 tỷ.LH em Minh.0886162921.            ",200 m²,42 tỷ,10 m,Tây - Bắc,4 tầng,4 phòng,4 phòng,Có sổ,26/11/2022,03/12/2022,Tin thường,35385983,batdongsan_com_vn_35385983,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Đỗ Quang']","
Bán nhà lô góc hai mặt tiền phố Đỗ Quang, quận Cầu Giấy:- Diện tích 50m², xây 5 tầng, mặt tiền 6m, SĐCC.- Vị trí cực đẹp nhất phố, đắc địa, Kinh doanh mọi loại hình. Gần các tuyến phố lớn như Trần Duy Hưng, Nguyễn Thị Định, Hoàng Đạo Thúy... Nhà nằm trong quần thể KĐT Trung Hòa Nhân Chính.- Rất thuận tiện để kinh doanh cafe, nhà hàng, trung tâm dạy học... Cho thuê.- Giá: 20.5 tỷ.- LH: 0832 108 *** ",50 m²,20.5 tỷ,6 m,,5 tầng,4 phòng,5 phòng,SĐCC,26/11/2022,03/12/2022,Tin thường,33210177,batdongsan_com_vn_33210177,30 m,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Tuân']","
Bán nhà MP phố Nguyễn Tuân Ngụy Như Kon Tum Thanh Xuân.- DT 95m² xây 6 tầng, thang máy, MT 6m, đang cho thuê 80tr/tháng,- Nhà một mặt phố, một mặt ngõ, vị trí đắc địa đầu về Lê Văn kéo dài, quy hoạch ổn định. Xung quanh toàn nhà văn Phòng cao ốc.- Nhà 1 mặt phố vỉa hè 6m, 1 mặt ngõ ô tô tránh, kinh doanh đủ mọi loại hình: Spa, văn phòng, ăn uống, cafe, nội thất, thời trang...- Giao thông vô cùng thuận tiện 300m ra đường Khuất Duy Tiến, Phạm Hùng ra sân bay, nối tiếp ra đường Lê Văn Lương kéo dài sang Đống Đa, đi thẳng tiếp đường Nguyễn Tuân ra Ngụy Kon Tum, Nguyễn Trãi, chợ thuốc Hapu, xung quanh toàn dân văn Phòng.- Giá: 38.5 tỷ.- LH: 0832 108 ***/0988 420 *** ",95 m²,38.5 tỷ,6 m,,6 tầng,6 phòng,5 phòng,,26/11/2022,03/12/2022,Tin thường,31135198,batdongsan_com_vn_31135198,40 m,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá', 'Dự án Chung cư Viện 103']","
- Do không có nhu cầu sử dụng đến nữa gia đình em cần bán gấp căn hộ tầng trung toà CT1 chung cư viện 103.- Căn hộ này trước đây nhà mình xác định ở lâu dài nên có thiết kế rất cẩn thận và tỉ mỉ. Gia chủ mới chỉ việc đến ở không phải lo nghĩ.- Căn hộ thuộc tầng 25 của toà nhà tầng trung nên rất thoáng mát không lo ruồi muỗi.* Thông tin cụ thể căn hộ như sau:- Diện tích tim tường: 79 m².- Hướng cửa Đông nam, ban công: Tây bắc.- Thiết kế căn hộ: 2 phòng ngủ, 2 vệ sinh.- Nội thất để lại: Full toàn bộ nội thất cả đồ điện tử.- Giá bán: 2 tỷ 190 triệu (có thương lượng).- Pháp lý: Có sổ.- Liên hệ chính chủ: 0982 568 *** - 0357 917 *** (MTG).            ",79 m²,2.19 tỷ,,Tây - Nam,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35641453,batdongsan_com_vn_35641453,,Tây - Bắc,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Đường Trần Khát Chân', 'Ngõ 184']","
(Ảnh thật).Bán nhà ngõ 184 Trần Khát Chân, Thanh Lương, Hai Bà Trưng,Trước nhà rộng 3m, ôtô đỗ cách nhà 20m, thoáng trước sau. Giá 5.7 tỷ.Diện tích sổ đỏ: 48m², xây 5 tầng,Mặt tiền gần 4m, nở hậu.Thiết kế hiện đại:- Tầng 1: Phòng khách + bếp (phòng ăn).- Tầng 2, 3, 4: Chia 2 phòng ngủ rộng rãi + WC.- Tầng 5: 2 sân trước sau.Nhà hoàn thiện vật liệu cao cấp, trần thạch cao Vĩnh Tường, sàn gỗ Malaysia, cửa thông phòng và tay vịn cầu thang gỗ Lim, thiết bị vệ sinh Inax, hệ thống đèn led chiếu sáng tiết kiệm điện.Vị trí đắc địa, ngõ thông sang ngõ 107 Trần Khát Chân, 651 Minh Khai, ô tô đỗ gần nhà. Gần trường tiểu học, mầm non Thanh Lương, gần các bệnh viện, trường đại học lớn.Sổ đỏ chính chủ. Giá bán 5.7 tỷ (có thương lượng).Liên hệ: 0911 159 *** Đạt.            ",50 m²,5.7 tỷ,4 m,,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35808601,batdongsan_com_vn_35808601,3 m,,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lãm', 'Đường Nguyễn Trực']","
Vị trí: Ngõ 9 phú Lương,đối diện cây xăng XỐm.Cách cây xăng xốm 150m trung tâm phố Xốm.Khu vực gần đại học Đại Nam,cao đẳng KTKT.Diện tích 33m² thiết kế 4 tầng hiện đại.Tầng 1: để xe,bếp,wcTầng 2: phòng khách,ngủ,wcTầng 3: 2 phòng ngủ + wcTầng 4 phòng thờ + sân phơiNhà trang bị đầy đủ nội thất cơ bản,khách chỉ việc xách vali về ở,Giá 2,75 tỷ có thương lượng,bao mọi chi phí sang tên.Ngân hàng hỗ trợ đến 70% giá trịLh em Ninh 0967 164 *** ",33 m²,2.75 tỷ,4 m,Đông - Bắc,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35960321,batdongsan_com_vn_35960321,3 m,Đông - Bắc,nội thất đầy đủ
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Trung Yên 9', 'Dự án KĐT Trung Yên']","
Chính chủ cần bán nhà phân lô Trung Yên 9, lô 16 khu ĐT Trung Yên, gần phố Trung Hòa.- Diện tích 50m², xây 5 tầng, mặt tiền rộng 4m. Nhà cách phố Trung Hòa 30m, cách tòa nhà Trung Yên Plaza 100m, gần nhiều trường học từ mầm non, tiểu học.- Ngõ rộng ô tô tránh nhau thoải mái. Khu vực kinh doanh tốt, giao thông đi lại thuận tiện.- Nhà thiết đẹp hiện đại, full nội thất, đầy đủ mọi công năng.- Chủ nhà cần bán nhanh, giá bán 12.5 tỷ.- LH: 0832.108.75.            ",50 m²,12.5 tỷ,4 m,,6 tầng,6 phòng,5 phòng,,26/11/2022,03/12/2022,Tin thường,31096620,batdongsan_com_vn_31096620,10 m,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Nguyễn Hoàng', 'Dự án Dolphin Plaza']","
* Do nhu cầu cần chuyển vào Nam sinh sống lên cần bán gấp căn hộ tại chung cư Dolphin Plaza Nguyễn Hoàng, giá rẻ nhất thị trường.* Thông tin căn hộ như sau:- Diện tích 70m².- Thiết kế 1 ngủ và 1 vệ sinh.- Cửa hướng Bắc ban công hướng Nam.- Nội thất full đồ.- Giá bán 2,3 tỷ.* Ngoài ra em còn 1 số căn hộ 1N nữa:- Diện tích 78m².- Thiết kế 1 phòng ngủ và 1 vệ sinh.- Cửa hướng Đông Nam ban công Tây Bắc.- Nội thất full đồ.- Giá bán 2,5 tỷ.* Anh chị có nhu cầu xin liên hệ 0379 730 **** Em Chuyên hỗ trợ xem nhà 24/7.* Xin cảm ơn.            ",70 m²,2.3 tỷ,,Bắc,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35614781,batdongsan_com_vn_35614781,,Nam,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Phố Hồng Tiến']","
Bán gấp nhà Hồng Tiến, Long Biên, 5 tầng, mới đẹp.+ Diện tích: 52.5m² x 5 tầng.+ Hướng: Tây Nam.+ Nhà mới xây, đẹp, chất lượng, thiết kế 5 tầng hiện đại, tổng 5 phòng ngủ, đủ công năng, cầu thang giữa, nhà không bị che tầm nhìn, không lỗi phong thủy.+ Đằng sau nhà để khe thoáng khắp các tầng rất thông thoáng và mát.+ Pháp lý: Sổ đỏ chính chủ, sẵn sàng sang tên chủ mới.Giá bán: 7 tỷ có thương lượng. Ưu tiên khách thiện chí.Chi tiết liên hệ: 0941 652 *** ",52.5 m²,7 tỷ,,,5 tầng,5 phòng,5 phòng,Sổ đỏ.,22/11/2022,29/11/2022,Tin thường,35786136,batdongsan_com_vn_35786136,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Cầu Giấy']","
Bán nhà mặt phố Cầu Giấy - Xuân Thủy, Quận Cầu Giấy.- Diện tích 65m², mặt tiền 4.6m, nở hậu. Vỉa hè rộng để xe thoải mái.- Mặt phố rộng kinh doanh cực kì sầm uất tất cả các loại hình KD.Vị trí đắc địa nằm ngay ngã tư đoạn đẹp nhất phố Cầu Giấy, Xuân Thủy, Nguyễn Văn Huyên...- Xung quanh nhà nhiều trung tâm mua bán lớn, gần nhiều trường học từ mầm non đến đại học.Thích hợp cho khách hàng mua về ở kết hợp kinh doanh, cho thuê, xây tòa nhà văn phòng...- Giá: 19 tỷ có thương lượng.- Liên hệ: 0988 420 *** - 0832.108.756.            ",65 m²,19 tỷ,4.6 m,,1 tầng,2 phòng,1 phòng,,22/11/2022,29/11/2022,Tin thường,23960871,batdongsan_com_vn_23960871,9 m,,
