address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Pháp lý,Nội thất,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Lương Thế Vinh', 'Dự án VOV Mễ Trì']","
Bán gấp 01 căn hộ chung cư tại tòa C khu Vov Mễ Trì.Diện tích 74m², lô góc thiết kế 2PN - 2VS ban công Đông Nam tầng 9.Đang cho thuê.Rất mới có thể về ở ngay.- Giá: Thỏa thuận.Lh: A trung 0902 192 *** ",74 m²,Thỏa thuận,2 phòng,2 phòng,18/11/2022,28/11/2022,Tin Vip 3,35870819,batdongsan_com_vn_35870819,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Trung Kính']","
Bán gấp toà nhà văn phòng phố Trung Kính Đôi - Cầu Giấy. 120m2x8 tầng. Mặt tiền 10m. Giá 45 tỷ.Trung tâm Cầu Giấy - toà văn phòng 8 tầng thang máy xây mới - giá cực kì hợp lý - .Vị trí đắc địa. Thông thương nhiều tuyến phố lớn như: Dương Đình Nghệ. Trần Thái Tông. Vũ Phạm Hàm...Thiết kế hiện đại sang trọng mặt tiền lớn bề thế.Tầng 1: Hầm để xe.Tầng 2 6: Thông sàn văn phòng và WC.Tầng 7: Thiết kế để ở.Tầng 8: Hộp kĩ thuật thang máy.Thiết bị hiện đại với hệ thống điều hoà âm trần, Thang máy nhập khẩu chính hãng Mitsubishi, Thiết bị vệ sinh cao cấp.Hệ thống phòng cháy hiện đại.Sổ đỏ vuông đẹp. Pháp lý chuẩn. Sẵn sàng giao dịch.Liên hệ ngay để được tư vấn miễn phí.Tel: 0832 129 *** - Mr Trọng.Cảm ơn anh chị đã xem hết tin!            ",120 m²,45 tỷ,4 phòng,,17/11/2022,27/11/2022,Tin Vip 3,35870463,batdongsan_com_vn_35870463,10 m,8 tầng,Sổ đỏ/ Sổ hồng.,"Full nội thất, nhập khẩu cao cấp.",,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Đền Lừ']","
Phân lô ô tô đỗ cửa - kinh doanh - văn phòng tuyệt đẹp.Đền Lừ 40m² MT 4.1m giá 5.3tỷ.+ Mặt ngõ to như phố ô tô tránh nhau.+ Phân lô ô bàn cờ chạy bộ vòng quanh.+ Cách mặt phố Đền Lừ - Hoàng Mai 5m.+ Kinh doanh mọi loại hình.+ Pháp lý: Sổ đẹp hơn phân lô.LH 0902 078 *** ",40 m²,5.3 tỷ,,,17/11/2022,27/11/2022,Tin Vip 3,35870371,batdongsan_com_vn_35870371,4.1 m,,Sổ đỏ/ Sổ hồng.,,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Ngọc Khánh']","
- Bán nhà Ngọc Khánh Ba Đình 55m² x 4 tầng x MT 5.6m = 5.2 tỷ lô góc, tự xây, ngõ 3.5m LH: 0986 446 ***- Vị trí lô góc, ngõ thông Ngọc Khánh, Đê La Thành, Giảng Võ, trung tâm Ba Đình rất nhiều tiện ích, nhà thoáng sáng, tự xây chắc chắn.- Ngõ trước nhà 3.5m ba gác tránh được xe máy, giao thông thuận tiện đi khắp nơi, gần nhiều đường chính.- Nhà tự xây nên cực kì chắc chắn, mới, thoáng, tổng 4 phòng ngủ, ở được nhiều người.- Sổ đỏ vuông vắn giao dịch ngay.- Khu vực dân trí cao an ninh đảm bảo.Liên hệ: Tùng 1983/ 0986 446 *** ",55 m²,5.2 tỷ,4 phòng,3 phòng,17/11/2022,27/11/2022,Tin Vip 3,35870362,batdongsan_com_vn_35870362,5.6 m,4 tầng,Sổ đỏ/ Sổ hồng,,3.5 m,,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'Đường Trích Sài', '', 'Số 8 ngõ 101']","
Tòa căn hộ tại phố Trích Sài - Tây Hồ.- Địa Chỉ: Số 8, ngõ 101, phố Trích Sài, Tây Hồ, HN.- Diện tích đất: 97,2m².Diện tích xây dựng: 100m².Chiều dài mặt tiền: 7m.Số tầng: 7,5 tầng + 1 hầm.Số phòng: 20 phòng căn hộ dịch vụ cao cấp khép kín.- Hiện trạng: Mới 100%, có thang máy, hầm để xe, mặt tiền rộng, bàn giao full nội thất. Tiến độ 03 tháng nữa hoàn thiện 100%.- Khu vực dân cư đông đúc, có thể vào từ đường Thuỵ Khuê, hoặc Trích Sài, ngõ thông, ngõ xe máy. Khách nước ngoài và khách Việt thuê căn hộ dịch vụ nhiều. Cách Hồ Tây 100m.- Dòng tiền cam kết cho thuê từ 120tr đến 180tr / tháng.- Giá bán: 28 tỷ VND.            ",97.2 m²,28 tỷ,21 phòng,21 phòng,17/11/2022,27/11/2022,Tin Vip 3,35167157,batdongsan_com_vn_35167157,7 m,9 tầng,Sổ hồng,Nội thất đầy đủ,3 m,,
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', '20 Đường Núi Trúc', 'Dự án Lancaster Hà Nội']","
Bất động sản Bình Minh chuyên mua bán, cho thuê chung cư Lancaster 20 Núi Trúc.Để được tư vấn nhanh nhất gọi ngay Mr Bình: 0944 266 *** - 0946.053.050.- Giá cam kết rẻ nhất thị trường.- Tư vấn nhiệt tình chính xác nhất.- Ký hợp đồng trực tiếp với chủ nhà.- Có ưu đãi cho khách hàng đặt cọc trước.- Khách mua được xem trực tiếp căn hộ, làm việc chính chủ.- Đặc biệt khách hàng không mất phí môi giới và được hỗ trợ toàn bộ thủ tục sang tên cho người mua tới bao giờ xong, khách hàng hoàn toàn yên tâm. Tham gia bán từ lúc làm móng nhiều chủ tin tưởng giao cầm chìa khoá nhiều căn để mở cửa cho khách xem nhà 24/7.Danh sách các căn hộ cần bán gấp từ 1 đến 4 phòng ngủ:- Căn hộ 45m², loại studio - giá bán 3 tỷ cắt lỗ 300 triệu.- Căn hộ 95m², 2 ngủ 2 vệ sinh, giá 6,6 tỷ cắt lỗ 300 triệu.- Căn hộ 120m², 2 ngủ 3 vệ sinh, giá 8 tỷ cắt lỗ 500 triệu.- Căn hộ 125m², 3 ngủ, 3 vệ sinh, giá 8,3 tỷ cắt lỗ 300 triệu.- Căn hộ 138m², 3 ngủ 3 vệ sinh. Giá 9,5 tỷ cắt lỗ 200 triệu.- Căn hộ 142m², 3 ngủ 3 vệ sinh. Giá 9,9 tỷ cắt lỗ 500 triệu.- Căn hộ 172m², 4 phòng ngủ giá 12.9 tỷ cắt lỗ 600 triệu.-------------------------Tất cả những căn hộ đã có sổ đỏ, full nội thất, chỉ cần xách vali về ở.Dự án Lancaster Núi Trúc là tổ hợp căn hộ, khách sạn 5 sao: Bể bơi 4 mùa, gym, sauna, nhà hàng, siêu thị, nhà trẻ. Được đánh giá là 1 trong những tòa nhà đáng sống nhất Hà Nội, căn hộ với dịch vụ quản lý hoàn hảo theo tiêu chuẩn 5 sao của Nhật Bản.Liên hệ xem nhà miễn phí, 24/7 phục vụ khách hàng.Bất động sản Bình Minh:Hotline: 0944 266 *** - 0946.053.050.https://batdongsanbinhminh.vn/Email: support@batdongsanbinhminh.vnNgoài ra công ty chúng tôi còn chuyên mua bán, cho thuê các chung cư cao cấp khác tại quận Ba Đình, Đống Đa như Vinhomes Metropolis 29 Liễu Giai, Vinhomes 54A Nguyễn Chí Thanh, Sun Grand Plaza 69B Thụy Khuê...quý khách hàng quan tâm xin hãy gọi ngay hotline để được tư vấn miễn phí nhé. Cảm ơn quý khách hàng đã quan tâm!            ",125 m²,8.3 tỷ,3 phòng,3 phòng,17/11/2022,27/11/2022,Tin Vip 3,30408465,batdongsan_com_vn_30408465,,,Đã có sổ hồng,Để lại full nội thất cao cấp,,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Khuất Duy Tiến', 'Dự án Việt Đức Complex']","
Do không có nhu cầu ở đến nên tôi cần bán căn hộ 3PN 97m², 138m² suất ngoại giao giá tốt, cho những ai thiện chí. Liên hệ 0979 998 *** Hưng.            ",100 m²,3 tỷ,3 phòng,2 phòng,17/11/2022,27/11/2022,Tin Vip 3,35639648,batdongsan_com_vn_35639648,,,Sổ hồng lâu dài.,Nội thất cơ bản bàn giao chủ đầu tư gồm sàn gỗ trần thạch cao thiết bị vệ sinh và hệ thống chiếu sáng.,,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Dịch Vọng Hậu', 'Ngõ 34']","
Chính chủ bán tòa CC căn hộ Dịch vụ ngõ 34 phố Dịch Vọng Hậu, Trần Thái Tông, Cầu Giấy.+ Vị trí nhà nằm ngay đầu ngõ, cách mặt phố DV Hậu oto tránh đúng 30m.+ DT: 64m², 7 tầng thang máy xây mới 2021, mặt tiền 6.3m, hậu 6.3m vuông vắn không lỗi phong thủy. Mặt ngõ trước nhà gần 3m.+ Hiện đang vận hành 15 căn hộ cho thuê full phòng, dòng tiền hơn 70tr/tháng, 950tr/năm.+ Nội thất đầy đủ mỗi phòng đều có điều hoà, giường, tủ, bếp... (xem hình kèm theo) Phòng ngoài ban công thoáng sáng, phòng trong có các cửa sổ tất cả đều thoáng sáng.+ Khu vực giao cắt với các đường Trần Quốc Vượng, Trần Thái Tông, Duy Tân, Xuân Thuỷ, Dương Đình Nghệ, Cầu Giấy... Bến xe Mỹ Đình, ga tàu điện trên cao. Tập trung rất nhiều trường Đại học lớn như: Quốc Gia, Sư Phạm, Báo Chí, Thương Mại, Sân Khấu Điện Ảnh. Đông đúc, nhiều sinh viên, văn phòng, nhu cầu cho thuê cực cao.+ Sổ đỏ chính chủ, sẵn sàng giao dịch ngay.+ Giá bán: 13.1 tỷ(thương lượng).Liên hệ: Hương 0926 558 ***thông tin nhà và hình ảnh chính xác 100%).            ",64 m²,13.1 tỷ,15 phòng,15 phòng,17/11/2022,27/11/2022,Tin Vip 3,35867780,batdongsan_com_vn_35867780,6.3 m,7 tầng,Sổ đỏ/ Sổ hồng,,,Đông - Bắc,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Phố Thượng Thụy', 'Dự án Tây Hồ River View']","
Chính chủ cần tiền đẩy đi trước tết bán căn 2 và 3 ngủ chung cư Tây Hồ River View tầng trung, nội thất nguyên bản chủ đầu tư chưa sửa chữa gì nên khách hàng mua về tự sửa theo yêu cầu của mình. Giá rẻ cần đẩy đi lấy tiền tiêu tết. Liên hệ 0836 118 *** ",97 m²,Thỏa thuận,2 phòng,,17/11/2022,03/12/2022,Tin Vip 3,35863508,batdongsan_com_vn_35863508,,,Đang làm sổ,,,,
"['Hà Nội', 'Thường Tín', 'Xã Tự Nhiên']","
Bán đất có nhà vườn xã Tự Nhiên - Huyện Thường Tín - Hà nội.Cần tiền bán gấp 1,015m² đất thổ cư (DT: 28mx36,5m). Đất sổ đỏ 100%. Hiện đang có nhà vườn. Điện, nước đầy đủ.Phù hợp làm nhà vườn, homestay, đầu tư nông nghiệp sạch, xưởng sản xuất, đầu tư.Hiện trạng: Thế đất vuông đẹp, đường thông, rộng 7m, 2 ôtô tải tránh nhau.Xung quanh khu dân cư đông đúc, đi lại thuận lợi.Cách trung tâm Hà Nội 18km, cách đường Pháp Vân - Cầu Giẽ 2km.Giá bán: Thỏa thuận.Liên hệ chính chủ: 09026.66.86.            ",1015 m²,Thỏa thuận,,,15/11/2022,15/12/2022,Tin Vip 3,35842935,batdongsan_com_vn_35842935,,,Sổ đỏ,,,,
