address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Hướng ban công
"['Hà Nội', 'Hoàn Kiếm', 'Phường Trần Hưng Đạo', 'Đường Trần Hưng Đạo']","
Bán nhà phố Trần Hưng Đạo, quận Hoàn Kiếm diện tích 90m² 4 tầng 2 thang máy gara ô tô khu kinh doanh sầm uất, cho thuê 100 triệu/ tháng.Nhà trung tâm Hoàn Kiếm, cắt các tuyến phố Yết Kiêu, Dã Tượng, Trần Bình Trọng, Quán Sứ, Lý Thường Kiệt, Nguyễn Du, vài bước chân ra hồ Gươm, hồ Hale, công viên Lenin, Vincom Bà Triệu, gần bệnh viện Tim, Bệnh viện Bạch Mai, trường Kinh tế Quốc dân, Bách Khoa.Nhà tự xây chắc chắn, 2 thang máy, ô tô vào nhà, khu vực kinh doanh sầm uất phù hợp spa, phòng khám, văn phòng công ty.Thiết kế các tầng thông sàn chắc chắn, thoáng trước sau.Sổ đỏ nở hậu vuông vắn.Giá 31 tỷ có thương lượng.Liên hệ: Tôi, Minh Đức 0977 039 *** để được xem nhà. Xin cảm ơn.            ",90 m²,31 tỷ,6 m,5 m,Đông,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin thường,35645015,batdongsan_com_vn_35645015,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Đại Yên']","
+ Ngõ 279 Đội Cấn là ngõ ô tô tránh, có vỉa hè, thông sang phố Hoàng Hoa Thám, đã được Thành phố phê duyệt đổi tên là phố Đại Yên. Nằm ở trung tâm quận Ba Đình, tiện giao thông các ngả, ra Hồ Tây hay vào Phố Cổ cũng chỉ chừng dăm phút.Sổ đỏ chính chủ 83m², mặt tiền 5m rất đẹp, hướng Đông, gần về phía phố Đội Cấn, thửa đất vuông vắn, hiện trạng nhà cấp 4 tiện xây mới. Giá 16.3 tỷ - thương lượng chính chủ.+ Ngõ 283 Đội Cấn rộng thoáng, ô - tô tránh, dừng đỗ cửa thoải mái. Khu toàn tướng tá, đầu ngõ có bảo vệ canh gác, an ninh tuyệt đối. Gần các trường mầm non, đại học, gần chợ thuận tiện sinh hoạt.Mảnh đất cần bán 63m², mặt tiền 5.5m hướng Tây. Giá 10.4 tỷ - thương lượng chính chủ.* Liên hệ: 0906 299 *** - Trần Thọ - Chuyên gia Phong Thủy Địa Lý, trung gian kết nối giao dịch Bất động sản - Tôi giúp quý khách mua nhà vừa ý và hoàn toàn miễn phí, vì chủ nhà cần bán đã lo việc trả phí cho tôi rồi.            ",83 m²,Thỏa thuận,,,Đông,,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,34837347,batdongsan_com_vn_34837347,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Đại Yên']","
+ Mặt phố Đại Yên (Ngõ 279 Đội Cấn cũ) đường ô tô tránh, có vỉa hè rộng, thông sang phố Hoàng Hoa Thám, nằm ở trung tâm quận Ba Đình, tiện giao thông các ngả, ra Hồ Tây hay vào Phố Cổ đều thuận tiện.Sổ đỏ chính chủ 82.3m², mặt tiền đẹp 5m hướng về phía Đông, thửa đất vuông vắn, hiện trạng nhà cấp 4 tiện xây mới. Giá chủ nhà chào 16.3 tỷ - thương lượng chính chủ.+ Đất mặt tiền Ngõ 283 Đội Cấn, 63m, mặt tiền 5.5m hướng Tây. đường trước nhà rộng thoáng, ô - tô tránh, dừng đỗ cửa thoải mái. Khu toàn tướng tá, đầu ngõ có bảo vệ canh gác, an ninh tuyệt đối. Gần các trường mầm non, đại học, gần chợ thuận tiện sinh hoạt. Giá 10.4 tỷ - thương lượng chính chủ.* Liên hệ: 0906 299 *** - Trần Thọ - Chuyên gia Phong Thủy Địa Lý, trung gian kết nối giao dịch Bất động sản - Tôi giúp quý khách mua nhà vừa ý và hoàn toàn miễn phí, vì chủ nhà cần bán đã lo việc trả phí cho tôi rồi.            ",82.3 m²,Thỏa thuận,,,Đông,,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,34837302,batdongsan_com_vn_34837302,,
"['Hà Nội', 'Đống Đa', 'Phường Hàng Bột', 'Phố Tôn Đức Thắng']","
Bán tòa nhà mặt phố Tôn Đức Thắng - Hàng Bột:Diện tích 539m² mặt tiền 22m.Nhà 9 tầng 1 hầm - Thiết kế dạng văn phòng và ở trên.Sổ đỏ lâu dài - Trang thiết bị nội thất cao cấp - đầy đủ.Giá bán liên chính chủ.Liên hệ trưc tiếp: 0919 219 *** ",539 m²,Thỏa thuận,,,,9 tầng,,,,23/11/2022,30/11/2022,Tin thường,31290675,batdongsan_com_vn_31290675,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Sở hữu ngay căn hộ 1PN + 1, 1VS với 1.3 tỷ tại Vinhomes Ocean Park.- Tổng diện tích: 46.7m²; thiết kế: 1 phòng ngủ, 1WC, phòng khách, bếp và phòng đa năng. Các phòng rất vuông vắn, rộng rãi; đặc biệt là phòng đa năng, có thể làm phòng ngủ với giường tầng cho các bé hoặc làm phòng làm việc, phòng đọc sách thư giãn.- View công viên, vườn hoa cực đẹp.- Nội thất: Trần thạch cao, sàn nhà, thiết bị vệ sinh nhà tắm,- Pháp lý: Sổ đỏ chính chủ.- Giá bán: 1.3 tỷ.- Liên hệ xem nhà: 0812 602 *** ",46.7 m²,1.3 tỷ,,,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,23/11/2022,30/11/2022,Tin thường,34960717,batdongsan_com_vn_34960717,"Nội thất: Trần thạch cao, sàn nhà, thiết bị vệ sinh nhà tắm,",
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh']","
Bán Nhà Vân Canh-gần phố Nhổn 34M 5 Tầng-4P Ngủ,gần đường lớn-ô tô đỗ gần 2.45 tỷ- Nhà 5 Tầng: 4 phòng ngủ, 3 nhà tắm, 4 wc, sân phơi ,phòng thờ.- Tặng nội thất có sẵn trong nhà mới mua dùng được hơn năm.- Ngõ trước nhà rộng gần 3m thoáng, trải gạch đỏ cao ráo sạch sẽ.- Khu xung quanh, văn minh, an ninh yên tĩnh, dân trí.- Tiện ích đầy đủ: Gần chợ, trung tâm mua sắm các mặt hàng, trường học các cấp.- Chỉ 50m có bãi đô ô tô ngày đêm, an ninh.- Giao thông thuận tiện đường lớn: QL 70, Sa Đôi, Mỹ Đình, Trịnh Văn Bô, phố Nhổn, Cầu Diễn.- Gần Mỹ Đình, Cầu Giấy bán kinh 3 km.- Hô trợ vay ngân hàng để mua nhà nhanh gọn lãi suất thấp nhất.- Giá nhà: 2 tỷ 450 triệu (bao chí phí chuyển nhượng).Chi tiết liên hệ: Văn Vượng 0333 881 ***zalo).- Tư Vấn Chuyên Bán Nhà Đất Bắc - Nam Từ Liêm - Hoài Đức từ 2 tỷ - 4 tỷ, nhà xây mới, nhà dân cũ cần bán, ngõ rộng Ô TÔ, Kinh Doanh, Tiện ích.Xin chân thành cảm ơn.            ",34 m²,2.45 tỷ,4 m,3 m,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35308135,batdongsan_com_vn_35308135,Đầy đủ,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Trương Định']","
BÁN TOÀ CĂN HỘ CHUNG CƯ MINI, LÔ GÓC FULL NỘI THẤT 10 PHÒNG, THANG MÁY, DOANH THU 600tr/NĂMVỊ TRÍ NGÕ NÔNG GẦN PHỐ, TRƯỚC NHÀ THOÁNG SÁNG, LÔ GÓC NÊN PHÒNG NÀO CŨNG CÓ CỬA SỔ THOÁNG _Diện tích 60m cao 6 tầng lô góc _Thiết kế hiện đại, tâm huyết , phòng ngủ khách riêng biệt tạo nên không gian rộng rãi -T1 : thông sàn để xe -T2,3,4,5,6: tổng 10 phòng khép kín full nội thất _Vị trí cực đẹp, giao thông thuận tiện, khu vực nhu cầu thuê cao nên phòng luôn kín, doanh thu đều hàng tháng_Sổ đỏ nở hậu đẹp Giá bán 10.5 tỷ ( có thương lượng ) Lh 0936 094 *** Hoàng Anh để gặp chính chủ            ",60 m²,10.5 tỷ,6 m,3.5 m,,6 tầng,10 phòng,10 phòng,SỔ ĐỎ NỞ HẬU ĐẸP,27/11/2022,05/12/2022,Tin thường,35963945,batdongsan_com_vn_35963945,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu']","
- Nhà nằm vị trí cực đẹp, ngã 3 lô góc 3 mặt ngõ ô tô cực thoáng kiểu biệt thự. Trước nhà ô tô tránh nhau, vỉa hè 2 bên, đường thông bàn cờ ba bước ra công viên, cách Hồ Hoàng Cầu 100m.- Khu vực dân trí cao, an sinh tốt, khu kinh doanh cafe, cocktail, thời trang, thẩm mỹ.- Nhà hiện trạng xây 3 tầng, mỗi tầng 2 phòng, sân vườn, khách, bếp, khu để xe, ban công rộng, đủ công năng. Có thể sửa lại theo công năng sử dụng của gia chủ mới hoặc lên thêm tầng vô tư.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Liên hệ: 0918 352 *** - Đăng Bất động sản nhà phố Hà Nội.            ",120 m²,21.3 tỷ,6.6 m,10 m,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,23/11/2022,30/11/2022,Tin thường,35927042,batdongsan_com_vn_35927042,Đầy đủ,
"['Hà Nội', 'Hoàng Mai', 'Phường Vĩnh Hưng', 'Đường Vĩnh Hưng']","
Bán nhà phố Vĩnh Hưng - Hoàng Mai - Hà Nội.Diện tích 30m² x 4,5 tầng, nhà xây móng bè KBT vững chắc.- Tầng 1 thiết kế phòng khách - phòng bếp và vệ sinh phụ.- Tầng 2, 3, 4 mỗi tầng gồm 1 phòng ngủ rộng + vệ sinh.- Tầng tum: Sân phơi.Nhà thiết kế hiện đại tối ưu công năng sử dụng, nội thất sang trọng hài hòa.Vị trí: Nằm trong khu dân trí cao, an ninh tốt, nhiều tiện ích xã hội, hàng xóm thân thiện, ngõ trước nhà rộng, ô tô đỗ cách nhà 30m.- Giá: 3.2 tỷ (có bớt).Liên hệ: Mr Đoàn 0989 212 ***miễn trung gian).            ",30 m²,3.2 tỷ,,3 m,,5 tầng,3 phòng,4 phòng,Sổ hồng.,24/11/2022,01/12/2022,Tin thường,30989606,batdongsan_com_vn_30989606,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Mạc Thái Tổ']","
- Chủ nhà cần bán gấp căn nhà mặt phố Mạc Thái Tổ, gần mặt phố Trung Kinh. Khu vực cực hiếm nhà bán.- Vỉa hè rộng 5m, cho thuê kinh doanh hoặc tự kinh doanh. Hiện tại chủ vừa ở, vừa cho thuê.- Khu vực dân trí cao, hàng xóm khu phân lô Trung Kính, các trường điểm như trường Nguyễn Siêu, trường THCS Cầu Giấy, trường tiểu học Yên Hoà, trường THCS Yên Hoà...- Nhà chủ tự xây cực kì chắc chắn, 6 tầng, nội thất cao cấp.- Gần phố Hạ Yên Quyết, phố Trung Kính, Phố Vũ Phạm Hàm, phố Phạm Văn Bạch, gần các toà chung cư Trung Kính.- Sổ đỏ vuông đẹp, pháp lý chuẩn.            ",58 m²,20.7 tỷ,4.5 m,6 m,,,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35963943,batdongsan_com_vn_35963943,Đầy đủ,
