address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Pháp lý
"['Hà Nội', 'Ba Đình', 'Phường Trúc Bạch', 'Phố Châu Long']","
+ Chính chủ cần bán gấp nhà 8 tầng thang máy lô góc đẹp nhất mặt phố Châu Long, phường Trúc Bạch, Ba Đình, DT 73m², MT 5,4m, giá nhỉnh 30 tỷ, có thương lượng.+ Nhà gia đình tự xây vô cùng tâm huyết, thiết kế cực kỳ đẹp và hiện đại, nội thất cao cấp.+ Vị trí đẹp nhất phố nhà lô góc 1 mặt phố và 1 mặt ngõ có mở cửa cả 2 mặt cực kỳ thoáng, nhà có cả lối đi phía sau rất tiện, cách hồ Trúc Bạch chỉ vài bước chân, phố Châu Long thông rất nhiều tuyến phố lớn, Nguyễn Trường Tộ, Quán Thánh, Phó Đức Chính, Nghi Tàm., sang phố cổ vài phút xe máy, cách hồ Trúc Bạch chỉ vài bước chân.+ Thiết kế:- Tầng 1 và tầng 2 thông sàn cho thuê kinh doanh thời trang.- Tầng 3,4,5,6 mỗi tầng là 1 căn hộ khép kín với đầy đủ trang thiết bị nội thất cao cấp.- Tầng 7 là phòng khách và phòng ăn.- Tầng 8 là phòng thờ sân phơi.+ Sổ vuông vắn, không lỗi phong thủy.+ Cam kết thông tin chuẩn mực.+ Qúy khách quan tâm vui lòng LH: Mạnh Hà số đt: 0943 416 *** ",73 m²,30 tỷ,5.4 m,20 m,Tây,8 tầng,8 phòng,7 phòng,Đầy đủ trang thiết bị nội thất cao cấp.,25/11/2022,02/12/2022,Tin thường,35949981,batdongsan_com_vn_35949981,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Hyundai Em bán căn 3 ngủ 139m², đồ cơ bản CT5, nhà đẹp chủ Hàn Quốc.Căn số 02 trục CT5 cực thích ạ quá mát mẻ.Ban công Đông Nam cửa Đông Bắc.Có slot ô tô.Nhà không thấm ẩm Sô lệch sàn.E Đạt cư dân Hyundai phòng 1405 CT2 xem nhà ạ.            ",139 m²,5 tỷ,,,Đông - Bắc,,3 phòng,2 phòng,Đồ cơ bản ,29/11/2022,09/12/2022,Tin thường,35875214,batdongsan_com_vn_35875214,Đông - Nam,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Chủ cần bán gấp 3 ngủ 136m², ban công Đông Nam Hyundai.Để lại đồ cơ bản nhà còn rất rất đẹp không thấm ấm sổ lệch sàn.Tầng trung view cực thích công viên hà trì không ồn ào.Ban công Đông Nam cửa Tây Bắc lộng gió mát mẻ.Có Slot đỗ oto dưới hầm Hyundai.E Đạt cư dân Hyundai phòng 1405 Ct2 xem nhà ạ.            ",136 m²,4.8 tỷ,,,Tây - Bắc,,3 phòng,2 phòng,Đồ cơ bản,29/11/2022,09/12/2022,Tin thường,35875056,batdongsan_com_vn_35875056,Đông - Nam,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Hàng đẹp Hyundai 3 ngủ 123m² tầng trung đồ cơ bản nhà cực mới.Ban công Tây Nam cửa Đông Nam.Đồ cơ bản có slot ô tô.Nhà không thấm ẩm nét căng.Tầng trung rất đẹp view chợ 365.Bác nào kết ới em Đạt cư dân Hyundai P1404 CT2.            ",123 m²,4.5 tỷ,,,Đông - Nam,,3 phòng,2 phòng,Đồ cơ bản,29/11/2022,09/12/2022,Tin thường,35874887,batdongsan_com_vn_35874887,Tây - Nam,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Hyundai 139m², 3 ngủ cùng toà CT2 với em lên sàn ạ.Ban công Tây Bắc, cửa Tây Nam.Đồ cơ bản nhà đẹp nét căng ạ.E Đạt cư dân Hyundai P1405 CT2.            ",139 m²,4.55 tỷ,,,Tây - Nam,,3 phòng,2 phòng,Đồ cơ bản,29/11/2022,09/12/2022,Tin thường,35459082,batdongsan_com_vn_35459082,Tây - Bắc,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Hyundai e bán căn 139m² tầng trung cực đẹp ban công Đông Nam nhà đẹp nét.Full đồ chỉ xách quần áo về ở.Nhà ko thấm ẩm sô lệch sàn quá mới.Nhà có slot đỗ ô tô hầm.Giá quá đẹp ạ.E Đạt cư dân Hyundai p1405 ct2.            ",139 m²,5.55 tỷ,,,,,3 phòng,2 phòng,Full đồ,29/11/2022,09/12/2022,Tin thường,34641974,batdongsan_com_vn_34641974,Đông - Nam,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Hàng hiếm 3 ngủ tầng trung ct1 trục 7 - 8 Hyundai.Ban công Đông Nam.Có slot ô tô.Đồ cơ bản nhà rất đẹp ạ.E Đạt cư dân Hyundai phòng 1405 CT2.            ",139 m²,5.4 tỷ,,,,,3 phòng,2 phòng,Đồ cơ bản,29/11/2022,09/12/2022,Tin thường,35459071,batdongsan_com_vn_35459071,Đông - Nam,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Hyundai em bán căn 139m² đồ cơ bản CT5 nhà đẹp đông nam tầng trung.Ban công Đông Nam cửa Đông Bắc.Có slot ô tô.Nhà ko thấm ẩm Sô lệch sàn.E Đạt cư dân Hyundai phòng 1405 ct2 xem nhà.            ",139 m²,5.1 tỷ,,,Đông - Bắc,,3 phòng,2 phòng,Đồ cơ bản,29/11/2022,09/12/2022,Tin thường,35037238,batdongsan_com_vn_35037238,Đông - Nam,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Lên sóng căn 134m², 3PN ban công Đông Bắc, cửa Tây Nam rất hiếm có.Tầng trung đẹp.Để lại đồ cơ bản.Trước giờ chỉ cho Hàn Quốc thuê nên còn rất mới không thấm ẩm sổ lệch sàn.Giá cực đẹp cho căn 134m².E Đạt cư dân Hyundai P1404 CT2.            ",134 m²,4.7 tỷ,,,Tây - Nam,,3 phòng,2 phòng,Đồ cơ bản,29/11/2022,09/12/2022,Tin thường,35632896,batdongsan_com_vn_35632896,Đông - Bắc,Hợp đồng mua bán
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Hyundai Hillstate']","
Chủ Hàn bán căn quá đẹp 139m² 3 ngủ Hyundai CT2.Cùng toà với em luôn.Tầng siêu đẹp - để lại đồ cơ bản.Ban công Tây Bắc - cửa Đông Bắc.Bác nào kết alo e Đạt nhé cư dân Hyundai P1405 CT2.            ",139 m²,4.7 tỷ,,,Đông - Bắc,,3 phòng,2 phòng,Đồ cơ bản,29/11/2022,09/12/2022,Tin thường,35592157,batdongsan_com_vn_35592157,Tây - Bắc,Sổ đỏ/ Sổ hồng
