address,gen_descrip,Diện tích,Mức giá,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Nội thất,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Láng', 'Số 90 ngõ 508']","
Bán tòa chung cư mini, sạch đẹp, mới, sắp hoàn thiện.Tình trạng cập nhật đầu tháng 11/2022: Đang ốp lát các phòng.Dự kiến hoàn thiện: Hết tháng 1/2023.Đã có sổ đỏ, liên hệ 0979 407 *** để nhận chi tiết hình ảnh sổ đỏ và thiết kế mặt bằng.* Địa chỉ: Số 90 ngõ 508 Đường Láng (Tổ 10A Phường Láng Hạ) - (Đi ngõ 105 Láng Hạ).- Diện tích sổ 76.7m² (thực tế: 64m²), 2 thoáng.- Ngõ xe 3 gác.- Xây dựng 8 tầng, tổng 20 phòng.- Dòng tiền cho thuê cả nhà 80tr/tháng, tự vận hành 120tr/ tháng.* Giá bán chỉ: 13.5 tỷ.Liên hệ trao đổi thêm ngay: Phạm Thành 0979 407 ***.            ",76.7 m²,13.5 tỷ,8 tầng,Sổ đỏ,24/11/2022,01/12/2022,Tin thường,35943694,batdongsan_com_vn_35943694,,,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', 'Đường Thành Công']","
Bán căn hộ 2PN 1WC mặt phố Thành Công.Khu tập thể Bắc Thành Công, Ba Đình, Hà Nội.- Diện tích 55m².- Diện tích sổ đỏ 26m².- Hình ảnh thực tế.- Giá bán chỉ 1.98 tỷ.Liên hệ Phạm Thành để trao đổi thêm: 0979 407 ***Ưu điểm:- Các khu nhà tập thể được xây dựng với mật độ rất ít. Số lượng căn hộ nhỏ, tầng thấp cùng với diện tích hành lang rộng lớn. Nhờ yếu tố này, mọi người sẽ có được không gian sống rộng rãi, thoáng khi ở nhà tập thể.- Nằm trên mặt đường lớn và rất thuận tiện giao thông đi lại.- Giá cả cực kì phải chăng.            ",55 m²,1.98 tỷ,,,22/11/2022,29/11/2022,Tin thường,35924208,batdongsan_com_vn_35924208,2 phòng,1 phòng,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Hoàng Đạo Thúy', 'Dự án Trung Hòa Nhân Chính']","
Chung cư N5A Hoàng Đạo Thúy, là phố cực sầm uất tại phường Trung Hòa.- Diện tích 68m² sổ.- Làm lại 76m².- Sửa thành 2PN 1WC siêu đẹp.- Giá bán chỉ 2,5 tỷ.- Để lại toàn bộ đồ nội thất, chỉ mang đi tivi.- Hình ảnh thực tế.Liên hệ Phạm Thành 0979 407 *** ",76 m²,2.5 tỷ,,Có sổ.,23/11/2022,30/11/2022,Tin thường,35928582,batdongsan_com_vn_35928582,2 phòng,1 phòng,"Để lại toàn bộ đồ nội thất, chỉ mang đi tivi.",,,,
"['Hà Nội', 'Cầu Giấy', 'Dự án Thăng Long Number One']","
Bán nhanh giá mềm! Siêu Phẩm cực Hiếm!Căn hộ chung cư Thăng Long Number One - Trung Hòa - Cầu Giấy - Hà Nội- Diện tích 87m2- Là căn 2 phòng ngủ, 2WC rộng thoáng- Full nội thất cao cấp- Nội thất mới 100% gỗ an cường, đá cao cấp macble- Ban công Nam ghé Bắc- Đặc biệt tầm view kiệt tác panorama, Park view triệu đô tuyệt phẩm khoáng đạt, Có 1 Không 2* Giá yêu thương 52triệu/m2- Có thương lượng cho khách thiện tríLiên hệ ngay em Phạm Thành để không bỏ lỡ: 0979 407 ***Xin cảm ơn            ",87 m²,52 triệu/m²,,,26/11/2022,03/12/2022,Tin thường,35957618,batdongsan_com_vn_35957618,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án KĐT Văn Phú']","
Chính chủ bán biệt thự - kđt Văn Phú - Hà Đông.Vị trí tuyệt đẹp giá rẻ bất ngờ.Đường rộng thênh thang.Vỉa hè đá bóng.185m² 4 tầng chỉ 24 tỷ.Biệt thự Văn Phú - vị trí cực đẹp.Nội thất hoàng gia - vỉa hè rộng.Hạ tầng đồng bộ - nhiều cây xanh.Kinh doanh đỉnh - xem nhà là mê.* Chủ nhà trẻ tuổi là ông chủ doanh nghiệp lớn.+ Bán nhà đi mua nhà to hơn, nhà đẹp có lộc.+ Chủ đang vừa ở và mở VP công ty.+ Thiết kế:- Tầng 1: Gara ô tô, sân vườn, tiểu cảnh, VP làm việc, WC.- Tầng 2: 01 phòng khách chính và 02 phòng ngủ, WC.(đều chuyển thành phòng làm việc).- Tầng 3: 03 phòng ngủ, bếp, WC, bếp.- Tầng 4: Phòng thờ, sân phơi.+ Sổ đỏ nở hậu đẹp. Cất két.* Liên hệ ngay Mr Thắng: 0916 569 **** Để được xem nhà miễn phí.            ",185 m²,24 tỷ,4 tầng,Sổ đỏ,27/11/2022,04/12/2022,Tin thường,35197774,batdongsan_com_vn_35197774,5 phòng,5 phòng,,8.5 m,17 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
Bán gấp nhà phân lô Trần Quốc Hoàn, Cầu Giấy, DT 50m² x 6T thang máy nhập x MT 4.1m x 7 chỗ vào nhà x kinh doanh đỉnh.Liên hệ em Sỹ 0988 117 *** để xem luôn trong ngày.Vị trí: Nhà thuộc khu phân lô cán bộ, giáo viên khu dân trí cao, an ninh cực đảm bảo, phân lô bàn cờ ô tô tránh - thông sang Nguyễn Phong Sắc.- Nhà nằm vị trí cực đẹp gần ngay ngã tư Nguyễn Phong Sắc - Phố Ẩm Thực Tô Hiệu.- Nhà nằm sát mặt phố và nhiều điểm dừng đỗ ô tô, nên rất thuận tiện để ở và kinh doanh đang dạng như: Làm văn phòng công ty - spa - phòng khám - hay trung tâm tin ngoại ngữ...Thiết kế:- Nhà xây mới theo phong cách tân cổ điển cực kỳ đẹp, đầy đủ công năng tổng 6 ngủ, Thang máy nhập, nội thất xịn xò - chỉ việc sách vali tiền về ở ngay.Pháp lý: Sổ phân lô chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.Giá 15.6 tỷ có thương lượng khách thiện chí.Liên hệ em sỹ 0988 117 ***.Không tiếp môi giới.            ",50 m²,15.6 tỷ,6 tầng,Sổ phân lô,24/11/2022,01/12/2022,Tin thường,34419608,batdongsan_com_vn_34419608,6 phòng,7 phòng,,4.1 m,5 m,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Triều Khúc']","
Bán gấp - biệt thự phố Triều Khúc - Thanh Trì - Hà Nội - 100m² 5 tầng - MT 9m - gara - ô tô - nhỉnh 11 tỷ.+ Mặt tiền rộng miên man.+ Nhà xây 5 tầng kiểu biệt thự.+ Khách mua có thể cải tạo để ở thì lý tưởng hoặc xây mới tòa chung cư mini 8 tầng thì hái ra tiền.+ Hiện trạng nhà 5 tầng 6 phòng ngủ, khung bê tông cốt thép chắc chắn.+ Chủ chỉ tính tiền đất tặng toàn bộ ngôi biệt thự hiện tại.* Sổ đỏ đẹp chính chủ, giao dịch ngay.* Liên hệ ngay, Mr Thắng 0916 569 **** Để được xem nhà miễn phí.            ",100 m²,11 tỷ,5 tầng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35823214,batdongsan_com_vn_35823214,6 phòng,7 phòng,,9 m,5 m,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Xuân La', 'Ngõ 40']","
Bán gấp nhà liền kề khu vip quan chức Xuân La, Tây Hồ, 105m² - 7T thang máy - MT 5.6m, 24.5tỷ - sát shophouse kosmo - ở và kinh doanh đỉnh caoGọi em sỹ: 0988 117 *** để đi xem luôn.+ Giá đầu tư, khoảng hơn 200 tr/m² mua đầu tư giữ tiền cực ngon, giá này ngang mua đất.+ Tòa văn phòng công ty - hay khách sạn - căn hộ homestay cực tốt+ Nhà nằm trong khu dự án nhà ở 40 Xuân La, đối diện dãy shophouse liền kề chung cư Kosmo đi vào, đường rộng thênh thang.+ Thông sang Ngoại giao đoàn - KDT Tây Hồ Tây - Stalake.+ Nhà xây dựng mới tinh, thiết kế hiện đại, thoáng trước, thoáng sau.+ Đường trước nhà rộng 15m, có vỉa hè ô tô tránh nhau, dừng đỗ thoải mái.+ Hưởng trọn tiện ích Lotte Cinema Kosmo.+ Khu vực có rất ít nhà bán, dân cư đông đúc, văn minh dân trí cực cao, hàng xóm toàn quan chức.+ 2 phút để đi ra Lotte Mall, 2 con rồng, công viên nước.+ Thiết kế 7 tầng thang máy, cầu thang ở giữa, Mỗi tầng có 2 phòng ngủ - khép kín.+ Kinh doanh văn phòng công ty, hay căn hộ homestay, gia đình ở đều phù hợp.+ Sổ đỏ chính chủ, vuông đét, sẵn sàng giao dịch.Giá cả 24.5tỷ có thương lượng cho khách thiện chí.Liên hệ ngay em Sỹ 0988 117 ***.Miễn môi giới - trung gian            ",105 m²,24.5 tỷ,7 tầng,Sổ đỏ,27/11/2022,04/12/2022,Tin thường,32618561,batdongsan_com_vn_32618561,8 phòng,,,5.6 m,15 m,,
"['Hà Nội', 'Bắc Từ Liêm', 'Xã Đông Ngạc', 'Dự án IA20 Ciputra']","
Chung cư IA20 Ciputra suất ngoại giao 92m² gia 2,2tỷ 0382 276 ***Để đảm bảo quyền lợi khi mua căn hộ - xin vui lòng liên hệ trực tiếp quản lý dự án để chọn căn - tầng.- Quản lý dự án - Mr. Thanh: 0382 276 ***Hiện tôi đang có mấy suất ngoại giao chung cư IA20 Ciputra nhà ở của thành phố Hà Nội dành cho cán bộ cấp cao. Dự án nằm trong quần thể KĐT Ciputra tiếp giáp với hai trục đường huyết mạch chính là Phạm Văn Đồng - Võ Chí Công. Chung cư IA20 Ciputra KĐT Nam Thăng Long được thừa hưởng toàn bộ tiện ích cao cấp đã tích hợp sẵn của KĐT Ciputra, là một phức hợp tòa nhà căn hộ cao cấp trong quần thể Ciputra. Dự án gồm có 02 tòa chung cư cao 29 tầng - 01 tòa cao 40 tầng và biệt thự - liền kề. Khu vực dân trí cao, an ninh đảm bảo 24/24, gần và tích hợp đầy đủ các tiện ích cao cấp, giao thông hết sức thuận tiện, không gian sống đẳng cấp và cảnh quan mang đến hơi thở trong lành.- Diện tích căn hộ: 92m² - 95m² - 98m² - 100m² - 107m² - 110m² - 112m².- Giá gốc: 16.8tr/m²  - 18,5tr/m² (Chưa bao gồm thuế VAT) + chênh thấp.I - Tiến độ thanh toán:1 - Đóng 30% giá trị căn hộ ngay khi ký Hợp đồng và nhận nhà.2 - Đóng 70% sau 7 - 15 ngày bằng vốn tự có hoặc hỗ trợ vay Bank lên 20 năm.II. Thông tin dự án:- Tên dự án: Cụm công trình nhà ở khu I. A20 khu đô thị Nam Thăng Long.- Vị trí: Lô đất I. A20 Khu Đô Thị Nam Thăng Long, Phường Đông Ngạc, Q. Bắc Từ Liêm, TP. Hà Nội (Ciputra - Hà Nội).- Chủ đầu tư: Công Ty CPĐT BĐS Đông Đô - Bộ Quốc Phòng.- Đơn vị thi công: Tập đoàn Vingroup & Tổng công ty đầu tư phát triển hạ tầng đô thị - UDIC.- Đơn vị thiết kế: Công Ty Cổ Phần Kiến Trúc Tây Hồ.- Quy mô khu đất rộng 30.091m², trong đó:+ Khu cao tầng: 18.329m², gồm 3 tòa chung cư cao tầng 29 - 40 tầng.+ Sân vườn: 7.214m².+ Bãi đỗ xe ngoài trời: 1.020m².+ Cây Xanh + Sân Chơi: 2.481m².+ Khu thấp tầng: 5.356m².+ Giao thông nội bộ: 3.825m².- Mật độ xây dựng:+ Khu cao tầng: 54,5% đối với khối đế và 35,5% đối với phần thân.+ Khu thấp tầng: 77,6%.III. Vị trí dự án:- Chung cư IA20 Ciputra nằm về phía Tây Bắc Hà Nội, toạ lạc trên đường Phạm Văn Đồng - quận Bắc Từ Liêm và Võ Chí Công, quận Tây Hồ - Hà Nội. Phía ông giáp đường Võ Chí Công - vành đai 2, bao quanh bởi sông Hồng và Hồ Tây.- Dự án chung cư I. A20 Ciputra được xây dựng với mục đích chính là đáp ứng nhu cầu nhà ở cho cán bộ cấp cao thuộc các ban ngành như: Văn Phòng Quốc Hội, Văn Phòng Chính Phủ, Văn Phòng Trung Ương Đảng,... Vậy nên, nếu so sánh với các dự án thương mại cùng khu vực, trong quần thể khu đô thị Ciputra, thì giá bán căn hộ tại chung cư I. A20 đang là thấp nhất, cạnh tranh nhất. Đây chính là cơ hội sở hữu/đầu tư căn hộ trong quần thể khu đô thị đẳng cấp bậc nhất thủ đô Hà Nội.- Quản lý dự án: Mr. Thanh: 0382 276 ***- Email: lethanh.ocd@gmail.com.- http://www.ia20ciputrabanmua.com/- https://ia20ciputra.com/- http://ia20ciputra.net/            ",92 m²,2.2 tỷ,,,24/11/2022,01/12/2022,Tin thường,14810207,batdongsan_com_vn_14810207,3 phòng,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án An Vượng Villa']","
Do không có nhu cầu sử dụng nên gia đình chuyển nhượng lại lô biệt thự An Vượng Villa KĐT Dương Nội, Nam Cường.- Lô số: A3 - L12.- Diện tích: 227m² góc.- Đường: 24m và 13.5m.- Hướng Đông Nam.- Cách công viên hồ 50m.- Cách Aeon Mall: 100m.Giá bán liên hệ: 0985 929 *** ",227 m²,Thỏa thuận,3 tầng,Sổ đỏ lâu dài,27/11/2022,04/12/2022,Tin thường,34822221,batdongsan_com_vn_34822221,4 phòng,4 phòng,Xây thô hoàn thiện mặt ngoài nguyên trạng CĐT,15 m,24 m,Đông - Nam,Đông - Nam
