address,gen_descrip,Diện tích,Mức giá,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Số phòng ngủ,Hướng ban công,Số toilet,Nội thất,Đường vào
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Nguyễn Văn Huyên']","
+ Cách 1 nhà ra mặt phố Nguyễn Văn Huyên, kinh doanh sầm uất ngày đêm, nhiều quán ăn, nhà hàng, ngân hàng.+ Ngõ trước nhà ô tô 16 chỗ chạy qua, xe 7 chỗ dừng đỗ. Giao thông thuận lợi, gần nút giao thông Nguyễn Văn Huyên, Nguyễn Khánh Toàn, Trần Đăng Ninh, Cầu Giấy đi lại thuận lợi bằng xe buýt, tàu điện trên cao, bến xe + Gần công viên Nghĩa Đô, trường tiểu học Dịch Vọng, trường trung học cơ sở dịch vọng, đại học Thủ Đô, đại học Giao Thông Vận Tải, cao đẳng điện lạnh, chợ Quan Hoa... tiện ích không thiếu.+ Phù hợp vừa ở vừa kinh doanh, văn phòng, spa, trung tâm anh ngữ.... Chủ cam kết dòng tiền 60tr/tháng. hiện đang cho thuê Apartment. + Nhà thiết kế hiện đại, đẹp: T1,2 thông sàn.T3,4 mỗi tầng 2 phòng ngủ.T5 Phòng thờ, nhà ăn.T6 Sân phơi, tiểu cảnh.+ Liên hệ ĐT/zalo : Mai Phạm 0335 060 *** ",48 m²,11.3 tỷ,6 tầng,Sổ đỏ,01/12/2022,08/12/2022,Tin thường,34840590,batdongsan_com_vn_34840590,,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Đường Nhật Tảo', 'Ngõ 7']","
Cơ gội tốt sở hữu ngay lô đất sinh lời cao tại.Ngõ 7 Nhật Tảo, Đông Ngạc, Bắc Từ Liêm.Đỉa chỉ: Ngõ 7 Nhật Tảo, Đông Nạc, Bắc Từ Liêm.Mảnh đất vuông vắn cách 50m ra đường trục chính Nhật Tảo, ngõ 7 thông sang ngõ 23 rộng thông thoáng.Pháp lý: Sổ đỏ chính chủ.Diện tích: 83m².Mặt tiện: 6.5m.Hướng: Đông.Vị trí đẹp, giao thông đi lại thuận tiện sang các hướng.Thích hợp đầu cơ sinh lời hoặc xây nhà ở kiên cố.Khu vực an ninh tốt, thích hợp an sinh và định cư hoặc đầu tư xây chung cư mini là kênh đầu tư tạo ra dòng tiền tốt và ổn định, mảnh đất có thể chia làm 2 lô, các tiện ích xung quanh đầy đủ, gần trường học mầm non, trường cấp I, cấp II, gần tòa Sunshine city - IA20 Ciputra..Giá: 5,85 tỷ.Xin liên hệ chính chủ: Vũ Cường (Không môi giới và quảng cáo).            ",83 m²,5.85 tỷ,,Sổ đỏ/ Sổ hồng,10/10/2022,08/01/2023,Tin thường,35389743,batdongsan_com_vn_35389743,6.5 m,Đông,,,,,
"['Hà Nội.', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Nguyễn Khánh Toàn']","
+ Con phố hot nhất quận Cầu Giấy cho loại hình kinh doanh phòng trọ, CCMN, giá thuê cao ngất ngưởng.+ Nhà gần ô tô, khổ đất thông số vàng. Giao thông kết nối các ngả: Hoàng Quốc Việt, Nguyễn Văn Huyên, Nguyễn Phong Sắc, Cầu Giấy Đi lại bằng xe buýt, tầu điện trên cao, bến xecực kì thuận lợi.+ Gần Trường Đại học Thủ đô Hà Nội, Trường Cao Đẳng Điện Tử - Điện Lạnh Hà Nội, Trường THPT Cầu Giấy, Trường Tiểu học và THCS FPT, ĐH FPT, Bảo tàng Dân tộc học Việt Nam, công viên Nghĩa Đôxung quanh nhiều toà chung cư, văn phòng. Tiện ích không thiếu gì từ chăm sóc sức khỏe, trường học, mua sắm, giải trí.+ Xây dựng: 7 tầng, tầng 3 phòng, tổng 16 phòng khép kín có gác xép, full nội thất.+ Nhà để sẵn ô chờ thang máy.Thiết kế:+ Tầng 1: Phòng để xe và 1 phòng bảo vệ.+ Tầng: 2,3,4,5 mỗi tầng 3 phòng ngủ rộng + phụ.+ Tầng 6: 4 phòng.+ Tầng 7: Sân phơi, máy giặt, cho thuê lắp cột sóng của Vinaphone 8tr/ tháng.Sổ đỏ đẹp, sẵn sàng giao dịch.Liên hệ ĐT/zalo: Mai Phạm 0335 060 *** ",90 m²,12.5 tỷ,7 tầng,Sổ đỏ/ Sổ hồng.,01/12/2022,08/12/2022,Tin thường,35535830,batdongsan_com_vn_35535830,,,16 phòng,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Phạm Văn Đồng']","
Chính chủ - Bán chung K1 Công Viên Hòa Bình - Xuân Đỉnh - Bắc Từ Liêm.Liên hệ Trường chủ đầu tư 0971 846 ***Tòa nhà nằm trung tâm quận, đi lại thuận tiện giữa các quận, gần công viên, gần chợ, siêu thị, trường học cấp 1 cấp 2 cấp 3.Giá bán: 599tr - 752tr - 946tr - hơn 1 tỷ.Diện tích: 45m² - 48m² - 49m² - 52m² - 56m².Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Liên hệ chủ đầu tư.            ",45 m²,600 triệu,,Sổ đỏ/ Sổ hồng,02/12/2022,09/12/2022,Tin thường,35157614,batdongsan_com_vn_35157614,,Tây,2 phòng,Đông,1 phòng,Nội thất đầy đủ về ở ngay,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Miếu Đầm']","
+ Toạ lạc tại vị trí tương đối đẹp, giao thương với các đường phố lớn của thành phố, sân vận động Mỹ Đình, bến xe, Trường học các cấp, đi lại thuận tiện.+ Vỉa hè rộng, lô góc, giá hợp lý, kinh doanh cực kỳ sầm uất, xung quanh công năng tiện ích ngập tràn không thiếu thứ gì, gần khách sạn hạng sang.+ Thiết kế 5 tầng hiện đại, khung cột chắc chắn, vừa ở vừa cho thuê cực kỳ hợp lý. Móng 7 tầng lên thêm tầng thoải mái, có ô chờ thang máy.+ Thiết kế:- T1,2,3: Ảnh viện áo cưới thuê 25tr/tháng.- T4: 2 Phòng ngủ + WC.- T5: Phòng ngủ + phòng bếp + sân phơi.+ Sổ đỏ đẹp, sẵn sàng giao chủ mới.+ Liên hệ: Mai Phạm 0335 060 *** ",50 m²,12.2 tỷ,5 tầng,,01/12/2022,08/12/2022,Tin thường,35550235,batdongsan_com_vn_35550235,,,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Di Ái']","
Bán nhà khu tập thể may Minh Hà sát mặt đường Di Ái - Di Trạch - Hoài Đức.DT: 42m² x 4 tầng.MT: 3.7m.- Ôtô vào tận cửa nhà 2 mặt thoáng trước sau, vị trí sát mặt đường vành đai 3.5 gần công viên và hưởng toàn bộ tiện ích khu đại đô thị Hinode royal park rộng 146.8ha, sát trung tâm thể thao quốc gia Nhổn.- Khu tập thể dân trí cao, an ninh tốt, gần đường 32 phố Nhổn giao thông rất thuận tiện.- Giá bán: 3,6 tỷ.LH: Anh Tú. 0968 371 ***. Để đi xem nhà thực tế.            ",42 m²,3.6 tỷ,4 tầng,,05/12/2022,12/12/2022,Tin thường,35891194,batdongsan_com_vn_35891194,3.7 m,,4 phòng,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Dương Quảng Hàm']","
Mô tả:+ Vị trí đẹp, Lô góc nên rất thoáng sáng. Ngõ thông tứ phía, Ô tô tránh., kết nối giao thông với nhiều tuyến phố lớn: Cầu Giấy, Nguyễn Văn Huyên, Nguyễn Khánh Toàn, Trần Đăng Ninh... Đi lại thuận lợi bằng xe buýt, tầu điện trên cao, bến xe.+ Hiện có 2 cửa hàng cho thuê và 23 phòng doanh thu đạt 100tr/th.+ Gần các trường đại học lớn: Học Viện Báo Chí, Đại Học Sư Phạm, Đại Học Quốc Gia, ĐH Thủ Đô. Khu vực luôn full phòng. Dòng tiền luôn ổn định.+ Thiết kế:Tầng 1: 2 cửa hàng cho thuê. Để xe.Tầng: 2 - 3 - 4 - 5 mỗi tầng 5 phòng.Tầng 6: 3 phòng.+ Sổ chính chủ. Chờ giao dịch.+ Liên hệ ĐT/zalo: Mai Phạm 0335 060 *** ",107 m²,19.2 tỷ,6 tầng,,01/12/2022,08/12/2022,Tin thường,34840226,batdongsan_com_vn_34840226,,,23 phòng,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Dương Khuê']","
Chủ cần bán gấp - sổ vuông bao diêm - vỉa hè - ô tô tránh - khu vực đông dân cư kinh doanh đủ các thể loại.+ Vị trí quá đẹp tuyến đường thông Nguyễn Hoàng, Lê Đức Thọ... Đi lại thuận lợi bằng xe buýt, tầu điện trên cao.+ Gần bến xe Mỹ Đình và bệnh viện 198, siêu thị, chợ..+ Gần rất nhiều trường Đại học lớn, trường cấp 1,2,3 liên cấp.+ Để ở hoặc kinh doanh văn phòng, spa, thẩm mỹ... kinh doanh đủ loại.+ Hiện trạng cấp 4 lợp tôn, để không.+ Sổ vuông đét trước sau như một.+ Liên hệ ĐT zalo: Mai Phạm 0335 060 *** ",40 m²,10.8 tỷ,6 tầng,Sổ đỏ,01/12/2022,08/12/2022,Tin thường,34933801,batdongsan_com_vn_34933801,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Thái Tông']","
Nhà đẹp Trần Thái Tông 56m², gần ô tô, gần phố, giá: 7.4 tỷ, LH: 0968 371 ***+ Nhà nằm khu vực trung tâm của quận Cầu Giấy, khu vực hiếm nhà bán.+ Nhà mới xây vài năm nên còn rất mới. Ngõ nông, xe ba gác tránh.- Khu vực dân cư đông đúc, an ninh an toàn.- Nhà mình mới xây vài năm khách mua chỉ việc ở ngay, nội thất sang, sịn, mịn.+ Nhà gần phố, ôtô cách 30 mét, ngõ rộng.+ Thiết kế:- Tầng 1: Để xe, bếp, phòng Khách.- Tầng 2: 2 Phòng ngủ, Vs.- Tầng 3: 2 phòng + WC ngoài.- Tầng 4: 2 phòng rộng.- Tầng 5: Phòng thờ, sân phơi.+ Sổ đỏ chính chủ sẵn sàng giao dịch ngay.+ Giá: 7.4 tỷ (có thương lượng).+ Liên hệ: 0968 371 *** Anh Tú. Để đi xem nhà thực tế.            ",56 m²,7.4 tỷ,5 tầng,Sổ đỏ,05/12/2022,12/12/2022,Tin thường,35924702,batdongsan_com_vn_35924702,,,6 phòng,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Doãn Kế Thiện']","
+ Thửa đất đẹp, đằng trước hiện đang cho thuê kinh doanh.+ Mặt tiền đẹp để kinh doanh hoặc xây 7 tầng thang máy.+ Giao thông thuận tiện kết nối với Hồ Tùng Mậu, Phạm Văn Đồng, Xuân Thủy, xung quanh nhiều trường ĐH lớn, cấp 1,2,3: ĐH Thương Mại, ĐH Quốc Gia, ĐH Sư Phạm, ĐH Sân Khấu Điện Ảnh, ĐH Ngoại Ngữ.. Tiện ích vô vàn.+ Đi lại thuận lợi bằng xe buýt, tàu điện trên cao, bến xe.+ Nhà thoáng trước sau, sau nhà có 1 mặt ngõ thiết kế:Tầng 1: Kinh doanh + phòng ngủ + WC.Tầng 2: 2 phòng ngủ + WC.Tầng 3: Sân phơi.+ Sổ đỏ đẹp chính chủ giao dịch ngày.+ Liên hệ: Đt/zalo Mai Phạm 0335 060 *** ",98 m²,17.9 tỷ,3 tầng,,01/12/2022,08/12/2022,Tin thường,35522516,batdongsan_com_vn_35522516,,,,,,,
