address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Pháp lý,Nội thất,Số tầng,Mặt tiền,Đường vào
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng A', 'Dự án Tây Nam Hồ Linh Đàm']","
Bán căn hộ chung cư CT1 A1A2 Tây Nam Linh Đàm, Hoàng Liệt, Hoàng Mai.- Diện tích 45m² thông thủy, Sổ hồng đầy đủ.- Thiết kế 2 phòng ngủ, 1 vệ sinh.- Cửa Đông Bắc, ban công Tây Nam.- Nội thất cơ bản tủ bếp.- Giá bán 1.45 tỷ có thương lượng.Anh chị cần thông tin liên hệ: 0936 686 *** Thanh Tùng.            ",45 m²,1.45 tỷ,2 phòng,1 phòng,29/11/2022,06/12/2022,Tin thường,35984314,batdongsan_com_vn_35984314,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Tố Hữu', 'Dự án Roman Plaza']","
Do chuyển công tác chủ nhà cần bán căn hộ đang ở diện tích 99,86m² giá có 4. X tỷ có thương lượng (x là số 1,2).Đặc điểm:- Ban công hướng Đông Nam cực kỳ mát mẻ.- Tất cả các phòng đều có ánh sáng tự nhiên và bếp có logia thoáng mùi.- Đồ đạc sạc sẽ mới tinh do chủ nhà đang ở và khá tâm huyết với căn hộ nên rất mới giữ gìn.- Giường thông minh, gập lên xuống tủ bếp, bếp thì mới máy giặt, tủ lạnh còn bảo hành.- View nội khu khỏi chê, mà tầng trung đẹp k sợ muỗi rát bay vào nhà.Chủ nhà cũng rất tiếc khi bán căn hộ, vì ở rất sướng, nếu a chị quan tâm căn hộ liên hệ e để được xem căn hộ như hình nha: 0368 439 *** ",99.68 m²,42 triệu/m²,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35985329,batdongsan_com_vn_35985329,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Khương Trung']","
Chính chủ cần bán nhà mới xây Khương Trung, Thanh Xuân 35m², 5 tầng giá chỉ 3,6 tỷ. LH: 0934 038 ***- Vị trí có 1 không 2, lõi trung tâm Thanh Xuân, giao thông thuận tiện các phố lớn Thượng Đình, Vũ Tông Phan, Nguyễn Trãi, Trường Chinh, Ngã Tư Sở...- Khu vực ngay gần các chợ, trung tâm thương mại: Royal city, Mipec Tây Sơn, gần các trường đại học danh tiếng British international school, Trường THPT Huỳnh Thúc Kháng, Đại học Thuỷ Lợi, Học Viện Ngân Hàng...- Nhà xây mới thiết kế 5 tầng hiện đại:+ Tầng 1: Phòng khách bếp và WC.+ Tầng 2: Tầng lửng thiết kế làm phòng khách lớn để tiếp khách lịch sự thoáng mát.+ Tầng 3 - 4 - đều có phòng ngủ rộng và wc, tất cả 4 phòng ngủ.+ Tầng 5 sân rộng để thưởng thức trà chiều, hoặc trồng cây.- Diện tích 35m².- Nhà giá tốt tặng toàn bộ nội thất có thể dọn vào ở ngay.- Sổ đỏ chinh chủ giao dịch ngay.Liên hệ: 0934 038 ***Quoc Anh).            ",35 m²,3.6 tỷ,4 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35984656,batdongsan_com_vn_35984656,,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
Cần bán nhanh nhà phố Cầu Giấy, diện tích 35m x 5 tầng, mỗi tầng 1 phòng wc khép kín, mặt tiền rộng 5m, tài chính 4,1 tỷ giá rất hợp lý, nhà gần phố thuận tiện đi lại. Sổ đỏ chính chủ.            ",35 m²,4.1 tỷ,3 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35985321,batdongsan_com_vn_35985321,,,Sổ đỏ/ Sổ hồng,Đầy đủ,5 tầng,5 m,3 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Bạch Mai']","
Chính chủ gửi bán nhà Bạch Mai, Q. Hai Bà Trưng.* Chủ cần bán nhanh để chuyển đổi công việc.Nhà có diện tích 48m2x5T.Giá 5 tỷ sáu năm có TL.Cam kết thông tin chuẩn 100%.- Vị trí đẹp, ngõ thông cách phố Bạch Mai 90m.- Nhà thiết kế hiện đại, công năng đầy đủ, nội thất chủ để lại ở được ngay.- Giao thông đi lại thuận tiện Bạch Mai, Minh Khai, Lê Thanh Nghị, Trương Định, Trần Đại Nghĩa,...Sổ đỏ vuông vắn, sẵn giao dịch.* Hãy gọi ngay E Duy Anh 0373 115 ***chuyên nhà đẹp, hỗ trợ giao dịch miễn phí).            ",48 m²,5.65 tỷ,6 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35832062,batdongsan_com_vn_35832062,,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,5 tầng,4 m,2.5 m
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Vũ Trọng Phụng']","
Mặt phố Vũ Trọng Phụng, lô góc, 8 tầng thang máy, DT 90m², 8 tầng, MT 6m, 32.5 tỷ.Vị trí đắc địa, mặt tiền đẹp, sổ vuông đẹp, vỉa hè, kinh doanh, thang máy.+ Phố Vũ Trọng Phụng trung tâm quận Thanh Xuân, thông nhiều phố lớn như Nhân Hòa, Nguyễn Trãi, Ngụy Như Kon Tum, Khuất Duy Tiến, Lê Văn Lương đi đâu cũng tiện.+ Phố Nhân Hòa khu vực Hiếm nhà bán, thông nhiều phố lớn như Vũ Trọng Phụng, Lê Văn Lương, Khuất Duy Tiến, Ngụy Như Kon Tum, Nguyễn Trãi, Quan Nhân đi đâu cũng tiện.+ Dt 90m², 8 tầng thang máy, mặt tiền 6m.+ Thiết kế: 8 tầng khung cột chắc chắn.+ Khu vực an ninh tốt, dân trí cao. Kinh doanh các loại hình.+ Sổ đỏ vuông đẹp sẵn sàng giao dịch.+ Giá bán: 32.5 tỷ có gia lộc.            ",90 m²,32.5 tỷ,6 phòng,6 phòng,29/11/2022,06/12/2022,Tin thường,35299180,batdongsan_com_vn_35299180,,,Sổ đỏ/ Sổ hồng,Cao cấp.,8 tầng,6 m,20 m
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Bán suất ngoại giao căn góc A03 ban công Đông Nam view thành phố, sân vận động quốc gia Mỹ Đình.- Căn A03 tầng đẹp, diện tích 108m², thiết kế 3PN, 2WC, logia rộng và thoáng.- Nội thất căn hộ bàn giao thiết bị cao cấp: Bếp, tủ bếp, điều hòa âm trần, thiết bị vệ sinh,...- Nhận nhà ngay, sổ đỏ liền tay.Liên hệ xem căn hộ thực tế: 0911 452 *** Đào Nhung (fb/zalo/viber).            ",108 m²,Thỏa thuận,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35984285,batdongsan_com_vn_35984285,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Hoàng Văn Thái']","
Mặt phố Hoàng Văn Thái, 10 tầng thang máy.DT 150m², 10 tầng, MT 7m, 42 tỷ.10 tầng thang máy, mặt tiền rộng, vỉa hè đá bóng, sổ vuông đẹp.+ Phố Hoàng Văn Thái trung tâm quận Thanh Xuân, khu phố Hiếm nhà bán, nhà có vị trí đắc địa, thông nhiều phố lớn như Lê Trọng Tấn, Nguyễn Viết Xuân, Nguyễn Ngọc Nại, Tô Vĩnh Diện, Vương Thừa Vũđi đâu cũng tiện.+ Dt 150m², 10 tầng thang máy, mặt tiền 7m.+ Thiết kế: 10 tầng khung cột chắc chắn.+ Khu vực an ninh tốt, dân trí cao. Kinh doanh đỉnh.+ Sổ phân lô sẵn sàng giao dịch.+ Giá bán: 42 tỷ có gia lộc.            ",150 m²,42 tỷ,6 phòng,8 phòng,29/11/2022,06/12/2022,Tin thường,35251774,batdongsan_com_vn_35251774,,,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp.,10 tầng,7 m,15 m
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Chùa Láng']","
Siêu hiếm - Láng Hạ - DT 47m² - 5 tầng - nhỉnh 4tỷ - gần phố - ở ngay - liên hệ ngay 0856 903 ***+ Chủ nhà dồn tiền mua nhà mới cần bán gấp nhà DT 47m² x 5 tầng, dọn đồ về ở ngay.+ Vị trí đắc địa 3 bước chân ra mặt phố gần Nguyễn Trãi, Tây Sơn, hàng xóm royal, xung quanh là các trường học c1, c2, c3, ĐH Thủy Lợi, ĐH Công Đoàn.+ Thiết kế đầy đủ tiện nghi, thông thoáng 2 mặt vĩnh viễn, cuối năm chỉ việc xách vali về ở ngay.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Liên hệ ngay: SĐT or zalo Nguyễn Lương - 0856 903 *** ",40 m²,4.7 tỷ,,,29/11/2022,06/12/2022,Tin thường,35985263,batdongsan_com_vn_35985263,,,Sổ đỏ/ Sổ hồng,,5 tầng,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh', 'Ngõ 205']","
Chính chủ cần bán nhà đất 226m² (có dãy trọ đang cho thuê).Trong đó: Diện tích trong sổ 196m².Giá: 90 triệu/m² phần trong sổ.Phần ngoài sổ 30m² thương lượng.Ngõ 2.5m cách đường thông ô tô 45m.Vị trí: Ngõ 205 Xuân Đỉnh đối diện đại sứ quán Hàn Quốc - Khu Ngoại giao đoàn.Thuận tiện xây Chung cư mini cho thuê, xây nhà phân lô.Sổ đỏ đầy đủ.Miễn trung gian.Liên hệ: Anh Sơn 0904968 năm năm sáu.            ",226 m²,Thỏa thuận,,,29/11/2022,09/12/2022,Tin thường,35626571,batdongsan_com_vn_35626571,,,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Đội Cấn']","
Bán nhà Ngọc Hà, Ba Đình. Diện tích 43m², 7 tầng thang máy, mặt tiền 4.6m, ô tô 7 chỗ vào nhà. Gía 12.6 tỷ.TT Ba Đình - gara ô tô 7 chỗ - cách phố mới 20m - nội thất xịn sò.+ Nhà 7 tầng thang máy nhập khẩu, nội thất đẹp:- T1: Gara ô tô chỗ.- T2: Phòng khách + bếp + WC.- T3,4,5. Mỗi tầng 1 phòng ngủ + WC.- T6: Phòng thờ.- T7: Sân phơi.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Khu vực dân trí cao, nhà trong làng Ngọc Hà ngõ thông thoáng khắp ngả ra 279 Đội Cấn, ngõ 55 Hoàng Hoa Thám, 186 Ngọc Hà...Lh 0931 132 *** ",43 m²,12.6 tỷ,4 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35984804,batdongsan_com_vn_35984804,,,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,7 tầng,4.6 m,6 m
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ']","
Nhà Lê Đức Thọ - Kinh doanh, ô tô đỗ cửa, 40m²*5T nhà mới, 6.2 tỷ Nam Từ Liêm.+ Đường trước nhà to rộng ô tô đỗ cửa, kinh doanh hoặc cho thuê tốt, khu vực rất nhiều căn hộ dịch vụ dành cho người đi làm, kinh doanh tốt các mặt hàng Tạp Hóa, Hiệu Thuốc, Cắt Tóc, vv.Thiết kế:- Tầng 1: Để xe + Bếp + WC.- Tầng 2: Phòng khách + 1 ngủ.- Tầng 3 4: Mỗi tầng 2 phòng + WC Giữa.- Tầng 5: Ban thờ + Sân thượng.+ Sổ đỏ chính chủ sẵn sàng giao dịch.* Mọi thông tin chi tiết xin vui lòng liên hệ Phạm Liên: 0966 569 *** ",40 m²,6.2 tỷ,5 phòng,3 phòng,29/11/2022,06/12/2022,Tin thường,35310521,batdongsan_com_vn_35310521,,,Sổ đỏ/ Sổ hồng,,5 tầng,4 m,3 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Bạch Mai']","
* Chủ nhà làm trong quân đội nay chuyển công tác, thiện chí bán nhà nhanh.Hãy gọi 0373 115 ***DT 46m2x5T.- Vị trí: Nhà có vị trí đẹp, thuộc ngõ Bạch Mai, P Bạch Mai, Q Hai Bà Trưng, Hà Nội.- Ngõ thẳng tắp, thông, thoáng sáng, gần chợ, trường học, trung tâm thương mại lớn.- Khu vực trung tâm gần nhiều tuyến phố lớn như Minh Khai, Bạch Mai, Lê Thanh Nghị, Trần Đại Nghĩa, Tạ Quang Bửu,...- Nhà 5 tầng thiết kế lệch tầng chủ tự xây vô cùng chắc chắn.- Thiết kế tầng 1 khách bếp vệ sinh sân để xe, tầng 2 lên tầng 4 mỗi tầng 2 phòng, tổng 6 phòng ngủ. Tầng 5 phòng thờ và sân phơi.- Sổ cất két sẵn sàng giao dịch.cam kết thông tin chính xác 100%.Xin gọi ngay/zalo E Duy Anh 0373 115 ***chuyên nhà đẹp, hỗ trợ khách hàng giao dịch miễn phí).            ",46 m²,5.65 tỷ,5 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35831946,batdongsan_com_vn_35831946,,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,5 tầng,4 m,3 m
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mỹ Đình']","
Nhà Mỹ Đình - Ôtô qua nhà, 55m²*5T giá 6.8 tỷ sau quy hoạch giá trị tăng cao Nam Từ Liêm.* Nhà gần phố, vị trí đắc địa đầy đủ tiện ích thuận tiện đi lại. Nhà chủ tự xây kiên cố, có thể vừa ở vừa cho thuê.Nhà xây khung cột kiên cố chắc chắn.- T1, để xe + bếp hoặc 1 phòng ngủ.- T2,3,4: Mỗi tầng 2 ngủ.- Tầng 5: Phòng thờ và sân phơi có thể cải tạo thành 2 phòng cho thuê.- Sổ đỏ chính chủ, sẵn sàng giao dịch.* Mọi chi tiết xin liên hệ - Phạm Liên: 0966 569 ***- Tìm nhà theo nhu cầu khách hàng.            ",55 m²,6.8 tỷ,6 phòng,,29/11/2022,06/12/2022,Tin thường,35750737,batdongsan_com_vn_35750737,,,,,5 tầng,4 m,3.5 m
