address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì']","
Tôi có lô đất mặt đường Mễ Trì cần bán, thông tin cụ thể như sau:- Diện tích 54,3m².- Mặt tiền 4m.- Hướng ĐB.- Giá bán 14,5 tỷ bao phí sang tên.- Sổ đỏ chính chủ không thế chấp cầm cố. Anh có nhu cầu liên hệ trực tiếp 0974 433 *** ",54.3 m²,14.5 tỷ,Đông - Bắc,Sổ đỏ/ Sổ hồng.,05/12/2022,13/12/2022,Tin thường,35643242,batdongsan_com_vn_35643242,,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
Chỉ 3 tỷ, 35m² nhà 4 tầng, ít ngoặt, gần Timecity, rộng thoáng.- Vị trí cách Timecity 50m, rất phong phú tiện ích, Hàng xóm đều là vc trẻ rất văn minh.- Từ đường vào chỉ 1 ngoặt, 3 gác chạy thoải mái.- Chủ nhà Chú Minh có tuổi nên muốn bán về vs các con.Liên hệ 0946 084 *** để xem nhà gặp chủ trực tiếp.            ",35 m²,3 tỷ,,,05/12/2022,15/12/2022,Tin thường,36035234,batdongsan_com_vn_36035234,4 tầng,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường La Nội', '48']","
Nhà mình cần bán gấp nhà 48 La Nội, mới 100%, ngay trung tâm Dương Nội, đường rộng ô tô tránh nhau 5m, đang cho thuê văn phòng 120tr/1 năm khu dân cư đông đúc. LH Em Ngọc: 0943 491 ***- Vị trí: Trung tâm Dương Nội dân cư đông đúc, đầy đủ tiện ích, chỉ mất 3p đi ra cv Thiên văn Học, 4p ra Eaon Mall Hà Đông.- Diện tích 35m², xây 5 tầng, MT 4m vuông vắn, nở hậu 4,18m.- Thiết kế:T1: Phòng khách + bếp nấu ăn.T2, 3, 4: 1 phòng ngủ + Wc.T5: 1 phòng + sân phơi.- Hướng: ĐB.- Giá bán 4,6 tỷ đã bao phí, có gia lộc cho khách thiện chí mua.Liên hệ: Em Ngọc: 0943 491 *** để xem nhà trực tiếp có zalo, không tiếp trung gian, MG).Email: ngoc.dinhquy@gmail.com.            ",35 m²,4.6 tỷ,Đông - Bắc,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36036666,batdongsan_com_vn_36036666,5 tầng,4 m,5 m,3 phòng,4 phòng,Đầy đủ,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Trần Phú', 'Dự án Hồ Gươm Plaza']","
Chính chủ cần bán căn góc chung cư cao cấp 4N 2WC 146m², Hồ Gươm Plaza.Diện tích: 146m², 4N 2WC.Hướng ban công: ĐB.Tầng: 21 view siêu thoáng.Nội thất: Full đồ nội thất cao cấp.Tiện ích: Bể bơi 4 mùa, TTTM.giá: 4,6 tỷ.0366.927.688.            ",146 m²,4.6 tỷ,,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,36037404,batdongsan_com_vn_36037404,,,,4 phòng,2 phòng,Full đồ nội thất cao cấp.,Tây - Nam
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Phố Vạn Phúc', 'Dự án Tokyo Tower']","
Cần bán căn hộ tại tòa Landmark 51 Hà Đông:- Diện tích 76m² - Thiết kế 2 PN thông thoáng.- Ban công ĐN. View đẹp.- Giá bán trực tiếp CĐT.- Đây là dự án vị trí đẹp, là tòa biểu tượng của Quận Hà Đông.- Đặc biệt khai thác dòng tiền tốt 3%/tháng.- Liên hệ: 0974 433 *** ",76 m²,50 triệu/m²,,,05/12/2022,13/12/2022,Tin thường,35923786,batdongsan_com_vn_35923786,,,,2 phòng,,,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Thị Định']","
Diện tích sổ đỏ 47m² xây dựng thực tế 2 khối nhà, chủ hiện ở 1 căn - 1 căn cho thuê 5tr/1 tháng. Nhà trước mặt thoáng - sáng.Ngõ rộng thoáng bagac, gần đường ra ngã tư Lê Văn Lương.Khu vực rất nhiều chung cư, hiếm nhà đất bán. Nên cực kỳ nhiều tiện ích - đi lại thuận lợi 3 quận: Đống Đa - Thanh Xuân - Cầu Giấy.Sổ đỏ chính chủ.Giá chào: 4,7 tỷ có thương lượng.            ",47 m²,4.7 tỷ,,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,36037456,batdongsan_com_vn_36037456,,4 m,5 m,,,Đầy đủ,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 2', 'Đường Phạm Văn Đồng', 'Dự án Nhà ở cho CBCS Bộ Công an']","
+ Chính chủ bán căn hộ tòa CT1, dự án nhà ở Cán Bộ Chiến Sỹ Bộ Công An+ gần Metro, Bộ Công An, An Bình City. Gần các trường Đại Học lớn, như Đại Học, Quốc gia, sư phạm, ĐH Thương Mại,+ Tòa nhà 27 tầng, 3 tầnG hầm để xe. 6 thang máy tốc độ cao.+ Căn hộ: 70m² thiết kế: 2 ngủ, 2 WC.+ Nội thất: Cơ bản+ Giá bán: 2,38 tỷ.+ L/H: 0948 104 *** A. Phong.            ",70 m²,2.38 tỷ,Bắc,Sổ đỏ/ Sổ hồng,05/12/2022,15/12/2022,Tin thường,35475487,batdongsan_com_vn_35475487,,,,2 phòng,2 phòng,Cơ bản,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', '108', 'King Palace']","
Toà nhà King Palace 108 Nguyễn Trãi.- Căn hộ trục 1 tầng 17, trục hoa hậu, căn góc ngập tràn nắng gió, ánh sáng thoáng đãng mát mẻ.- Gồm 3 phòng ngủ, 2 wc, 2 lô gia, 126m² hướng hợp Tây tứ trạch.- Giá bán 7.2 tỷ.- Cách Ngã Tư Sở chưa đầy 1km.- Cách đường sắt trên cao Cát Linh Hà Đông 50m.- Cách TTTM Royal City 70m.- Cách trường THPT Hà Nội Amsterdam 2.5km.- Cách bệnh viện Đại Học Y 2.1km.- Cách Bệnh Viện Nội Tiết TW 2.3km.- Cách đường Vành đai 3 1.5km.- Cách Hồ Gươm 6km.- Công viên Nhân Chính 2km.- Liên hệ: 0862 435 ***có zalo).            ",126 m²,7.2 tỷ,Tây,,05/12/2022,12/12/2022,Tin thường,36036615,batdongsan_com_vn_36036615,,,,3 phòng,2 phòng,,Tây
"['Hà Nội', 'Hoài Đức', 'Xã Lại Yên', 'Đường 422B']","
Tôi có người nhà cần bán lại lô đất hơn 60m² ở khu đất dịch vụ Lại Yên, thông số cơ bản như sau.- Diện tích: 68m².- Mặt tiền rộng: 4.55m.- Đường trước nhà: 9m kèm vỉa hè mỗi bên 2m.- Giáp ngay đường 40m Vân Canh - Lại Yên, gần ngay khu đô thị vườn cam, An Lạc Green Symphony, Kết nối với đường vành đai 3.5, chỉ 500m ra ngay đường 422b chạy qua trung tâm huyện ủy hoài đức và kết nối với đường 32 rất thuận tiện, phù hợp với vừa ở, làm văn phòng kinh doanh.- 10 - 15 phút chạy ngay vào trung tâm thành phố Hà Nội.- Giá niêm yết 60 triệu/m².- Khách hàng hoặc nhà đầu tư quan tâm, xin liên hệ để đi xem thực địa, sổ đỏ và trao đổi mua bán.Liên hệ và trao đổi mua bán: 0909 469 ***A Sơn).            ",68 m²,60 triệu/m²,Đông - Nam,Sổ đỏ/ Sổ hồng,05/12/2022,12/12/2022,Tin thường,35384368,batdongsan_com_vn_35384368,,,9 m,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bách Khoa', 'Phố Tạ Quang Bửu', 'Ngõ 40']","
Chính chủ bán nhà KPL ngõ 40 Tạ Quang Bửu, 2 mặt ngõ ôtô tránh, ngõ thông, kết hợp vừa ở và làm văn phòng.- Diện tích: 56m2x6T thang máy.Thiết kế hiện đại:Tầng 1: Gara + bếp ăn, WC.Tầng 2: Phòng khách + 1 ngủ.Tầng 3,4,5: Mỗi tầng 2 ngủ + WC.Tầng 6: Sân vườn, tum, sân phơi.- Gần các trường trọng điểm, top Quốc Gia: Mẫu giáo Bách Khoa, cấp 1 Lê Văn Tám, cấp 2 Ngô Gia Tự, cấp 3 Thăng Long, đại học Bách Khoa, đại học Kinh Tế, Đại học Xây Dựng.- Khu dân trí cao, là khu nhà ở của cán bộ trường Đại học Bách Khoa, hàng xóm toàn giảng viên, giáo sư, tiến sĩ.- Mặt tiền, đường rộng rãi, 2 ôtô tránh nhau, đỗ được xe ô tô trước cửa, mặt sau ô tô vào tận nhà.Sổ đỏ chính chủ.Giá 15.5 tỷ có thương lượng.Liên hệ C Tâm 0936 360 *** ",60 m²,15.5 tỷ,,,05/12/2022,12/12/2022,Tin thường,36037320,batdongsan_com_vn_36037320,6 tầng,7 m,5 m,5 phòng,6 phòng,,
