address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Số phòng ngủ,Số toilet,Nội thất,Hướng ban công,Đường vào
"['Hà Nội', 'Hoài Đức', 'Xã Sơn Đồng', 'Đường 422', 'Dự án Sơn Đồng Center']","
Đất đấu giá làng nghề Sơn Đồng Center...Chủ ĐT cam kết thuê lại ngay khi kí HĐTT đặt cọc với GT lên đến 240tr/năm.Giá chỉ từ 8 tỷ đồng sở hữu ngay shophouse 2 mặt tiền mặt đường Song Phương, kết nối trực tiếp với Mỹ Đình chỉ 10 phút di chuyển.Số lượng giới hạn, sổ đỏ trao tay.Duy nhất 150 lô với thiết kế tân cổ điển đẳng cấp, mặt tiền rộng 6,5 - 7m.Cơ hội vàng cho nhà đầu tư chuyên nghiệp.Vị trí dự án:Mặt đường Song Phương - Sơn Đồng (Hoài Đức) Tâm điểm giao thương, nâng tầm kết nối khu vực, hình thành liên khu vực kết nối giao thông Quốc lộ 32, đường Tỉnh 422 và Đại lộ Thăng Long, đẩy mạnh thu hút đầu tư các khu đô thị, khu công nghiệp góp phần thúc đẩy kinh tế xã hội của địa phương, đồng thời tạo tiền đề cho BĐS Hoài Đức bứt phá và nâng tầm trong tương lai gần.Tiềm năng sinh lời cao theo cấp số nhân trong tương lai gần khi Hoài Đức chính thức lên quận.Liên hệ hotline: 0989 876 *** ",71 m²,84 triệu/m²,6 m,4 tầng,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin Vip 2,35876367,batdongsan_com_vn_35876367,,,,,,
"['Hà Nội', 'Đông Anh', 'Xã Võng La', 'Ấp Sáp Mai']","
Do không có nhu cầu sử dụng gia đình cần bán gấp mảnh đất kinh doanh tại Ấp Sáp Mai, Võng La, Đông Anh, Hà Nội.- Diện tích 90m².- Hướng Đông Bắc.- Đường 2 ô tô tải tránh nhau thoải mái.- Quy hoạch đường 21m (trong đó vỉa hè 5m) chưa kể lưu không trước mặt 60m².- Cách chợ Moon 300m.- Cách bệnh viện Nhiệt đới Trung Ương (cơ sở Đông Anh) 400m.- Cách KCN Thăng Long 1km.- Gần trường học mầm non, THCS Thăng Long, THPT Thăng Long và UBND.- Phù hợp nhu cầu ở hoặc đầu tư kinh doanh, tương lai rất tiềm năng.Giá bán: 52tr/m².Liên hệ chính chủ: C Hằng 0988 337 *** ",90 m²,52 triệu/m²,4.5 m,,,18/11/2022,18/12/2022,Tin Vip 2,35875377,batdongsan_com_vn_35875377,Đông - Bắc,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Liễu Giai', 'Dự án Vinhomes Metropolis - Liễu Giai']","
Chị gái khách cũ của em cần bán lại căn hộ 2PN 2WC ở Metropolis Liễu Giai - Ba Đình - Hà Nội:- Tầng trung, view đẹp thoáng.- Thiết kế full nội thất cao cấp, nhà ít sử dụng nên còn rất mới, chỉ cần soạn đồ tới ở thôi ạ.- Chủ nhà thiện chí bán do chuyển đi định cư ở nước ngoài nên bao toàn bộ phí cho KH.- Giá 7.X tỷ.Liên hệ qua hotline/zalo: 0942 910 *** để được hỗ trợ ạ!(Sổ đỏ cầm tay - sang tên nhanh chóng). ",80 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin Vip 2,35874398,batdongsan_com_vn_35874398,,2 phòng,2 phòng,"Full nội thất cao cấp, hiện đại.",,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
1. Căn hộ S2.19 tầng thấp, ban công TB - TN full đồ xịn, không vay ngân hàng, sổ đỏ chính chủ giá 2,4 tỷ.2. Căn hộ S2.16 diện tích 74m² thông thủy tầng thấp ban công Đông Bắc - Tây Bắc, nguyên bản CĐT có điều hòa, SĐ chính chủ, không vay giá 2,39 tỷ.3. Căn hộ tòa S2.09 tầng trung, diện tích 74m² thông thủy, hướng ĐN - TN view thoáng đẹp, không bị che chắn, nội thất cơ bản giá 2,65 tỷ.4. Tòa R1.02 diện tích 86m² - 76m² tầng trung, hướng ĐN - TN nội thất cơ bản, giá 3,6 tỷ.5. R1.02 tầng trung diện tích 88,5m² thông thủy, hướng ĐB - TB, là căn 3PN + 1 có diện tích lớn giá 4,25 tỷ.Ngoài ra chúng tôi còn có quỹ căn giá rất tốt từ Studio, 1PN, 1PN + 1, 2PN đáp ứng đủ nhu cầu cho qúy khách hàng.            ",88 m²,2.4 tỷ,,,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin Vip 2,35871455,batdongsan_com_vn_35871455,,3 phòng,2 phòng,Full đồ xịn.,Đông - Nam,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường Vân Canh']","
Khách hàng trả trước chỉ từ 900 triệu đồng tiền đối ứng, sở hữu ngay nhà 4 tầng, 4 phòng ngủ, 1 sân phơi.- Nhà 4 tầng.- Tầng 1 bếp + P. Khách.- Tầng 2 + 3: 4 phòng ngủ + WC.- Tầng 4 phòng thờ + sân thượng.- Diện tích: 45m².- MT: 3.5m.- Hướng: Đông tự trạch.- Thiết bị nội thất:- Cửa ra vào 2 lớp: Cửa ngoài song sắt + cửa trong gỗ lim ván kính cường lực.- Tủ bếp trên + tủ bếp dưới.- Tay vịn cầu thang gỗ lim.- Bậc cầu thang mặt đá Grannit.- Thiết bị vệ sinh sen vòi + bồn rửa mặt + bồn cầu thương hiệu Inax.- Trần thạch cao trang trí hiện đại trang trọng.- Dây điện và thiết bị điện Sino.- Bình nước Sơn Hà 1500 lít.- Vị trí.- Cách đường Vành đai 3.5 đang làm 1 phút di chuyển.- Di chuyển Vào TT Hà Nội chưa đến 15 phút.- Cách SVĐ Mỹ Đình 15p.- Cách Đường 32 Nhổn 7 phút di chuyển (Đại Học Công Ngiệp HN).- Gần các Chợ như Chợ Vân Canh, Chợ Đầu Mối Nhổn, Chợ BV Thể Thao.- Xung quanh có các Trường Mần Non Vân Canh, Trường Tiểu Học Vân Canh, Trường THCS Vân Canh,- Gần Trạm Y Tế Vân Canh.- Quy Hoạch TP Tương lai Sau năm 2025 di Rời Bến Xe Mỹ Đình về Đối Diện ĐH Công Nghiệp HN Rất Gần,- Gần các khu đô thị mới của Vân Canh như khu đô thị 25,2ha, khu Đại Đô thị An Lạc Sympholy tràn ngập tiện ích.Hạ tầng đồng bộ, điện đường trường trạm đầy đủ.- Hàng xóm thân thiện, dân trí cao.- Đồng ý cho khách hàng vay 90% ngân hàng.- Chủ nhà bao phí sang tên và các thủ tục giấy tờ.- Sổ đỏ chính chủ.- Pháp lí đầy đủ, rõ ràng không tranh chấp.- Liên hệ trực tiếp Mr. Quý: 0941 911 ***- Giá: 3.25 tỷ có gia lộc.https://www.quyhangland.com/(Cảm ơn các bạn đã đọc tin, A/C môi giới, QC, vui lòng không làm phiền).            ",45 m²,3.25 tỷ,3.5 m,4 tầng,Sổ đỏ/ Sổ hồng.,18/11/2022,28/11/2022,Tin Vip 2,34485429,batdongsan_com_vn_34485429,Nam,4 phòng,3 phòng,Full nội thất tiện nghi.,Nam,2.7 m
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', 'Dự án Royal City']","
PKD1: Mrs Kiều Thu 0972 980 ***PKD2: Ms Linh An 0844 475 ***Quý khách nên gọi cả 2 số điện thoại và kết bạn Zalo ngay để công ty chúng tôi gửi ảnh thật thực tế của các bất động sản.Tất cả các bất động sản đã có sổ đỏ vĩnh viễn và miễn phí dv 10 năm.Công ty chúng tôi còn độc quyền phân phối biệt thự Vinhomes Smart City; Vinhomes Ocean Park; Vinhomes Ocean Park 2; Vinhomes Ocean Park 3; Vinhomes Green Bay; Vinhomes West Point; Vinhomes Sky Lake; Vinhomes Metropolis Và các dự án của CĐT Masterise Home.Tôi đang ở tại Royal City nên tôi tự tin mình là người tư vấn hỗ trợ cho bạn tốt nhất những vấn đề liên quan đến mua bán, cho thuê và thiết kế thi công tại chung cư Royal City.Chung cư Royal City 72A Nguyễn Trãi, Hà Nội:1) Tòa R1 và R2.Căn 12 - 88,3m² ban công TB, giá 4,25 tỷ.Căn 24 - 96,3m² ban công ĐB giá 4,8 tỷ cả ba phòng thoáng sáng, view bể bơi.Căn 05 - 109m² ban công ĐN giá 5,35 tỷ.Căn 08 - 114,5m² ban công TB giá 5,2 tỷ căn 2 PN siêu đẹp, 3 phòng thoáng sáng.Căn 12A - 145,2m² ban công ĐN giá 6,8 tỷ view khuôn viên.Căn 27 - 89,6m² ban công ĐB giá 4,4 tỷ ban công.Căn 18 và 20 - 124,6m² ban công chính Nam giá 5,8 tỷ.Căn 01 - 181.4m² là căn góc nên có 2 ban công ĐN và ĐB giá 10,9 tỷ, có 3 phòng ngủ (PN) thoáng sáng, 3 công trình phụ khép kín.Căn 04 và 06 - 109m² ban công TB giá 4,8 tỷ view thành phố.Căn 12B - 104.8m² ban công TB giá 4,6 tỷ.Căn 09 - 110m² ban công ĐN giá 5,3 tỷ.Căn penthouse sân vườn 430m² giá 29 tỷ.2) Tòa R3:Căn 109m² giá 5,4 tỷ - 5,9 tỷ.Căn 121m² - 123m². Giá 6,6 tỷ - 7,3 tỷ (căn 3 PN).Căn 131.4m², view quảng trường, giá 10,8 tỷ (căn 3 PN).Căn 157m² giá 10,8 tỷ. 175m² giá 14,8 tỷ. 195m² giá 16 tỷ. Cả 3 căn đều view quảng trường ban công ĐN và đều có 3 phòng ngủ.Căn 221m² căn góc vip, view quảng trường, giá 2X tỷ (căn góc 4 PN sáng).3) Tòa R4 và R5:Căn 112.4m² ban công TB giá 4.9 tỷ.Căn 131.4m² giá 6.9 tỷ (căn góc 3 PN thoáng).Căn 132m² giá 5,9 tỷ (căn 3 PN).Căn 132.3m² giá 5.7 tỷ căn góc 3 PN.Căn 137.6m² giá 7.5 tỷ (3 PN).Căn 102.1m² giá 4,4 tỷ (sửa thành 3 PN).Căn 104.9m² ban công ĐN giá 5,15 tỷ.Căn 104.9m² ban công ĐB giá 4.8 tỷ.Căn góc 133m² ban công ĐN - ĐB, đủ nội thất giá 7,1 tỷ.Căn 16 - 101.8m² ban công ĐN giá 4.45 tỷ.Căn 93m² ban công ĐB giá 4.6 tỷ. Ban công TB giá 4,1 tỷ.Căn 06 - 112.4m² ban công ĐN giá 5.4 tỷ.Căn 11, căn 16 tòa R4 cửa hướng Tây, ban công hướng Đông. DT 103m², giá 4,4 tỷ.4) Tòa R6:Căn 55m² giá 2,95 tỷ (1PN).Căn 69m² giá 4,2 tỷ. 72m giá 4,3 tỷ. 82m giá 4,7 tỷ (2PN).Căn 94m² giá 5,5 tỷ. Căn góc chỗ giếng trời 103m giá 6,3 tỷ. 112m giá 6,3 tỷ (3PN).Căn góc 115m² giá từ 6,9 tỷ - 7,3 tỷ.Căn 143,5m² giá 8,2 tỷ. Căn 154,5m giá 9,5 tỷ (4PN).Còn nhiều bất động sản vị trí đẹp giá hợp lý mà chúng tôi sẽ dành tặng riêng cho khách hàng thật sự thiện chí mua.PKD1: Mrs Kiều Thu 0972 980 ***PKD2: Ms Linh An 0844 475 ***Bạn nên gọi cả 2 số và kết bạn zalo ngay.Chúc quý khách luôn mạnh khỏe và hạnh phúc!            ",132 m²,6 tỷ,,,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin Vip 2,35792484,batdongsan_com_vn_35792484,Tây - Bắc,3 phòng,3 phòng,Nội thất cao cấp ,Đông - Nam,
"['Hà Nội.', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Đền Lừ 2']","
(Ảnh thật + CC) Bán nhà 9 tỷ Phân Lô Quân Đội Tân Mai Hoàng Mai. 60m² x 5T mới đẹp ô tô vào nhà.Cam kết thông tin thật ảnh thật của nhà.- Diện tích: 58 m².- Xây dựng: Nhà 5 tầng khung cột xây mới 100%, có thang máy.+ Tầng 1: Gara ôtô (Phòng khách), Bếp, phòng ăn.+ Tầng 2: Phòng ngủ + WC MAster.+ Tầng 3, 4: Mỗi tầng 2 phòng lớn, 1 wc.+ Tầng 5: Phòng thờ, sân phơi, 1 wc.- Nội thất: Cửa cuốn, cửa các phòng và tay vịn cầu thang làm bằng gỗ Lim Nam Phi, sàn gỗ Malaysia, trần thạch cao kết hợp đèn led âm trần chiếu sáng, quạt trần, đèn trần, rèm cửa, tủ bếp, đầy đủ thiết bị vệ sinh.- Pháp lý: Sổ đỏ chính chủ.- Giá: 9 tỷ (có thương lượng).Liên hệ anh Đức 0904 880 *** ",60 m²,9 tỷ,,5 tầng,Sổ đỏ/ Sổ hồng.,18/11/2022,28/11/2022,Tin Vip 2,35872766,batdongsan_com_vn_35872766,,6 phòng,5 phòng,Đầy đủ,,
"['Hà Nội', 'Tây Hồ', 'Phường Yên Phụ', 'Đường An Dương']","
- Nhà cách mặt đường An Dương khoảng 10 m tiện giao thông, 2 mặt ngõ, ngõ chính rộng 2,5 m. Ô tô để đầu ngõ, đi bộ 2 - 3 phút là đến bãi gửi xe. Xung quanh yên tĩnh, an ninh tốt.- Cách cửa khẩu An Dương khoảng 400 m, cách Hồ Tây/hồ Trúc Bạch, Pan Pacific 500 m, Lăng Bác 1200 m.- Nhà hiện đang sử dụng 02 tầng - 01 tum. Tầng 1 là chỗ để xe - phòng khách - bếp - vệ sinh. Tầng 2 là 1 phòng rộng. Tầng 3 có 1 không gian rộng (khu vực sân phơi - 1 gian thờ nhỏ).- Diện tích trên sổ là 36,7 m².- Sổ đỏ chính chủ - Pháp lý rõ ràng.- Giá mong muốn 4 tỷ (có thương lượng).Liên hệ: Anh Hậu 0986 536 ***miễn môi giới, miễn trung gian).            ",36.7 m²,4 tỷ,4.4 m,3 tầng,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin Vip 2,35868193,batdongsan_com_vn_35868193,Đông - Nam,2 phòng,1 phòng,,Đông - Nam,2.5 m
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Dự án An Lạc Green Symphony']","
Tôi có 10 suất ngoại giao đợt đầu view hồ view công viên, tầng siêu chất.2pn: 70m².3pn: 96m².Căn view hồ view golf.Hỗ trợ lãi suất 18 tháng.LH: 0912 347 *** ",96 m²,50 triệu/m²,,,,18/11/2022,28/11/2022,Tin Vip 2,35872281,batdongsan_com_vn_35872281,,3 phòng,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Khang']","
Hạ chào 300tr! Nhà Cầu Giấy rẻ như Thanh Trì - cạnh phố - nhà đẹp - mặt tiền khủng - giá hiếm có căn thứ 2.- Cách phố 30m, ngõ siêu thoáng trải nhựa, văn minh.- Nhà mới xây 2019 còn rất đẹp, vị trí TT Cầu Giấy, có khe thoáng sau nhà.- Nhà ở rất có lộc, chủ mới ở được 1 năm đã chuyển mặt phố Cầu Giấy.- Chủ đã đặt cọc nhà mới nên cần bán nhanh giải quyết công việc..+ Sổ vuông văn pháp lý sạch.Liên hệ xem nhà: Em Huyền: 0337 679 ***Chuyên thổ cư Đống Đa, Cầu Giấy).            ",49 m²,4.65 tỷ,5 m,4 tầng,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin Vip 2,35871621,batdongsan_com_vn_35871621,,4 phòng,3 phòng,Đầy đủ,,3 m
